system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,1.49,0.07246452,1.52,0.29,18.8,0.08992258,465,8.18,236,0.20674838,0.63,58.63,0.100641936,99.6,0.22442581,0.16354516,-2.330450152045765,1.01,180.0,388,394,"1/4/24, 12:00 AM",JABALPUR,445,2024-12-31,7.1,4.0931716,172,171,440,434,4.6273675,2024-01-01,30.572571428571422,Nawargawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18878757339218,23.155379005342642]}"
2_0,1.06,0.071744114,0.566,0.2,10.09,0.0972,323,8.456,236,0.3320088,0.63,23.99,0.09609706,84.66,0.20652354,0.12855294,2.06157191275586,0.98,-0.0,375,396,"4/25/24, 12:00 AM",JABALPUR,374,2024-12-31,7.2,4.127006,152,147,473,457,0.0,2024-01-01,30.210702702702697,Tapa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96834100266925,23.381484962355525]}"
3_0,0.8,0.08116177,1.4,0.4,12.8,0.10256471,414,9.1,236,0.25076178,0.6,5.3,0.10135,24.9,0.1919,0.13157941,-2.5489502592344024,0.9,241.13902,406,410,"1/29/24, 12:00 AM",JABALPUR,379,2024-12-31,7.5,4.2818274,149,148,444,442,5.745227,2024-01-01,30.394588235294123,Budhi Koni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69695995533675,23.28231095498873]}"
4_0,0.86,0.07215151,1.802,0.31,11.63,0.0951303,398,8.39,225,0.2890515,0.6,23.99,0.0915,89.64,0.23334242,0.15408182,8.90397976200418,0.862,121.47402,447,452,"3/31/24, 12:00 AM",JABALPUR,366,2024-12-31,7.4,4.105984,165,162,388,386,3.5483,2024-01-01,30.264166666666668,Patera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86997547905817,23.326238572382174]}"
5_0,1.13,0.13746217,1.33,0.17,22,0.16047028,287,14.4,201,0.23658648,0.51,34.7,0.17907298,109.6,0.24638107,0.2059919,-1.8183436093520813,1.46,180.0,385,391,"3/30/24, 12:00 AM",JABALPUR,408,2024-12-31,7,4.434459,138,135,477,473,2.7802885,2024-01-01,30.354114285714285,Bargi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86485508193869,22.980207524939335]}"
6_0,0.9,0.07871579,1.4,0.2,15.1,0.098002635,466,17.8,206,0.28487632,0.5,16,0.09375,49.8,0.2104079,0.13585,-0.11268628209600923,1.2,90.0,461,465,"1/30/24, 12:00 AM",JABALPUR,381,2024-12-31,7.2,4.3167586,151,151,388,384,3.024717,2024-01-01,30.35952941176472,Benikheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83925309634128,23.2114338790717]}"
7_0,1,0.060071427,0.7,0.3,15.2,0.08058286,570,31.6,245,0.29803428,0.7,29.3,0.073722854,69.7,0.20856285,0.13781714,-2.143972477433295,1.5,195.22505,409,412,"1/30/24, 12:00 AM",JABALPUR,382,2024-12-31,7.3,4.2818274,147,146,444,442,3.8391573,2024-01-01,30.394588235294123,Budhi Koni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69669046075151,23.282849944159203]}"
9_0,0.9,0.0645027,3.5,0.5,17.4,0.08831081,701,7.3,196,0.2664135,0.5,24,0.08329459,84.7,0.19170271,0.12536757,-1.904138632380299,2.1,270.0,428,434,"1/18/24, 12:00 AM",JABALPUR,377,2024-12-31,7.1,4.412627,161,161,411,405,3.0242467,2024-01-01,30.41964705882353,Sahsan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69480399865486,23.190682796008538]}"
10_0,0.8,0.06951111,3,0.3,8.8,0.087913886,524,6.3,270,0.2430361,0.8,26.7,0.08489167,84.7,0.1775889,0.11609445,-2.031946698037205,0.9,35.967255,422,433,"1/17/24, 12:00 AM",JABALPUR,382,2024-12-31,7.2,4.2206907,163,161,415,406,3.4337816,2024-01-01,30.265942857142864,Junwani1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.91147764518449,23.264524312363164]}"
11_0,0.65,0.0733,1.398,0.38,11.82,0.09284737,662,5.79,201,0.22381842,0.51,31.99,0.09802631,129.48,0.20357105,0.14207105,-0.41907096812951855,1.563,227.41968,441,443,"3/31/24, 12:00 AM",JABALPUR,380,2024-12-31,7,4.3167586,159,159,400,398,1.370503,2024-01-01,30.379055555555553,Dhaneta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80772222986869,23.232184962134863]}"
