system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
3_0,0.6,0.051875554,5.208,0.92,16.16,0.06781778,630,20.76,244,0.14715777,0.65,17.2,0.08371111,28.75,0.15640667,0.11762889,0.2160228771570855,1.352,294.9098,411,412,"7/22/24, 12:00 AM",KHANDWA (EAST NIMAR),379,2024-12-31,7.1,2.7926345,329,332,260,256,2.2009852,2024-01-01,30.74683333333333,Awaliya Kharwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1679283616732,21.75400716211619]}"
4_0,1.8,0.065222725,4.3,0.45,18.88,0.082813635,694,16.58,263,0.22247046,0.7,17.4,0.092775,12.5,0.21999317,0.1532,-2.269250077056828,0.764,294.90546,369,365,"7/18/24, 12:00 AM",KHANDWA (EAST NIMAR),368,2024-12-31,7.7,2.8017817,421,431,211,204,4.396205,2024-01-01,30.71377777777779,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12750417388783,21.782304093565955]}"
5_0,0.4,0.06483863,2.644,0.4,16.91,0.07981364,490,19.98,200,0.22847727,0.5,9.2,0.07915454,25,0.16952954,0.120352276,0.5131630970109948,0.308,132.87965,386,380,"7/18/24, 12:00 AM",KHANDWA (EAST NIMAR),359,2024-12-31,7,2.8017817,389,400,225,220,1.3627769,2024-01-01,30.697166666666664,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.11995832550122,21.78311257732166]}"
7_0,0.4,0.07394318,4.062,0.85,10.71,0.09630909,300,19.89,200,0.21594091,0.5,14.8,0.10786591,37.5,0.17900455,0.13765454,-1.1772984359525556,0.876,199.74559,363,366,"7/18/24, 12:00 AM",KHANDWA (EAST NIMAR),365,2024-12-31,8.4,2.8017817,407,411,230,223,2.9536777,2024-01-01,30.71377777777779,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13046861432542,21.776914201861235]}"
8_0,0.9,0.073847726,1.47,0.41,5.754,0.09505909,240,24.86,244,0.21432954,0.65,13.8,0.11275909,12.5,0.20367046,0.1521,-1.1166620964127145,0.486,-0.0,357,356,"7/23/24, 12:00 AM",KHANDWA (EAST NIMAR),369,2024-12-31,7.1,2.8017817,412,420,231,225,2.7802885,2024-01-01,30.763055555555542,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12265327135358,21.771254815571282]}"
9_0,0.4,0.073847726,4.16,0.81,10.71,0.09505909,335,24.32,212,0.21432954,0.55,7.8,0.11275909,25,0.20367046,0.1521,-1.1166620964127145,0.76,-0.0,357,356,"7/18/24, 12:00 AM",KHANDWA (EAST NIMAR),369,2024-12-31,8.1,2.8017817,412,420,231,225,2.7802885,2024-01-01,30.763055555555542,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12265327135358,21.771254815571282]}"
10_0,0.8,0.073847726,3.668,0.78,16.61,0.09505909,490,27.5,200,0.21432954,0.5,12.2,0.11275909,25,0.20367046,0.1521,-1.1166620964127145,0.788,-0.0,357,356,"7/18/24, 12:00 AM",KHANDWA (EAST NIMAR),369,2024-12-31,6.8,2.8017817,412,420,231,225,2.7802885,2024-01-01,30.763055555555542,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12265327135358,21.771254815571282]}"
11_0,0.12,0.073847726,4.16,0.71,6.168,0.09505909,530,26.4,244,0.21432954,0.65,6.2,0.11275909,25,0.20367046,0.1521,-1.1166620964127145,0.788,-0.0,357,356,"7/18/24, 12:00 AM",KHANDWA (EAST NIMAR),369,2024-12-31,7,2.8017817,412,420,231,225,2.7802885,2024-01-01,30.763055555555542,Mirjapur Bhondwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12265327135358,21.771254815571282]}"
12_0,0.65,0.07887556,5.888,0.31,9.346,0.09660889,630,18.76,225,0.24012667,0.6,16.9,0.10147778,18.75,0.18699111,0.13008,4.152492742472823,0.694,-0.0,381,387,"7/23/24, 12:00 AM",KHANDWA (EAST NIMAR),366,2024-12-31,7.6,2.7926345,339,343,280,269,0.0,2024-01-01,30.684222222222225,Pikhar Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16226897538326,21.77394976142364]}"
13_0,0.6,0.09014222,1.554,0.91,11.93,0.11021778,330,27.8,225,0.24235111,0.6,9.2,0.1211,75,0.22050445,0.16358444,-1.0961566757785786,0.576,47.118416,381,388,"7/24/24, 12:00 AM",KHANDWA (EAST NIMAR),370,2024-12-31,7.2,2.7926345,342,347,277,266,1.3627273,2024-01-01,30.684222222222225,Pikhar Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16172998621278,21.77341077225317]}"
14_0,0.64,0.07517567,2.356,0.31,9.434,0.09798784,663,14.8,271,0.21027027,0.75,16.2,0.11207162,12.5,0.22352973,0.1636473,3.5771093483811387,0.718,227.11052,347,343,"7/28/24, 12:00 AM",KHANDWA (EAST NIMAR),339,2024-12-31,7.3,2.932805,338,344,316,313,1.362525,2024-01-01,30.627058823529424,Dulhar (Khandwa),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26925832572189,21.733525573638264]}"
15_0,0.81,0.07517567,1.834,0.44,7.676,0.09798784,779,16.48,244,0.21027027,0.65,9,0.11207162,31.25,0.22352973,0.1636473,3.5771093483811387,0.632,227.11052,347,343,"7/28/24, 12:00 AM",KHANDWA (EAST NIMAR),339,2024-12-31,7.7,2.932805,338,344,316,313,1.362525,2024-01-01,30.627058823529424,Dulhar (Khandwa),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26925832572189,21.733525573638264]}"
16_0,0.58,0.07517567,1.942,0.41,10.4,0.09798784,730,13.95,280,0.21027027,0.8,12.2,0.11207162,25,0.22352973,0.1636473,3.5771093483811387,0.388,227.11052,347,343,"7/28/24, 12:00 AM",KHANDWA (EAST NIMAR),339,2024-12-31,7.7,2.932805,338,344,316,313,1.362525,2024-01-01,30.627058823529424,Dulhar (Khandwa),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26925832572189,21.733525573638264]}"
17_0,0.6,0.056502298,3.57,0.72,9.458,0.07799425,628,20.96,244,0.0860908,0.65,14.8,0.05963908,12.5,0.07012644,0.045252874,-1.5316496705129794,1.078,28.298836,370,360,"8/1/24, 12:00 AM",KHANDWA (EAST NIMAR),315,2024-12-31,7.1,2.9355843,357,369,273,271,2.1058195,2024-01-01,30.6552,Abud,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30752655682538,21.77529723434982]}"
18_0,0.4,0.07265079,2.308,0.75,7.204,0.094173014,556,33.82,271,0.22257619,0.75,17.8,0.10681111,75,0.19972858,0.1463111,1.6866968469469044,0.574,180.0,359,363,"7/30/24, 12:00 AM",KHANDWA (EAST NIMAR),331,2024-12-31,7.3,2.9692576,365,360,275,277,0.92740995,2024-01-01,30.64044444444445,Abud,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27060579864806,21.769907342645105]}"
19_0,0.8,0.06897531,3.28,0.76,5.416,0.09080247,388,32.18,263,0.1683111,0.7,17,0.11621358,12.5,0.19612592,0.15267284,-0.7853136092088885,0.414,90.0,366,356,"7/30/24, 12:00 AM",KHANDWA (EAST NIMAR),332,2024-12-31,7.2,2.9692576,368,373,267,272,0.9986879,2024-01-01,30.687555555555562,Abud,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2821940658132,21.77987864229883]}"
20_0,0.8,0.06482529,1.346,0.91,22.52,0.08872414,479,23.12,263,0.20362529,0.7,18.4,0.11594138,31.25,0.24067816,0.1761092,-1.9285015919374247,0.76,287.20935,427,417,"8/1/24, 12:00 AM",KHANDWA (EAST NIMAR),373,2024-12-31,7.2,2.788838,312,322,261,261,3.1317337,2024-01-01,30.77029411764706,Badiya Kharwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.19433883102631,21.690945429171]}"
21_0,0.6,0.06968837,1.436,0.8,17.52,0.08777674,379,18.13,271,0.20020466,0.75,16.6,0.098465115,43.75,0.17904186,0.13430232,3.8715739697295652,0.702,35.66625,420,414,"8/1/24, 12:00 AM",KHANDWA (EAST NIMAR),363,2024-12-31,7.1,2.7867248,321,327,260,259,3.4208186,2024-01-01,30.71217142857144,Nihal Badi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17062330752556,21.732986584467792]}"
22_0,0.6,0.06561163,3.962,0.46,7.03,0.07667674,421,36.28,280,0.16846977,0.8,14.2,0.08260698,62.5,0.13517907,0.10431628,0.3877113684693392,0.612,-0.0,407,406,"8/1/24, 12:00 AM",KHANDWA (EAST NIMAR),361,2024-12-31,7.5,2.7867248,328,330,265,264,1.8543341,2024-01-01,30.677257142857147,Nihal Badi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17331825337793,21.730291638615434]}"
23_0,1.2,0.064323254,3.57,0.71,5.24,0.076690696,472,42.76,315,0.15724419,0.9,16.2,0.08195349,75,0.13394418,0.10420698,-0.4025549838731693,0.67,132.89015,427,417,"8/1/24, 12:00 AM",KHANDWA (EAST NIMAR),366,2024-12-31,7.5,2.7867248,324,333,249,250,1.362508,2024-01-01,30.71217142857144,Nihal Badi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16388594289467,21.730291638615434]}"
24_0,0.6,0.06872791,3.57,0.65,9.03,0.08738139,538,41.32,297,0.18851627,0.85,13.8,0.09907209,12.5,0.19323023,0.14284651,-1.095670987873128,0.582,312.89072,428,421,"8/1/24, 12:00 AM",KHANDWA (EAST NIMAR),364,2024-12-31,7.8,2.7867248,333,341,239,237,1.362494,2024-01-01,30.71217142857144,Nihal Badi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16388594289467,21.727596692763075]}"
25_0,0.6,0.06734524,0.808,0.82,6.794,0.09346667,300,46.22,225,0.21423334,0.6,7.8,0.12720238,56.25,0.23977143,0.17670476,-2.0973142255114907,0.412,180.0,440,415,"7/24/24, 12:00 AM",KHANDWA (EAST NIMAR),379,2024-12-31,7.7,2.7867248,327,349,233,236,3.7047918,2024-01-01,30.737388888888898,Nihal Badi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17277926420745,21.745922324559114]}"
