system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.01,0.05780357,0.92,0.18,5.47,0.07515953,268.7,1.72,208.5,0.22349286,0.53,13.18,0.06092619,8,0.115825,0.07151666,9.152517992247253,0.2,208.36465,307,308,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),185,2024-12-31,6.77,2.7281942,311,311,382,381,4.2085614,2024-01-01,30.634378378378383,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03102511237338,22.165794888356576]}"
1_0,0.82,0.053550616,1.12,0.17,4.78,0.07144198,238.3,1.46,225,0.18941358,0.6,11.98,0.07471482,8,0.15154074,0.10698642,3.993052097100852,0.87,47.204475,327,319,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),188,2024-12-31,6.62,2.985045,339,341,334,340,1.3649358,2024-01-01,30.634894736842103,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05501013045938,22.20082918443724]}"
2_0,0.18,0.06416582,0.15,0.59,3.54,0.08484683,241.7,1.71,272,0.20583165,0.76,20.56,0.09007848,11,0.1741152,0.12811393,3.6382192108463682,0.9,336.63354,334,324,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),186,2024-12-31,7.9,2.985045,331,337,335,340,5.0387354,2024-01-01,30.670972972972972,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05231518460702,22.20594958155672]}"
3_0,0.31,0.06977284,0.61,0.27,3.8,0.089165434,296.2,2.88,202.9,0.1963321,0.51,14.58,0.099517286,9,0.1773432,0.13978519,-1.9353538015804579,0.69,107.15088,334,324,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),189,2024-12-31,6.57,2.985045,331,337,335,340,3.142067,2024-01-01,30.670972972972972,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05285417377749,22.204871603215775]}"
4_0,0.55,0.06424304,0.22,0.21,3.7,0.08682152,190.9,1.43,225,0.22293417,0.6,11.05,0.09199873,17,0.18245949,0.12792279,-0.8366836042949451,0.9,287.15134,339,324,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),194,2024-12-31,7.44,2.9554856,318,329,342,347,3.1419876,2024-01-01,30.568222222222214,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03695399324857,22.201098679022476]}"
5_0,0.82,0.06424304,1.14,0.17,4.84,0.08682152,171.9,2.42,280,0.22293417,0.8,21.19,0.09199873,13,0.18245949,0.12792279,-0.8366836042949451,0.21,287.15134,339,324,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),194,2024-12-31,6.86,2.9554856,318,329,342,347,3.1419876,2024-01-01,30.568222222222214,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03695399324857,22.201098679022476]}"
6_0,0.22,0.06424304,1.3,0.51,3.54,0.08682152,271.4,1.65,162.8,0.22293417,0.35,16.45,0.09199873,8,0.18245949,0.12792279,-0.8366836042949451,0.18,287.15134,339,324,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),194,2024-12-31,7.72,2.9554856,318,329,342,347,3.1419876,2024-01-01,30.568222222222214,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03695399324857,22.201098679022476]}"
7_0,1.19,0.0712481,1.6,0.48,6.84,0.096546836,203.4,2.97,272,0.24759367,0.76,16.37,0.10807975,12,0.20663925,0.15241012,-1.5815892753579004,0.65,294.83896,311,305,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),178,2024-12-31,8.3,2.9554856,317,321,372,374,4.4071817,2024-01-01,30.542324324324326,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04854226041373,22.213495429943322]}"
8_0,0.93,0.0542,0.34,0.6,4.79,0.07239157,207.3,1.83,258.7,0.21300602,0.69,12.33,0.076113254,20,0.16243133,0.114103615,-1.9352615161113436,0.39,107.15168,319,321,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),194,2024-12-31,7.72,2.7665727,335,336,346,343,3.1419253,2024-01-01,30.73243243243243,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05527962504462,22.19813423858488]}"
9_0,0.85,0.0542,0.61,0.4,4.71,0.07239157,270,2.49,272,0.21300602,0.76,19.95,0.076113254,8,0.16243133,0.114103615,-1.9352615161113436,0.85,107.15168,319,321,"6/11/24, 12:00 AM",KHARGON(WEST NIMAR),194,2024-12-31,6.58,2.7665727,335,336,346,343,3.1419253,2024-01-01,30.73243243243243,Badgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05527962504462,22.19813423858488]}"
