system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.049919512,0.242,0.31,0.786,0.06857805,292,6.874,235,0.18515854,0.6,4.5,0.07979512,13.6,0.14861707,0.10817805,-1.959187945277515,0.748,73.05089,408,423,"5/6/24, 12:00 AM",MANDSAUR,485,2024-12-31,7.4,2.9269578,238,238,354,339,3.1782799,2024-01-01,30.752800000000004,Isabkhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.1411539919246,23.896489114741247]}"
1_0,0,0.1027425,3.252,0.38,0.59,0.120705,271,17.2,325,0.230075,1,8.1,0.1385175,10.2,0.2409775,0.1930275,-2.07346907846525,0.676,301.35223,430,445,"5/25/24, 12:00 AM",MANDSAUR,470,2024-12-31,7.2,2.9267888,205,206,365,349,3.56064,2024-01-01,30.6728,Sagwali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.09803485828685,23.9517355047146]}"
3_0,0,0.13843572,4.376,0.26,1.71,0.16940953,292,7.416,297,0.23315,0.85,4.5,0.19815,3.4,0.25167856,0.22813572,1.219257633197176,0.184,-0.0,399,415,"5/21/24, 12:00 AM",MANDSAUR,477,2024-12-31,7.4,2.9510694,242,243,358,342,0.92740995,2024-01-01,30.701705882352933,Jhirkan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14007601358365,23.90996384400304]}"
4_0,0,0.08127727,1.994,0.37,0.1,0.104579546,217,2.162,317,0.28513637,0.92,9,0.12244546,10.2,0.2568591,0.20445,-0.7276314300993872,0.11,180.0,351,371,"3/11/24, 12:00 AM",MANDSAUR,445,2024-12-31,7.2,2.9206927,241,242,408,387,0.92740995,2024-01-01,30.579705882352943,Gujarda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.9969743888234,24.03797377199007]}"
6_0,0,0.06636585,2.568,0.26,0.606,0.08341219,339,13.44,268,0.17284146,0.64,3.6,0.090787806,13.6,0.14970244,0.11686585,-1.8130768112235944,0.222,227.56384,397,416,"4/22/24, 12:00 AM",MANDSAUR,484,2024-12-31,7.8,2.9269578,240,239,363,345,2.7469585,2024-01-01,30.715705882352943,Pipalkhunta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.10153828789493,23.895950125570774]}"
7_0,0,0.058370586,0.792,0.34,3.094,0.07842706,292,10.62,200,0.21739882,0.5,4.5,0.08712706,3.4,0.20796235,0.15088235,-1.8137661156446825,0.774,47.576668,416,433,"6/13/24, 12:00 AM",MANDSAUR,466,2024-12-31,7.8,2.9267888,207,209,377,358,2.7476301,2024-01-01,30.6728,Behpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.09560940701974,23.953891461396484]}"
8_0,0,0.14739025,2.52,0.4,0.302,0.17187805,304,6.466,276,0.26857805,0.78,4.5,0.19475366,10.2,0.28045854,0.24747926,-2.0401653499981163,1.032,216.13571,389,403,"3/11/24, 12:00 AM",MANDSAUR,454,2024-12-31,7.6,2.9027724,242,239,369,358,3.441121,2024-01-01,30.656000000000002,Rajakhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03605110368261,24.072199584315026]}"
9_0,0,0.05220244,3.596,0.56,1.6,0.07030488,194,6.114,235,0.16821463,0.6,4.5,0.07967561,13.6,0.15793414,0.12025122,0.8827620343381829,0.908,180.0,422,439,"5/6/24, 12:00 AM",MANDSAUR,491,2024-12-31,7.4,2.8954852,214,214,365,347,0.92740995,2024-01-01,30.73100000000001,Guliyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.17780525551667,23.912119800684927]}"
10_0,0,0.1439253,1.84,0.11,1.82,0.18168433,215,2.67,264,0.35241446,0.71,5.4,0.2330759,3.4,0.3777494,0.28032288,-1.815112311060938,0.86,132.3982,398,409,"3/11/24, 12:00 AM",MANDSAUR,446,2024-12-31,7.8,2.9027724,244,244,358,347,2.7489483,2024-01-01,30.656000000000002,Nogawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03659009285307,24.06734868178078]}"
11_0,0,0.1031759,2.49,0.11,1.16,0.12783614,248,6.98,207,0.23175061,0.52,9,0.15493253,3.4,0.2572988,0.2209759,0.8835343245744216,1.47,159.94408,381,396,"3/1/24, 12:00 AM",MANDSAUR,444,2024-12-31,7.3,2.9027724,252,250,367,354,2.9594648,2024-01-01,30.656000000000002,Jawasiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03389514700072,24.069504638462668]}"
