system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.09591163,0.2,0.5,5,0.12704419,126,8,235,0.2720163,0.35,5,0.14894186,14,0.26167908,0.21229303,-1.1494903915934336,0.5,48.113636,267,278,"4/2/24, 12:00 AM",MORENA,202,2024-12-31,7,2.9736843,487,475,246,247,2.7761776,2024-01-01,30.35779487179487,Sunhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43805634188979,26.256992186822114]}"
1_0,0.5,0.09591163,0.2,0.5,5,0.12704419,125,5,245,0.2720163,0.45,9,0.14894186,10,0.26167908,0.21229303,-1.1494903915934336,0.2,48.113636,267,278,"4/2/24, 12:00 AM",MORENA,202,2024-12-31,8,2.9736843,487,475,246,247,2.7761776,2024-01-01,30.35779487179487,Sunhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43805634188979,26.256992186822114]}"
2_0,0.41,0.097364366,0.5,0.5,3,0.12295517,125,5,248,0.23896782,0.5,15,0.15135518,10,0.2522299,0.2114977,3.9994755654720393,0.8,180.0,265,274,"4/2/24, 12:00 AM",MORENA,202,2024-12-31,6,2.9736843,488,475,248,251,0.92740995,2024-01-01,30.35779487179487,Sunhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43158847184414,26.255105724725464]}"
3_0,0.5,0.097364366,0.4,0.2,8,0.12295517,125,2,225,0.23896782,0.25,24,0.15135518,5,0.2522299,0.2114977,3.9994755654720393,0.4,180.0,265,274,"4/2/24, 12:00 AM",MORENA,202,2024-12-31,5,2.9736843,488,475,248,251,0.92740995,2024-01-01,30.35779487179487,Sunhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43158847184414,26.255105724725464]}"
4_0,0.12,0.097364366,0.2,0.6,3,0.12295517,152,4,225,0.23896782,0.25,25,0.15135518,8,0.2522299,0.2114977,3.9994755654720393,0.5,180.0,265,274,"4/2/24, 12:00 AM",MORENA,202,2024-12-31,5,2.9736843,488,475,248,251,0.92740995,2024-01-01,30.35779487179487,Sunhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43158847184414,26.255105724725464]}"
6_0,0.63,0.09219651,0.15,0.6,7,0.12105349,210,13,213,0.29908487,0.15,3,0.13114767,5,0.26312906,0.20090581,-1.1500693863929077,0.5,311.87573,278,288,"3/25/24, 12:00 AM",MORENA,198,2024-12-31,7.1,2.9120107,493,482,229,230,1.3891915,2024-01-01,30.41494444444444,Kheron,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41730525882663,26.300380815045088]}"
7_0,0.52,0.07279659,0.42,0.97,12.99,0.100511365,222,9.5,305,0.3195398,0.65,36,0.11003068,6,0.255925,0.18375114,0.86362087952491,0.96,180.0,278,287,"1/6/24, 12:00 AM",MORENA,197,2024-12-31,7.28,2.9736843,494,485,228,227,0.92740995,2024-01-01,30.370888888888885,Kheron,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41676626965616,26.293912944999427]}"
8_0,0.65,0.081776746,0.21,0.56,6.3,0.11625465,246,5.8,263,0.3331372,0.36,52.5,0.1266221,12,0.25572094,0.19276744,-0.7459354532503893,0.63,-0.0,275,284,"1/6/24, 12:00 AM",MORENA,198,2024-12-31,7.42,2.9120107,488,477,237,239,0.92740995,2024-01-01,30.41494444444444,Kheron,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41865273175281,26.306309695920277]}"
9_0,0.25,0.07723107,0.25,0.75,1,0.10084803,205,14,225.2,0.28531525,0.25,13,0.09200396,15,0.23062372,0.14835085,-1.7515667829833392,0.2,204.02011,285,292,"3/19/24, 12:00 AM",MORENA,196,2024-12-31,6.21,2.8762295,441,440,274,269,5.063894,2024-01-01,30.397405405405415,Bamsoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47551608923759,26.159974136137205]}"
10_0,0.26,0.07723107,0.42,0.6,5,0.10084803,195,12,265.5,0.28531525,0.65,52,0.09200396,25,0.23062372,0.14835085,-1.7515667829833392,0.66,204.02011,285,292,"3/19/24, 12:00 AM",MORENA,196,2024-12-31,5.29,2.8762295,441,440,274,269,5.063894,2024-01-01,30.397405405405415,Bamsoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47551608923759,26.159974136137205]}"
