system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.8,0.07466137,0.24,0.22,6.25,0.099152274,290.1,1.19,180,0.31164205,0.44,16.8,0.09358409,11,0.22344886,0.14477386,-1.1047577499619277,0.5,132.72014,354,359,"7/5/24, 12:00 AM",NARMADAPURAM,296,2024-12-31,7.3,3.9352767,233,238,412,403,1.3668787,2024-01-01,30.289714285714282,Khapariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48387042137989,22.56815030411371]}"
1_0,0.77,0.07466137,0.35,0.13,6.11,0.099152274,298.4,2.11,143,0.31164205,0.35,15.7,0.09358409,9,0.22344886,0.14477386,-1.1047577499619277,0.48,132.72014,354,359,"7/6/24, 12:00 AM",NARMADAPURAM,296,2024-12-31,7.38,3.9352767,233,238,412,403,1.3668787,2024-01-01,30.289714285714282,Khapariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48387042137989,22.56815030411371]}"
2_0,0.77,0.063599996,0.28,0.24,4.9,0.085190244,323.2,1.89,180,0.24479511,0.4,17.77,0.0870561,9,0.21005122,0.1431317,-1.4100912088326212,0.46,180.0,375,384,"7/1/24, 12:00 AM",NARMADAPURAM,318,2024-12-31,7.5,4.0109563,233,233,392,383,1.8543341,2024-01-01,30.482157894736844,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53480489798947,22.59348279512588]}"
3_0,0.89,0.09878334,0.28,0.18,4.5,0.12217381,233.2,2.33,143,0.23933333,0.37,20,0.15192142,13,0.30608097,0.26627618,-0.796843909177847,0.38,90.0,378,382,"7/3/24, 12:00 AM",NARMADAPURAM,313,2024-12-31,7.8,4.0109563,231,232,391,386,1.0045116,2024-01-01,30.452368421052633,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52186915789815,22.596986224733946]}"
4_0,0.6,0.07315952,0.25,0.18,5.13,0.09718333,313.2,1.89,143,0.24273571,0.36,16.11,0.110452384,12,0.2339119,0.17064285,-0.006523025861767978,0.45,132.71323,376,380,"7/2/24, 12:00 AM",NARMADAPURAM,311,2024-12-31,7.46,4.0969234,235,238,389,382,2.7325597,2024-01-01,30.494578947368417,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53318793047805,22.60129813809772]}"
5_0,0.8,0.07535465,0.28,0.17,6.88,0.09547325,315.6,2.9,180,0.26929417,0.41,13.77,0.09726628,14,0.21846977,0.1524093,-1.5864156694753746,0.6,114.780754,370,378,"7/3/24, 12:00 AM",NARMADAPURAM,313,2024-12-31,7.66,4.0109563,231,230,399,392,2.2117062,2024-01-01,30.45631578947369,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52348612540956,22.58431997922786]}"
6_0,0.66,0.063599996,0.38,0.3,5.7,0.085190244,325.6,2.1,180,0.24479511,0.44,16.86,0.0870561,14,0.21005122,0.1431317,-1.4100912088326212,0.38,180.0,375,384,"7/2/24, 12:00 AM",NARMADAPURAM,318,2024-12-31,7.38,4.0109563,233,233,392,383,1.8543341,2024-01-01,30.482157894736844,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53480489798947,22.59348279512588]}"
7_0,0.85,0.06767805,0.32,0.78,5.78,0.08980732,311.1,0.88,178,0.2509122,0.44,13.22,0.10124634,13,0.23598537,0.17275853,2.7604254817756892,0.27,-0.0,375,379,"6/24/24, 12:00 AM",NARMADAPURAM,315,2024-12-31,7.69,4.0109563,226,231,399,390,0.0,2024-01-01,30.47405263157895,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53534388715994,22.598603192245363]}"
8_0,0.5,0.0736122,0.16,0.22,5.12,0.09729024,337.3,0.46,180,0.23129024,0.42,16.78,0.13277805,14,0.34771463,0.27408537,-1.586684193461948,0.42,294.7775,393,401,"6/25/24, 12:00 AM",NARMADAPURAM,325,2024-12-31,7.88,4.0969234,223,224,383,376,2.2119782,2024-01-01,30.526432432432433,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54073377886466,22.605071062291024]}"
9_0,0.88,0.07402683,0.22,0.24,5.11,0.10052683,327.8,0.66,210,0.25807562,0.5,14.5,0.114487804,12,0.2475634,0.17791463,-0.41186150378661107,0.32,132.71541,360,376,"6/27/24, 12:00 AM",NARMADAPURAM,317,2024-12-31,7.7,4.0109563,235,232,405,391,1.3670006,2024-01-01,30.45631578947369,Choutlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5321099521371,22.59078784927352]}"
10_0,0.8,0.14693555,0.34,0.36,4.6,0.15721111,271.4,1.11,210,0.21227555,0.22,17.78,0.16879556,11,0.2362689,0.20930667,-0.7948709020317501,0.38,270.0,384,399,"6/22/24, 12:00 AM",NARMADAPURAM,318,2024-12-31,7.6,3.887194,218,217,399,383,1.0035124,2024-01-01,30.402277777777783,Pipaliya Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47821103508994,22.45954398626366]}"
12_0,0.4,0.08630465,0.32,0.1,4.61,0.112467445,339.52,2.14,180,0.26963723,0.435,14.48,0.12738372,10,0.26984185,0.19816047,-0.0740110532687628,0.68,124.73797,465,476,"6/12/24, 12:00 AM",NARMADAPURAM,366,2024-12-31,7.02,4.0996046,217,213,318,311,4.871266,2024-01-01,30.494666666666674,Kala Akhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.82343359877707,22.39917719917083]}"
13_0,0.28,0.09087273,0.4,0.28,4.4,0.11381591,299.55,2.4,180,0.26668635,0.435,12.35,0.12979546,14,0.29359773,0.22161591,-1.893528992144325,0.4,90.0,467,474,"6/7/24, 12:00 AM",NARMADAPURAM,380,2024-12-31,7.62,4.3065104,203,200,331,326,3.0081503,2024-01-01,30.43633333333333,Saheli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83771681179456,22.46277792128649]}"
14_0,0.6,0.089893185,0.3,0.32,5.44,0.11133182,319.72,2.44,200,0.24523637,0.495,14.48,0.12674999,10,0.23889546,0.17217727,-1.3614567831471664,0.58,58.36626,474,481,"6/11/24, 12:00 AM",NARMADAPURAM,374,2024-12-31,7.46,4.3065104,201,204,324,315,3.5322704,2024-01-01,30.477222222222224,Kesla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83825580096504,22.478408607230172]}"
15_0,0.6,0.077502385,0.5,0.19,7.6,0.09764762,321.07,4.2,180,0.27505714,0.435,13.63,0.09723333,8,0.24636905,0.16700476,-0.794745084428981,0.58,90.0,451,459,"6/11/24, 12:00 AM",NARMADAPURAM,393,2024-12-31,7.14,4.3065104,204,201,345,340,2.006281,2024-01-01,30.42894444444444,Kesla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83583034969791,22.450650664950878]}"
16_0,0.4,0.071604446,0.6,0.26,5.02,0.089835554,281.13,2,180,0.2539111,0.465,19.59,0.08942889,12,0.24625333,0.16369334,7.174169304566286,0.42,294.79892,482,486,"6/11/24, 12:00 AM",NARMADAPURAM,370,2024-12-31,7.46,4.3065104,201,203,317,312,2.2101908,2024-01-01,30.45833333333334,Kesla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8379863063798,22.46951528591739]}"
17_0,0.84,0.071604446,0.36,0.28,5.28,0.089835554,334.68,3,235,0.2539111,0.585,13.2,0.08942889,12,0.24625333,0.16369334,7.174169304566286,0.48,294.79892,482,486,"6/11/24, 12:00 AM",NARMADAPURAM,370,2024-12-31,7.34,4.3065104,201,203,317,312,2.2101908,2024-01-01,30.45833333333334,Kesla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8379863063798,22.46951528591739]}"
18_0,0.26,0.089893185,0.34,0.23,4.88,0.11133182,292.61,2.82,200,0.24523637,0.495,12.35,0.12674999,11,0.23889546,0.17217727,-1.3614567831471664,0.58,58.36626,474,481,"6/11/24, 12:00 AM",NARMADAPURAM,374,2024-12-31,6,4.3065104,201,204,324,315,3.5322704,2024-01-01,30.477222222222224,Kesla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83825580096504,22.478408607230172]}"
19_0,0.52,0.083935,0.48,0.28,5,0.104940005,331.42,4.24,263,0.26155502,0.72,13.63,0.112345,22,0.28766,0.2085,-1.5368620988998445,0.92,331.59784,468,483,"6/29/24, 12:00 AM",NARMADAPURAM,383,2024-12-31,7.4,4.0996046,209,203,323,314,4.2100444,2024-01-01,30.5175,Chartekra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.81507926663475,22.384624491568093]}"
20_0,0.64,0.06885714,0.34,0.31,4.24,0.087957144,299.1,2.82,235,0.22403571,0.615,11.92,0.091947615,12,0.26626906,0.18279524,0.5062427427836232,0.81,227.25027,473,488,"6/24/24, 12:00 AM",NARMADAPURAM,383,2024-12-31,7.64,4.140155,206,199,321,313,2.730679,2024-01-01,30.469485714285714,Chhitapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83933377930599,22.424779184768234]}"
21_0,0.46,0.108902276,0.24,0.4,4.72,0.12265,344.26,2.74,200,0.26252046,0.51,20.49,0.13689318,19,0.25594774,0.18905,-1.7957465000873218,0.8,312.76056,431,428,"6/24/24, 12:00 AM",NARMADAPURAM,402,2024-12-31,7.63,4.0684137,192,194,377,378,2.730121,2024-01-01,30.467243243243242,Chhitapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73315291272306,22.371958246062007]}"
22_0,0.48,0.064670734,0.52,0.24,4.44,0.091309756,339.52,2.42,180,0.2662073,0.45,20.02,0.09255366,13,0.20981464,0.13924634,-0.006744739198248592,0.62,47.29139,400,408,"6/7/24, 12:00 AM",NARMADAPURAM,321,2024-12-31,7.71,4.439922,230,232,370,360,2.7327976,2024-01-01,30.290000000000003,Silari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88730381547796,22.623666188672296]}"
23_0,0.4,0.058830768,0.22,0.22,4.8,0.08425641,321.97,2.52,200,0.28511027,0.525,12.78,0.08245641,13,0.21389744,0.14611538,-0.7970964151960217,0.45,270.0,401,409,"6/5/24, 12:00 AM",NARMADAPURAM,323,2024-12-31,7.64,4.439922,231,233,368,358,1.0046393,2024-01-01,30.285828571428574,Chitlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87814099957995,22.614503372774276]}"
24_0,0.4,0.058189742,0.46,0.42,4.6,0.08351795,297.45,2.48,180,0.29288974,0.435,19.59,0.082794875,9,0.21887179,0.15247692,5.984113552673334,0.61,238.39143,401,409,"6/5/24, 12:00 AM",NARMADAPURAM,321,2024-12-31,7.82,4.439922,231,233,368,358,3.534786,2024-01-01,30.285828571428574,Chitlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87787150499472,22.614233878189044]}"
25_0,0.64,0.057848718,0.22,0.24,5.04,0.083069235,302.85,2.2,180,0.2835487,0.435,20.44,0.08076154,9,0.21329488,0.14696154,6.453595389596286,0.61,245.224,403,411,"6/5/24, 12:00 AM",NARMADAPURAM,321,2024-12-31,7.76,4.439922,229,231,367,357,2.2121031,2024-01-01,30.285828571428574,Chitlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87760201040948,22.614503372774276]}"
26_0,0.44,0.058189742,0.42,0.18,4.86,0.08351795,319.72,2.3,180,0.29288974,0.39,18.74,0.082794875,8,0.21887179,0.15247692,5.984113552673334,0.68,238.39143,401,409,"6/5/24, 12:00 AM",NARMADAPURAM,321,2024-12-31,7.82,4.439922,231,233,368,358,3.534786,2024-01-01,30.285828571428574,Chitlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87787150499472,22.614233878189044]}"
27_0,0.62,0.062365,0.32,0.36,4.6,0.0868425,301.05,2.8,200,0.264635,0.54,19.59,0.0874225,10,0.2009175,0.1327075,2.06712651183312,0.54,-0.0,407,416,"6/5/24, 12:00 AM",NARMADAPURAM,327,2024-12-31,7.88,4.439922,224,228,368,357,0.0,2024-01-01,30.290000000000003,Chitlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88919027757461,22.619084780723288]}"
28_0,0.38,0.0545125,0.54,0.4,4.82,0.0784,295.76,2.22,180,0.2853975,0.435,14.48,0.0737675,8,0.200085,0.1242075,5.822495044025468,0.6,180.0,402,410,"5/29/24, 12:00 AM",NARMADAPURAM,319,2024-12-31,7.28,4.439922,225,228,372,362,0.92740995,2024-01-01,30.290411764705883,Damdam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8581984002725,22.620971242819937]}"
29_0,0.6,0.062235,0.2,0.24,2.8,0.0838875,297.11,3.16,180,0.264195,0.435,16.18,0.078065,9,0.18107,0.11844,-1.491034765944227,0.5,90.0,389,393,"5/30/24, 12:00 AM",NARMADAPURAM,317,2024-12-31,7.8,4.3164916,229,234,383,373,2.009461,2024-01-01,30.306882352941184,Raisalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77034316548561,22.669210773577156]}"
30_0,0.6,0.0638075,0.2,0.24,2.8,0.0867425,297.11,3.16,180,0.27326,0.435,16.18,0.080675,9,0.1970775,0.12838,5.386183124986925,0.5,180.0,389,393,"5/30/24, 12:00 AM",NARMADAPURAM,315,2024-12-31,7.8,4.3164916,229,234,383,373,4.6273675,2024-01-01,30.306882352941184,Raisalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77034316548561,22.668671784406683]}"
31_0,0.3,0.0600375,0.54,0.31,4.66,0.0822775,308.7,3.2,143,0.2730925,0.39,19.59,0.0735825,8,0.193955,0.119695,-1.1058729630532749,0.48,47.30086,395,405,"5/30/24, 12:00 AM",NARMADAPURAM,315,2024-12-31,7.42,4.3164916,230,233,375,362,2.7332866,2024-01-01,30.306882352941184,Raisalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77411608967891,22.669210773577156]}"
32_0,0.48,0.075458534,0.44,0.22,4.52,0.09246829,311.4,2.8,180,0.25238538,0.465,10.22,0.09270488,14,0.27502683,0.18411219,-0.18690533283389285,0.64,47.250507,478,494,"6/20/24, 12:00 AM",NARMADAPURAM,396,2024-12-31,7.92,4.140155,205,199,317,308,2.7306907,2024-01-01,30.43777777777778,Kasda Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83609984428315,22.42585716310918]}"
33_0,0.6,0.10713334,0.22,0.28,4.72,0.14158095,274.27,2.84,200,0.2716024,0.51,15.33,0.17231667,8,0.41116667,0.3223738,-2.467867637075372,0.57,110.29223,457,466,"6/20/24, 12:00 AM",NARMADAPURAM,384,2024-12-31,7.86,4.140155,215,211,328,323,5.333265,2024-01-01,30.469485714285714,Kasda Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8379863063798,22.42316221725682]}"
34_0,0.41,0.075625,0.4,0.24,4.52,0.09485455,249.52,2.78,143,0.2538432,0.36,20.87,0.10348182,20,0.23504318,0.16498409,2.2860894878790696,0.5,114.79642,449,460,"6/11/24, 12:00 AM",NARMADAPURAM,386,2024-12-31,7.04,4.3065104,201,199,351,341,2.2103987,2024-01-01,30.446222222222225,Taku,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8191216854133,22.485145971861066]}"
35_0,0.54,0.08067907,0.32,0.3,4.64,0.09995349,274.27,3.18,200,0.24228604,0.57,11.92,0.11682558,15,0.27910697,0.2068093,-1.9390985790513722,0.58,252.88097,460,473,"6/11/24, 12:00 AM",NARMADAPURAM,398,2024-12-31,7.61,4.3065104,209,206,330,321,3.1477265,2024-01-01,30.43935135135135,Taku,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.82154713668042,22.48029506932682]}"
36_0,0.62,0.075625,0.26,0.14,4.74,0.09485455,319.95,3.86,180,0.2538432,0.45,14.48,0.10348182,12,0.23504318,0.16498409,2.2860894878790696,0.62,114.79642,449,460,"6/11/24, 12:00 AM",NARMADAPURAM,386,2024-12-31,7.81,4.3065104,201,199,351,341,2.2103987,2024-01-01,30.446222222222225,Taku,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8191216854133,22.485145971861066]}"
37_0,0.74,0.09847778,0.26,0.31,4.72,0.121139996,333.11,2.8,180,0.25495777,0.42,14.05,0.13933334,12,0.23403777,0.16975555,-0.7951548654498262,0.36,90.0,472,481,"6/11/24, 12:00 AM",NARMADAPURAM,384,2024-12-31,7.52,4.3065104,209,210,319,308,1.0036552,2024-01-01,30.452444444444446,Taku,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83017096340797,22.479217090985877]}"
38_0,0.65,0.058424998,0.5,0.2,4.7,0.0817025,316.23,2.4,180,0.2871325,0.435,14.48,0.073495,12,0.21132,0.12981,4.369635465761364,0.48,-0.0,405,412,"5/29/24, 12:00 AM",NARMADAPURAM,323,2024-12-31,7.32,4.439922,224,226,371,361,0.0,2024-01-01,30.31364705882353,Gurra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.86601374324434,22.630403553303193]}"
39_0,0.7,0.062163416,0.3,0.24,5.12,0.08818536,277.65,2.4,180,0.29522926,0.405,20.44,0.088146344,10,0.21504146,0.13919269,1.197145744426917,0.5,227.29266,405,412,"5/29/24, 12:00 AM",NARMADAPURAM,321,2024-12-31,7.23,4.439922,224,226,371,361,1.3672092,2024-01-01,30.31364705882353,Gurra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.86601374324434,22.629595069547484]}"
40_0,0.54,0.093275554,0.26,0.32,4.56,0.11204667,327.82,2.62,180,0.20761555,0.39,15.33,0.12949556,14,0.22532445,0.19195555,-1.8308392677187078,0.38,169.77455,449,459,"6/12/24, 12:00 AM",NARMADAPURAM,376,2024-12-31,7.81,4.3065104,206,204,344,338,5.6365075,2024-01-01,30.466888888888896,Dhansai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83448287677174,22.491074852736254]}"
41_0,0.6,0.08086506,0.42,0.14,4.7,0.10153133,297,2.4,180,0.2461253,0.39,8.37,0.10804578,14,0.22066747,0.16393012,-1.1049026463345668,0.82,312.71738,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,320,2024-12-31,7.18,4.2248917,233,233,363,348,1.36695,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72129515097268,22.581355538790266]}"
42_0,0.6,0.08208554,0.4,0.24,4.6,0.10457229,319.72,3,180,0.2787687,0.39,19.59,0.10568915,15,0.23026747,0.16415301,5.231736904082868,0.48,90.0,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,320,2024-12-31,7.63,4.2248917,233,233,363,348,1.0043981,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72102565638744,22.581355538790266]}"
43_0,0.48,0.07452048,0.56,0.12,4.6,0.09230843,330.97,4.2,143,0.22142169,0.36,17.89,0.09725662,10,0.20117952,0.14471567,8.09334375078921,0.58,-0.0,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,320,2024-12-31,7.02,4.2248917,233,233,363,348,0.0,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72129515097268,22.581086044205033]}"
44_0,0.6,0.08086506,0.2,0.24,5.06,0.10153133,294.52,2.48,200,0.2461253,0.48,11.5,0.10804578,12,0.22066747,0.16393012,-1.1049026463345668,0.64,312.71738,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,320,2024-12-31,7.02,4.2248917,233,233,363,348,1.36695,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72129515097268,22.581355538790266]}"
45_0,0.52,0.07452048,0.28,0.24,4.66,0.09230843,323.05,2.36,200,0.22142169,0.495,20.87,0.09725662,13,0.20117952,0.14471567,8.09334375078921,0.64,-0.0,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,320,2024-12-31,7.53,4.2248917,233,233,363,348,0.0,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72129515097268,22.581086044205033]}"
46_0,0.62,0.07794699,0.8,0.24,4.36,0.099977106,276.73,2,143,0.2627217,0.285,19.59,0.10062771,12,0.22011085,0.1573265,-1.1049037804711945,0.46,312.71732,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,319,2024-12-31,7.42,4.2248917,233,233,363,348,1.3669516,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72129515097268,22.581625033375502]}"
47_0,0.52,0.07452048,0.22,0.16,4.82,0.09230843,319.72,3.16,200,0.22142169,0.555,19.59,0.09725662,8,0.20117952,0.14471567,8.09334375078921,0.6,-0.0,404,419,"5/28/24, 12:00 AM",NARMADAPURAM,320,2024-12-31,7.12,4.2248917,233,233,363,348,0.0,2024-01-01,30.29182857142857,Bhatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72129515097268,22.581086044205033]}"
48_0,0.71,0.07110244,0.3,0.31,5,0.09657805,280.46,2.46,180,0.30005366,0.42,18.31,0.09045366,8,0.19418536,0.12396098,-1.1055439583900304,0.46,132.70538,406,418,"5/31/24, 12:00 AM",NARMADAPURAM,325,2024-12-31,7.64,4.3099284,218,217,375,365,1.3672599,2024-01-01,30.29351515151516,Tara Roda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.81184533161193,22.639296874615976]}"
