system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0,0.09206667,0.312,0.724,8.13,0.12339762,244,6.78,0,0.27792737,0.58,0,0.14263691,0,0.29425475,0.22925358,-1.8370952977386181,0.372,180.0,229,254,"6/20/24, 12:00 AM",NIWARI,224,2024-12-31,6.8,3.2413397,464,450,307,296,5.547545,2024-01-01,30.4345,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88632024294729,25.41050969459629]}"
3_0,0,0.09206667,0.244,0.83,5.1,0.12339762,266,8.51,0,0.27792737,0.58,0,0.14263691,0,0.29425475,0.22925358,-1.8370952977386181,0.621,180.0,229,254,"6/20/24, 12:00 AM",NIWARI,224,2024-12-31,7.5,3.2413397,464,450,307,296,5.547545,2024-01-01,30.4345,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88632024294729,25.41050969459629]}"
4_0,0,0.08253023,0.372,0.642,7.52,0.11310581,255,7.66,0,0.27617326,0.58,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.712,259.76437,234,262,"6/19/24, 12:00 AM",NIWARI,211,2024-12-31,6.9,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
5_0,0,0.08253023,0.58,0.721,6.75,0.11310581,227,7.5,0,0.27617326,0.58,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.642,259.76437,234,262,"6/19/24, 12:00 AM",NIWARI,211,2024-12-31,7.2,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
6_0,0,0.07971294,0.372,0.914,7.53,0.10885647,207,11.42,0,0.26787528,0.19,0,0.12341177,0,0.28714824,0.21482235,-1.832375307877307,0.754,227.92316,234,262,"7/16/24, 12:00 AM",NIWARI,212,2024-12-31,6.7,3.2165146,476,455,289,283,5.5190787,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.466564568325346]}"
7_0,0,0.098161906,0.149,0.285,8.39,0.12827738,245,6.44,0,0.26799047,0.39,0,0.16455714,0,0.37327975,0.30464643,-1.8375584694542606,0.924,180.0,227,254,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,6.7,3.2165146,466,447,307,299,5.547545,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87580995412308,25.467912041251527]}"
8_0,0,0.08253023,0.342,0.372,8.78,0.11310581,224,10.72,0,0.27617326,0.19,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.627,259.76437,234,262,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,6.8,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
9_0,0,0.098161906,0.158,0.523,6.14,0.12827738,228,7.52,0,0.26799047,0.39,0,0.16455714,0,0.37327975,0.30464643,-1.8375584694542606,0.813,180.0,227,254,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,6.6,3.2165146,466,447,307,299,5.547545,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87580995412308,25.467912041251527]}"
10_0,0,0.098161906,0.317,0.651,7.52,0.12827738,217,8.45,0,0.26799047,0.58,0,0.16455714,0,0.37327975,0.30464643,-1.8375584694542606,0.724,180.0,227,254,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,6.7,3.2165146,466,447,307,299,5.547545,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87580995412308,25.467912041251527]}"
11_0,0,0.16280116,0.21,0.652,8.92,0.19682674,447,6.49,0,0.2867558,0.39,0,0.2347407,0,0.3588965,0.3464,-1.139238416921931,0.715,132.07664,214,235,"7/16/24, 12:00 AM",NIWARI,218,2024-12-31,6.9,3.2165146,483,472,303,293,2.765966,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87877439456068,25.467373052081054]}"
12_0,0,0.16280116,0.217,0.731,8.46,0.19682674,274,10.7,0,0.2867558,0.19,0,0.2347407,0,0.3588965,0.3464,-1.139238416921931,0.619,132.07664,214,235,"7/16/24, 12:00 AM",NIWARI,218,2024-12-31,6.7,3.2165146,483,472,303,293,2.765966,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87877439456068,25.467373052081054]}"
13_0,0,0.16280116,0.618,0.352,8.1,0.19682674,441,8.37,0,0.2867558,0.58,0,0.2347407,0,0.3588965,0.3464,-1.139238416921931,0.615,132.07664,214,235,"7/16/24, 12:00 AM",NIWARI,218,2024-12-31,6.9,3.2165146,483,472,303,293,2.765966,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87877439456068,25.467373052081054]}"
14_0,0,0.10938735,0.24,0.418,6.4,0.14648046,412,7.47,0,0.28612873,0.78,0,0.18964139,0,0.3497345,0.2864276,0.40468984712907397,0.724,339.79538,241,269,"7/18/24, 12:00 AM",NIWARI,326,2024-12-31,7.2,3.555777,339,326,420,404,2.9622765,2024-01-01,30.359621621621624,Luharguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.075797419733355]}"
15_0,0,0.10596437,0.417,0.12,7.14,0.13607126,264,10.24,0,0.25247473,0.19,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.275,-0.0,241,269,"7/18/24, 12:00 AM",NIWARI,328,2024-12-31,7.1,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Luharguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
16_0,0,0.08323529,0.421,0.719,7.35,0.11661883,275,7.32,0,0.28816,0.58,0,0.14123411,0,0.3100859,0.24002706,4.682772707954821,0.582,312.16864,241,269,"7/18/24, 12:00 AM",NIWARI,328,2024-12-31,6.6,3.555777,339,326,420,404,1.3813356,2024-01-01,30.359621621621624,Luharguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8337687988263,25.075797419733355]}"
18_0,0,0.13119113,0.365,0.272,10.62,0.16518629,218,8.57,0,0.29102662,0.39,0,0.2076008,0,0.3782758,0.31991532,-2.783844862408973,0.367,58.902943,195,209,"7/18/24, 12:00 AM",NIWARI,278,2024-12-31,6.8,3.2800307,429,423,376,368,7.145759,2024-01-01,30.42974358974359,Luharguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77771392509725,25.21000572318081]}"
21_0,0,0.093932144,0.612,0.267,6.72,0.1309369,195,8.14,0,0.2819155,0.19,0,0.18231072,0,0.3882143,0.32031548,-1.9784616783083326,0.421,73.21235,248,279,"7/26/24, 12:00 AM",NIWARI,303,2024-12-31,6.9,3.433324,410,392,342,329,3.2078948,2024-01-01,30.397317073170736,Bhopalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72112006219771,25.170390019151142]}"
24_0,0,0.11992093,0.371,0.724,8.42,0.16685465,249,7.36,0,0.32044768,0.19,0,0.22831047,0,0.37603605,0.30726975,0.1438064657261363,0.724,15.430307,241,269,"7/26/24, 12:00 AM",NIWARI,326,2024-12-31,7.1,3.555777,339,326,420,404,3.8429177,2024-01-01,30.359621621621624,Koti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8329603150706,25.075797419733355]}"
25_0,0,0.11992093,0.517,0.724,8.13,0.16685465,396,8.46,0,0.32044768,0.19,0,0.22831047,0,0.37603605,0.30726975,0.1438064657261363,0.617,15.430307,241,269,"7/23/24, 12:00 AM",NIWARI,326,2024-12-31,7.4,3.555777,339,326,420,404,3.8429177,2024-01-01,30.359621621621624,Koti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8329603150706,25.075797419733355]}"
26_0,0,0.0873462,0.417,0.317,7.42,0.11772469,198,6.19,0,0.27581266,0.58,0,0.14711772,0,0.33556455,0.2710886,-0.7840088282588077,0.619,241.50812,207,210,"7/26/24, 12:00 AM",NIWARI,273,2024-12-31,6.9,3.2800307,414,411,379,379,5.8128314,2024-01-01,30.45644444444445,Khiston,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.79496157855233,25.22779236580638]}"
30_0,0,0.10596437,0.346,0.248,8.4,0.13607126,264,9.34,0,0.25247473,0.39,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.751,-0.0,241,269,"7/26/24, 12:00 AM",NIWARI,328,2024-12-31,6.7,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
31_0,0,0.10596437,0.644,0.241,8.36,0.13607126,265,8.36,0,0.25247473,0.39,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.714,-0.0,241,269,"7/26/24, 12:00 AM",NIWARI,328,2024-12-31,7.2,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
32_0,0,0.10596437,0.314,0.421,7.42,0.13607126,257,7.36,0,0.25247473,0.58,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.75,-0.0,241,269,"7/26/24, 12:00 AM",NIWARI,328,2024-12-31,7.3,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
33_0,0,0.10596437,0.217,0.54,8.74,0.13607126,190,6.88,0,0.25247473,0.19,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.54,-0.0,241,269,"7/26/24, 12:00 AM",NIWARI,328,2024-12-31,6.8,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
36_0,0,0.10596437,0.451,0.643,6.94,0.13607126,228,7.26,0,0.25247473,0.78,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.715,-0.0,241,269,"7/23/24, 12:00 AM",NIWARI,328,2024-12-31,6.7,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
37_0,0,0.10938735,0.32,0.424,7.43,0.14648046,372,11.42,0,0.28612873,0.78,0,0.18964139,0,0.3497345,0.2864276,0.40468984712907397,1.256,339.79538,241,269,"7/23/24, 12:00 AM",NIWARI,326,2024-12-31,7.4,3.555777,339,326,420,404,2.9622765,2024-01-01,30.359621621621624,Majal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.075797419733355]}"
38_0,0,0.08253023,0.212,0.742,6.76,0.11310581,246,8.72,0,0.27617326,0.39,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.634,259.76437,234,262,"6/19/24, 12:00 AM",NIWARI,211,2024-12-31,7.4,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
39_0,0,0.08253023,0.383,0.615,8.27,0.11310581,396,5.92,0,0.27617326,0.58,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.692,259.76437,234,262,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,7.4,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
40_0,0,0.08253023,0.217,0.428,6.96,0.11310581,377,7.92,0,0.27617326,0.58,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.725,259.76437,234,262,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,6.9,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
41_0,0,0.07971294,0.317,0.372,9.14,0.10885647,315,7.15,0,0.26787528,0.58,0,0.12341177,0,0.28714824,0.21482235,-1.832375307877307,0.854,227.92316,234,262,"7/16/24, 12:00 AM",NIWARI,212,2024-12-31,6.9,3.2165146,476,455,289,283,5.5190787,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.466564568325346]}"
42_0,0,0.09206667,0.215,0.619,7.44,0.12339762,395,7.45,0,0.27792737,0.19,0,0.14263691,0,0.29425475,0.22925358,-1.8370952977386181,0.542,180.0,229,254,"7/16/24, 12:00 AM",NIWARI,224,2024-12-31,6.8,3.2413397,464,450,307,296,5.547545,2024-01-01,30.4345,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88632024294729,25.41050969459629]}"
43_0,0,0.16280116,0.289,0.734,6.19,0.19682674,245,3.72,0,0.2867558,0.58,0,0.2347407,0,0.3588965,0.3464,-1.139238416921931,0.61,132.07664,214,235,"7/16/24, 12:00 AM",NIWARI,218,2024-12-31,7.4,3.2165146,483,472,303,293,2.765966,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87877439456068,25.467373052081054]}"
44_0,0,0.16280116,0.217,0.62,8.46,0.19682674,225,8.43,0,0.2867558,0.39,0,0.2347407,0,0.3588965,0.3464,-1.139238416921931,0.56,132.07664,214,235,"7/16/24, 12:00 AM",NIWARI,218,2024-12-31,6.7,3.2165146,483,472,303,293,2.765966,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87877439456068,25.467373052081054]}"
47_0,0,0.09362561,0.512,0.724,7.56,0.12643048,252,6.82,0,0.2906878,0.39,0,0.16176708,0,0.35071462,0.2795512,-0.8364277195006868,0.452,90.0,252,279,"7/26/24, 12:00 AM",NIWARI,307,2024-12-31,6.8,3.433324,361,349,387,372,1.0247585,2024-01-01,30.394299999999998,Bhopalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72273702970912,25.178474856708217]}"
48_0,0,0.093932144,0.712,0.735,7.35,0.1309369,315,6.14,0,0.2819155,0.39,0,0.18231072,0,0.3882143,0.32031548,-1.9784616783083326,0.517,73.21235,248,279,"7/26/24, 12:00 AM",NIWARI,303,2024-12-31,7.2,3.433324,410,392,342,329,3.2078948,2024-01-01,30.397317073170736,Bhopalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72112006219771,25.170390019151142]}"
49_0,0,0.07086125,0.612,0.367,8.32,0.09340063,205,6.45,0,0.26635188,0.19,0,0.10700688,0,0.29149687,0.21619438,-1.4301566177961813,0.978,180.0,200,208,"7/26/24, 12:00 AM",NIWARI,277,2024-12-31,6.9,3.2800307,424,417,376,375,1.8543341,2024-01-01,30.45644444444445,Khiston,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.79523107313757,25.229948322488266]}"
50_0,0,0.06717516,0.418,0.451,6.19,0.102665216,208,8.36,0,0.30550125,0.58,0,0.137,0,0.32183355,0.24619752,-2.7454895310874883,0.452,216.38531,212,220,"7/29/24, 12:00 AM",NIWARI,286,2024-12-31,7.3,3.2376351,399,393,389,388,6.879333,2024-01-01,30.465777777777777,Khiston,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.80089045942752,25.212970163618404]}"
52_0,0,0.12218306,0.344,0.62,6.13,0.1551629,200,10.96,0,0.26197258,0.39,0,0.19910403,0,0.3723129,0.3210903,-2.052312125685933,0.518,36.38463,195,209,"7/23/24, 12:00 AM",NIWARI,275,2024-12-31,7.4,3.2800307,429,423,376,368,6.8792725,2024-01-01,30.42974358974359,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77798341968247,25.21000572318081]}"
56_0,0,0.08016823,0.241,0.654,6.15,0.11342706,181,7.15,0,0.2927706,0.19,0,0.13564706,0,0.28401175,0.21170823,3.497453751833126,0.646,151.10004,247,274,"7/25/24, 12:00 AM",NIWARI,326,2024-12-31,6.9,3.555777,330,319,423,406,4.2300053,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83538576633771,25.07552792514812]}"
57_0,0,0.08016823,0,0.711,7.45,0.11342706,228,9.53,0,0.2927706,0.58,0,0.13564706,0,0.28401175,0.21170823,3.497453751833126,0.81,151.10004,247,274,"7/26/24, 12:00 AM",NIWARI,326,2024-12-31,7.3,3.555777,330,319,423,406,4.2300053,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83538576633771,25.07552792514812]}"
58_0,0,0.11992093,0.241,0.619,9.35,0.16685465,208,8.52,0,0.32044768,0.97,0,0.22831047,0,0.37603605,0.30726975,0.1438064657261363,0.51,15.430307,241,269,"7/26/24, 12:00 AM",NIWARI,326,2024-12-31,7.5,3.555777,339,326,420,404,3.8429177,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8329603150706,25.075797419733355]}"
59_0,0,0.10596437,0.451,0.516,6.43,0.13607126,295,10.43,0,0.25247473,0.39,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.724,-0.0,241,269,"7/26/24, 12:00 AM",NIWARI,328,2024-12-31,6.8,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
60_0,0,0.10938735,0.721,0.918,7.52,0.14648046,369,6.92,0,0.28612873,0.39,0,0.18964139,0,0.3497345,0.2864276,0.40468984712907397,0.542,339.79538,241,269,"7/26/24, 12:00 AM",NIWARI,326,2024-12-31,6.8,3.555777,339,326,420,404,2.9622765,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.075797419733355]}"
61_0,0,0.10596437,0.326,0.95,7.24,0.13607126,228,7.24,0,0.25247473,0.39,0,0.16563448,0,0.30724713,0.24766552,0.8736645664245941,0.617,-0.0,241,269,"7/26/24, 12:00 AM",NIWARI,328,2024-12-31,6.7,3.555777,339,326,420,404,1.8543341,2024-01-01,30.359621621621624,Kakawani Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,25.07552792514812]}"
62_0,0,0.09206667,0.614,0.618,5.42,0.12339762,318,7.45,0,0.27792737,0.39,0,0.14263691,0,0.29425475,0.22925358,-1.8370952977386181,0.813,180.0,229,254,"7/16/24, 12:00 AM",NIWARI,224,2024-12-31,7.3,3.2413397,464,450,307,296,5.547545,2024-01-01,30.4345,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88632024294729,25.41050969459629]}"
63_0,0,0.08253023,0.217,0.75,8.52,0.11310581,302,5.62,0,0.27617326,0.19,0,0.1333407,0,0.31748372,0.24814303,-2.4665895469568575,0.514,259.76437,234,262,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,7.4,3.2165146,476,455,289,283,5.205149,2024-01-01,30.42955555555556,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87554045953786,25.46440861164346]}"
67_0,0,0.098161906,0.245,0.614,7.45,0.12827738,259,8.55,0,0.26799047,0.19,0,0.16455714,0,0.37327975,0.30464643,-1.8375584694542606,0.451,180.0,227,254,"6/20/24, 12:00 AM",NIWARI,211,2024-12-31,7.3,3.2165146,466,447,307,299,5.547545,2024-01-01,30.432864864864868,Dabar Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87580995412308,25.467912041251527]}"
