system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.6,0.07202567,0.7,0.43,6.8,0.10170135,350,5.4,218,0.25081217,0.57,20,0.12788378,25,0.2539446,0.19971351,3.4466136228873325,1.8,-0.0,438,446,"2/15/24, 12:00 AM",RATLAM,483,2024-12-31,7.5,3.3038437,192,195,370,359,0.0,2024-01-01,30.593030303030307,Akatwasa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.07270236727469,23.549110594372227]}"
1_0,1.2,0.05661282,0.2,0.86,5.7,0.07707436,374,3.5,242,0.17803077,0.645,10,0.097482055,10,0.20554616,0.15350257,-0.8540256578740372,0.5,331.39316,444,456,"5/27/24, 12:00 AM",RATLAM,516,2024-12-31,7.7,3.2672641,200,202,356,342,2.111957,2024-01-01,30.610500000000005,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95169929850378,23.53671384345138]}"
2_0,1.4,0.058469232,1,0.25,5.5,0.083958976,358,3.7,222,0.24483846,0.585,23,0.0973,21,0.2328,0.15981795,-2.333296868475055,1.7,-0.0,444,456,"2/15/24, 12:00 AM",RATLAM,512,2024-12-31,7.6,3.2672641,200,202,356,342,4.6273675,2024-01-01,30.62945454545455,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95466373894138,23.539678283888975]}"
3_0,0.8,0.058469232,0.6,0.45,4.9,0.083958976,419,2.7,188,0.24483846,0.435,16,0.0973,14,0.2328,0.15981795,-2.333296868475055,1.8,-0.0,444,456,"2/15/24, 12:00 AM",RATLAM,512,2024-12-31,8.3,3.2672641,200,202,356,342,4.6273675,2024-01-01,30.62945454545455,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95466373894138,23.539678283888975]}"
4_0,0.4,0.07860769,0.6,0.52,5.2,0.11444102,388,4.5,259,0.27748206,0.69,20,0.14512564,15,0.23524615,0.17546411,0.5756065603586159,1.5,270.0,448,459,"2/15/24, 12:00 AM",RATLAM,514,2024-12-31,8.1,3.2137103,197,200,355,341,2.0224757,2024-01-01,30.610500000000005,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.9495433418219,23.536983338036613]}"
5_0,1.1,0.07860769,1.1,0.23,5.2,0.11444102,369,3.7,197,0.27748206,0.48,19,0.14512564,26,0.23524615,0.17546411,0.5756065603586159,0.5,270.0,448,459,"2/15/24, 12:00 AM",RATLAM,514,2024-12-31,7.6,3.2137103,197,200,355,341,2.0224757,2024-01-01,30.610500000000005,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.9495433418219,23.536983338036613]}"
6_0,1,0.069115385,0.6,0.36,6,0.102358975,365,3.3,263,0.27678463,0.705,8,0.12302308,14,0.23443078,0.17534871,-0.7238462730758776,1.3,180.0,444,457,"3/26/24, 12:00 AM",RATLAM,513,2024-12-31,8.1,3.2137103,201,203,355,340,0.92740995,2024-01-01,30.610500000000005,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.9495433418219,23.538061316377558]}"
7_0,0.4,0.069115385,0.4,0.13,4.9,0.102358975,405,3.9,305,0.27678463,0.87,19,0.12302308,10,0.23443078,0.17534871,-0.7238462730758776,0.9,180.0,444,457,"3/23/24, 12:00 AM",RATLAM,513,2024-12-31,7.7,3.2137103,201,203,355,340,0.92740995,2024-01-01,30.610500000000005,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.9495433418219,23.538061316377558]}"
11_0,1.3,0.067085,0.3,0.55,6.6,0.0913975,408,3.1,248,0.245845,0.66,15,0.1030175,17,0.2190325,0.163845,-0.27637154962812555,0.8,238.5682,417,424,"5/27/24, 12:00 AM",RATLAM,511,2024-12-31,7.4,3.2672641,209,213,374,363,3.5525677,2024-01-01,30.5756875,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95897565230516,23.54506817559369]}"
12_0,0.8,0.067951284,0.7,0.74,5.7,0.10096923,298,3.2,191,0.26172563,0.45,15,0.12563589,17,0.24837436,0.19659744,-1.6974826563566066,0.7,124.5117,432,446,"5/27/24, 12:00 AM",RATLAM,513,2024-12-31,8.1,3.2137103,199,200,368,354,4.8990703,2024-01-01,30.610500000000005,Machun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.94981283640713,23.540756262229916]}"
