system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.46,0.06430465,0.24,0.36,5.32,0.088030234,225.4,7.25,220.8,0.2589651,0.48,42.8,0.097027905,15,0.21872325,0.16992094,-0.0453799771736897,0.48,-0.0,283,284,"6/11/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.49,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
1_0,0.51,0.06430465,0.19,0.44,10.25,0.088030234,166.7,11.99,219.4,0.2589651,0.49,36.18,0.097027905,15,0.21872325,0.16992094,-0.0453799771736897,0.63,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,7.95,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
2_0,0.51,0.06430465,0.7,0.44,10.37,0.088030234,170.9,11.39,220.8,0.2589651,0.49,33.15,0.097027905,7,0.21872325,0.16992094,-0.0453799771736897,0.53,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.92,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
3_0,0.79,0.06430465,0.39,0.36,8.46,0.088030234,220.6,6.48,189.9,0.2589651,0.42,42.8,0.097027905,10,0.21872325,0.16992094,-0.0453799771736897,0.796,-0.0,283,284,"6/11/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.32,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
4_0,0.43,0.06430465,0.8,0.42,8.63,0.088030234,182.3,9.39,255.8,0.2589651,0.59,33.9,0.097027905,15,0.21872325,0.16992094,-0.0453799771736897,0.53,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,7.35,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
5_0,0.39,0.06430465,0.8,0.32,9.28,0.088030234,155.3,13.26,220.9,0.2589651,0.36,39.32,0.097027905,19,0.21872325,0.16992094,-0.0453799771736897,0.41,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.85,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
6_0,0.51,0.06430465,0.3,0.39,8.86,0.088030234,196.4,11.97,290.3,0.2589651,0.42,30.51,0.097027905,19,0.21872325,0.16992094,-0.0453799771736897,0.71,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,7.65,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
7_0,0.78,0.06430465,0.27,0.3,4.83,0.088030234,251.2,6.48,298.7,0.2589651,0.26,41.5,0.097027905,10,0.21872325,0.16992094,-0.0453799771736897,0.74,-0.0,283,284,"6/10/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.38,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
8_0,0.38,0.06430465,0.17,0.35,9.55,0.088030234,156.2,12.44,266.7,0.2589651,0.37,38.92,0.097027905,20,0.21872325,0.16992094,-0.0453799771736897,0.35,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,7.15,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
9_0,0.59,0.06430465,0.8,0.51,9.18,0.088030234,186.7,11.19,284.2,0.2589651,0.56,39.32,0.097027905,26,0.21872325,0.16992094,-0.0453799771736897,0.61,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.58,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
10_0,0.45,0.06430465,0.23,0.23,7.81,0.088030234,152.3,4.1,256.3,0.2589651,0.15,12.36,0.097027905,20,0.21872325,0.16992094,-0.0453799771736897,0.51,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,7.56,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
11_0,0.54,0.06430465,0.5,0.45,9.97,0.088030234,189.3,12.25,276.5,0.2589651,0.49,29.95,0.097027905,8,0.21872325,0.16992094,-0.0453799771736897,0.54,-0.0,283,284,"6/4/24, 12:00 AM",SHIVPURI,468,2024-12-31,6.99,3.4041398,390,395,327,321,1.8543341,2024-01-01,30.494578947368424,Sesai Sadak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64287222666904,25.417247059227186]}"
