system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.21,0.1131,0.12,0.57,7.35,0.12461111,219,6.75,325,0.22703333,0.65,48,0.15402222,17,0.3219139,0.27499166,-1.271238397953518,0.52,106.90546,344,353,"6/25/24, 12:00 AM",SIDHI,382,2024-12-31,7.5,3.2310872,225,219,431,428,3.1862304,2024-01-01,30.33835897435897,Khamh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.74242385727689,24.247101570133097]}"
1_0,0.2,0.1131,0.16,0.44,5.45,0.12461111,196,6.47,290,0.22703333,0.58,56,0.15402222,18,0.3219139,0.27499166,-1.271238397953518,0.38,106.90546,344,353,"6/25/24, 12:00 AM",SIDHI,382,2024-12-31,5.1,3.2310872,225,219,431,428,3.1862304,2024-01-01,30.33835897435897,Khamh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.74242385727689,24.247101570133097]}"
2_0,0.17,0.1131,0.19,0.42,5.3,0.12461111,236,7.19,280,0.22703333,0.56,42,0.15402222,16,0.3219139,0.27499166,-1.271238397953518,0.56,106.90546,344,353,"6/25/24, 12:00 AM",SIDHI,382,2024-12-31,6.2,3.2310872,225,219,431,428,3.1862304,2024-01-01,30.33835897435897,Khamh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.74242385727689,24.247101570133097]}"
3_0,0.15,0.10783429,0.15,0.42,7.15,0.12120571,219,5.4,315,0.26222286,0.63,52,0.13562572,25,0.26842284,0.20733143,-1.0169357730466604,0.47,180.0,354,357,"6/26/24, 12:00 AM",SIDHI,381,2024-12-31,5.6,3.2310872,217,216,430,426,3.7047918,2024-01-01,30.328473684210525,Khamh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.74538829771448,24.248179548474038]}"
4_0,0.31,0.111552,0.28,0.24,2.89,0.12600267,171,4.29,250,0.30929866,0.5,31,0.124434665,7,0.25265732,0.18032,-0.4321891412296526,0.28,312.3352,342,366,"6/26/24, 12:00 AM",SIDHI,296,2024-12-31,7.1,3.0819883,258,236,400,398,1.3769236,2024-01-01,30.284432432432443,Deogarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.72706266591845,24.348701028767014]}"
5_0,0.21,0.111552,0.25,0.18,3.18,0.12600267,181,6.29,325,0.30929866,0.65,21,0.124434665,11,0.25265732,0.18032,-0.4321891412296526,0.42,312.3352,342,366,"6/26/24, 12:00 AM",SIDHI,296,2024-12-31,6.2,3.0819883,258,236,400,398,1.3769236,2024-01-01,30.284432432432443,Deogarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.72706266591845,24.348701028767014]}"
6_0,0.16,0.097088,0.14,0.34,6.42,0.11480667,238,5.3,300,0.25968534,0.6,35,0.12086,17,0.242724,0.16785866,2.054154212887631,0.35,-0.0,345,372,"6/17/24, 12:00 AM",SIDHI,289,2024-12-31,6.7,3.059143,276,258,379,370,0.0,2024-01-01,30.284894736842105,Deogarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.71709136626473,24.35867232842074]}"
7_0,0.2,0.091890275,0.14,0.51,6.3,0.1038125,230,7.14,320,0.27988473,0.64,34,0.09335556,17,0.19987917,0.1278375,-2.0433028004394163,0.36,36.20008,386,399,"6/16/24, 12:00 AM",SIDHI,295,2024-12-31,7.4,3.059143,237,226,377,375,3.443941,2024-01-01,30.28378378378378,Semariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.71601338792378,24.37241655226777]}"
8_0,0.21,0.091890275,0.21,0.37,7.19,0.1038125,260,5.75,270,0.27988473,0.54,44,0.09335556,14,0.19987917,0.1278375,-2.0433028004394163,0.39,36.20008,386,399,"6/16/24, 12:00 AM",SIDHI,295,2024-12-31,5.2,3.059143,237,226,377,375,3.443941,2024-01-01,30.28378378378378,Semariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.71601338792378,24.37241655226777]}"
9_0,0.2,0.102461115,0.2,0.36,5.25,0.13130765,214,7.25,375,0.27071944,0.75,39,0.15130903,20,0.30850625,0.24070834,-0.8259344868299842,0.45,90.0,322,352,"7/11/24, 12:00 AM",SIDHI,256,2024-12-31,6.9,2.8933227,278,266,400,382,1.0193504,2024-01-01,30.362,Paraswar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.00329461578521,24.52387250917032]}"
10_0,0.12,0.077416666,0.12,0.36,6.4,0.108897224,189,7.15,325,0.30673334,0.65,35,0.1180625,19,0.27603334,0.20399861,-0.5139400023203751,0.32,114.467384,343,360,"7/11/24, 12:00 AM",SIDHI,276,2024-12-31,6.8,2.8823652,245,238,412,402,2.2382295,2024-01-01,30.344342857142856,Paraswar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15340309976158,24.483987310555413]}"
11_0,0.2,0.08371945,0.2,0.65,6.3,0.113183334,230,7.5,380,0.29137778,0.76,58,0.12271806,25,0.2885611,0.21193472,-0.8253084317277121,0.55,270.0,343,360,"7/11/24, 12:00 AM",SIDHI,275,2024-12-31,6.8,2.8823652,245,238,412,402,1.0190284,2024-01-01,30.32370588235295,Paraswar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15448107810252,24.48425680514065]}"
12_0,0.14,0.08856761,0.14,0.48,6.38,0.11608451,240,5.25,300,0.29587182,0.6,51,0.13379578,12,0.31112534,0.22882958,-1.1269615509983424,0.38,227.69499,350,367,"7/12/24, 12:00 AM",SIDHI,272,2024-12-31,5.2,2.8823652,246,239,404,394,1.3777204,2024-01-01,30.314571428571433,Paraswar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15394208893206,24.482100848458764]}"
13_0,0.18,0.074364334,0.17,0.35,6.3,0.09893217,245,7.14,265,0.22084546,0.53,53,0.10766364,17,0.24246924,0.16846363,-0.8246386552679187,0.35,90.0,379,399,"6/27/24, 12:00 AM",SIDHI,291,2024-12-31,5.3,3.0132349,226,216,395,385,1.0186825,2024-01-01,30.34838888888889,Khorba Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.03886790103634,24.441407166088148]}"
14_0,0.17,0.092234306,0.3,0.48,7.54,0.11821095,260,5.3,295,0.27868176,0.59,54,0.1424146,25,0.34810147,0.26118466,-1.4600323392381223,0.48,15.352527,391,401,"6/27/24, 12:00 AM",SIDHI,289,2024-12-31,7.4,3.0132349,238,231,371,367,3.841486,2024-01-01,30.3184,Khorba Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.02620165553026,24.416344169661215]}"
15_0,0.15,0.092234306,0.21,0.39,6.42,0.11821095,217,7.15,325,0.27868176,0.65,30,0.1424146,16,0.34810147,0.26118466,-1.4600323392381223,0.35,15.352527,391,401,"6/27/24, 12:00 AM",SIDHI,289,2024-12-31,6.3,3.0132349,238,231,371,367,3.841486,2024-01-01,30.3184,Khorba Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.02620165553026,24.416344169661215]}"
16_0,0.15,0.08136056,0.2,0.46,5.3,0.10837042,235,7.14,320,0.29348028,0.64,48,0.115404226,15,0.27150846,0.18740845,-0.7313523643475794,0.35,-0.0,312,348,"6/27/24, 12:00 AM",SIDHI,266,2024-12-31,5.3,2.8571804,275,259,414,393,0.92740995,2024-01-01,30.34461111111111,Khorba Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.96664335219313,24.519021606636077]}"
17_0,0.2,0.1189451,0.15,0.45,6.76,0.14004248,265,5.3,355,0.23483464,0.72,30,0.16003889,15,0.26381242,0.22899151,4.991615775228641,0.35,331.23032,349,357,"6/27/24, 12:00 AM",SIDHI,277,2024-12-31,7.3,2.8557198,268,263,384,380,2.1152413,2024-01-01,30.3248,Khorba Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.9890114027677,24.406372870007488]}"
18_0,0.16,0.1189451,0.12,0.55,7.38,0.14004248,260,7.38,265,0.23483464,0.53,48,0.16003889,19,0.26381242,0.22899151,4.991615775228641,0.47,331.23032,349,357,"6/30/24, 12:00 AM",SIDHI,277,2024-12-31,5.6,2.8557198,268,263,384,380,2.1152413,2024-01-01,30.3248,Khorba Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.9890114027677,24.406372870007488]}"
19_0,0.2,0.106216215,0.16,0.52,5.86,0.11913108,210,6.17,225,0.2553581,0.45,35,0.1203,16,0.23914729,0.17112432,3.152394053826199,0.44,-0.0,369,380,"6/29/24, 12:00 AM",SIDHI,296,2024-12-31,5.8,2.8743126,249,242,382,377,0.0,2024-01-01,30.31894444444445,Hatwa Barha Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.91409190807214,24.40691185917796]}"
20_0,0.16,0.106216215,0.16,0.35,5.6,0.11913108,230,7.19,240,0.2553581,0.48,54,0.1203,16,0.23914729,0.17112432,3.152394053826199,0.46,-0.0,369,380,"6/29/24, 12:00 AM",SIDHI,296,2024-12-31,7.8,2.8743126,249,242,382,377,0.0,2024-01-01,30.31894444444445,Hatwa Barha Tola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.91409190807214,24.40691185917796]}"
26_0,0.13,0.08794416,0.17,0.65,7.35,0.114966236,225,6.3,275,0.3055935,0.55,42,0.12262467,16,0.28033248,0.20240259,-1.8203789809948543,0.48,312.29996,314,333,"6/27/24, 12:00 AM",SIDHI,248,2024-12-31,5.3,2.8571804,266,260,420,406,2.754115,2024-01-01,30.33783783783784,Hatwa Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.97904010311397,24.504468899033338]}"
27_0,0.15,0.081312984,0.17,0.35,5.9,0.10902987,230,6.96,370,0.29783246,0.74,42,0.12411428,20,0.30304155,0.22104415,7.291493166579232,0.5,253.12701,321,338,"6/27/24, 12:00 AM",SIDHI,242,2024-12-31,5.2,2.8571804,265,261,414,401,3.1921709,2024-01-01,30.33783783783784,Hatwa Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.97823161935827,24.50500788820381]}"
28_0,0.17,0.081312984,0.2,0.35,5.35,0.10902987,175,7.68,270,0.29783246,0.54,30,0.12411428,20,0.30304155,0.22104415,7.291493166579232,0.37,253.12701,321,338,"6/27/24, 12:00 AM",SIDHI,242,2024-12-31,6.5,2.8571804,265,261,414,401,3.1921709,2024-01-01,30.33783783783784,Hatwa Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.97823161935827,24.50500788820381]}"
29_0,0.2,0.07273841,0.16,0.36,7.16,0.0990029,186,5.5,310,0.2857855,0.63,51,0.10370217,16,0.2509935,0.1758029,-0.8622598486303414,0.36,28.770483,391,406,"6/27/24, 12:00 AM",SIDHI,284,2024-12-31,7.4,3.0132349,244,235,365,359,2.1152575,2024-01-01,30.3184,Khorba Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.01973378548459,24.410684783371263]}"
