system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.07860122,0.354,0.378,12.34,0.11482073,244,12.13,0,0.28035367,0.97,0,0.14829879,0,0.2898866,0.23465976,-2.918939104164541,0.375,276.46475,194,211,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,7.3,3.5084054,429,416,377,374,8.1815605,2024-01-01,30.525942857142855,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06715110964055,24.973928466514202]}"
1_0,0,0.08278706,0.324,0.682,7.42,0.118204705,218,6.39,0,0.2852353,0.39,0,0.14166354,0,0.28606942,0.22841883,0.7691265570232633,0.618,180.0,203,217,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,7.5,3.5084054,389,380,409,403,1.8543341,2024-01-01,30.567882352941176,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.07146302300433,24.976084423196088]}"
2_0,0,0.08278706,0.245,0.96,12.46,0.118204705,201,7.15,0,0.2852353,0.39,0,0.14166354,0,0.28606942,0.22841883,0.7691265570232633,0.192,180.0,203,217,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,6.9,3.5084054,389,380,409,403,1.8543341,2024-01-01,30.567882352941176,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.07146302300433,24.976084423196088]}"
3_0,0,0.07860122,0.242,0.452,12.42,0.11482073,235,7.44,0,0.28035367,0.39,0,0.14829879,0,0.2898866,0.23465976,-2.918939104164541,0.542,276.46475,194,211,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,7.2,3.5084054,429,416,377,374,8.1815605,2024-01-01,30.525942857142855,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06715110964055,24.973928466514202]}"
4_0,0,0.09097059,0.196,0.242,6.52,0.11746353,296,6.54,0,0.28517294,0.39,0,0.12951529,0,0.26805058,0.20890823,3.2186394443097983,0.84,90.0,205,219,"6/24/24, 12:00 AM",TIKAMGARH,239,2024-12-31,7.4,3.5084054,391,383,403,398,2.0454836,2024-01-01,30.57688235294117,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06930706632244,24.976353917781324]}"
5_0,0,0.09097059,0.375,0.724,8.32,0.11746353,207,6.82,0,0.28517294,0.97,0,0.12951529,0,0.26805058,0.20890823,3.2186394443097983,0.619,90.0,205,219,"6/24/24, 12:00 AM",TIKAMGARH,239,2024-12-31,6.9,3.5084054,391,383,403,398,2.0454836,2024-01-01,30.57688235294117,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06930706632244,24.976353917781324]}"
6_0,0,0.09097059,0.242,0.621,8.15,0.11746353,296,8.52,0,0.28517294,0.78,0,0.12951529,0,0.26805058,0.20890823,3.2186394443097983,0.692,90.0,205,219,"6/24/24, 12:00 AM",TIKAMGARH,239,2024-12-31,6.8,3.5084054,391,383,403,398,2.0454836,2024-01-01,30.57688235294117,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06930706632244,24.976353917781324]}"
7_0,0,0.08278706,0.624,0.84,6.19,0.118204705,199,8.96,0,0.2852353,0.39,0,0.14166354,0,0.28606942,0.22841883,0.7691265570232633,0.642,180.0,203,217,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,6.5,3.5084054,389,380,409,403,1.8543341,2024-01-01,30.567882352941176,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.07146302300433,24.976084423196088]}"
8_0,0,0.08278706,0.285,0.372,8.45,0.118204705,139,5.4,0,0.2852353,0.58,0,0.14166354,0,0.28606942,0.22841883,0.7691265570232633,0.372,180.0,203,217,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,6.9,3.5084054,389,380,409,403,1.8543341,2024-01-01,30.567882352941176,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.07146302300433,24.976084423196088]}"
9_0,0,0.08278706,0.254,0.724,6.18,0.118204705,317,12.42,0,0.2852353,0.58,0,0.14166354,0,0.28606942,0.22841883,0.7691265570232633,0.42,180.0,203,217,"6/24/24, 12:00 AM",TIKAMGARH,240,2024-12-31,6.8,3.5084054,389,380,409,403,1.8543341,2024-01-01,30.567882352941176,Machora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.07146302300433,24.976084423196088]}"
10_0,0,0.07988651,0.218,0.84,6.14,0.119570635,205,8.18,0,0.29292858,0.19,0,0.17484444,0,0.37035555,0.30390793,-1.4285946219793428,0.84,-0.0,231,236,"6/21/24, 12:00 AM",TIKAMGARH,271,2024-12-31,7.5,3.7194173,361,362,408,402,1.8543341,2024-01-01,30.49735135135135,Lidhouratal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.04747800491833,25.035912221118448]}"
11_0,0,0.07988651,0.372,0.84,12.44,0.119570635,295,12.06,0,0.29292858,0.39,0,0.17484444,0,0.37035555,0.30390793,-1.4285946219793428,0.34,-0.0,231,236,"6/21/24, 12:00 AM",TIKAMGARH,271,2024-12-31,7.3,3.7194173,361,362,408,402,1.8543341,2024-01-01,30.49735135135135,Lidhouratal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.04747800491833,25.035912221118448]}"
12_0,0,0.07988651,0.244,0.618,6.18,0.119570635,218,7.15,0,0.29292858,0.19,0,0.17484444,0,0.37035555,0.30390793,-1.4285946219793428,0.618,-0.0,231,236,"6/21/24, 12:00 AM",TIKAMGARH,271,2024-12-31,7.2,3.7194173,361,362,408,402,1.8543341,2024-01-01,30.49735135135135,Lidhouratal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.04747800491833,25.035912221118448]}"
