system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.09,0.06424474,1.83,0.23,4.3,0.08666842,414,7.67,196,0.22013684,0.48,13,0.08518948,19,0.18675789,0.14194737,-0.7211015853310951,0.63,180.0,473,505,"5/18/24, 12:00 AM",UJJAIN,506,2024-12-31,7.68,2.87171,181,172,346,323,0.92740995,2024-01-01,30.507500000000004,Dhediya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80950056330951,23.16723676709302]}"
1_0,0.27,0.07632973,1.56,0.16,3.6,0.10696757,392,12,196,0.24377297,0.48,21,0.12966216,42,0.2261892,0.18378648,-0.8046952433253606,1.2,90.0,500,530,"7/3/24, 12:00 AM",UJJAIN,487,2024-12-31,7.89,2.82515,170,168,329,302,2.016369,2024-01-01,30.468235294117648,Sikandari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7793171697631,23.134897416864717]}"
4_0,1.02,0.06750933,2.53,0.11,6.06,0.087484,448,11.68,187,0.21207733,0.43,21,0.09658133,17,0.19532,0.14132667,-0.8092298096546684,0.46,90.0,456,463,"5/16/24, 12:00 AM",UJJAIN,504,2024-12-31,7.59,3.123072,191,194,352,343,1.0108032,2024-01-01,30.48525714285714,Heedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.28695056253719,23.439156803596]}"
5_0,2.11,0.079613514,2,0.1,4.73,0.10246486,336,11.84,265,0.21177837,0.72,11,0.12711892,28,0.19930811,0.14575946,-0.4474927880811287,0.92,28.585638,492,507,"5/16/24, 12:00 AM",UJJAIN,497,2024-12-31,7.42,3.0505567,180,180,328,313,2.1115315,2024-01-01,30.67682352941177,Khimlakhedi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5011987577997,23.420561677214724]}"
16_0,0.09,0.06424474,3.39,0.1,6.77,0.08666842,638,11.57,206,0.22013684,0.54,12.51,0.08518948,46,0.18675789,0.14194737,-0.7211015853310951,0.28,180.0,473,505,"7/1/24, 12:00 AM",UJJAIN,506,2024-12-31,7.04,2.87171,181,172,346,323,0.92740995,2024-01-01,30.507500000000004,Ranipura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80950056330951,23.16723676709302]}"
18_0,0.64,0.06424474,0.82,0.218,4.93,0.08666842,605,10.63,196,0.22013684,0.48,10.72,0.08518948,17,0.18675789,0.14194737,-0.7211015853310951,0.25,180.0,473,505,"7/30/24, 12:00 AM",UJJAIN,506,2024-12-31,7.67,2.87171,181,172,346,323,0.92740995,2024-01-01,30.507500000000004,Nazarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80950056330951,23.16723676709302]}"
19_0,0.09,0.06424474,1.98,0.15,6.7,0.08666842,336,14.52,196,0.22013684,0.48,20.55,0.08518948,31,0.18675789,0.14194737,-0.7211015853310951,0.29,180.0,473,505,"7/2/24, 12:00 AM",UJJAIN,506,2024-12-31,7.9,2.87171,181,172,346,323,0.92740995,2024-01-01,30.507500000000004,Gunawa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80950056330951,23.16723676709302]}"
46_0,0.18,0.06424474,0.74,0.1,7.58,0.08666842,291,12,196,0.22013684,0.48,19.66,0.08518948,52,0.18675789,0.14194737,-0.7211015853310951,0.25,180.0,473,505,"6/14/24, 12:00 AM",UJJAIN,506,2024-12-31,8,2.87171,181,172,346,323,0.92740995,2024-01-01,30.507500000000004,Delchi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80950056330951,23.16723676709302]}"
47_0,0.82,0.06424474,1.65,0.17,8.35,0.08666842,437,7.23,284,0.22013684,0.81,19.66,0.08518948,27,0.18675789,0.14194737,-0.7211015853310951,0.1,180.0,473,505,"7/2/24, 12:00 AM",UJJAIN,506,2024-12-31,7.98,2.87171,181,172,346,323,0.92740995,2024-01-01,30.507500000000004,Nilora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80950056330951,23.16723676709302]}"
48_0,0.36,0.17034103,1.26,0.21,5.6,0.19654359,358,19.21,196,0.2711795,0.48,16.08,0.21436924,20,0.2651,0.24171539,1.1144620244866323,0.38,199.92589,489,517,"7/11/24, 12:00 AM",UJJAIN,486,2024-12-31,7.84,2.82515,166,165,345,318,2.9570267,2024-01-01,30.436060606060607,Lekoda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78632402897924,23.143251749007028]}"
49_0,1.2,0.17034103,1.82,0.2,4.24,0.19654359,336,13.81,266,0.2711795,0.72,24.13,0.21436924,29,0.2651,0.24171539,1.1144620244866323,0.93,199.92589,489,517,"7/11/24, 12:00 AM",UJJAIN,486,2024-12-31,7.81,2.82515,166,165,345,318,2.9570267,2024-01-01,30.436060606060607,Lekoda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78632402897924,23.143251749007028]}"
