system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.038,0.060512222,4.714,0.31,0.458,0.079102226,530.47,2.788,206.97,0.21920666,0.22,10.41,0.09288,1.87,0.19575,0.14695333,-0.42640492998668794,0.594,208.16753,399,406,"4/3/24, 12:00 AM",AKOLA,266,2024-12-31,7.7,2.2822602,268,268,332,326,2.1032321,2024-01-01,30.96054054054054,Palsod,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01225489721715,20.970316908250318]}"
1_0,0.05,0.05795814,4.58,0.25,0.724,0.07649535,482.49,3.69,106.62,0.24774651,0.4,27.52,0.079609305,6.14,0.18283488,0.12094419,-1.5219940162670154,0.454,331.8922,419,407,"6/11/24, 12:00 AM",AKOLA,295,2024-12-31,8,2.3832045,250,252,331,341,2.1020606,2024-01-01,30.62942857142857,Tamshi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79800670195463,20.591677015993938]}"
2_0,0.062,0.05965909,6.28,0.35,0.856,0.087425,601.03,3.084,125.44,0.25715226,0.38,46.11,0.09747273,3.37,0.19271137,0.1291659,-2.009732463993182,0.492,324.48856,449,442,"5/16/24, 12:00 AM",AKOLA,250,2024-12-31,7.8,2.261192,263,269,288,289,3.4142265,2024-01-01,30.758057142857147,Umri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.89367727971337,20.894588929799042]}"
3_0,0.007,0.0636,0.838,0.17,0.238,0.08445909,1112.16,0.664,87.8,0.21703182,0.14,36.44,0.09540227,4.04,0.19953637,0.14525227,-1.5620075311262618,0.326,244.92314,423,426,"7/13/24, 12:00 AM",AKOLA,294,2024-12-31,7.8,2.4867847,252,253,324,321,2.187274,2024-01-01,30.80988888888889,Kanheri Sarap,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03031103442794,20.62859777417125]}"
4_0,0.104,0.0697,3.08,0.25,0.522,0.09262766,408.71,5.006,68.99,0.22439362,0.34,33.47,0.10569575,2.99,0.19125107,0.14567022,-0.013118888661692401,0.56,180.0,431,441,"6/6/24, 12:00 AM",AKOLA,285,2024-12-31,7.9,2.34274,240,240,329,319,0.92740995,2024-01-01,30.80388571428572,Telhara budruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85163612441657,21.037421059974047]}"
5_0,0.074,0.06687174,2.412,0.32,0.574,0.08937174,767.82,3.506,25.08,0.23970434,0.21,29.75,0.10276087,0.97,0.21738914,0.15603913,2.8523205044181834,0.576,180.0,471,460,"7/1/24, 12:00 AM",AKOLA,322,2024-12-31,7.7,2.487237,250,253,279,287,0.92740995,2024-01-01,30.825297297297293,Mahagaon dhaba mandal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05456554709917,20.543706979821955]}"
6_0,0.09,0.06166739,4.492,0.42,0.494,0.081104346,833.81,4.534,56.44,0.21659783,0.21,11.15,0.09416087,3.59,0.19512174,0.1434913,-1.3988095005195502,0.508,180.0,410,399,"5/18/24, 12:00 AM",AKOLA,262,2024-12-31,7.9,2.3386269,257,263,333,337,3.7047918,2024-01-01,30.83950000000001,Nimbhora Budruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8435512868595,20.94606239557909]}"
7_0,0.104,0.051,2.672,0.63,0.556,0.0759,542.7,1.3,37.63,0.20442444,0.54,27.52,0.09032445,3.59,0.18410888,0.13137333,-1.0838403753926247,0.344,313.11353,461,451,"7/13/24, 12:00 AM",AKOLA,322,2024-12-31,8.1,2.5131893,256,260,282,289,1.356826,2024-01-01,30.83151351351351,Vadgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23243197335484,20.57281239502743]}"
8_0,0.086,0.06199565,3.774,0.31,0.714,0.08671739,513.13,3.156,50.17,0.26419565,0.35,21.56,0.08518478,3.14,0.2127,0.14555435,-0.8335504300185366,0.472,151.79918,424,435,"5/15/24, 12:00 AM",AKOLA,379,2024-12-31,7.9,2.7997293,237,242,339,323,2.1038864,2024-01-01,30.644666666666662,Zari Bazar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8443597706152,21.177827738881927]}"
9_0,0.068,0.07715455,3.47,0.11,0.632,0.10806364,177.27,3.664,68.99,0.26032045,0.39,15.61,0.14534318,3.22,0.25896135,0.20207955,1.8088109107135562,0.172,76.81421,504,496,"7/12/24, 12:00 AM",AKOLA,388,2024-12-31,7.8,2.5745022,238,246,258,259,8.07803,2024-01-01,30.646777777777775,Khadaki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09256428361743,20.422434416465823]}"
10_0,0.06,0.06954,7.666,0.35,0.612,0.09331111,887.57,1.852,156.8,0.18844222,0.4,31.98,0.11776,5.61,0.20476222,0.16388889,-0.01065767492076191,0.138,-0.0,457,450,"3/19/24, 12:00 AM",AKOLA,329,2024-12-31,7.6,2.4940836,271,276,272,274,0.92740995,2024-01-01,30.808378378378382,Sonala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15373955446597,20.66120661898479]}"
11_0,0.086,0.06016087,4.426,0.17,0.492,0.08106087,634.36,2.9,56.44,0.2306,0.41,15.61,0.088930435,2.17,0.18751521,0.1316413,-1.4662012867785212,0.27,270.0,381,385,"4/4/24, 12:00 AM",AKOLA,257,2024-12-31,7.8,2.3627279,272,275,347,340,1.9844698,2024-01-01,30.802473684210526,Keliweli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02734659399034,20.8724903738097]}"
12_0,0.086,0.07492737,3.484,0.26,0.524,0.09390737,377.66,5.742,200.97,0.2237379,0.47,9.66,0.10350737,3.66,0.19796,0.14469685,2.77291246833581,0.246,-0.0,411,408,"7/14/24, 12:00 AM",AKOLA,270,2024-12-31,7.6,2.4117293,258,262,331,330,0.0,2024-01-01,30.77915789473684,Ghusar bhag 2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05133161207634,20.76711799098248]}"
13_0,0.1,0.060528573,5.262,0.27,0.694,0.088204764,539.88,5.614,213.27,0.24286428,0.35,46.11,0.09445238,4.71,0.21599762,0.14787143,0.8395912597785807,0.742,90.0,426,421,"4/23/24, 12:00 AM",AKOLA,287,2024-12-31,7.9,2.3364515,241,242,333,337,1.9812564,2024-01-01,30.644611111111114,Sangwi Jomdeo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.82819009550106,20.627250301245073]}"
15_0,0.09,0.110795125,2.6,0.45,0.398,0.13491951,306.83,0.972,50.17,0.24595854,0.39,14.13,0.15128049,2.69,0.2494561,0.20800732,-1.5625454437017656,0.466,64.929726,437,425,"5/23/24, 12:00 AM",AKOLA,304,2024-12-31,7.7,2.335951,211,212,352,363,2.1878111,2024-01-01,30.798055555555568,Vyala 1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88047204503681,20.67414235907611]}"
16_0,0.048,0.04942619,3.44,0.19,0.334,0.07193571,546.06,2.882,56.44,0.22957857,0.38,29.75,0.07410714,1.94,0.17970476,0.1204619,2.4334437561696447,0.214,180.0,464,468,"5/23/24, 12:00 AM",AKOLA,360,2024-12-31,7.6,2.7889624,215,210,321,322,0.92740995,2024-01-01,30.718210526315787,Chinchkhed Pimpalkhuta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83331049262054,20.3847051745328]}"
17_0,0.032,0.08016667,5.322,0.36,0.28,0.09404375,301.72,3.764,131.71,0.18937708,0.29,20.82,0.1056375,3.14,0.18456459,0.14425,1.1732747787743645,0.554,90.0,406,396,"7/14/24, 12:00 AM",AKOLA,270,2024-12-31,8,2.3985002,255,266,339,338,0.99231625,2024-01-01,30.817837837837843,Mhaisang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16937024040965,20.839612034410926]}"
18_0,0.036,0.04665714,4.102,0.51,0.672,0.06342088,853.44,3.28,100.35,0.1768945,0.26,31.23,0.07067143,5.39,0.13744946,0.097996704,2.0799312285200395,0.34,-0.0,428,425,"6/17/24, 12:00 AM",AKOLA,291,2024-12-31,8.1,2.422268,263,262,309,313,0.0,2024-01-01,30.805428571428575,Goregaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3275635619431,20.74205499455555]}"
19_0,0.072,0.05164176,2.392,0.18,0.85,0.07184725,546.06,3.802,106.62,0.24291869,0.23,43.88,0.073686816,1.87,0.17861648,0.11805494,-1.862762817746599,0.36,160.38179,464,464,"6/15/24, 12:00 AM",AKOLA,272,2024-12-31,7.9,2.3161392,267,269,269,267,2.9513342,2024-01-01,30.713055555555556,Kasura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77024875967534,20.744749940407907]}"
20_0,0.104,0.056451686,3.18,0.3,0.592,0.077114604,633.96,2.966,156.8,0.24044044,0.38,12.64,0.08382135,5.46,0.1697899,0.11888989,-1.562911571825459,0.78,115.06584,436,426,"6/12/24, 12:00 AM",AKOLA,305,2024-12-31,7.6,2.4798481,250,258,314,316,2.1881723,2024-01-01,30.800000000000015,Hatgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39278125157017,20.704595247207763]}"
21_0,0.092,0.068469234,4.704,0.17,0.632,0.08870659,378.73,1.03,200.7,0.22074066,0.23,26.03,0.102473624,6.51,0.19792858,0.14729121,-0.7040792397244683,0.5,-0.0,416,405,"6/12/24, 12:00 AM",AKOLA,310,2024-12-31,7.8,2.4798481,263,270,320,325,0.92740995,2024-01-01,30.844555555555548,Hatgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37742006021173,20.703247774281582]}"
22_0,0.034,0.057077777,0.254,0.31,0.176,0.08381333,311.53,1.786,137.98,0.24576445,0.56,14.13,0.092266664,3.96,0.22179556,0.15193555,-1.1671740295185018,0.172,340.42206,505,495,"7/1/24, 12:00 AM",AKOLA,373,2024-12-31,7.9,2.5745022,213,223,282,281,2.950597,2024-01-01,30.612432432432435,Mandoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05914695504818,20.405186763010725]}"
23_0,0.072,0.06454042,1.956,0.24,0.24,0.09055745,379,0.33,43.9,0.29465106,0.54,5.2,0.07685319,5.84,0.19927447,0.12240851,4.878376150698946,0.178,313.13525,487,486,"2/6/24, 12:00 AM",AKOLA,359,2024-12-31,8.2,2.5990536,223,226,289,288,1.3562769,2024-01-01,30.561999999999994,Zodga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19524172059229,20.456390734205538]}"
24_0,0.122,0.104510635,2.21,0.4,0.482,0.13028298,439.21,2.522,183.66,0.2723766,0.48,12.64,0.15829787,3.14,0.28594467,0.23295532,-1.5253016338631125,0.232,28.173164,417,442,"4/1/24, 12:00 AM",AKOLA,279,2024-12-31,7.8,2.2747583,237,231,346,328,2.1033428,2024-01-01,30.938228571428578,Warur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07935904894087,21.005620698916214]}"
25_0,0.048,0.0753617,1.962,0.31,0.54,0.09354468,484.1,3.498,131.71,0.24210638,0.43,45.37,0.10696808,4.71,0.22646171,0.16502553,-1.5253090377862262,0.22,28.173388,417,442,"4/1/24, 12:00 AM",AKOLA,278,2024-12-31,8.2,2.2747583,237,231,346,328,2.103347,2024-01-01,30.938228571428578,Warur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07935904894087,21.006968171842395]}"
26_0,0.048,0.066170216,2.628,0.22,0.58,0.08284468,567.43,3.084,25.08,0.18440852,0.39,14.75,0.09758298,3.14,0.18473192,0.14478937,4.475931302682283,0.319,-0.0,409,425,"4/7/24, 12:00 AM",AKOLA,281,2024-12-31,7.5,2.2515028,251,249,341,326,0.0,2024-01-01,30.874432432432435,Balegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04243829076356,21.030414200757914]}"
27_0,0.062,0.054348934,3.568,0.31,0.476,0.06973191,1066.19,3,81.53,0.20279361,0.21,46.11,0.0784234,6.29,0.16785745,0.11937659,-0.7063253730894287,0.392,-0.0,424,437,"4/17/24, 12:00 AM",AKOLA,287,2024-12-31,7.7,2.2515028,233,234,342,329,1.8543341,2024-01-01,30.825459459459456,Tandulwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04567222578639,21.047661854213008]}"
28_0,0.062,0.05081591,2.24,0.2,0.5,0.07457727,497.28,1.586,68.99,0.2204091,0.41,29,0.081111364,5.39,0.17968863,0.13239546,-0.07589606086044008,0.27,90.0,455,439,"2/27/24, 12:00 AM",AKOLA,313,2024-12-31,8.1,2.4902868,256,265,289,296,0.99052554,2024-01-01,30.817945945945944,Donad Budruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16559731621635,20.565805535811297]}"
29_0,0.11,0.070660464,5.972,0.42,0.534,0.09855697,658.42,3.854,68.99,0.25643024,0.32,46.71,0.11666628,3.66,0.23901047,0.17916279,-1.8607259004551968,0.53,340.41537,484,468,"4/20/24, 12:00 AM",AKOLA,334,2024-12-31,7.5,2.541982,231,241,284,291,2.950719,2024-01-01,30.613000000000003,Pardi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00093612463724,20.46205012049549]}"
30_0,0.12,0.06776739,3.48,0.21,0.524,0.09047391,435.99,3.494,204.6,0.2481,0.36,37.18,0.103745654,1.87,0.19824564,0.14052826,-1.3994868944876102,0.196,-0.0,430,444,"4/6/24, 12:00 AM",AKOLA,289,2024-12-31,7.7,2.2515028,241,240,329,316,1.8543341,2024-01-01,30.808432432432426,Tandulwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0397433449112,21.049278821724425]}"
31_0,0.128,0.044853263,4.246,0.27,0.832,0.06312935,1144.28,4.952,144.25,0.16675217,0.25,37.93,0.06823261,7.26,0.12509021,0.08973913,-0.7042602652063933,0.25,-0.0,417,407,"4/24/24, 12:00 AM",AKOLA,310,2024-12-31,7.6,2.625656,233,239,350,354,0.92740995,2024-01-01,30.737621621621624,Matoda (Vadgaon),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58439190167286,20.73154470573135]}"
32_0,0.058,0.05233913,1.802,0.43,0.334,0.07344348,648.24,1.802,75.26,0.20893914,0.45,31.98,0.08617609,3.89,0.20622174,0.14759131,1.3764481158221418,0.924,180.0,470,458,"7/1/24, 12:00 AM",AKOLA,328,2024-12-31,7.8,2.487237,248,253,282,289,0.92740995,2024-01-01,30.816526315789467,Mahagaon dhaba mandal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0510621174911,20.53562214226488]}"
33_0,0.08,0.06540454,1.344,0.31,0.37,0.08812727,858.68,0.754,94.08,0.2324409,0.45,61.75,0.099806815,6.74,0.19259319,0.14064091,-0.769857355418,0.334,270.0,412,425,"7/13/24, 12:00 AM",AKOLA,292,2024-12-31,8.3,2.4867847,252,244,337,330,0.9909334,2024-01-01,30.781111111111116,Kanheri Sarap,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04216879617832,20.62859777417125]}"
34_0,0.13,0.058468133,6.22,0.28,0.78,0.07973297,581.01,4.684,169.34,0.22012308,0.26,9.66,0.09097692,4.71,0.21319121,0.15146813,0.32681100025916776,0.684,270.0,410,410,"5/2/24, 12:00 AM",AKOLA,289,2024-12-31,8,2.4674728,260,266,330,323,0.9919087,2024-01-01,30.88634285714286,Bramhi Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41757475341187,20.777897774391917]}"
35_0,0.054,0.09705958,1.12,0.24,0.756,0.11266808,446.07,1.7,232.41,0.24295744,0.4,31.98,0.11722127,2.84,0.23881915,0.19042553,-1.4680892373514436,0.62,90.0,439,448,"5/13/24, 12:00 AM",AKOLA,283,2024-12-31,8,2.34274,238,236,323,316,1.9863619,2024-01-01,30.7785945945946,Thar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85567854319511,21.015322503984706]}"
36_0,0.05,0.076711625,2.27,0.36,0.528,0.09501628,841.2,4.752,81.53,0.23008604,0.43,38.67,0.104181394,3.89,0.19651163,0.14510465,-1.5605973551094956,0.29,295.09412,432,435,"4/14/24, 12:00 AM",AKOLA,316,2024-12-31,7.9,2.5072277,238,237,331,328,2.185869,2024-01-01,30.712857142857143,Takali Khetri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76647583548204,20.50894217832653]}"
37_0,0.122,0.059315555,4.018,0.17,0.372,0.079346664,620.65,1.252,100.39,0.25143334,0.23,22.31,0.08420444,3.22,0.1947289,0.13107556,2.0792582182426953,0.744,-0.0,394,391,"6/23/24, 12:00 AM",AKOLA,273,2024-12-31,7.8,2.371241,249,255,357,354,0.0,2024-01-01,30.739499999999996,Sangwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24509821886092,20.84473243153041]}"
38_0,0.098,0.05390989,6.28,0.23,0.52,0.07214176,579.93,3.81,68.99,0.16857253,0.39,38.67,0.086613186,4.41,0.16576923,0.12216264,-0.3922416057881131,0.442,226.9156,426,412,"6/17/24, 12:00 AM",AKOLA,286,2024-12-31,8.1,2.422268,267,272,307,315,1.3575634,2024-01-01,30.832277777777783,Goregaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30600399512423,20.727771781538046]}"
39_0,0.064,0.06570666,3.618,0.37,0.654,0.08421556,780.05,3.214,232.06,0.24217778,0.19,14.13,0.08956,2.54,0.19424444,0.13508,-0.7049870237198008,0.206,180.0,426,416,"6/9/24, 12:00 AM",AKOLA,271,2024-12-31,8,2.3985002,257,262,317,322,0.92740995,2024-01-01,30.76805555555556,Mhaisang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18877385054662,20.843115464018993]}"
40_0,0.05,0.12150465,5.518,0.4,0.472,0.1353907,533.56,3.452,131.71,0.19484419,0.36,35.7,0.14883721,4.34,0.2139093,0.18700466,0.5288788433321248,0.252,270.0,432,431,"6/12/24, 12:00 AM",AKOLA,311,2024-12-31,7.2,2.335951,236,230,332,338,2.9712453,2024-01-01,30.836222222222222,Shelad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85621753236558,20.670369434882808]}"
41_0,0.108,0.07509535,2,0.34,0.51,0.100944184,379.68,0.838,62.72,0.2413093,0.39,14.13,0.11546977,1.87,0.22557442,0.16647907,2.447776596040937,0.206,208.11751,442,435,"6/27/24, 12:00 AM",AKOLA,293,2024-12-31,7.8,2.3441823,222,220,336,345,2.102251,2024-01-01,30.728864864864867,Khirpuri Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91442836277653,20.653930265183423]}"
42_0,0.14,0.07452,3.742,0.37,0.566,0.09219111,740.54,1.308,94.08,0.23920444,0.32,29.75,0.10194667,3.66,0.2245089,0.15887333,-1.3987160454549583,0.178,180.0,390,395,"6/23/24, 12:00 AM",AKOLA,274,2024-12-31,7.7,2.3979104,266,265,344,340,1.8543341,2024-01-01,30.91556756756756,Kutasa bhag 1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11762728004436,20.931509687976355]}"
43_0,0.056,0.06928409,1.84,0.31,0.808,0.0931625,492.1,0.822,125.44,0.22651818,0.22,12.64,0.1120875,1.72,0.21167386,0.15972158,-1.5650574722987656,0.462,115.03966,402,402,"6/22/24, 12:00 AM",AKOLA,253,2024-12-31,8.2,2.262955,271,274,326,324,2.1903105,2024-01-01,30.737729729729732,Gopalkhed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.98476644952308,20.884348135560078]}"
44_0,0.026,0.08291064,1.596,0.32,0.394,0.10008723,426.18,3.202,31.36,0.21765958,0.38,22.31,0.11559574,4.64,0.23847872,0.17080426,-0.8278718417211685,0.24,208.0885,476,464,"7/1/24, 12:00 AM",AKOLA,370,2024-12-31,7.9,2.5990536,224,227,300,309,2.1016834,2024-01-01,30.6577,Zodga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19874515020035,20.467709506785447]}"
45_0,0.112,0.085544445,2.29,0.19,0.544,0.101395555,764.63,0.426,112.35,0.23098221,0.51,19.33,0.10879777,4.71,0.19748,0.13901556,-1.0863796862534087,0.612,46.934326,457,453,"3/15/24, 12:00 AM",AKOLA,263,2024-12-31,7.9,2.3057358,246,250,297,297,1.3580376,2024-01-01,30.660315789473685,Antri Malkapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.829268073842,20.826676294319608]}"
46_0,0.022,0.12856384,2.516,0.31,0.8,0.14861915,716.48,3.1,225.79,0.22075957,0.19,23.8,0.16874042,2.77,0.27137446,0.24675319,-1.5252840069735332,0.916,151.8272,410,437,"4/3/24, 12:00 AM",AKOLA,283,2024-12-31,7.8,2.2747583,240,234,349,329,2.1033359,2024-01-01,30.919942857142853,Warur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07962854352611,21.00346474223433]}"
47_0,0.1,0.052165475,2.832,0.27,1.15,0.07344524,420.4,3.97,181.88,0.20101786,0.48,19.33,0.083310716,5.39,0.17029405,0.12760596,-1.5600760085872023,0.29,64.89959,479,469,"4/20/24, 12:00 AM",AKOLA,328,2024-12-31,7.8,2.541982,231,237,290,294,2.1853564,2024-01-01,30.613000000000003,Pardi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00309208131912,20.46501456093309]}"
48_0,0.136,0.05564524,3.984,0.19,0.528,0.07801191,575.55,4.208,94.08,0.22672619,0.41,40.9,0.08422619,5.31,0.17925476,0.123971425,2.080976510680881,0.364,-0.0,428,424,"6/10/24, 12:00 AM",AKOLA,298,2024-12-31,8.1,2.401369,234,231,338,345,0.0,2024-01-01,30.674111111111113,Tamshi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81228991497214,20.580358243414032]}"
49_0,0.072,0.07033333,2.838,0.6,0.2,0.09001667,811.64,1.25,150.52,0.23067917,0.44,30.49,0.093397915,2.84,0.20638125,0.14706875,-1.525832542003467,0.558,208.18361,429,449,"6/9/24, 12:00 AM",AKOLA,307,2024-12-31,7.8,2.3344631,231,228,339,323,2.103548,2024-01-01,30.92914285714285,Mirzapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12894605262427,21.070838388543294]}"
50_0,0.052,0.104510635,1.596,0.4,0.482,0.13028298,522.41,2.596,156.8,0.2723766,0.41,21.56,0.15829787,3.07,0.28594467,0.23295532,-1.5253016338631125,0.184,28.173164,417,442,"4/3/24, 12:00 AM",AKOLA,279,2024-12-31,8.3,2.2747583,237,231,346,328,2.1033428,2024-01-01,30.938228571428578,Warur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07935904894087,21.005620698916214]}"
51_0,0.078,0.06895957,2.406,0.14,0.544,0.08666383,708.28,0.918,62.72,0.2384532,0.46,47.78,0.09248085,3.14,0.18410425,0.12263617,-0.01383462336146275,0.574,-0.0,435,455,"6/9/24, 12:00 AM",AKOLA,336,2024-12-31,7.9,2.5436966,224,222,341,322,0.92740995,2024-01-01,30.60571428571429,Sukali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0637283629972,21.145488388653625]}"
52_0,0.04,0.07330652,2.85,0.34,1.002,0.09508913,548.48,3.956,75.2,0.20242609,0.24,24.54,0.114773914,4.34,0.21961305,0.17684783,2.0780924737521485,0.542,-0.0,430,420,"6/6/24, 12:00 AM",AKOLA,284,2024-12-31,7.8,2.4034412,231,241,339,339,0.0,2024-01-01,30.796222222222227,Telhara budruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8128289041426,21.022598857786075]}"
53_0,0.086,0.052024443,2.88,0.61,0.58,0.07406889,302.8,1.1,81.53,0.1311911,0.22,17.1,0.086942226,6.51,0.13056222,0.10546889,-2.3939180873641575,0.464,280.61557,497,484,"7/12/24, 12:00 AM",AKOLA,384,2024-12-31,8.2,2.5745022,234,245,269,272,5.0218325,2024-01-01,30.684918918918928,Khadaki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07073522221333,20.424859867732945]}"
54_0,0.128,0.059047826,4.372,0.28,0.519,0.07852609,402.93,4.203,81.53,0.23072608,0.35,39.42,0.08620435,7.11,0.1853761,0.13134782,-1.7807401498713784,0.426,133.04283,439,429,"5/18/24, 12:00 AM",AKOLA,263,2024-12-31,7.8,2.3386269,266,275,295,297,2.715708,2024-01-01,30.83950000000001,Nimbhora Budruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83870038432525,20.946601384749563]}"
55_0,0.096,0.057301063,2.164,0.27,0.322,0.07737341,712.85,1.322,219.52,0.21816915,0.43,31.23,0.08902979,2.84,0.18589787,0.1312117,-0.7065338601457962,0.334,-0.0,441,458,"6/7/24, 12:00 AM",AKOLA,292,2024-12-31,8,2.373855,265,260,294,282,1.8543341,2024-01-01,30.889257142857144,Chinchkhed Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.98072403074455,21.078384236929896]}"
56_0,0.072,0.059588373,7.428,0.2,0.596,0.082023256,1106.24,4.32,144.25,0.1901628,0.32,31.23,0.10435349,4.64,0.20454651,0.15662326,2.7737006161693842,0.182,-0.0,461,442,"3/19/24, 12:00 AM",AKOLA,330,2024-12-31,7.5,2.4787672,255,262,284,297,0.0,2024-01-01,30.774052631578947,Sonala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1502361248579,20.64503694387064]}"
57_0,0.072,0.064602084,2.288,0.22,0.374,0.08241354,708.28,2.844,68.99,0.21116666,0.35,30.92,0.08957396,2.54,0.17640312,0.12668958,-1.8655507725308689,0.62,160.33563,434,462,"6/9/24, 12:00 AM",AKOLA,311,2024-12-31,7.9,2.5942042,250,240,316,298,2.9521813,2024-01-01,30.725529411764715,Adgaon Kh.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97695110655124,21.125815283931406]}"
58_0,0.12,0.08905349,2.47,0.21,0.442,0.114511624,356.16,3.272,94.08,0.26293722,0.43,29,0.12823255,2.84,0.22961628,0.16749768,-0.009681017556727465,0.296,180.0,433,437,"4/14/24, 12:00 AM",AKOLA,314,2024-12-31,7.8,2.5072277,235,235,331,328,0.92740995,2024-01-01,30.712857142857143,Takali Khetri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76701482465252,20.51028965125271]}"
59_0,0.048,0.070916854,5.57,0.2,0.634,0.08542585,673.47,3.746,156.8,0.23282696,0.36,14.87,0.092798874,4.64,0.21664044,0.15792473,-0.7045635214076069,0.652,-0.0,407,398,"4/18/24, 12:00 AM",AKOLA,275,2024-12-31,7.6,2.4117293,256,263,337,339,0.92740995,2024-01-01,30.79837837837839,Ghusar bhag 2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06238089007101,20.778167268977153]}"
