system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.75,0.059016667,0.68,0.25,0.21,0.080480956,310.51,1.58,313.75,0.20102857,0.45,22.58,0.09254762,73.44,0.19485,0.13938572,-1.5102156757112883,0.27,332.1248,465,464,"6/13/24, 12:00 AM",BEED,543,2024-12-31,8.77,2.4887388,255,252,281,284,2.0975344,2024-01-01,30.76452631578947,Khokermoha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.56318251240394,19.034267807915924]}"
1_0,2.75,0.05963171,0.8,0.3,0.29,0.083139025,416.44,1.57,237.2,0.19078536,0.58,21.5,0.09997317,67.44,0.18807073,0.13577805,-1.3868935630355068,0.15,-0.0,465,464,"6/13/24, 12:00 AM",BEED,540,2024-12-31,8.3,2.4887388,255,252,281,284,1.8543341,2024-01-01,30.76452631578947,Khokermoha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.56452998533013,19.035615280842105]}"
2_0,2.4,0.059016667,0.54,0.31,0.28,0.080480956,251.37,1.66,234.69,0.20102857,0.87,23.65,0.09254762,94.19,0.19485,0.13938572,-1.5102156757112883,0.2,332.1248,465,464,"6/12/24, 12:00 AM",BEED,543,2024-12-31,8.25,2.4887388,255,252,281,284,2.0975344,2024-01-01,30.76452631578947,Khokermoha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.56318251240394,19.034267807915924]}"
3_0,1.68,0.05057654,0.39,0.25,0.41,0.07878889,297.31,0.44,239.71,0.23659259,0.44,11.11,0.084546916,63.38,0.18729752,0.12742963,-0.6932675793602733,0.6,180.0,462,475,"6/12/24, 12:00 AM",BEED,596,2024-12-31,8.73,2.4607515,279,267,259,258,0.92740995,2024-01-01,30.84216666666667,Khokermoha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.56345200698918,18.95503639985658]}"
4_0,2.3,0.06315714,0.4,0.39,0.17,0.08225238,307.77,8.11,259.79,0.20787857,0.48,21.86,0.09598571,28.19,0.19198571,0.14280476,-1.792117502396413,0.22,-0.0,456,459,"6/12/24, 12:00 AM",BEED,575,2024-12-31,8.45,2.3954935,277,270,268,271,2.7802885,2024-01-01,30.787657142857157,Khokermoha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50524117657824,18.995191093056725]}"
5_0,2.81,0.10354146,0.9,0.29,0.65,0.12576586,217.89,4.76,111.7,0.1882,0.95,25.8,0.14772926,35.06,0.2133439,0.1890366,1.3583151204499648,0.11,133.38556,503,505,"6/12/24, 12:00 AM",BEED,548,2024-12-31,8.51,2.280318,233,228,264,267,4.044014,2024-01-01,30.721314285714296,Khokermoha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.42735724144507,19.06013928809857]}"
6_0,1.04,0.05609756,0.31,0.1,0.65,0.0762561,435.45,6.06,292.42,0.20134391,0.45,13.98,0.090229265,42.7,0.19060975,0.1389122,11.083705704517971,0.2,-0.0,470,487,"6/14/24, 12:00 AM",BEED,515,2024-12-31,8.62,2.5559628,251,244,279,268,0.0,2024-01-01,30.755789473684207,Limba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57611825249526,19.05609686932003]}"
7_0,2.42,0.07076585,0.29,0.1,0.8,0.090134144,450.56,3.57,335.09,0.2103,0.53,13.98,0.104212195,27.59,0.19994879,0.14574634,0.6924251231956995,0.16,-0.0,467,488,"6/14/24, 12:00 AM",BEED,515,2024-12-31,8.52,2.5559628,265,254,269,258,1.8543341,2024-01-01,30.755789473684207,Limba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5831251117114,19.05798333141668]}"
8_0,2.53,0.05609756,0.17,0.11,0.59,0.0762561,503.79,5.37,248.49,0.20134391,0.57,18.64,0.090229265,28.25,0.19060975,0.1389122,11.083705704517971,0.3,-0.0,470,487,"6/14/24, 12:00 AM",BEED,515,2024-12-31,8.45,2.5559628,251,244,279,268,0.0,2024-01-01,30.755789473684207,Limba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57611825249526,19.05609686932003]}"
10_0,1.47,0.070631705,0.75,0.17,4.71,0.091102436,332.48,2.18,292.04,0.19121219,0.44,26.88,0.11085854,53.65,0.2054878,0.15681951,-0.7505316285894746,0.2,270.0,489,503,"6/13/24, 12:00 AM",BEED,525,2024-12-31,8.26,2.5559628,250,242,261,255,0.9813203,2024-01-01,30.748102564102563,Kamleshwar Dhanora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57153684454626,19.081698854917434]}"
