system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.52,0.06931,0.24,0.52,4.34,0.0871675,305,3.48,143,0.30963,0.3,22,0.09205,12.7,0.2655675,0.1682275,-0.763653118787071,0.44,270.0,311,316,"4/18/24, 12:00 AM",CHANDRAPUR,196,2024-12-31,7.2,3.531049,274,273,414,411,0.98783755,2024-01-01,30.51411428571429,Shiwapur Chak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6613866700856,20.146202466599068]}"
1_0,0.21,0.08137027,0.24,0.461,4.32,0.10565946,248,2.54,156,0.26936486,0.35,11.2,0.11456757,8.65,0.26745406,0.18816216,-2.0261161800829237,0.24,57.936886,315,317,"6/14/24, 12:00 AM",CHANDRAPUR,184,2024-12-31,7.3,3.9352355,262,258,423,425,3.4900186,2024-01-01,30.57211428571428,Vichoda Raiyyatwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25903125432848,20.014958603589207]}"
2_0,0.29,0.061575,0.43,0.73,6.4,0.086835,348,2.83,298,0.200085,0.51,16.3,0.0934975,9,0.2023325,0.1430175,-1.0807846773771508,0.38,133.17122,362,375,"4/11/24, 12:00 AM",CHANDRAPUR,210,2024-12-31,7.63,3.5876906,268,265,371,360,1.3553698,2024-01-01,30.374820512820516,Tekari alias Waneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65518829462519,20.262354632835724]}"
3_0,0.35,0.09758372,0.25,0.48,7.52,0.12248605,214,2.85,299,0.25763953,0.28,18,0.13737209,5.63,0.28572094,0.19922791,-0.826550829894364,0.69,208.06232,369,382,"4/14/24, 12:00 AM",CHANDRAPUR,230,2024-12-31,7.4,3.5876906,259,254,372,365,2.1011715,2024-01-01,30.353945945945952,Gadmaushi Chak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.68941410695014,20.297927918086856]}"
4_0,0.36,0.076348715,0.22,0.55,8.77,0.096374355,255,2.86,325,0.24860513,0.66,18,0.0928,15.71,0.19622564,0.13000512,-1.562438581506231,0.63,64.9284,400,406,"4/18/24, 12:00 AM",CHANDRAPUR,224,2024-12-31,7.7,3.6981707,217,211,382,383,2.187703,2024-01-01,30.337944444444457,Nandgaon Jani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8551532768702,20.66497954317809]}"
5_0,0.57,0.0798561,0.22,0.65,5.74,0.10731463,277,2.54,366,0.25378048,0.52,18,0.12849268,15.35,0.3051878,0.22363171,-1.0831414038719405,0.62,313.1267,420,427,"4/19/24, 12:00 AM",CHANDRAPUR,236,2024-12-31,7.1,3.581825,226,227,354,345,2.7114663,2024-01-01,30.522352941176482,Gaidongari Tukum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83817511800034,20.502204813695634]}"
6_0,0.55,0.060546342,0.25,0.77,8.79,0.08340976,288,5.78,396,0.23684147,0.58,18,0.08572195,14.33,0.2049439,0.1342683,-0.06927061228709822,0.62,160.41054,405,414,"4/19/24, 12:00 AM",CHANDRAPUR,233,2024-12-31,7.7,3.581825,227,229,368,357,2.9508078,2024-01-01,30.522352941176482,Gaidongari Tukum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83655815048891,20.503013297451343]}"
7_0,0.55,0.117408335,0.25,0.258,3,0.13578333,150.797,2.75,163.15,0.2614139,0.471,14.68,0.16259444,12.68,0.29163334,0.21886112,-1.4898286055322274,0.52,46.896362,424,438,"6/6/24, 12:00 AM",CHANDRAPUR,274,2024-12-31,7.23,3.418424,226,220,350,342,4.065155,2024-01-01,30.682882352941185,Dongarla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34742547828584,20.625633333733656]}"
8_0,0.37,0.071435,0.4,0.32,2.2,0.099870004,267,1.6,195,0.24897,0.16,16.5,0.1200025,8.63,0.31754,0.241735,-2.030395570494516,0.2,301.99832,399,417,"6/7/24, 12:00 AM",CHANDRAPUR,233,2024-12-31,5.6,3.5266068,247,250,354,334,3.4963164,2024-01-01,30.584277777777775,Masal Bk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.38084280685509,20.40626474135167]}"
9_0,0.52,0.081695236,0.21,0.65,9.21,0.10831667,299,2.95,362,0.26043335,0.52,19,0.124142855,12.95,0.29010478,0.20646429,3.081047039584902,0.63,90.0,413,431,"4/16/24, 12:00 AM",CHANDRAPUR,244,2024-12-31,7.9,3.5172436,263,258,325,311,0.9905706,2024-01-01,30.596702702702704,Pardi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74412150775302,20.57281239502743]}"
11_0,0.51,0.07822052,0.34,0.321,4.08,0.10564872,206.17,3.74,238.46,0.28721794,0.435,14.45,0.11499744,12.45,0.2640641,0.18538205,-1.0816278588499157,0.64,313.1553,378,390,"6/4/24, 12:00 AM",CHANDRAPUR,229,2024-12-31,7.24,3.7865844,234,230,388,380,1.3557707,2024-01-01,30.633888888888894,Kokewada Tukum,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21672060444645,20.34832340552596]}"
12_0,0.29,0.06583056,0.36,0.369,4.56,0.09126389,385,2.75,169,0.2700611,0.25,17.8,0.08878889,4.89,0.24773332,0.15267222,0.49198338832025734,0.62,270.0,334,341,"6/12/24, 12:00 AM",CHANDRAPUR,202,2024-12-31,7.2,4.0138645,279,273,388,386,1.972233,2024-01-01,30.321314285714283,Junona Rayyatwari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.39108360109405,19.91847954207477]}"
13_0,1.12,0.0537,0.85,0.452,4.9,0.074391894,301,2.9,145,0.18524325,0.18,18,0.10436216,13.2,0.24096486,0.17767297,-1.074470725373783,0.49,133.2906,403,410,"6/7/24, 12:00 AM",CHANDRAPUR,466,2024-12-31,6.3,4.1207967,248,241,349,349,2.7032347,2024-01-01,30.74652941176471,Shedwahi 2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.97309749939323,19.60236239359311]}"
14_0,0.43,0.08044737,0.29,0.128,3.48,0.11055526,222.02,3.19,288.66,0.24601053,0.368,19.15,0.13395,17.15,0.28490263,0.21348684,0.3976724323392429,0.26,-0.0,383,395,"5/6/24, 12:00 AM",CHANDRAPUR,199,2024-12-31,7.26,3.628995,285,280,332,325,1.8543341,2024-01-01,30.639542857142857,Ekarjuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01810309512763,20.211689650811383]}"
15_0,0.43,0.06996923,0.47,0.218,5.23,0.0926359,169.882,4.8,238.46,0.24793077,0.373,17.27,0.103423074,15.27,0.24614103,0.17041282,-0.7645523847705714,0.44,270.0,386,386,"6/1/24, 12:00 AM",CHANDRAPUR,228,2024-12-31,7.26,3.8983083,281,286,333,328,0.98828644,2024-01-01,30.75222857142857,Belgaon Bhusari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.19596952138329,20.2170795425161]}"
16_0,0.77,0.106345,0.43,0.274,5.16,0.1227,162.08,4.73,301.21,0.280505,0.662,22.44,0.1202875,20.44,0.2701075,0.186845,-0.7023446397589894,0.55,180.0,429,439,"5/20/24, 12:00 AM",CHANDRAPUR,225,2024-12-31,7.28,3.333132,246,239,325,322,0.92740995,2024-01-01,30.71088235294118,Hirapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.03023035146323,20.433753189045728]}"
