system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.64,0.050025176,2.11,0.55,2.28,0.082373425,438.77,2.46,152,0.32700908,0.4,6.8,0.06974965,2.02,0.23442377,0.14438042,-1.3812250369209296,0.63,-0.0,386,398,"6/11/24, 12:00 AM",DHARASHIV,563,2024-12-31,7.43,2.4613898,287,277,327,325,1.8543341,2024-01-01,30.81644444444444,Achaler,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.02240128564584,18.050073582634578]}"
1_0,0.59,0.08581143,2.21,0.37,2.91,0.12153429,270.66,1.84,147,0.2557743,0.23,3.51,0.16608286,2.17,0.2940743,0.21213429,-1.8478966678007256,0.78,279.012,324,341,"5/30/24, 12:00 AM",DHARASHIV,605,2024-12-31,7.72,2.579182,387,367,290,291,5.900171,2024-01-01,30.79861111111111,Achaler,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26467691777287,17.899965098658203]}"
2_0,0.62,0.06292875,2.49,0.41,2.83,0.088727504,469.43,7.58,151,0.19608626,0.43,6.8,0.10389125,1.42,0.17251125,0.12692875,-1.5384598895631771,0.35,295.3657,420,403,"5/21/24, 12:00 AM",DHARASHIV,704,2024-12-31,7.34,2.5109696,252,261,328,336,2.1640127,2024-01-01,30.711210526315792,Achaler,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83806698934451,18.52195860138256]}"
3_0,0.44,0.06597532,1.64,0.47,1.72,0.0893026,586.79,5.33,187,0.24625325,0.28,8.55,0.096712984,2.87,0.21139741,0.14124545,-1.7537791102922973,0.46,46.44725,351,367,"2/22/24, 12:00 AM",DHARASHIV,617,2024-12-31,7.12,2.5948257,328,310,320,323,2.6902163,2024-01-01,30.819142857142854,Achaler,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31534189979722,18.063009322725897]}"
4_0,0.51,0.096,2.7,0.26,1.84,0.122492,454.63,7.58,167,0.22572267,0.24,3.51,0.137196,2.17,0.24800134,0.20957333,-1.0617562371603295,0.29,313.5314,373,385,"6/5/24, 12:00 AM",DHARASHIV,672,2024-12-31,7.53,2.5590625,330,316,297,300,1.3463774,2024-01-01,30.78064864864865,Adsulwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0259047152539,18.19371419656529]}"
5_0,0.51,0.06419487,1.39,0.22,2.11,0.0951,401.77,5.25,154,0.20501025,0.46,2.5,0.12370256,2.11,0.22915128,0.17392564,-2.3338073064258067,0.18,54.563923,388,396,"6/20/24, 12:00 AM",DHARASHIV,693,2024-12-31,7.43,2.6638443,281,274,331,330,4.787893,2024-01-01,30.78043243243243,Kalamb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.18571500429877,18.411196326850625]}"
6_0,0.79,0.045966666,0.19,0.77,2.44,0.06295641,224.14,8.17,167,0.12256154,0.37,5.7,0.08255257,2.53,0.16849871,0.13529871,-1.9884509528909222,0.62,215.0746,388,400,"2/16/24, 12:00 AM",DHARASHIV,689,2024-12-31,7.57,2.5389624,310,296,302,304,3.3958926,2024-01-01,30.68291891891892,Kumalwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.00191969716792,18.292888203932083]}"
7_0,0.38,0.06778,1.61,0.66,2.35,0.0993475,521.24,8.66,162,0.25985,0.41,5.92,0.117837496,1.87,0.2268,0.162255,-0.8445757051323427,0.58,244.62523,407,413,"6/26/24, 12:00 AM",DHARASHIV,680,2024-12-31,7.44,2.7001925,264,253,329,334,2.1632888,2024-01-01,30.678052631578943,Khamaswadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05258467919226,18.451620514636]}"
8_0,0.54,0.05111522,2.59,0.53,1.44,0.07662392,776,6.5,166.8,0.20336087,0.22,5.26,0.10094783,2.29,0.20212173,0.14639348,-0.6895637308181886,0.38,180.0,482,487,"4/29/24, 12:00 AM",DHARASHIV,523,2024-12-31,7.33,2.314617,234,229,285,284,0.92740995,2024-01-01,30.76051282051283,Pimparkhed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.46805092381568,18.314178276165716]}"
9_0,0.69,0.052758973,2.3,0.45,4.05,0.07659359,213.57,8.89,156,0.22385384,0.35,3.07,0.07907308,2.2,0.1755782,0.120339744,-1.4379605230327255,0.95,270.0,447,454,"7/2/24, 12:00 AM",DHARASHIV,669,2024-12-31,7.35,2.757013,253,245,300,301,1.9564207,2024-01-01,30.73042105263158,Athardi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.96984984152485,18.5974170852486]}"
10_0,0.38,0.050901473,1.88,0.62,3.09,0.07214118,387,4.99,166.8,0.16266617,0.37,3.29,0.08899853,2.44,0.18155,0.14303823,0.3233480185202391,0.47,133.50883,493,498,"4/29/24, 12:00 AM",DHARASHIV,523,2024-12-31,7.48,2.314617,226,218,281,284,1.3469356,2024-01-01,30.73685000000001,Pimparkhed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.48529857727078,18.330617445865105]}"
11_0,0.79,0.068915255,1.56,0.52,3.13,0.097476274,208.28,6.26,147,0.2412339,0.18,3.29,0.12022034,2.11,0.24645762,0.17122373,-1.506535456094266,0.84,207.80261,463,476,"6/25/24, 12:00 AM",DHARASHIV,580,2024-12-31,7.35,2.147227,255,245,282,278,4.1866684,2024-01-01,30.748564102564096,Ralesangvi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.52248883003332,18.51683820426308]}"
12_0,0.46,0.07941299,1.66,0.45,1.76,0.09963636,287.58,7.06,167,0.2385987,0.3,7.02,0.1145948,2.17,0.24538052,0.17182727,2.401831009443545,0.32,46.50946,401,407,"6/26/24, 12:00 AM",DHARASHIV,686,2024-12-31,7.67,2.607414,270,260,329,334,1.347389,2024-01-01,30.751000000000005,Khamaswadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03587601490763,18.44084073122657]}"
13_0,0.51,0.069012195,2.79,0.21,3.41,0.094778046,361.59,9.17,167,0.20174877,0.23,6.36,0.12401464,2.17,0.18698049,0.14657073,-0.8130085246258263,0.39,152.20494,401,412,"4/10/24, 12:00 AM",DHARASHIV,736,2024-12-31,7.16,2.6227818,313,305,286,282,2.0959868,2024-01-01,30.865722222222228,Bavi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8868455092722,18.4621308034602]}"
14_0,0.36,0.07374865,1.84,0.49,2.15,0.091508105,302.38,4.92,182,0.17398378,0.26,9.21,0.10511892,2.75,0.17852972,0.14333513,1.3924937570666054,0.43,-0.0,321,337,"5/19/24, 12:00 AM",DHARASHIV,607,2024-12-31,7.71,2.6803138,400,375,279,288,0.92740995,2024-01-01,30.811948717948717,Katewadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.52500868711071,17.846605170781505]}"
15_0,0.49,0.04861081,3.19,0.18,1.78,0.07378649,243.17,7.5,168,0.24134865,0.13,6.36,0.0838027,2.05,0.20151351,0.1319,8.97328917562821,0.8,46.40229,332,351,"5/22/24, 12:00 AM",DHARASHIV,576,2024-12-31,7.47,2.668359,380,358,288,292,1.3447409,2024-01-01,30.60648648648649,Murum (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46545038377359,17.78462141617726]}"
16_0,1.03,0.06910556,1.63,0.46,1.76,0.094175,262.21,4.59,164,0.21831112,0.22,7.02,0.123561114,2.14,0.25154445,0.18561111,-1.3797061983497632,0.24,180.0,311,337,"5/20/24, 12:00 AM",DHARASHIV,595,2024-12-31,7.63,2.6308665,369,349,320,314,1.8543341,2024-01-01,30.799529411764706,Ambarnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.41990579886873,17.775728094864476]}"
17_0,0.56,0.06463611,2.4,0.29,2.1,0.08821944,342.56,7.24,177,0.19466388,0.24,5.04,0.11287778,2.26,0.22469722,0.169725,0.11181429885389056,0.55,270.0,311,337,"5/20/24, 12:00 AM",DHARASHIV,594,2024-12-31,7.47,2.6308665,369,349,320,314,2.9194481,2024-01-01,30.799529411764706,Ambarnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.41936680969826,17.775997589449712]}"
18_0,0.44,0.06768108,2.94,0.64,4.21,0.095862165,224.14,3.34,181,0.2326108,0.42,4.39,0.112962164,2.44,0.2012027,0.14377297,0.698896492913336,0.76,-0.0,333,337,"5/25/24, 12:00 AM",DHARASHIV,614,2024-12-31,7.79,2.744123,363,351,304,312,0.92740995,2024-01-01,30.85635294117648,Madaj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.62445218906275,17.92637556801132]}"
19_0,0.51,0.07646579,4.17,0.23,4.98,0.10412105,705.21,6.42,153,0.23278947,0.33,9.43,0.13569474,2.17,0.25761053,0.19151053,1.336273210567154,0.76,270.0,393,394,"6/21/24, 12:00 AM",DHARASHIV,650,2024-12-31,7.68,2.8103323,288,283,318,323,0.9776868,2024-01-01,30.77936842105263,Naigaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.23422402964123,18.456201922585013]}"
20_0,0.77,0.053292107,1.98,0.56,3.91,0.07201579,679.83,5.95,154,0.17603947,0.42,4.17,0.08401316,2.2,0.18377894,0.13932368,-1.889432640578081,0.72,72.45363,391,393,"6/26/24, 12:00 AM",DHARASHIV,648,2024-12-31,7.52,2.8103323,289,282,320,325,3.0735323,2024-01-01,30.759894736842103,Naigaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.23826644841976,18.456201922585013]}"
21_0,0.36,0.07259873,2.77,0.74,1.76,0.10013038,611.11,4.81,176,0.19853418,0.32,5.7,0.12517595,2.57,0.2213443,0.16835064,-1.5057758887218002,0.86,27.787687,503,496,"6/27/24, 12:00 AM",DHARASHIV,553,2024-12-31,7.67,2.325322,187,188,310,315,2.0958447,2024-01-01,30.871885714285717,Kanadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.57827420917715,18.408501380998267]}"
22_0,0.51,0.06912973,2.59,0.38,2.58,0.095732436,342.56,3.97,168,0.20775945,0.25,4.61,0.1255,2.29,0.23914865,0.17335135,4.4947885137181185,0.2,-0.0,308,320,"4/2/24, 12:00 AM",DHARASHIV,628,2024-12-31,7.48,2.6995618,370,354,322,326,0.0,2024-01-01,30.828514285714295,Karwanji,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4204447880392,17.91990769796566]}"
23_0,0.46,0.04775,2.84,0.43,1.27,0.060939025,279.12,7.17,147,0.15174755,0.36,4.39,0.06774512,2.35,0.15659635,0.11323536,-0.6914023963428277,0.4,180.0,432,423,"4/8/24, 12:00 AM",DHARASHIV,695,2024-12-31,7.88,2.3134024,261,259,307,318,0.92740995,2024-01-01,30.763444444444442,Girwali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.67178883025399,18.63460733801115]}"
24_0,0.67,0.06351351,3.2,0.38,1.71,0.088577025,262.21,4.79,149,0.22640675,0.4,3.51,0.11641351,1.9,0.26094055,0.18010135,3.900447652286948,0.33,133.51985,497,503,"4/30/24, 12:00 AM",DHARASHIV,507,2024-12-31,7.63,2.287862,231,220,273,277,2.6918402,2024-01-01,30.851828571428573,Songiri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.47397980469087,18.263782788726612]}"
25_0,0.28,0.05487625,3.51,0.43,3.23,0.0780775,375.33,5.7,161,0.1919125,0.15,3.51,0.09794375,2.11,0.21176626,0.1549225,1.335734205029517,0.36,226.47653,548,553,"6/24/24, 12:00 AM",DHARASHIV,506,2024-12-31,7.28,2.2473292,156,152,296,296,4.0337877,2024-01-01,30.761263157894746,Asu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5478213210455,18.241953727322507]}"
