system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.42,0.083822854,0.2,0.09,3.72,0.10774857,247.3,0.36,209.48,0.23723714,0.45,14.07,0.124217145,2.04,0.25899428,0.18958572,-0.3899961537007762,0.37,313.12662,404,394,"5/13/24, 12:00 AM",GADCHIROLI,231,2024-12-31,5.8,3.6219301,219,228,377,378,1.3564953,2024-01-01,30.496342857142867,Mohagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21843197776813,20.502743802866107]}"
1_0,0.2,0.082662664,0.48,0.17,2.25,0.104616,225.79,1.6,112.9,0.198824,0.52,16.09,0.12508267,8.63,0.23685867,0.19506133,-0.6932621706707762,0.37,180.0,351,367,"2/2/24, 12:00 AM",GADCHIROLI,124,2024-12-31,8.2,4.5222874,299,288,350,346,0.92740995,2024-01-01,30.4212,Glassfordpetha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.97965977524916,18.954497410686113]}"
2_0,0.5,0.066565275,0.2,0.024,2.84,0.09399167,249.98,1.5,189.41,0.24760139,0.57,13.66,0.10985695,8.32,0.29198474,0.2103639,-2.212319782824693,0.59,151.94803,344,349,"3/1/24, 12:00 AM",GADCHIROLI,215,2024-12-31,6.58,3.6017144,275,280,382,371,4.1963043,2024-01-01,30.50251428571429,Rajagata Mal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.0694014721327,20.23055427177789]}"
3_0,0.52,0.08983235,0.1,0.052,2.92,0.11776765,206.98,0.48,199.27,0.24793823,0.58,7.38,0.15790883,12.32,0.3667,0.3110088,-1.7684221277773362,0.49,133.27531,375,375,"5/21/24, 12:00 AM",GADCHIROLI,261,2024-12-31,5.56,3.9477835,292,293,333,333,2.7039998,2024-01-01,30.471411764705884,Geda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20010634597209,19.688331166283348]}"
4_0,0.2,0.08533151,0.27,0.04,5.06,0.111187674,213.7,1.24,102.86,0.24706438,0.43,9.48,0.12838493,8.49,0.2904411,0.20480274,0.022219052319853664,0.57,46.74569,374,376,"5/16/24, 12:00 AM",GADCHIROLI,218,2024-12-31,5.3,3.7061262,288,290,338,334,1.3532798,2024-01-01,30.45,Navegaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.99906338538614,19.805561310860945]}"
5_0,1.08,0.1347919,0.14,0.19,2.9,0.16585946,235.2,1.28,144.26,0.3321811,0.63,10.14,0.21811621,11.26,0.4495919,0.3379054,-1.997034538428445,0.49,324.74927,362,353,"3/18/24, 12:00 AM",GADCHIROLI,202,2024-12-31,6.13,4.007228,288,290,350,357,3.4032378,2024-01-01,30.383575757575763,Permili,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2866141078328,19.389192176671546]}"
6_0,0.56,0.06944324,0.13,0.029,2.73,0.08498378,239.23,2.52,252.13,0.21116486,0.72,8.37,0.08803514,1.91,0.19056757,0.13841352,-2.1676461306014847,0.52,256.7312,363,354,"3/18/24, 12:00 AM",GADCHIROLI,208,2024-12-31,6.65,4.007228,287,287,351,360,4.034329,2024-01-01,30.427636363636367,Permili,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29200399953751,19.39350409003532]}"
7_0,0.62,0.08514054,0.04,0.13,3.97,0.11035946,259.39,1.66,215.76,0.24425136,0.65,11.46,0.13059188,8.33,0.28042433,0.20531622,-1.0841726102339515,0.49,46.89261,403,412,"5/17/24, 12:00 AM",GADCHIROLI,243,2024-12-31,6.29,3.4467852,231,236,366,352,2.712442,2024-01-01,30.466571428571434,Gothangaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20953865645535,20.605421239840968]}"
8_0,0.64,0.0585,0.42,0.014,3.12,0.07366757,288.96,1.38,195.69,0.21492703,0.5,9.7,0.07915405,7.86,0.27136487,0.18342163,-1.8533081777518516,0.51,160.53775,363,354,"5/14/24, 12:00 AM",GADCHIROLI,213,2024-12-31,5.86,4.007228,287,287,350,359,2.9484892,2024-01-01,30.4355,Permili,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.29604641831605,19.39027015501249]}"
9_0,0.68,0.08971266,0.2,0.042,3.92,0.11817089,267.45,1.02,129.45,0.2630367,0.46,7.93,0.14478987,11.47,0.34261897,0.25152153,-0.8679780974474243,0.27,295.08765,397,406,"5/12/24, 12:00 AM",GADCHIROLI,222,2024-12-31,6.99,3.5221853,236,235,367,359,2.186396,2024-01-01,30.51327272727273,Dongargaon Halbi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04326049736483,20.55394777406092]}"
