system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.28,0.07289394,0.21,0.42,8.63,0.09689697,187,4.56,163,0.2445,0.35,15,0.107757576,5.41,0.27638182,0.1926788,-1.09221965380548,0.66,132.95573,410,421,"4/11/24, 12:00 AM",GONDIA,332,2024-12-31,7.5,3.681192,186,183,404,396,2.7201319,2024-01-01,30.319789473684207,Isatola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1416260209759,21.39746582584915]}"
1_0,0.54,0.095604,0.21,0.47,7.85,0.122773334,187,2.68,298,0.258632,0.35,20,0.15653066,4.36,0.34347466,0.259524,-0.8710176380742098,0.57,64.94947,356,370,"5/18/24, 12:00 AM",GONDIA,251,2024-12-31,7.3,3.7435002,226,224,418,406,2.1894221,2024-01-01,30.41494117647059,Morgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06131663457562,20.809967630034983]}"
2_0,0.57,0.0639863,0.36,0.64,7.68,0.08355617,187,2.58,288,0.23561507,0.47,20,0.0825685,4.86,0.21400137,0.14113836,-0.4252217796286956,0.68,28.144236,347,362,"5/18/24, 12:00 AM",GONDIA,243,2024-12-31,7.8,3.6637206,230,228,423,410,2.1027749,2024-01-01,30.411371428571425,Morgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04218251902388,20.823711853882013]}"
3_0,0.5,0.09483334,0.2,0.45,5.68,0.12392667,244,2.03,301,0.26405868,0.55,15,0.157984,4.05,0.35783866,0.27166533,5.507211978614489,0.61,121.92997,358,373,"5/18/24, 12:00 AM",GONDIA,246,2024-12-31,7.3,3.7435002,235,230,407,397,3.5029907,2024-01-01,30.41494117647059,Morgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05996916164945,20.811045608375927]}"
4_0,0.51,0.11014117,0.23,0.57,7.85,0.13252647,169,3.65,296,0.26188236,0.36,16,0.15334706,4.63,0.30531764,0.2220853,-2.36310425859426,0.63,235.04298,382,389,"5/25/24, 12:00 AM",GONDIA,288,2024-12-31,7.63,3.373879,209,207,409,404,4.844718,2024-01-01,30.359277777777784,Gongle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.16965345784044,21.23226564509957]}"
5_0,0.34,0.10575714,0.24,0.47,8.33,0.12983143,165,2.58,264,0.26392,0.32,18,0.14692286,4.31,0.30887142,0.22459143,2.0776466012022787,0.51,-0.0,448,455,"6/22/24, 12:00 AM",GONDIA,341,2024-12-31,7.64,3.488192,194,196,358,349,0.0,2024-01-01,30.44160000000001,Makardhokada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.40357475782515,21.090241998680273]}"
6_0,0.54,0.10124,0.23,0.41,8.02,0.12431714,165,3.65,265,0.25628,0.53,16,0.13652286,5.35,0.27357143,0.19488,-0.7759438972211616,0.61,270.0,448,455,"6/22/24, 12:00 AM",GONDIA,342,2024-12-31,7.33,3.488192,194,196,358,349,0.99398005,2024-01-01,30.44160000000001,Makardhokada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.4038442524104,21.090241998680273]}"
7_0,0.2,0.10008182,0.25,0.51,7.82,0.12826061,198,2.97,293,0.28299698,0.46,18,0.13716364,3.21,0.2803212,0.20946364,0.734478402093681,0.62,238.11847,405,408,"5/27/24, 12:00 AM",GONDIA,270,2024-12-31,7.64,3.5406055,197,201,397,391,3.5077388,2024-01-01,30.46525714285714,Putli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15941266360147,21.09293694453263]}"
8_0,0.24,0.1118,0.22,0.77,8.54,0.14840303,164,2.65,268,0.30182424,0.45,21,0.18637273,4.32,0.38424242,0.30684847,-0.7759723657983519,0.38,270.0,411,418,"5/26/24, 12:00 AM",GONDIA,274,2024-12-31,7.03,3.5406055,194,197,395,385,1.9873918,2024-01-01,30.45976470588235,Putli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1626465986243,21.09239795536216]}"
9_0,0.55,0.09378788,0.23,0.47,7.88,0.11292121,157,3.99,299,0.23419394,0.51,18,0.12466667,4.65,0.24059394,0.17822728,-1.7819699841987953,0.61,313.01962,371,381,"5/26/24, 12:00 AM",GONDIA,285,2024-12-31,8,3.5689561,223,222,406,397,2.7168844,2024-01-01,30.39194117647058,Putli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21412006440436,21.0678739481057]}"
