system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.3,0.0824175,2.18,0.32,1.46,0.101265,439.04,13.44,178,0.23985,0.35,21.53,0.1023675,11.11,0.1847225,0.13646,-0.009164363225770187,0.84,-0.0,472,460,"3/31/24, 12:00 AM",JALNA,582,2024-12-31,7.8,2.653424,216,221,312,319,0.92740995,2024-01-01,30.57783333333333,Selud,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89897276560782,20.429441275681953]}"
1_0,0.42,0.05318421,2.3,0.36,3.22,0.0726921,617.46,11.44,187,0.21162894,0.26,13.79,0.08037631,10.16,0.16966842,0.11753421,3.695454512672386,0.96,-0.0,486,453,"1/18/24, 12:00 AM",JALNA,513,2024-12-31,8.2,2.6359723,213,236,301,311,0.0,2024-01-01,30.704228571428576,Wakulni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.63621554500286,19.778072863166887]}"
2_0,0.87,0.065423496,0.92,0.58,0.96,0.091356024,275.52,3.5,172,0.26154938,0.4,17.42,0.10535422,8.93,0.21770181,0.15674518,0.3973297732981712,1.3,-0.0,472,460,"2/24/24, 12:00 AM",JALNA,569,2024-12-31,8.1,2.5650017,270,277,258,263,0.92740995,2024-01-01,30.698888888888884,Sindi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9604175310416,20.267205535369968]}"
3_0,0.71,0.1659938,2.46,0.31,2.56,0.1926708,437.92,10.76,140,0.2595,0.25,18.87,0.21555777,8.04,0.2771795,0.2422528,0.680652768090775,0.62,208.00044,448,451,"1/24/24, 12:00 AM",JALNA,517,2024-12-31,7.9,2.6267295,236,235,316,314,2.0999646,2024-01-01,30.852058823529404,Panshendra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9108305273582,19.890182610625004]}"
4_0,0.36,0.059487805,0.94,0.36,2.38,0.08904878,407.79,14.24,179,0.20708048,0.26,16.93,0.09974147,10.94,0.17957805,0.13846341,-1.452138583035018,1.62,270.0,473,460,"1/16/24, 12:00 AM",JALNA,483,2024-12-31,8.2,2.6866145,268,279,259,261,1.9704545,2024-01-01,30.824117647058824,Shivni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1956863039525,19.77537791731453]}"
5_0,0.26,0.06242143,1,0.22,0.68,0.08090238,296.8,12.78,218,0.25575238,0.31,14.03,0.0873881,12.28,0.21475238,0.14287858,-1.077406243462737,0.56,133.23509,455,446,"2/11/24, 12:00 AM",JALNA,555,2024-12-31,8,2.5182605,258,265,287,289,1.3537625,2024-01-01,30.67422222222222,Pokhari Kandhali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4263736689144,19.912281166614346]}"
7_0,0.42,0.07718987,1.66,0.38,2.54,0.10221772,307.78,8.34,163,0.23749115,0.14,16.69,0.12089114,9.55,0.21808481,0.16683544,1.5417861061231628,1.52,90.0,473,453,"1/20/24, 12:00 AM",JALNA,539,2024-12-31,8.1,2.66214,230,235,298,312,1.972233,2024-01-01,30.817,Wanjar Umrad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.90301518438636,19.91847954207477]}"
8_0,0.42,0.07023,3.56,0.71,1.4,0.096355,505.12,8.9,209,0.20723,0.46,12.82,0.118305,10.88,0.1889625,0.1484525,-1.0782612539202814,1.6,226.78107,459,457,"2/2/24, 12:00 AM",JALNA,593,2024-12-31,8.3,2.6776078,280,282,261,261,1.3541687,2024-01-01,30.70305882352941,Bhakarwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.60468467853026,20.001483874327413]}"
9_0,0.61,0.1010175,0.48,0.38,2.9,0.1224225,674.24,13.42,204,0.2658525,0.31,8.95,0.134135,10.49,0.237955,0.1775025,1.6404819290820836,1.34,90.0,452,425,"2/12/24, 12:00 AM",JALNA,445,2024-12-31,7.9,2.70534,229,236,319,338,0.9847317,2024-01-01,30.7806111111111,Helaswadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.36600688182156,19.647637483912735]}"
11_0,0.44,0.08751,3.42,0.65,1.44,0.108077504,264.32,10.76,125,0.2511525,0.44,18.39,0.118955,11.78,0.2307075,0.169545,-1.899201779623299,0.76,287.4615,477,461,"5/26/24, 12:00 AM",JALNA,417,2024-12-31,8,2.7449617,226,225,297,314,3.087979,2024-01-01,30.709657142857143,Sankanpuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.11726337964886,19.321010046606876]}"
12_0,0.36,0.057051282,2.14,0.62,1.06,0.08039487,498.4,9.76,223,0.22024359,0.32,19.6,0.09462821,8.26,0.23482564,0.1642436,-0.2919812619265687,0.76,180.0,447,434,"2/10/24, 12:00 AM",JALNA,450,2024-12-31,7.9,2.6633413,234,238,319,328,1.8543341,2024-01-01,30.80511111111111,Pimparkheda Kharabe,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.352801647145,19.650062935179857]}"
