system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.78,0.069427274,4.37,0.59,4.68,0.096013635,124.32,7.89,289.21,0.26246363,0.48,16.38,0.1319591,18.34,0.29662272,0.21941136,-1.0914139905507299,0.57,312.9708,381,386,"6/14/24, 12:00 AM",NANDURBAR,241,2024-12-31,7.3,2.4179716,325,320,295,294,1.3604488,2024-01-01,30.845294117647057,Songir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13890362943243,21.320390374471696]}"
1_0,0.59,0.08914186,4.27,0.74,5.35,0.11291163,126.34,7.82,279.25,0.2690837,0.49,15.38,0.1423186,16.37,0.28696743,0.21657442,-1.472253851475838,0.51,270.0,381,391,"6/14/24, 12:00 AM",NANDURBAR,232,2024-12-31,8.25,2.4179716,328,319,291,290,1.9905288,2024-01-01,30.84933333333333,Songir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1491444236714,21.325510771591176]}"
2_0,0.58,0.08914186,4.97,0.58,5.22,0.11291163,134.25,8.29,285.24,0.2690837,0.47,16.27,0.1423186,16.24,0.28696743,0.21657442,-1.472253851475838,0.48,270.0,381,391,"6/14/24, 12:00 AM",NANDURBAR,232,2024-12-31,8.24,2.4179716,328,319,291,290,1.9905288,2024-01-01,30.84933333333333,Songir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1491444236714,21.325510771591176]}"
3_0,0.58,0.06505,4.332,0.55,5.34,0.0798881,128.34,8.57,286.34,0.17407857,0.49,19.57,0.096811906,19.37,0.19939762,0.15834524,-0.014866733370805954,0.67,180.0,370,382,"6/14/24, 12:00 AM",NANDURBAR,271,2024-12-31,7.68,2.4071362,351,341,279,278,0.92740995,2024-01-01,30.784235294117646,Songir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1769023659507,21.301525753505185]}"
4_0,0.58,0.06883256,4.85,0.49,5.27,0.09575814,134.21,7.35,294.32,0.26063254,0.34,19.32,0.120597675,19.32,0.26436278,0.19593255,1.068707154206961,0.7325,65.0249,379,396,"6/14/24, 12:00 AM",NANDURBAR,233,2024-12-31,7,2.4179716,326,315,294,289,2.1956027,2024-01-01,30.857176470588243,Songir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14429352113716,21.3211988582274]}"
5_0,0.84,0.06505,4.85,0.58,5.67,0.0798881,126.32,7.64,267.32,0.17407857,0.48,16.37,0.096811906,15.37,0.19939762,0.15834524,-0.014866733370805954,0.78,180.0,370,382,"6/14/24, 12:00 AM",NANDURBAR,271,2024-12-31,7.3,2.4071362,351,341,279,278,0.92740995,2024-01-01,30.784235294117646,Songir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1769023659507,21.301525753505185]}"
6_0,0.4,0.074965954,4.93,0.621,4.69,0.10264043,285.12,3.25,262.34,0.25377235,0.48,16.31,0.12955745,16.89,0.21414894,0.15311064,1.3932071579142697,0.32,132.96576,370,389,"4/29/24, 12:00 AM",NANDURBAR,229,2024-12-31,7.7,2.2035735,329,317,301,294,1.3605771,2024-01-01,30.89624242424242,Ranale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40193034462264,21.3459923600691]}"
7_0,0.72,0.09194167,4.62,0.592,6.33,0.1186875,238.59,5.23,274.1,0.30464792,0.39,19.04,0.12629375,10.26,0.25551873,0.18254583,-1.5706469725356744,0.53,114.97165,380,394,"4/29/24, 12:00 AM",NANDURBAR,233,2024-12-31,7.9,2.2035735,328,318,292,288,2.195886,2024-01-01,30.89624242424242,Ranale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40031337711122,21.34410589797245]}"
8_0,0.57,0.074965954,4.41,0.652,4.56,0.10264043,209.24,5.05,226.44,0.25377235,0.55,18.4,0.12955745,17.06,0.21414894,0.15311064,1.3932071579142697,0.41,132.96576,370,389,"4/29/24, 12:00 AM",NANDURBAR,229,2024-12-31,7.8,2.2035735,329,317,301,294,1.3605771,2024-01-01,30.89624242424242,Ranale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40193034462264,21.3459923600691]}"
9_0,0.31,0.074965954,4.59,0.512,5.13,0.10264043,242.69,5.96,166.3,0.25377235,0.45,18.9,0.12955745,19.15,0.21414894,0.15311064,1.3932071579142697,0.59,132.96576,370,389,"4/29/24, 12:00 AM",NANDURBAR,229,2024-12-31,7.8,2.2035735,329,317,301,294,1.3605771,2024-01-01,30.89624242424242,Ranale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40193034462264,21.3459923600691]}"
