system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.116,0.045858823,2.02,0.03,7.156,0.065855294,317.12,73.18,194.53,0.2286247,0.75,23.28,0.06387883,31.9,0.20044588,0.12808117,-0.4672008021993248,0.73,90.0,382,382,"5/31/24, 12:00 AM",THANE,49,2024-12-31,6.9,7.9229894,321,319,298,298,2.9481208,2024-01-01,30.728235294117646,Newade,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.15497889873633,19.442013115377776]}"
1_0,0.17131,0.08492561,2.41,0.01,17.76,0.10889024,195.786192,78.66,248.4953856,0.22002073,0.8204,51.950976,0.13565853,3.828,0.2763817,0.21866098,-2.7128817400064933,0.74,237.84004,403,408,"5/22/24, 12:00 AM",THANE,40,2024-12-31,6.5,7.5377445,340,336,257,256,6.935806,2024-01-01,30.730812500000006,Dahagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.26169875448973,19.414794162268954]}"
2_0,0.06,0.078589156,1.63,0.05,53.14,0.10293735,248.56,77.02,179.47,0.22486746,0.95,55.66,0.13240603,5.1,0.28826144,0.2271506,-1.0739614304621619,2.06,226.69974,362,363,"1/31/24, 12:00 AM",THANE,157,2024-12-31,7.6,6.9585176,358,360,280,278,2.7027514,2024-01-01,30.85472727272727,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33796572211148,19.548193981960704]}"
3_0,0.125,0.083191566,2.43,0.05,42.82,0.10925904,114.68,77.02,220.88,0.24932891,0.72,45.2,0.13662651,15.95,0.28516507,0.21002771,-1.884477210603034,1.74,220.32907,362,363,"1/29/24, 12:00 AM",THANE,163,2024-12-31,7.3,6.9585176,358,360,280,278,6.0604796,2024-01-01,30.85472727272727,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33850471128194,19.548732971131173]}"
5_0,0.065,0.07373781,3.34,0.05,41.14,0.097364634,13.69,77.02,219.63,0.21197683,0.79,92.43,0.11410732,7.66,0.19434269,0.14842561,-2.5774628472720478,2.87,40.32586,361,363,"1/31/24, 12:00 AM",THANE,160,2024-12-31,7.4,6.9585176,359,360,280,277,6.0601935,2024-01-01,30.94393939393939,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.34200814089002,19.530407339335138]}"
6_0,0.005,0.07913494,3.84,0.02,21.16,0.10768795,787.61,77.02,197.04,0.26429278,0.62,46.55,0.15170723,10.21,0.35613856,0.26512772,-1.9982171187365096,2.55,215.27509,352,353,"1/31/24, 12:00 AM",THANE,174,2024-12-31,7.2,6.9585176,361,361,287,286,3.4042578,2024-01-01,30.900000000000002,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33527077625912,19.535258241869382]}"
7_0,0.171,0.066725,1.86,0.04,10.81,0.08850682,289.45,94.9,282.38,0.23188409,0.29,19.57,0.10981591,22.97,0.27065456,0.18578182,-1.513372320152605,0.63,207.93748,387,384,"5/31/24, 12:00 AM",THANE,75,2024-12-31,7,7.319488,333,337,280,280,2.0987408,2024-01-01,30.61193939393939,Newade,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.20699135368685,19.46518964970806]}"
8_0,0.06945,0.057846915,1.13,0.03,7.096,0.07671975,126.37195199999998,78.66,235.9451136,0.22346173,0.80575,134.9376,0.08094815,11.483999999999998,0.2203963,0.15024321,1.6162989716504266,0.41,256.7327,391,395,"5/30/24, 12:00 AM",THANE,31,2024-12-31,6,7.5377445,345,342,264,264,4.0347714,2024-01-01,30.730812500000006,Dahagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.25873431405213,19.41263820558707]}"
9_0,0.06,0.083191566,2.43,0.03,43.58,0.10925904,145.2,77.02,210.84,0.24932891,0.92,67.47,0.13662651,0.64,0.28516507,0.21002771,-1.884477210603034,1.68,220.32907,362,363,"1/31/24, 12:00 AM",THANE,163,2024-12-31,7.6,6.9585176,358,360,280,278,6.0604796,2024-01-01,30.85472727272727,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33850471128194,19.548732971131173]}"
10_0,0.12501,0.09554321,2.3,0.02,13.52,0.110579014,623.0165759999999,78.66,348.8975616,0.1666926,0.60065,67.131456,0.12932593,31.9,0.20924816,0.18747407,-0.8198133199374668,0.9,27.929409,394,400,"5/30/24, 12:00 AM",THANE,30,2024-12-31,6.2,7.5377445,340,336,265,264,2.0985842,2024-01-01,30.69187500000001,Dahagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.26708864619445,19.40994325973471]}"
11_0,0.245,0.082147725,1.19,0.04,8.372,0.093313634,472.68,61.72,307.48,0.21830228,0.62,16.53,0.09776136,29.99,0.23166819,0.16511819,-1.0731322615386116,0.69,226.68416,383,392,"5/31/24, 12:00 AM",THANE,42,2024-12-31,6.2,8.050427,343,337,274,271,1.3517383,2024-01-01,30.651937500000006,Newade,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.18947420564652,19.46006925258858]}"
12_0,0.009,0.07627711,3.55,0.01,46.48,0.106172286,63.33,77.02,214.61,0.26671806,0.12,32.72,0.15194458,16.59,0.35837469,0.26948553,-2.169384413169383,2.46,283.2573,363,364,"1/29/24, 12:00 AM",THANE,172,2024-12-31,6.8,6.9585176,357,358,279,278,4.0377507,2024-01-01,30.900000000000002,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33554027084435,19.53930066064792]}"
13_0,0.005,0.07404337,2.95,0.03,36.26,0.091779515,131.6,77.02,258.54,0.1738494,0.86,103.23,0.11165783,4.47,0.21407712,0.17615783,0.09159301806791124,1.87,19.478693,359,357,"1/31/24, 12:00 AM",THANE,170,2024-12-31,7.2,6.9585176,371,374,270,269,2.948788,2024-01-01,31.01630303030303,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.34524207591285,19.538222682306976]}"
14_0,0.06,0.0848747,2.4,0.06,49.02,0.11066988,199.4,72.66,207.08,0.23751085,0.88,80.63,0.14508434,14.04,0.29972893,0.22990242,7.280419509531423,2.23,-0.0,362,363,"1/29/24, 12:00 AM",THANE,152,2024-12-31,7.6,6.9585176,358,360,280,278,0.0,2024-01-01,30.85472727272727,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.33661824918529,19.54846347654594]}"
18_0,0.06,0.07732891,1.42,0.02,21.82,0.10246265,796.46,77.02,253.52,0.22062048,0.88,49.59,0.13944699,2.55,0.3173687,0.2450771,-1.7670100083071285,3,133.30205,358,357,"1/31/24, 12:00 AM",THANE,170,2024-12-31,7.4,6.9585176,363,365,279,278,2.702663,2024-01-01,31.01630303030303,Kalamgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.3441640975719,19.53795318772174]}"
19_0,0.06019,0.06759753,1.78,0.01,17.76,0.085488886,173.44051199999998,78.66,273.59592960000003,0.20366544,0.9962,65.107392,0.09503087,21.692,0.22485308,0.17015556,-1.8099875699820493,0.63,349.97855,405,408,"5/30/24, 12:00 AM",THANE,42,2024-12-31,6.8,7.5377445,338,336,257,256,5.632949,2024-01-01,30.730812500000006,Dahagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.26385471117162,19.413177194757537]}"
20_0,0.11575,0.06759753,3.58,0.06,18.88,0.085488886,432.7454879999999,78.66,311.2467456,0.20366544,0.9962,78.26380800000001,0.09503087,26.796000000000003,0.22485308,0.17015556,-1.8099875699820493,1.26,349.97855,405,408,"5/30/24, 12:00 AM",THANE,42,2024-12-31,6.3,7.5377445,338,336,257,256,5.632949,2024-01-01,30.730812500000006,Dahagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.26385471117162,19.413177194757537]}"
