system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.115475,0.4,0.24,5.8,0.12733833,161.5,3.1,401.28,0.17986,0.96,36.8,0.13599333,0,0.20464833,0.18416333,-0.8396810053451781,1.2,90.0,296,316,"3/12/24, 12:00 AM",EAST JAINTIA HILLS,1166,2024-12-31,5.4,7.748561,365,353,340,331,1.0264393,2024-01-01,29.813882352941178,Lumshnong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.41440943261681,25.377631355197515]}"
2_0,0,0.11216762,0.3,0.29,3.6,0.12674667,238,3.1,401.28,0.2742324,0.81,28.44,0.14016476,0,0.31566763,0.22252858,-1.5638225169296687,0.9,331.062,301,301,"2/29/24, 12:00 AM",EAST JAINTIA HILLS,951,2024-12-31,5.3,8.668964,390,390,309,309,2.1186643,2024-01-01,29.890424242424242,Suchen Mulieh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.22549372836647,25.266599586080343]}"
5_0,0,0.10515357,0.6,0.26,5.7,0.124626786,183.9,1.9,401.28,0.26252142,0.8,23.78,0.13090536,0,0.24842857,0.17889108,-1.137400601088411,1.6,132.11076,324,335,"3/5/24, 12:00 AM",EAST JAINTIA HILLS,1187,2024-12-31,4.6,9.236223,349,347,327,318,1.382878,2024-01-01,29.735212121212125,Wahsarang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25810257318001,25.322923954394636]}"
6_0,0,0.08255096,0.5,0.16,5.6,0.09764039,173.26,2.9,376.2,0.24773076,0.96,16.26,0.088093266,0,0.18975289,0.12662403,-2.640372222305188,0.6,278.5733,281,296,"3/13/24, 12:00 AM",EAST JAINTIA HILLS,701,2024-12-31,5,9.33859,415,405,304,299,6.1973653,2024-01-01,29.825818181818185,Nongsning,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37883614736567,25.236416192533927]}"
7_0,0,0.09306421,0.5,0.28,5.3,0.11392737,141.68,2.6,300.96,0.23278211,0.93,18.24,0.12758736,0,0.25503895,0.19853474,-2.6622918919044887,1.4,331.0649,303,317,"3/11/24, 12:00 AM",EAST JAINTIA HILLS,879,2024-12-31,5,9.291532,401,392,296,292,6.3328,2024-01-01,29.788060606060608,Pynurkba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.28828596672643,25.25231637306284]}"
8_0,0,0.112089284,0.3,0.28,4.6,0.12085357,174.38,2.2,351.12,0.21444643,0.93,20.72,0.12580357,0,0.24410357,0.17767857,-1.4311616719097628,0.9,180.0,309,325,"3/11/24, 12:00 AM",EAST JAINTIA HILLS,1272,2024-12-31,5.1,7.8561993,361,351,330,324,3.7047918,2024-01-01,29.684228571428566,Lumchyrmit,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20878506408185,25.353376842526288]}"
9_0,0,0.115475,0.6,0.18,6,0.12733833,152.43,2.6,426.36,0.17986,0.96,16.61,0.13599333,0,0.20464833,0.18416333,-0.8396810053451781,1,90.0,296,316,"3/12/24, 12:00 AM",EAST JAINTIA HILLS,1166,2024-12-31,4.9,7.748561,365,353,340,331,1.0264393,2024-01-01,29.813882352941178,Lumshnong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.41440943261681,25.377631355197515]}"
10_0,0,0.09349358,0.6,0.18,4.3,0.10305046,298.46,3.1,225.72,0.22154036,0.93,22.34,0.09285413,0,0.19074771,0.1244,5.325140281930108,0.9,286.7802,286,305,"3/11/24, 12:00 AM",EAST JAINTIA HILLS,684,2024-12-31,4.6,9.33859,419,404,295,290,3.209274,2024-01-01,29.83951515151515,Wahiajer,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.38018362029186,25.227522871221144]}"
11_0,0,0.115475,0.3,0.16,4.9,0.12733833,159.94,2.6,275.88,0.17986,0.96,16.97,0.13599333,0,0.20464833,0.18416333,-0.8396810053451781,0.8,90.0,296,316,"3/12/24, 12:00 AM",EAST JAINTIA HILLS,1166,2024-12-31,5.3,7.748561,365,353,340,331,1.0264393,2024-01-01,29.813882352941178,Lumshnong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.41440943261681,25.377631355197515]}"
12_0,0,0.10599039,0.4,0.18,4.8,0.11360096,204.51,2.6,401.28,0.28321826,0.81,20.07,0.097814426,0,0.2030798,0.13204038,-3.4772811610000316,0.7,238.90723,307,323,"2/29/24, 12:00 AM",EAST JAINTIA HILLS,722,2024-12-31,5,9.33859,407,392,286,285,14.077569,2024-01-01,29.79672222222223,Musiang Lamare (New).,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37263777190526,25.230487311658738]}"
13_0,0,0.20216072,0.3,0.16,4.4,0.25245357,168.65,2.8,376.2,0.36145177,0.81,16.55,0.30843928,0,0.47988215,0.41536963,-0.7377748166876315,0.7,-0.0,319,329,"3/5/24, 12:00 AM",EAST JAINTIA HILLS,1187,2024-12-31,4.8,9.236223,348,344,333,327,0.92740995,2024-01-01,29.735212121212125,Wahsarang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25837206776525,25.32400193273558]}"
14_0,0,0.08392408,0.6,0.28,4.5,0.10615926,243.38,2.1,401.28,0.27890742,0.61,13.89,0.11362963,0,0.26502037,0.17136852,-2.4144091094078814,1.4,124.13073,304,317,"3/5/24, 12:00 AM",EAST JAINTIA HILLS,978,2024-12-31,5.1,7.8946986,385,381,311,302,4.9467826,2024-01-01,29.774124999999998,Moolamylliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.47262026302775,25.340710597020202]}"
16_0,0,0.08769286,0.1,0.16,3.9,0.10997678,172.48,3.2,426.36,0.2426,0.81,15.95,0.11901964,0,0.23558035,0.18547143,-1.56325428940685,0.9,151.07338,319,329,"2/23/24, 12:00 AM",EAST JAINTIA HILLS,822,2024-12-31,5.1,9.33859,401,396,280,274,2.1184323,2024-01-01,29.829142857142863,Chiehruphi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.37506322317238,25.209736228595578]}"
17_0,0,0.09906429,0.5,0.22,3.9,0.1073875,154.67,2.8,401.28,0.17585893,0.81,31.12,0.10965893,0,0.19953214,0.15227321,-0.29112804218265104,1.2,159.75037,287,317,"2/29/24, 12:00 AM",EAST JAINTIA HILLS,1102,2024-12-31,5,7.748561,387,373,326,310,2.9631324,2024-01-01,29.809235294117645,Sutnga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.42491972144101,25.370355001396145]}"
18_0,0,0.10634098,0.4,0.23,4.9,0.11877705,143.36,3,476.52,0.27292788,0.78,18.8,0.103027865,0,0.20587869,0.1278082,1.2985756052379152,0.8,304.1218,297,314,"3/13/24, 12:00 AM",EAST JAINTIA HILLS,1273,2024-12-31,4.6,8.448454,373,364,330,322,4.9479146,2024-01-01,29.618176470588228,Mukhaialong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25675510025384,25.381404279390818]}"
19_0,0,0.09306421,0.6,0.32,5.5,0.11392737,126.11,2.2,326.02,0.23278211,0.93,20.41,0.12758736,0,0.25503895,0.19853474,-2.6622918919044887,1.2,331.0649,303,317,"3/11/24, 12:00 AM",EAST JAINTIA HILLS,879,2024-12-31,5.1,9.291532,401,392,296,292,6.3328,2024-01-01,29.788060606060608,Pynurkba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.28828596672643,25.25231637306284]}"
20_0,0,0.09306421,0.4,0.46,5.4,0.11392737,128.13,1.9,351.12,0.23278211,0.93,17.59,0.12758736,0,0.25503895,0.19853474,-2.6622918919044887,0.9,331.0649,303,317,"3/11/24, 12:00 AM",EAST JAINTIA HILLS,879,2024-12-31,5.1,9.291532,401,392,296,292,6.3328,2024-01-01,29.788060606060608,Pynurkba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.28828596672643,25.25231637306284]}"
21_0,0,0.09248226,0.4,0.12,3,0.10523387,169.12,3,426.36,0.24453549,0.87,19.2,0.104175806,0,0.23203386,0.16097097,2.046327116715382,0.642,-0.0,309,327,"3/18/24, 12:00 AM",EAST JAINTIA HILLS,1150,2024-12-31,5,8.571121,354,345,337,328,0.0,2024-01-01,29.825294117647054,Khliehriat East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.36751737478578,25.34340554287256]}"
22_0,0,0.16231148,0.2,0.11,4.6,0.17384426,239.79,2.4,351.12,0.27340984,0.87,20.49,0.17042787,0,0.26658362,0.19611639,3.2977825431312286,0.9,278.5648,299,317,"3/18/24, 12:00 AM",EAST JAINTIA HILLS,1139,2024-12-31,4.9,8.07066,357,350,344,333,6.203444,2024-01-01,29.83617647058824,Khliehriat East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.38153109321804,25.358766734231004]}"
23_0,0,0.092188075,0.4,0.38,4.9,0.105792664,227.7,2.2,300.96,0.25101376,0.57,14.65,0.10121835,0,0.22366513,0.15722844,4.016114356361259,0.6,208.93166,281,303,"3/13/24, 12:00 AM",EAST JAINTIA HILLS,685,2024-12-31,5.2,9.33859,411,394,308,303,2.1185353,2024-01-01,29.825818181818185,Nongsning,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.38153109321804,25.235068719607746]}"
24_0,0,0.08534855,0.6,0.18,5.7,0.093830094,128.69,3.1,250.08,0.2393767,0.89,17.13,0.088924274,0,0.22170486,0.1419699,-2.1603571563127337,1,195.45241,300,313,"3/15/24, 12:00 AM",EAST JAINTIA HILLS,886,2024-12-31,5.2,8.794471,406,397,294,290,3.843326,2024-01-01,29.810971428571428,Musiang Lamare (Old),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.30418614725535,25.259053737693737]}"
