system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
14_0,2.6,0.044154547,0.45,3.4E-4,41.56,0.05950303,360,0.11,240,0.3163091,0.65,10.5,0.04360909,1.23,0.16439697,0.082175754,-1.8358694579385835,0.76,47.98816,276,287,"1/17/24, 12:00 AM",DIMAPUR,210,2024-12-31,4.7,6.0682135,363,357,360,357,2.769432,2024-01-01,29.84589743589744,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.68965780995289,25.73956258316927]}"
29_0,0.74,0.07171562,0.56,3.1E-4,32.9,0.08799063,410,1.91,210,0.2120875,0.89,19.8,0.08630625,1.67,0.20740625,0.13239062,-0.8756365931504038,1.7,330.96307,296,304,"1/17/24, 12:00 AM",DIMAPUR,188,2024-12-31,4.9,6.3820076,369,363,336,333,2.1206908,2024-01-01,29.922944444444447,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.69828163668043,25.75573225828342]}"
89_0,0.223,0.04938182,0.45,7.8E-4,29.4,0.065672725,350,1.09,190,0.28487274,0.34,13.6,0.054915152,1.76,0.1863909,0.10642121,2.0430803305817062,0.76,-0.0,276,287,"1/17/24, 12:00 AM",DIMAPUR,211,2024-12-31,4.67,6.0682135,363,357,360,357,0.0,2024-01-01,29.84589743589744,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.68938831536765,25.73956258316927]}"
90_0,1.08,0.0545125,1.31,5.1E-4,39.6,0.0695625,420,1.3,230,0.21046875,0.81,17.9,0.0576625,1.72,0.18395625,0.11282188,-2.2414945757302567,0.51,132.00897,283,294,"1/17/24, 12:00 AM",DIMAPUR,193,2024-12-31,4.9,6.3820076,374,367,343,339,4.150343,2024-01-01,29.922944444444447,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6904662937086,25.751420344919648]}"
92_0,0.41,0.0545125,3.04,6.2E-4,45.8,0.0695625,430,1.72,190,0.21046875,0.74,21.7,0.0576625,1.09,0.18395625,0.11282188,-2.2414945757302567,2.09,132.00897,283,294,"1/17/24, 12:00 AM",DIMAPUR,193,2024-12-31,6.9,6.3820076,374,367,343,339,4.150343,2024-01-01,29.922944444444447,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6904662937086,25.751420344919648]}"
93_0,1.81,0.0545125,1.51,5.1E-4,37.9,0.0695625,374,0.47,231,0.21046875,0.61,18.4,0.0576625,2.71,0.18395625,0.11282188,-2.2414945757302567,0.41,132.00897,283,294,"1/17/24, 12:00 AM",DIMAPUR,193,2024-12-31,4.1,6.3820076,374,367,343,339,4.150343,2024-01-01,29.922944444444447,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6904662937086,25.751420344919648]}"
132_0,0.45,0.04746061,0.11,6.5E-4,39.2,0.06280909,320,3.7,210,0.27499092,0.89,12.4,0.047242425,1.32,0.18831515,0.10148485,1.4568493141564163,0.76,90.0,284,297,"1/17/24, 12:00 AM",DIMAPUR,198,2024-12-31,4.5,6.0682135,365,357,351,346,1.0295876,2024-01-01,29.859538461538467,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.69343073414619,25.744413485703515]}"
133_0,0.56,0.04746061,0.78,4.2E-4,34.5,0.06280909,320,2.78,190,0.27499092,0.89,11.8,0.047242425,2.12,0.18831515,0.10148485,1.4568493141564163,0.54,90.0,284,297,"1/17/24, 12:00 AM",DIMAPUR,198,2024-12-31,4.9,6.0682135,365,357,351,346,1.0295876,2024-01-01,29.859538461538467,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.69343073414619,25.744413485703515]}"
218_0,1.65,0.04938182,0.008,9.0E-4,32.67,0.065672725,290,2.67,180,0.28487274,0.45,9.87,0.054915152,1.78,0.1863909,0.10642121,2.0430803305817062,0.67,-0.0,276,287,"1/17/24, 12:00 AM",DIMAPUR,211,2024-12-31,5.1,6.0682135,363,357,360,357,0.0,2024-01-01,29.84589743589744,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.68938831536765,25.73956258316927]}"
220_0,0.68,0.0545125,2.03,8.0E-4,32.8,0.0695625,350,1.9,180,0.21046875,0.78,18.8,0.0576625,1.67,0.18395625,0.11282188,-2.2414945757302567,1.56,132.00897,283,294,"1/17/24, 12:00 AM",DIMAPUR,193,2024-12-31,5.2,6.3820076,374,367,343,339,4.150343,2024-01-01,29.922944444444447,Industrial Vill. (Razhuphe),"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6904662937086,25.751420344919648]}"
