system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,4.6,0.09039259,1.8,0.2,67,0.09898889,95,7.2,393,0.2534148,0.9,52,0.086955555,2.1,0.17272222,0.1114,-3.3341159629389154,0.8,299.1215,336,342,"3/5/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.58,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
3_0,1.2,0.0628356,0.61,0.002,14.82,0.0841644,122.35,5.11,213.11,0.30547118,0.47,144.27,0.07357118,2.44,0.22406611,0.13850509,-2.5982455924859273,0.11,159.6737,332,345,"3/4/24, 12:00 AM",KOHIMA,951,2024-12-31,4.9,5.7050066,320,309,348,346,5.913402,2024-01-01,29.680899999999998,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.05617044587365,25.861913124866348]}"
4_0,1.19,0.11411034,0.63,0.004,14.92,0.13552241,123.78,5.35,213.18,0.25008103,0.45,144.14,0.14618103,2.42,0.25208104,0.20217241,-0.8723631344709798,0.7,282.67862,338,360,"3/4/24, 12:00 AM",KOHIMA,910,2024-12-31,4.5,5.7050066,302,291,360,349,4.218176,2024-01-01,29.680899999999998,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.05617044587365,25.858948684428753]}"
5_0,1.03,0.070335,0.61,0.006,8.37,0.08607333,138.82,4.25,238.37,0.30929333,0.28,102.3,0.07096167,2.2,0.200525,0.10705667,-3.962147048441946,0.77,2.5454557,349,359,"3/4/24, 12:00 AM",KOHIMA,790,2024-12-31,4.8,5.7050066,305,296,347,345,22.052572,2024-01-01,29.665649999999992,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06452477801597,25.872153919105312]}"
6_0,3.79,0.08223729,0.6,0.005,20.01,0.103272885,89.11,3.5,239.05,0.3199407,0.67,112.23,0.094781354,1.37,0.23705932,0.1594661,-3.1792961553276307,0.59,150.94162,339,359,"3/4/24, 12:00 AM",KOHIMA,921,2024-12-31,4.52,5.7050066,301,289,359,352,10.491645,2024-01-01,29.680899999999998,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.05617044587365,25.860296157354934]}"
9_0,2.77,0.09039259,1,0.4,41,0.09898889,144,8.5,210,0.2534148,1,110,0.086955555,3.5,0.17272222,0.1114,-3.3341159629389154,0.3,299.1215,336,342,"3/5/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.57,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
10_0,4.8,0.09039259,1.4,0.3,53,0.09898889,89,7.8,400,0.2534148,0.9,60,0.086955555,2.4,0.17272222,0.1114,-3.3341159629389154,0.45,299.1215,336,342,"3/5/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.27,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
11_0,4.7,0.09039259,1.2,0.2,54,0.09898889,92,6.8,395,0.2534148,0.95,56,0.086955555,2.1,0.17272222,0.1114,-3.3341159629389154,0.68,299.1215,336,342,"3/5/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.48,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
12_0,1.7,0.16083214,4.3,0.1,64,0.16036786,210,22,163,0.38934642,0.7,47,0.13903214,5.7,0.23311429,0.13811429,-3.4854762288061494,1.2,355.8996,324,331,"3/4/24, 12:00 AM",KOHIMA,1512,2024-12-31,5.2,5.9130406,300,300,376,368,26.707367,2024-01-01,29.427210526315786,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15399698031426,25.847090922678376]}"
14_0,4.1,0.07840833,0.36,0.005,14.89,0.096151665,138.6,2.3,236.3,0.25302666,0.79,118.4,0.08777833,0.92,0.20635666,0.139915,-3.244029670129571,0.45,10.49384,348,371,"3/4/24, 12:00 AM",KOHIMA,838,2024-12-31,4.5,5.7050066,305,289,347,340,11.175307,2024-01-01,29.665649999999992,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06371629426026,25.869189478667717]}"
15_0,1.11,0.062422033,0.6,0.004,14.9,0.08092373,122.72,5.43,210.32,0.27861527,0.42,144.19,0.074177966,2.39,0.20869322,0.12727289,-3.2813831455744458,0.22,142.12038,332,345,"3/4/24, 12:00 AM",KOHIMA,946,2024-12-31,4.6,5.7050066,320,309,348,346,11.59005,2024-01-01,29.680899999999998,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.05617044587365,25.86164363028111]}"
17_0,4.6,0.09039259,1.5,0.1,60,0.09898889,80,9,390,0.2534148,0.95,51,0.086955555,2.3,0.17272222,0.1114,-3.3341159629389154,1.1,299.1215,336,342,"3/5/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.18,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
18_0,4.07,0.09025862,0.56,0.006,18.73,0.1083862,88.26,3.32,238.21,0.24975862,0.7,113.91,0.10871207,1.4,0.22615172,0.16456725,-1.0554724155440596,0.39,203.96564,339,359,"3/4/24, 12:00 AM",KOHIMA,913,2024-12-31,4.89,5.7050066,301,289,359,352,5.0617623,2024-01-01,29.680899999999998,Ziezou,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.05617044587365,25.859487673599226]}"
19_0,1.8,0.09039259,1.8,0.1,40,0.09898889,120,6,151,0.2534148,0.9,60,0.086955555,4.4,0.17272222,0.1114,-3.3341159629389154,0.62,299.1215,336,342,"3/6/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.38,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
20_0,2.8,0.09039259,1.2,0.3,73,0.09898889,140,5,240,0.2534148,0.9,25,0.086955555,2.6,0.17272222,0.1114,-3.3341159629389154,1.4,299.1215,336,342,"3/5/24, 12:00 AM",KOHIMA,1428,2024-12-31,5.51,5.5783067,297,298,367,360,23.384449,2024-01-01,29.448564102564106,Teichuma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15588344241091,25.854367276479746]}"
