system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,2.56,0.052472223,0.8457,0.07,30.2458,0.071631484,220.17,7.6684,325.15,0.29726297,0.77,35.67,0.05181296,2.63,0.19401482,0.097444445,-3.581574711497223,1.2567,301.84738,291,313,"7/19/24, 12:00 AM",ZUNHEBOTO,883,2024-12-31,4.83,6.7350526,302,290,407,398,15.435181,2024-01-01,29.636536585365846,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.42052712511253,26.20147630226353]}"
1_0,0.95,0.04398077,0.7693,0.05,29.3491,0.061453845,256.46,9.1276,344.75,0.33376923,0.71,25.39,0.041519232,3.12,0.16954231,0.08087308,-4.089439663572237,1.2674,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.98,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
2_0,2.84,0.04398077,0.6492,0.07,31.2549,0.061453845,298.81,8.8896,358.75,0.33376923,0.62,35.71,0.041519232,3.75,0.16954231,0.08087308,-4.089439663572237,0.9785,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.45,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
3_0,0.95,0.04398077,0.7693,0.05,29.3491,0.061453845,256.46,9.1276,344.75,0.33376923,0.71,25.39,0.041519232,3.12,0.16954231,0.08087308,-4.089439663572237,1.2674,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.98,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
4_0,1.99,0.04398077,0.7521,0.05,34.1187,0.061453845,444.0917248255234,8.1112,363.66,0.33376923,0.65,40.91,0.041519232,2.55,0.16954231,0.08087308,-4.089439663572237,1.1275,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.68,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
5_0,1.6,0.04398077,0.8751,0.1,32.1182,0.061453845,201.22033898305085,7.551,363.66,0.33376923,0.78,37.94,0.041519232,4.31,0.16954231,0.08087308,-4.089439663572237,0.9725,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,3.8,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
6_0,1.6,0.04398077,0.8751,0.1,32.1182,0.061453845,201.22033898305085,7.551,363.66,0.33376923,0.78,37.94,0.041519232,4.31,0.16954231,0.08087308,-4.089439663572237,0.9725,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,3.8,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
7_0,2.56,0.04398077,0.8457,0.07,30.2458,0.061453845,220.17,7.6684,325.15,0.33376923,0.77,35.67,0.041519232,2.63,0.16954231,0.08087308,-4.089439663572237,1.2567,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.83,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
8_0,3.81,0.04398077,0.6256,0.04,29.6968,0.061453845,171.9641076769691,8.0204,313.5,0.33376923,0.52,51.88,0.041519232,2.46,0.16954231,0.08087308,-4.089439663572237,1.003,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.3,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
9_0,0.95,0.04398077,0.7693,0.05,29.3491,0.061453845,256.46,9.1276,344.75,0.33376923,0.71,25.39,0.041519232,3.12,0.16954231,0.08087308,-4.089439663572237,1.2674,314.90146,330,343,"7/19/24, 12:00 AM",ZUNHEBOTO,895,2024-12-31,4.98,6.749123,310,306,360,352,24.638504,2024-01-01,29.610615384615386,Sastami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45798687246031,26.245403919656972]}"
