system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
2_0,0,0.054530952,0.4636,0.23,20.65,0.080092855,51.38,2.358,1.215,0.26140952,0.54,6.738,0.07931667,18.74,0.19503333,0.13690476,-2.1266842431104283,0.9726,37.904835,262,279,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,255,2024-12-31T00:00:00,7.2,2.4035244,426,409,312,312,3.5219946,2024-01-01T00:00:00,30.279189189189182,Sahlon (174),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03345056364051,31.104930280629937]}"
3_0,0,0.10045059,0.6112,0.22,16.2,0.120253526,78.72,3.989,1.08,0.2702753,0.48,9.945,0.12076412,28.88,0.22338058,0.16267353,-0.9456695501812266,1.403,270.0,230,257,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.5,2.5036848,453,428,317,314,1.0827372,2024-01-01T00:00:00,30.26735135135135,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05312366836273,31.072590930401635]}"
4_0,0,0.097711764,0.3148,0.25,7.723,0.12140823,40.42,1.327,1.2825,0.30077058,0.57,5.517,0.12616824,17.42,0.23468824,0.17539823,-0.624250565529871,0.9171,246.81491,226,252,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,258,2024-12-31T00:00:00,7.6,2.5036848,477,452,297,296,2.3544896,2024-01-01T00:00:00,30.257000000000005,Sodhian (186),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07333576225543,31.064775587429793]}"
5_0,0,0.08047911,0.5538,0.25,18.15,0.10839403,81.34,3.304,1.0125,0.27895522,0.45,3.811,0.11929403,11.01,0.23452686,0.18096119,-2.354742827695217,0.802,282.08395,236,266,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,260,2024-12-31T00:00:00,7.7,2.3269515,449,424,315,310,4.421646,2024-01-01T00:00:00,30.2525945945946,Sahlon (174),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03991843368617,31.0903775730272]}"
6_0,0,0.08047911,0.5175,0.23,24.67,0.10839403,36.01,1.75,1.4175,0.27895522,0.63,3.795,0.11929403,10.9,0.23452686,0.18096119,-2.354742827695217,0.7966,282.08395,236,266,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,260,2024-12-31T00:00:00,7.2,2.3269515,449,424,315,310,4.421646,2024-01-01T00:00:00,30.2525945945946,Sahlon (174),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03991843368617,31.0903775730272]}"
7_0,0,0.098014034,0.4922,0.25,23.98,0.11790936,34.52,2.234,1.1475,0.28333333,0.51,4.945,0.122150876,15.58,0.2332386,0.17916258,1.99348582749522,0.9415,-0.0,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,259,2024-12-31T00:00:00,7.7,2.5036848,452,428,316,312,0.0,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.070973962890218]}"
8_0,0,0.09342353,0.6356,0.25,16.16,0.11350059,81.38,4.005,1.0125,0.2799606,0.45,8.884,0.11587471,27.13,0.22894706,0.17491648,-1.483925249844792,1.401,-0.0,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,258,2024-12-31T00:00:00,7.6,2.5036848,452,428,316,312,1.8543341,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.07151295206069]}"
9_0,0,0.09426257,0.4914,0.3,13.53,0.114027485,52.1,2.255,1.89,0.27933744,0.84,4.945,0.11764854,15.57,0.22772925,0.1728193,1.99348582749522,0.9433,-0.0,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,259,2024-12-31T00:00:00,7.5,2.5036848,452,428,316,312,0.0,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.071243457475454]}"
10_0,0,0.098014034,0.625,0.24,16.08,0.11790936,79.58,3.974,1.2825,0.28333333,0.57,8.923,0.122150876,27.05,0.2332386,0.17916258,1.99348582749522,1.399,-0.0,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,259,2024-12-31T00:00:00,7.5,2.5036848,452,428,316,312,0.0,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.070973962890218]}"
11_0,0,0.098014034,0.6383,0.24,23.85,0.11790936,40.41,1.962,0.675,0.28333333,0.3,3.318,0.122150876,11.09,0.2332386,0.17916258,1.99348582749522,0.8139,-0.0,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,259,2024-12-31T00:00:00,7.3,2.5036848,452,428,316,312,0.0,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.070973962890218]}"
12_0,0,0.12894502,0.6404,0.29,23.99,0.15063334,40.23,1.962,1.08,0.2490848,0.48,3.342,0.16430059,11.1,0.26536083,0.22833918,-1.913888814366327,0.8151,49.418793,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,259,2024-12-31T00:00:00,7.4,2.5036848,452,428,316,312,2.8491635,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.07016547913451]}"
13_0,0,0.092862576,0.4757,0.26,13.54,0.11396024,51.28,2.239,1.0125,0.2878848,0.45,5.399,0.11150292,16.28,0.22735205,0.17506959,-1.6305322509457596,0.9442,30.274134,234,263,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,258,2024-12-31T00:00:00,7.3,2.5036848,466,439,301,297,2.1469011,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05581861421508,31.07016547913451]}"
14_0,0,0.12894502,0.6253,0.29,24.03,0.15063334,39.2,1.963,1.215,0.2490848,0.54,3.602,0.16430059,11.51,0.26536083,0.22833918,-1.913888814366327,0.818,49.418793,232,259,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,259,2024-12-31T00:00:00,7.4,2.5036848,452,428,316,312,2.8491635,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05554911962986,31.07016547913451]}"
21_0,0,0.10045059,0.6248,0.25,24.15,0.120253526,39.5,1.969,1.485,0.2702753,0.66,3.686,0.12076412,11.65,0.22338058,0.16267353,-0.9456695501812266,0.8185,270.0,230,257,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.5,2.5036848,453,428,317,314,1.0827372,2024-01-01T00:00:00,30.26735135135135,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05312366836273,31.072590930401635]}"
22_0,0,0.10045059,0.6291,0.23,24.3,0.120253526,39.99,1.962,1.0125,0.2702753,0.45,3.673,0.12076412,11.66,0.22338058,0.16267353,-0.9456695501812266,0.8133,270.0,230,257,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.9,2.5036848,453,428,317,314,1.0827372,2024-01-01T00:00:00,30.26735135135135,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05312366836273,31.072590930401635]}"
23_0,0,0.12163353,0.628,0.24,16.03,0.15074,79.83,3.97,2.16,0.29873413,0.96,9.128,0.16251883,27.47,0.2918853,0.24153294,0.6720303809437839,1.403,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.3,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
24_0,0,0.10538402,0.6199,0.25,16.08,0.12702899,78.84,3.972,0.6075,0.2988071,0.27,9.237,0.13050237,27.63,0.25336626,0.18521184,-1.1194761300178817,1.408,343.72665,230,260,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,260,2024-12-31T00:00:00,7.7,2.5036848,458,430,312,310,3.8589585,2024-01-01T00:00:00,30.233777777777775,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.06390345177216,31.08390970298154]}"
25_0,0,0.12163353,0.6205,0.21,16.11,0.15074,79.42,3.999,1.215,0.29873413,0.54,9.341,0.16251883,27.82,0.2918853,0.24153294,0.6720303809437839,1.404,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.7,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
26_0,0,0.12163353,0.6294,0.27,24.01,0.15074,39.78,1.946,1.755,0.29873413,0.78,5.395,0.16251883,24.78,0.2918853,0.24153294,0.6720303809437839,1.352,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.4,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
27_0,0,0.12163353,0.5714,0.25,18.25,0.15074,80.87,3.081,1.215,0.29873413,0.54,3.499,0.16251883,11.42,0.2918853,0.24153294,0.6720303809437839,0.8175,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.1,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
28_0,0,0.12163353,0.6192,0.23,16.17,0.15074,73.42,3.97,1.6875,0.29873413,0.75,9.444,0.16251883,27.88,0.2918853,0.24153294,0.6720303809437839,1.403,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.9,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
29_0,0,0.12163353,0.6312,0.26,24.1,0.15074,40.42,1.97,1.0125,0.29873413,0.45,6.902,0.16251883,27.41,0.2918853,0.24153294,0.6720303809437839,1.369,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.7,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
30_0,0,0.12163353,0.6217,0.21,16.22,0.15074,79.62,4.015,0.7425,0.29873413,0.33,9.612,0.16251883,28.12,0.2918853,0.24153294,0.6720303809437839,1.411,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.7,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
31_0,0,0.12163353,0.6192,0.23,14.63,0.15074,41.06,1.977,0.945,0.29873413,0.42,3.733,0.16251883,11.91,0.2918853,0.24153294,0.6720303809437839,0.8275,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.2,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
32_0,0,0.12163353,0.6228,0.24,16.35,0.15074,79.6,4.031,1.2825,0.29873413,0.57,10.16,0.16251883,29.26,0.2918853,0.24153294,0.6720303809437839,1.427,149.72543,235,270,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,257,2024-12-31T00:00:00,7.3,2.5036848,470,439,295,291,2.1469107,2024-01-01T00:00:00,30.267555555555557,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05716608714127,31.072051941231162]}"
33_0,0,0.09919593,0.5169,0.3,25.03,0.12108198,36.88,1.79,1.17,0.29784885,0.52,3.514,0.111534305,10.92,0.23596047,0.15989709,-1.2206395167146207,0.8267,49.417053,228,254,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,256,2024-12-31T00:00:00,7.5,2.5036848,461,438,311,308,1.4254127,2024-01-01T00:00:00,30.263297297297296,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05420164670367,31.064506092844557]}"
34_0,0,0.09919593,0.5587,0.27,17.9,0.12108198,82.22,3.407,0.4725,0.29784885,0.21,3.514,0.111534305,10.97,0.23596047,0.15989709,-1.2206395167146207,0.8268,49.417053,228,254,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,256,2024-12-31T00:00:00,7.4,2.5036848,461,438,311,308,1.4254127,2024-01-01T00:00:00,30.263297297297296,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05420164670367,31.064506092844557]}"
35_0,0,0.09919593,0.643,0.25,16.51,0.12108198,83.75,4.143,1.2825,0.29784885,0.57,10.56,0.111534305,30.46,0.23596047,0.15989709,-1.2206395167146207,1.459,49.417053,228,254,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,256,2024-12-31T00:00:00,7.1,2.5036848,461,438,311,308,1.4254127,2024-01-01T00:00:00,30.263297297297296,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05420164670367,31.064506092844557]}"
36_0,0,0.10071337,0.6422,0.23,16.41,0.121575,83.18,4.12,1.755,0.28243256,0.78,10.55,0.11397965,30.35,0.2355814,0.16237907,-1.2206529876698284,1.457,49.417137,228,254,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,256,2024-12-31T00:00:00,7.4,2.5036848,461,438,311,308,1.425415,2024-01-01T00:00:00,30.263297297297296,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05420164670367,31.064775587429793]}"
37_0,0,0.09919593,0.6386,0.22,16.53,0.12108198,81.8,4.157,1.1475,0.29784885,0.51,10.57,0.111534305,30.48,0.23596047,0.15989709,-1.2206395167146207,1.46,49.417053,228,254,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,256,2024-12-31T00:00:00,7.7,2.5036848,461,438,311,308,1.4254127,2024-01-01T00:00:00,30.263297297297296,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05420164670367,31.064506092844557]}"
38_0,0,0.09919593,0.635,0.27,16.47,0.12108198,81.34,4.14,1.1475,0.29784885,0.51,10.55,0.111534305,30.45,0.23596047,0.15989709,-1.2206395167146207,1.454,49.417053,228,254,"6/20/24, 12:00 AM",SHAHID BHAGAT SINGH NAGAR,256,2024-12-31T00:00:00,7.6,2.5036848,461,438,311,308,1.4254127,2024-01-01T00:00:00,30.263297297297296,Malpur (170),"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.05420164670367,31.064506092844557]}"
