system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.078222,0.8,0.8,4.9,0.105254,202,3.2,0,0.23876,0.27,21,0.123651996,0,0.273526,0.220942,-1.4412797273624691,0.8,180.0,260,281,"3/27/24, 12:00 AM",AJMER,451,2024-12-31T00:00:00,8.6,2.5189102,352,333,388,386,1.8543341,2024-01-01T00:00:00,30.645714285714295,Gegal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76979045346958,26.56421601399099]}"
1_0,0,0.11538368,0.34,0.12,4.7,0.14391632,241,3.1,0,0.26480818,0.3,35,0.17125918,0,0.29590407,0.25861835,-1.4427292115147614,0.51,-0.0,229,222,"5/24/24, 12:00 AM",AJMER,411,2024-12-31T00:00:00,7.7,2.4771328,396,396,376,382,1.8543341,2024-01-01T00:00:00,30.675560975609752,Sursura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.8721983958592,26.732111140592927]}"
2_0,0,0.07540652,0.96,0.42,5.5,0.10682826,284,4.7,0,0.24773479,0.33,27,0.13048261,0,0.27520218,0.23340651,-1.9089896819507222,1.1,200.39203,238,251,"3/30/24, 12:00 AM",AJMER,447,2024-12-31T00:00:00,7.7,2.8293567,315,306,447,444,2.9658558,2024-01-01T00:00:00,30.542476190476187,Bidkachiyawas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.53802511016674,26.27397034569197]}"
3_0,0,0.081018,0.32,0.8,6.4,0.104159996,275,1.96,0,0.25024,0.3,22,0.127626,0,0.2929,0.221888,-0.05636056697683965,0.64,-0.0,253,255,"3/31/24, 12:00 AM",AJMER,410,2024-12-31T00:00:00,7.6,2.4435458,362,358,385,387,0.92740995,2024-01-01T00:00:00,30.688097560975603,SHRINIBARK TIRTH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.79997384701599,26.724565292206325]}"
4_0,0,0.08606364,0.54,0.13,8.1,0.11629091,224,3.4,0,0.23926364,0.12,18,0.13529773,0,0.3093591,0.25,-0.743939719861781,0.48,-0.0,228,248,"3/12/24, 12:00 AM",AJMER,469,2024-12-31T00:00:00,8.9,2.6441944,343,330,428,422,0.92740995,2024-01-01T00:00:00,30.557414634146348,Moondoti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.38010128321854,26.070232439253665]}"
5_0,0,0.07425883,0.32,1.1,3.7,0.10607255,181,4,0,0.29350784,0.36,22,0.12562549,0,0.2521843,0.1977098,-0.16487596682257413,0.54,270.0,230,228,"3/29/24, 12:00 AM",AJMER,491,2024-12-31T00:00:00,8,2.8082197,428,424,342,349,2.071269,2024-01-01T00:00:00,30.478975609756095,Gudha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75011734874737,26.467467457891317]}"
6_0,0,0.083514586,0.32,0.32,3.8,0.11401667,228,3.4,0,0.24427083,0.21,45,0.15181042,0,0.35444584,0.30202085,-1.8468613739198099,0.54,-0.0,282,284,"3/29/24, 12:00 AM",AJMER,469,2024-12-31T00:00:00,8.1,2.7073345,403,395,315,321,2.7802885,2024-01-01T00:00:00,30.664682926829272,Kadel,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.59381048931057,26.577151754082312]}"
7_0,0,0.07468461,0.54,0.53,4.7,0.10904423,340,6.1,0,0.25548846,0.6,38,0.14141347,0,0.3303673,0.27896538,-1.1543821389750728,0.54,131.79602,241,238,"3/30/24, 12:00 AM",AJMER,458,2024-12-31T00:00:00,8.6,2.5186486,439,438,320,324,2.7810628,2024-01-01T00:00:00,30.540780487804877,Narwar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69837438838208,26.622426844401936]}"
8_0,0,0.09080786,0.44,0.39,7.4,0.121476404,280,4.4,0,0.26266629,0.09,25,0.1558146,0,0.35755616,0.28911236,-0.8523333844992622,0.45,90.0,241,250,"3/19/24, 12:00 AM",AJMER,464,2024-12-31T00:00:00,8.9,2.58314,298,290,461,460,2.0653417,2024-01-01T00:00:00,30.597560975609767,Moyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.50137384657467,26.134911139710272]}"
9_0,0,0.113764,0.66,0.34,6.1,0.163192,344,2.7,0,0.315664,0.21,22,0.213388,0,0.414024,0.353842,9.38164390127561,0.8,90.0,224,234,"5/27/24, 12:00 AM",AJMER,398,2024-12-31T00:00:00,8,2.7066903,441,432,335,334,1.035903,2024-01-01T00:00:00,30.710249999999995,Leswa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.4218729439301,26.45965211491948]}"
10_0,0,0.07739222,0.38,0.45,8.1,0.10995889,344,1.8,0,0.26871112,0.27,29,0.13701889,0,0.30291334,0.24891667,-0.47004028244274987,0.84,330.96585,208,213,"7/16/24, 12:00 AM",AJMER,337,2024-12-31T00:00:00,8.3,2.8746393,323,320,468,467,2.1206336,2024-01-01T00:00:00,30.50863157894737,Bisundani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14438792694742,25.74225752902163]}"
11_0,0,0.08028163,0.46,0.1,5.3,0.123900004,249,4.9,0,0.30757347,0.3,29,0.18888776,0,0.4084857,0.35929388,0.6392937925907872,0.44,180.0,235,227,"3/31/24, 12:00 AM",AJMER,407,2024-12-31T00:00:00,8.5,2.7048602,366,369,399,404,0.92740995,2024-01-01T00:00:00,30.700200000000006,Samrathpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.42861030856099,26.432702656395893]}"
12_0,0,0.077968,0.8,0.25,6.1,0.118966,219,4,0,0.278724,0.45,18,0.158688,0,0.353236,0.302154,-1.5520788765701623,0.96,270.0,294,270,"3/31/24, 12:00 AM",AJMER,457,2024-12-31T00:00:00,8.5,2.8809047,432,440,275,290,2.0722094,2024-01-01T00:00:00,30.529121951219516,Banseli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.54880489357618,26.519749407427074]}"
13_0,0,0.07325611,0.96,0.12,4.7,0.09833667,262,3.8,0,0.22038445,0.27,23,0.1321561,0,0.30004445,0.26378778,-2.1682642683856006,0.8,164.437,197,201,"7/3/24, 12:00 AM",AJMER,381,2024-12-31T00:00:00,8.1,2.520404,234,232,568,568,3.8453786,2024-01-01T00:00:00,30.789315789473687,Arwar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.94523142845813,26.150811320239185]}"
14_0,0,0.10972745,0.64,0.18,5.5,0.15976079,267,2.3,0,0.32615098,0.09,27,0.22560392,0,0.3945255,0.3512098,-1.8484050908089165,0.38,180.0,300,314,"4/30/24, 12:00 AM",AJMER,446,2024-12-31T00:00:00,7.9,2.1851144,435,422,265,264,2.7802885,2024-01-01T00:00:00,30.785549999999994,Parasoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69433196960354,26.756904642434627]}"
15_0,0,0.08546222,0,0.37,3.8,0.11185222,189,4.4,0,0.29636556,0.3,34,0.12177111,0,0.2803189,0.20805667,-1.8440207854960329,0.66,131.8609,199,208,"6/10/24, 12:00 AM",AJMER,403,2024-12-31T00:00:00,7.7,2.477696,242,233,559,559,2.7775521,2024-01-01T00:00:00,30.691105263157887,Mandawariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.9721808869817,26.360478107552684]}"
16_0,0,0.12484445,0.64,0.45,6.1,0.1584811,318,4,0,0.2827411,0.27,25,0.18971445,0,0.37255222,0.32165223,3.747683261475501,0.46,180.0,244,250,"6/24/24, 12:00 AM",AJMER,340,2024-12-31T00:00:00,8,2.8746393,364,366,392,384,0.92740995,2024-01-01T00:00:00,30.566149999999993,Gordha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.12282836012855,25.716925038009457]}"
17_0,0,0.10712549,1.1,0.4,4,0.15798235,185,2.8,0,0.31912744,0.12,40,0.20967647,0,0.38308433,0.34023136,-1.9128287488294948,1.28,159.54292,255,251,"3/30/24, 12:00 AM",AJMER,445,2024-12-31T00:00:00,8.7,2.366616,421,422,323,328,2.967108,2024-01-01T00:00:00,30.607609756097567,Babayacha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7315222223661,26.673361321011512]}"
18_0,0,0.097313955,0.93,0.34,3.8,0.11468372,315,3.7,0,0.29690465,0.33,26,0.13266046,0,0.31965813,0.27173257,-1.6369221155604736,0.86,245.82161,183,195,"7/23/24, 12:00 AM",AJMER,334,2024-12-31T00:00:00,8.6,2.7213717,447,435,370,371,4.5195975,2024-01-01T00:00:00,30.62933333333334,Deogaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32252384778832,26.11281258372093]}"
