system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.09047103,0.92,0.6,4.12,0.1309542,396,6.13,0,0.3204486,0.26,28,0.14681588,15,0.28639627,0.22776543,-0.5011510328954427,0.55,48.937557,217,229,"3/7/24, 12:00 AM",ANOOPGARH,160,2024-12-31T00:00:00,7.8,0.70211893,586,582,196,189,1.4116758,2024-01-01T00:00:00,30.61917073170731,67 Np,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.3471285380095,29.401455007354087]}"
1_0,0,0.09416238,0.983104388275861,0.34,7.974912000000001,0.13702752,405,6.991488000000002,0,0.3260954,0.26,23,0.15620458,8,0.29084313,0.241611,-0.7747238156673457,1.3822241,-0.0,285,292,"4/16/24, 12:00 AM",ANOOPGARH,161,2024-12-31T00:00:00,7.79,0.71247756,490,482,225,226,0.92740995,2024-01-01T00:00:00,30.72941463414634,34 Ps,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.37623395321496,29.472062588685883]}"
2_0,0,0.13021834,0.649037356321839,0.3,3.965555555555556,0.17818624,414,9.99,0,0.3169312,0.27,21,0.20905872,20,0.32894313,0.29820827,3.1081413183452797,1.453716495,-0.0,280,287,"4/16/24, 12:00 AM",ANOOPGARH,160,2024-12-31T00:00:00,7.8,0.71247756,499,492,221,221,0.0,2024-01-01T00:00:00,30.72941463414634,36 Ps,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.37623395321496,29.472601577856352]}"
3_0,0,0.08900463,0.838195402298851,0.5,4.962400000000001,0.13024352,423,6.525120000000001,0,0.32125464,0.27,27,0.14839351,18,0.28449166,0.22656389,-1.1956746814815544,0.783565,48.962875,232,235,"4/16/24, 12:00 AM",ANOOPGARH,168,2024-12-31T00:00:00,7.79,0.7559687,567,567,201,197,1.4123921,2024-01-01T00:00:00,30.640731707317066,5 Np,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.59614153476743,29.492005187993335]}"
5_0,0,0.08568148,1.071684262050491,0.44,3.641056000000001,0.11516574,432,7.867776,0,0.25298983,0.25,22,0.12979166,28,0.2519111,0.20145741,-1.611268988979408,1.003726475,330.11307,234,240,"4/16/24, 12:00 AM",ANOOPGARH,164,2024-12-31T00:00:00,7.83,0.74137706,557,555,209,205,2.1385217,2024-01-01T00:00:00,30.521476190476196,16 Ps,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.447111029132,29.542939664602912]}"
6_0,0,0.16050091,0.9,0.28,3.64,0.20697615,387,8.98,0,0.29913485,0.29,27,0.24815504,18,0.3772936,0.34920368,-0.9156006020133935,0.46,270.0,255,260,"2/1/24, 12:00 AM",ANOOPGARH,166,2024-12-31T00:00:00,7.84,0.8093311,523,520,223,220,1.0664601,2024-01-01T00:00:00,30.637414634146342,67 Rb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.47298250931463,29.588753744093008]}"
7_0,0,0.10635047,0.7,0.47,4.21,0.1490785,486,14.6,0,0.3284972,0.27,26,0.1729514,10,0.30135328,0.24861775,-0.9159802792129901,0.57,90.0,246,254,"2/1/24, 12:00 AM",ANOOPGARH,162,2024-12-31T00:00:00,7.89,0.84454125,528,524,227,222,1.0666628,2024-01-01T00:00:00,30.672829268292677,16 Rb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.44360759952393,29.608157354229988]}"
8_0,0,0.1089,0.87,0.65,4.94,0.15131363,378,9.27,0,0.32567453,0.24,18,0.17299545,34,0.30034363,0.24981727,4.716273621010132,0.62,-0.0,258,263,"2/26/24, 12:00 AM",ANOOPGARH,153,2024-12-31T00:00:00,7.84,0.9475579,530,526,212,211,0.92740995,2024-01-01T00:00:00,30.717743589743595,26 Apd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.16710615507195,29.25215500713342]}"
9_0,0,0.15391682,0.66,0.49,4.8,0.19922149,360,7.63,0,0.33419627,0.48,25,0.23540187,30,0.35721588,0.31594673,2.007813597429881,0.39,-0.0,253,258,"2/19/24, 12:00 AM",ANOOPGARH,162,2024-12-31T00:00:00,7.78,0.8412932,489,491,257,251,0.0,2024-01-01T00:00:00,30.609268292682923,3 Ffb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.38970868247677,29.648581542015368]}"
10_0,0,0.104231134,0.66,0.54,5.89,0.14673302,396,4.77,0,0.3205217,0.26,23,0.16918774,26,0.30134246,0.24723208,-0.7724106795997558,0.67,-0.0,241,246,"3/7/24, 12:00 AM",ANOOPGARH,160,2024-12-31T00:00:00,7.89,0.963167,545,542,213,212,0.92740995,2024-01-01T00:00:00,30.757550000000002,13 Blm-B,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.43713972947828,29.23221240782597]}"
