system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08470889,0.41,0.79,4.5,0.12523444,340,16.5,0,0.28697667,0.21,24,0.16795333,12,0.36635557,0.31487224,1.5448950867829927,0.74,270.0,190,194,"4/17/24, 12:00 AM",BEAWAR,354,2024-12-31T00:00:00,7.9,2.3631554,391,381,419,424,1.0333605,2024-01-01T00:00:00,30.61960975609756,Mesiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14887492908616,26.175065832910413]}"
1_0,0,0.07940625,0.82,0.17,8.5,0.11463333,310,9.4,0,0.2946104,0.21,24,0.13496459,10,0.31281042,0.2637979,-0.048678780739000276,0.75,228.07272,223,230,"4/16/24, 12:00 AM",BEAWAR,315,2024-12-31T00:00:00,8.5,2.2700021,365,357,412,413,1.3877996,2024-01-01T00:00:00,30.739794871794874,Karmawas Maliyan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.95537781688682,26.089366554805412]}"
2_0,0,0.10627674,0.56,0.62,17.79,0.12697907,285,9.07,0,0.17766744,0.41,24,0.14331396,13,0.23214187,0.21753721,-1.9056391310076428,0.61,339.6646,197,206,"3/12/24, 12:00 AM",BEAWAR,467,2024-12-31T00:00:00,8,2.581358,263,258,540,537,2.9647698,2024-01-01T00:00:00,30.44756097560976,Amarpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.34318052504122,25.919315471521585]}"
3_0,0,0.15751521,0.76,0.21,3.81,0.18893261,260,5.84,0,0.28891957,0.24,27,0.21776956,10,0.35741088,0.32705218,-1.1668163215891103,0.59,169.4837,235,257,"3/24/24, 12:00 AM",BEAWAR,427,2024-12-31T00:00:00,7.3,2.4615693,434,415,331,328,5.6417127,2024-01-01T00:00:00,30.56373684210527,Chitar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22244695085556,26.12601781839749]}"
4_0,0,0.138885,0.74,0.12,2.11,0.160805,300,14.26,0,0.253953,0.27,36,0.185663,16,0.338101,0.309167,-1.5459925429539592,0.39,90.0,225,241,"4/16/24, 12:00 AM",BEAWAR,295,2024-12-31T00:00:00,8.2,2.1081212,478,461,298,299,2.0658672,2024-01-01T00:00:00,30.772390243902446,Lumbarawas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.88099731136172,26.164825038671452]}"
5_0,0,0.14976741,0.81,0.31,8.5,0.1616045,345,16.54,0,0.22949326,0.27,11,0.17413932,20,0.29275617,0.26832023,-2.1026266295810743,0.59,120.92139,227,234,"4/16/24, 12:00 AM",BEAWAR,338,2024-12-31T00:00:00,8.4,2.5726094,383,377,390,388,3.6051219,2024-01-01T00:00:00,30.595842105263166,Kushalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.02194297944008,26.039510056536777]}"
6_0,0,0.08002444,0.54,0.11,10.65,0.11024,312,5.76,0,0.23783112,0.41,26,0.13178222,25,0.3152911,0.25640446,-2.8445843403363495,0.97,317.1784,233,244,"3/7/24, 12:00 AM",BEAWAR,477,2024-12-31T00:00:00,7.9,2.581358,269,261,498,495,7.543225,2024-01-01T00:00:00,30.473399999999998,Nayagaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.34479749255263,25.9419530166814]}"
7_0,0,0.06889783,0.78,0.16,11.5,0.09444565,312,7.14,0,0.20318043,0.31,20,0.10137391,17,0.23078912,0.18475,5.944222965845833,0.47,-0.0,247,260,"3/7/24, 12:00 AM",BEAWAR,511,2024-12-31T00:00:00,7.8,2.509129,357,354,396,386,1.8543341,2024-01-01T00:00:00,30.45210000000001,Akhegarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.30652926144914,25.95138532716465]}"
8_0,0,0.09926444,1.11,0.08,10.37,0.12509333,393,5.26,0,0.22718222,0.41,16,0.13995333,20,0.27510443,0.24061778,2.0168392082486086,0.66,216.55647,247,263,"3/7/24, 12:00 AM",BEAWAR,524,2024-12-31T00:00:00,8,2.555843,395,381,358,356,3.4597204,2024-01-01T00:00:00,30.504926829268292,Phatta Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.2987139184773,25.960817637647907]}"
9_0,0,0.06889783,0.73,0.14,11.9,0.09444565,271,9.66,0,0.20318043,0.46,25,0.10137391,17,0.23078912,0.18475,5.944222965845833,0.97,-0.0,247,260,"3/8/24, 12:00 AM",BEAWAR,511,2024-12-31T00:00:00,8.3,2.509129,357,354,396,386,1.8543341,2024-01-01T00:00:00,30.45210000000001,Jasawant Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.30652926144914,25.95138532716465]}"
10_0,0,0.093046665,0.56,0.29,17.12,0.12460222,366,5.66,0,0.27194667,0.41,33,0.14529333,16,0.2792689,0.22173333,-1.6351867455016744,0.88,65.80119,274,283,"3/10/24, 12:00 AM",BEAWAR,587,2024-12-31T00:00:00,8,2.666745,401,396,326,322,2.2615275,2024-01-01T00:00:00,30.461463414634142,Borwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35099586801306,26.001241825433286]}"
11_0,0,0.07614,0.74,0.12,11.39,0.10188889,352,5.93,0,0.23313777,0.44,26,0.12206222,24,0.27105778,0.21224222,0.8935828564842325,0.82,120.92838,256,256,"3/10/24, 12:00 AM",BEAWAR,583,2024-12-31T00:00:00,8,2.666745,411,408,333,336,3.6043892,2024-01-01T00:00:00,30.4535,Borwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35396030845065,26.00690121172324]}"
12_0,0,0.15751521,0.69,0.79,2.68,0.18893261,260,5.84,0,0.28891957,0.18,18,0.21776956,14,0.35741088,0.32705218,-1.1668163215891103,0.84,169.4837,235,257,"3/24/24, 12:00 AM",BEAWAR,427,2024-12-31T00:00:00,8.5,2.4615693,434,415,331,328,5.6417127,2024-01-01T00:00:00,30.56373684210527,Chitar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22244695085556,26.12601781839749]}"
13_0,0,0.07445778,0.84,0.24,2.14,0.10294667,285,10.23,0,0.2658,0.18,24,0.124795556,20,0.30078444,0.24069333,-1.569337861774421,0.75,282.65433,163,182,"4/16/24, 12:00 AM",BEAWAR,365,2024-12-31T00:00:00,8.2,2.4869,399,385,438,434,4.226112,2024-01-01T00:00:00,30.698615384615394,Birantiya Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1062947846189,26.09206150065777]}"
14_0,0,0.10114889,0.41,0.13,11.82,0.13512222,298,8.87,0,0.25558665,0.65,19,0.16978444,16,0.3077,0.26312223,-2.666930583930837,0.47,305.7328,250,260,"3/12/24, 12:00 AM",BEAWAR,490,2024-12-31T00:00:00,8.3,2.581358,308,306,442,435,6.3267727,2024-01-01T00:00:00,30.486699999999995,Bariya Heera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.32593287158612,25.933598684539085]}"
15_0,0,0.06976875,0.74,0.28,5.6,0.10469375,250,17.56,0,0.33252916,0.18,29,0.105429165,21,0.29380208,0.22018126,-1.6385780735535833,0.94,245.84108,199,206,"4/17/24, 12:00 AM",BEAWAR,356,2024-12-31T00:00:00,8.5,2.3352208,400,387,401,407,2.2650328,2024-01-01T00:00:00,30.645500000000006,Boontiwas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.16019370166607,26.21899345030386]}"
