system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.11815263,0.18,0.25,2.79,0.16309649,286,3.84,0,0.38812983,0.26,36,0.18621579,0,0.3350807,0.2853193,-0.7654643619575606,0.63,180.0,221,229,"4/29/24, 12:00 AM",BIKANER,198,2024-12-31T00:00:00,8.65,1.4428241,553,544,226,228,0.92740995,2024-01-01T00:00:00,30.80058536585366,Loonkaransar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72442095733969,28.499456630569675]}"
1_0,0,0.11135,0.15,0.41,2.69,0.15235417,296,2.16,0,0.29874375,0.21,24,0.1815875,0,0.27767918,0.24266666,-0.14270347737397432,0.64,159.17407,219,211,"3/27/24, 12:00 AM",BIKANER,135,2024-12-31T00:00:00,8.3,1.1973943,549,562,232,227,2.9742992,2024-01-01T00:00:00,30.682325581395354,17 Kyd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6000895477357,28.799404103937185]}"
2_0,0,0.12755536,0.15,0.23,4.56,0.18088214,289,2.86,0,0.35552856,0.14,48,0.21790178,0,0.36103392,0.3126393,-1.174880983006041,0.76,48.581924,266,265,"4/27/24, 12:00 AM",BIKANER,218,2024-12-31T00:00:00,8.27,1.4268876,491,502,243,233,1.4017203,2024-01-01T00:00:00,30.87295238095238,Norang Desar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.56703611956195,28.093597785204476]}"
3_0,0,0.09873384,0.26,0.13,4.26,0.15330462,342,4.26,0,0.3292759,0.14,39,0.19873948,0,0.34829795,0.3075723,-1.866469833118967,0.39,228.5533,229,233,"2/28/24, 12:00 AM",BIKANER,307,2024-12-31T00:00:00,8.27,1.5665475,557,554,214,213,2.8001816,2024-01-01T00:00:00,30.62904761904761,Khiyani Bas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.06155868346976,27.985260961939662]}"
4_0,0,0.13248649,0.14,0.24,2.66,0.19545315,314,3.24,0,0.3195811,0.22,28,0.25429368,0,0.3906126,0.37206486,-1.1843905256925322,0.65,311.24365,258,269,"3/12/24, 12:00 AM",BIKANER,189,2024-12-31T00:00:00,8.98,1.20707,495,490,247,242,1.4065788,2024-01-01T00:00:00,31.00275555555556,Mahadev vali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.32583846577586,28.74361872479336]}"
5_0,0,0.117101945,0.4,0.34,3.42,0.17080486,265,3.24,0,0.34195533,0.14,32,0.20442525,0,0.32755145,0.29247186,-1.676482519387027,0.48,293.71628,228,231,"5/8/24, 12:00 AM",BIKANER,213,2024-12-31T00:00:00,8.65,1.5206528,572,561,200,208,2.3047562,2024-01-01T00:00:00,30.900046511627913,Rajasar Urf Karnisar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.98313575916612,28.524250132411375]}"
6_0,0,0.12861091,0.18,0.2,4.81,0.1818909,265,3.44,0,0.3424891,0.14,26,0.21491273,0,0.34320182,0.30766183,-0.20244703924650634,0.44,90.0,256,249,"4/29/24, 12:00 AM",BIKANER,195,2024-12-31T00:00:00,8.86,1.4536588,572,573,172,179,1.0557696,2024-01-01T00:00:00,30.7134761904762,Nathwana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79422005491578,28.55039110717925]}"
7_0,0,0.09895263,0.21,0.12,3.44,0.16077544,289,2.69,0,0.3230193,0.16,28,0.21110877,0,0.3672421,0.3218105,-1.9359178272751394,0.65,159.14912,256,274,"3/18/24, 12:00 AM",BIKANER,206,2024-12-31T00:00:00,8.91,1.2518932,545,530,198,196,2.9747913,2024-01-01T00:00:00,30.814604651162792,Arjunsar Station,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86213269039521,28.935498869481293]}"
8_0,0,0.1686,0.32,0.24,2.81,0.22220612,236,2.65,0,0.36494693,0.16,24,0.2820592,0,0.4191755,0.39087754,-0.8981812955554878,0.26,150.51273,232,230,"5/14/24, 12:00 AM",BIKANER,318,2024-12-31T00:00:00,8.39,1.4659963,566,562,202,208,2.130042,2024-01-01T00:00:00,30.822095238095244,Barjangsar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.09335904452759,27.84620175595796]}"
9_0,0,0.16854909,0.14,0.29,2.87,0.20694363,281,3.24,0,0.34146726,0.16,32,0.2516,0,0.38780364,0.3431691,-1.173882069988048,0.42,311.43637,253,257,"4/21/24, 12:00 AM",BIKANER,266,2024-12-31T00:00:00,8.58,1.5335416,503,506,244,238,2.8007529,2024-01-01T00:00:00,30.731714285714286,Derajsar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.77023503682979,28.02433767679886]}"
