system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.096262224,1.8,0.24,4.15,0.12212444,210,3.65,0,0.26773778,0.56,44,0.13955778,0,0.27173334,0.21478444,-1.138456727625323,1.24,312.0911,284,284,"1/19/24, 12:00 AM",BUNDI,265,2024-12-31T00:00:00,8.12,3.2157354,393,394,323,323,1.3834027,2024-01-01T00:00:00,30.656514285714287,Daulatpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5809691550295,25.40646727581775]}"
1_0,0,0.08982,0.54,0.11,10.99,0.12012889,434,4.02,0,0.27966222,0.57,46,0.14026667,0,0.29892445,0.24111778,6.376358221249731,0.8,180.0,223,234,"1/22/24, 12:00 AM",BUNDI,254,2024-12-31T00:00:00,8.26,3.3185651,485,473,292,293,0.92740995,2024-01-01T00:00:00,30.582864864864867,Dei,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.90921355984678,25.66733803432606]}"
2_0,0,0.086831115,0.868,0.28,8.196,0.11788222,374,2.53,0,0.29716,0.71,30,0.1273889,0,0.26924667,0.20198222,-0.5293692803848423,0.924,114.284035,247,269,"1/22/24, 12:00 AM",BUNDI,292,2024-12-31T00:00:00,7.79,3.196175,405,391,348,341,2.2540762,2024-01-01T00:00:00,30.39075675675676,Barwas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50092926321446,25.5293568066853]}"
3_0,0,0.09510476,0.484,0.12,4.916,0.1257262,281,5.568,0,0.21664047,0.3,30,0.13600238,0,0.21026666,0.16705476,1.342866383242876,0.866,227.97505,222,233,"2/13/24, 12:00 AM",BUNDI,271,2024-12-31T00:00:00,8.33,3.019167,479,472,298,295,1.3851738,2024-01-01T00:00:00,30.494052631578946,Suwansara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.79225290985443,25.68485518236639]}"
4_0,0,0.08239773,0.946,0.24,4.15,0.11585,233,3.764,0,0.2721682,0.27,38,0.14070909,0,0.30179092,0.24091363,-0.7402344581682384,0.8151,-0.0,222,241,"2/25/24, 12:00 AM",BUNDI,254,2024-12-31T00:00:00,8.13,3.3523724,479,459,299,300,0.92740995,2024-01-01T00:00:00,30.49454054054054,Nandgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95394966099593,25.624757889858795]}"
5_0,0,0.076751135,0.332,0.41,15.75,0.10343409,436,7.316,0,0.25395682,0.38,24,0.11941478,0,0.2591591,0.20074432,2.896171648829304,1.694,180.0,225,230,"2/13/24, 12:00 AM",BUNDI,290,2024-12-31T00:00:00,7.67,3.2398329,464,457,311,314,0.92740995,2024-01-01T00:00:00,30.65794736842106,Kankariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.03830146617476,25.766512041692856]}"
6_0,0,0.1071383,1.116,0.41,6.142,0.14726382,258,5.33,0,0.33206597,0.523809523809524,26,0.17210639,0,0.32711065,0.26001278,2.0430392828231767,1.068,-0.0,235,249,"3/13/24, 12:00 AM",BUNDI,264,2024-12-31T00:00:00,9.53,3.270977,471,457,293,294,0.0,2024-01-01T00:00:00,30.55394871794873,Shyodanpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13424153851872,25.744413485703515]}"
7_0,0,0.06933556,1.192,0.48,12.12,0.10321778,308,17.75,0,0.34066668,0.78,44,0.10909111,0,0.28074443,0.19627555,-0.7346589089127237,1.13,47.93989,218,230,"2/25/24, 12:00 AM",BUNDI,279,2024-12-31T00:00:00,7.66,3.234495,468,458,314,312,2.7668495,2024-01-01T00:00:00,30.37782857142857,Keshopura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.66397348728215,25.53717214965714]}"
8_0,0,0.13138479,0.47,0.42,9.4803,0.18120652,428,1.232,0,0.34100434,0.51,44,0.22424348,0,0.35800868,0.30608043,6.026125351285716,0.906,73.26997,229,238,"2/13/24, 12:00 AM",BUNDI,255,2024-12-31T00:00:00,7.87,3.1736875,441,433,330,329,3.2186036,2024-01-01T00:00:00,30.55448648648649,Bal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77554424556979,25.609935687670824]}"
9_0,0,0.08794667,1.954,0.26,19.52,0.11618666,138,33.9,0,0.2609,0.45,42,0.13709778,0,0.27885333,0.22371778,1.419735921514606,2.22,65.678276,312,333,"3/13/24, 12:00 AM",BUNDI,256,2024-12-31T00:00:00,8.4,3.1977184,369,359,318,307,2.2507985,2024-01-01T00:00:00,30.46116666666667,KANWARPURA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.59983377599602,25.31807305186039]}"
10_0,0,0.08530435,2.5677,0.15,9.9823,0.11546522,375,3.386,0,0.33078912,0.73,32,0.14021522,0,0.28111738,0.21266304,0.3594539603003155,0.38,180.0,249,267,"2/13/24, 12:00 AM",BUNDI,288,2024-12-31T00:00:00,7.74,3.1925297,385,371,366,362,0.92740995,2024-01-01T00:00:00,30.38410810810811,Bara Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53219063510181,25.492975037678463]}"
11_0,0,0.085878655,0.784,0.18,6.248,0.11837079,294,5.2,0,0.3120989,0.34,22,0.1358955,0,0.28381124,0.22192135,-0.7416812276421366,1.034,-0.0,237,244,"2/13/24, 12:00 AM",BUNDI,285,2024-12-31T00:00:00,8.34,3.2398329,493,481,271,275,0.92740995,2024-01-01T00:00:00,30.69857894736842,Sameedhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04369135787948,25.799929370262102]}"
12_0,0,0.09716522,0.254,0.23,3.462,0.13374783,282,16.01,0,0.2633,0.48,38,0.15955652,0,0.28614348,0.23901522,-0.843782616702587,2.088,90.0,235,238,"2/25/24, 12:00 AM",BUNDI,253,2024-12-31T00:00:00,8.11,3.3130186,475,469,290,293,1.0285633,2024-01-01T00:00:00,30.58305555555555,Beejanta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86905886664664,25.625835868199736]}"
