system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.1014023,0.25,0.26,1.98,0.14156552,243,2.87,0,0.32063448,0.36,9,0.1756954,0,0.33518162,0.2835586,-1.461072832202199,0.26,180.0,241,239,"8/1/24, 12:00 AM",CHURU,227,2024-12-31T00:00:00,8.25,1.608954,540,542,219,220,1.8543341,2024-01-01T00:00:00,30.821853658536593,Gothyan Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51655994915814,28.761405367418927]}"
4_0,0,0.104847126,0.54,0.35,2.67,0.14737472,198,2.55,0,0.2619023,0.42,9,0.19174713,0,0.3199069,0.29385516,0.7960192919667316,0.34,150.30185,250,248,"8/1/24, 12:00 AM",CHURU,223,2024-12-31T00:00:00,8.22,1.608954,548,552,202,199,2.1344948,2024-01-01T00:00:00,30.86741463414634,Gothyan Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.50739713326011,28.758171432396097]}"
6_0,0,0.09157907,0.19,0.58,2.57,0.13525,253,3.55,0,0.28990582,0.35,8,0.17652093,0,0.36583605,0.32667443,-0.199587784879897,0.34,270.0,256,257,"6/11/24, 12:00 AM",CHURU,290,2024-12-31T00:00:00,8.34,1.6098826,457,461,287,282,1.0542525,2024-01-01T00:00:00,30.851166666666675,Thirpali Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54728233187502,28.39839616110623]}"
7_0,0,0.09157907,0.3,0.59,3.64,0.13525,364,2.53,0,0.28990582,0.53,7,0.17652093,0,0.36583605,0.32667443,-0.199587784879897,0.26,270.0,256,257,"6/11/24, 12:00 AM",CHURU,290,2024-12-31T00:00:00,8.37,1.6098826,457,461,287,282,1.0542525,2024-01-01T00:00:00,30.851166666666675,Thirpali Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54728233187502,28.39839616110623]}"
8_0,0,0.09157907,0.26,0.52,2.55,0.13525,253,3.09,0,0.28990582,0.33,6,0.17652093,0,0.36583605,0.32667443,-0.199587784879897,0.28,270.0,256,257,"6/11/24, 12:00 AM",CHURU,290,2024-12-31T00:00:00,8.27,1.6098826,457,461,287,282,1.0542525,2024-01-01T00:00:00,30.851166666666675,Thirpali Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54728233187502,28.39839616110623]}"
9_0,0,0.082513794,0.16,0.64,1.64,0.12283219,164,2.53,0,0.2844115,0.26,9,0.15465632,0,0.32828966,0.28655863,-1.3967396932900422,0.24,322.84613,258,257,"6/11/24, 12:00 AM",CHURU,288,2024-12-31T00:00:00,8.19,1.6125668,459,461,282,282,3.4868002,2024-01-01T00:00:00,30.864833333333333,Thirpali Bari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.55482818026164,28.385190926429672]}"
10_0,0,0.106298,0.43,0.55,3.06,0.153674,255,3.09,0,0.283792,0.28,12,0.208518,0,0.369226,0.328302,-2.7010915004063425,0.52,330.28937,247,241,"6/28/24, 12:00 AM",CHURU,225,2024-12-31T00:00:00,7.91,1.4742796,629,632,124,127,6.380735,2024-01-01T00:00:00,30.856428571428573,Baniyala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.81183160876637,28.81072287651709]}"
11_0,0,0.113864705,0.39,0.34,2.33,0.16441372,235,1.64,0,0.30498627,0.16,13,0.21309412,0,0.3657451,0.3280745,-1.8668045199212386,0.37,-0.0,236,237,"6/28/24, 12:00 AM",CHURU,225,2024-12-31T00:00:00,8.34,1.4677894,624,622,139,142,2.7802885,2024-01-01T00:00:00,30.796666666666674,Baniyala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80590272789118,28.789702298868693]}"
12_0,0,0.12963,0.38,0.34,4.26,0.18626,253,2.53,0,0.327602,0.22,9,0.23434,0,0.37678,0.351538,2.7416678600909323,0.39,209.70366,240,242,"7/2/24, 12:00 AM",CHURU,217,2024-12-31T00:00:00,7.86,1.4677894,627,623,134,135,2.1346118,2024-01-01T00:00:00,30.78509523809524,Raiya Tunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.8075196954026,28.781347966726383]}"
13_0,0,0.092592,0.26,0.43,1.98,0.135064,254,3.46,0,0.25913998,0.28,9,0.15107399,0,0.266172,0.216788,-1.6806829766209828,0.25,113.66763,236,239,"6/28/24, 12:00 AM",CHURU,222,2024-12-31T00:00:00,8.26,1.4677894,628,624,136,137,2.3092136,2024-01-01T00:00:00,30.77461904761905,Raiya Tunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.8067112116469,28.76598677536794]}"
14_0,0,0.128074,0.39,0.34,2.33,0.19348,235,1.64,0,0.330824,0.16,13,0.25717402,0,0.410398,0.390544,2.359096439148699,0.37,270.0,257,258,"7/2/24, 12:00 AM",CHURU,220,2024-12-31T00:00:00,8.34,1.5075276,608,605,135,137,4.2230663,2024-01-01T00:00:00,30.935219512195122,Raiya Tunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7932364823851,28.728257533434917]}"
