system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.12534043,0.24,0.33,4.6,0.16247872,237,2.62,0,0.29915318,0.2,35,0.1939234,21,0.32470214,0.25761914,-1.6485219343931867,0.5,294.04193,259,227,"4/26/24, 12:00 AM",DAUSA,302,2024-12-31T00:00:00,8.1,3.0205119,503,526,238,247,6.79767,2024-01-01T00:00:00,30.48075675675676,Ghoomana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.65625255012057,26.847454823073875]}"
2_0,0,0.12016087,0.2,0.21,4.82,0.16252826,280,2.36,0,0.2967174,0.29,33,0.20033914,15,0.32756522,0.29314566,-1.581695195606246,0.6,150.70535,269,264,"5/1/24, 12:00 AM",DAUSA,258,2024-12-31T00:00:00,7.61,3.1422622,491,495,240,241,2.126016,2024-01-01T00:00:00,30.502742857142856,Karori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.75219262246453,26.977620707742794]}"
3_0,0,0.10332326,0.23,0.9,4.86,0.13304418,309,2.03,0,0.29630464,0.32,37,0.15030697,13,0.27305815,0.21753024,-0.1770282724732177,0.59,270.0,265,258,"4/27/24, 12:00 AM",DAUSA,235,2024-12-31T00:00:00,8.21,2.9856887,482,487,253,255,1.0423379,2024-01-01T00:00:00,30.49910526315789,Bhandpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87993305586633,27.16195500404412]}"
4_0,0,0.14467303,0.18,0.64,4.38,0.17965731,261,2.57,0,0.2810865,0.29,47,0.21147078,10,0.33024046,0.28951687,8.000564022808764,0.42,-0.0,269,261,"8/1/24, 12:00 AM",DAUSA,231,2024-12-31T00:00:00,7.89,3.0894854,482,488,249,251,0.0,2024-01-01T00:00:00,30.474685714285716,Berkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92386067325978,27.05739110497261]}"
5_0,0,0.14467303,0.19,0.88,4.57,0.17965731,326,2.64,0,0.2810865,0.28,15,0.21147078,11,0.33024046,0.28951687,8.000564022808764,0.58,-0.0,269,261,"8/1/24, 12:00 AM",DAUSA,231,2024-12-31T00:00:00,8.29,3.0894854,482,488,249,251,0.0,2024-01-01T00:00:00,30.474685714285716,Berkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92386067325978,27.05739110497261]}"
6_0,0,0.14467303,0.19,0.76,4.48,0.17965731,279,2.49,0,0.2810865,0.23,44,0.21147078,13,0.33024046,0.28951687,8.000564022808764,0.45,-0.0,269,261,"8/1/24, 12:00 AM",DAUSA,231,2024-12-31T00:00:00,7.57,3.0894854,482,488,249,251,0.0,2024-01-01T00:00:00,30.474685714285716,Berkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92386067325978,27.05739110497261]}"
7_0,0,0.14467303,0.18,0.8,4.59,0.17965731,194,1.93,0,0.2810865,0.23,31,0.21147078,15,0.33024046,0.28951687,8.000564022808764,0.64,-0.0,269,261,"8/1/24, 12:00 AM",DAUSA,231,2024-12-31T00:00:00,7.69,3.0894854,482,488,249,251,0.0,2024-01-01T00:00:00,30.474685714285716,Berkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92386067325978,27.05739110497261]}"
8_0,0,0.14467303,0.19,0.32,4.39,0.17965731,336,2.12,0,0.2810865,0.17,38,0.21147078,20,0.33024046,0.28951687,8.000564022808764,0.55,-0.0,269,261,"8/1/24, 12:00 AM",DAUSA,231,2024-12-31T00:00:00,7.63,3.0894854,482,488,249,251,0.0,2024-01-01T00:00:00,30.474685714285716,Berkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92386067325978,27.05739110497261]}"
9_0,0,0.10364783,0.24,0.3,4.2,0.13796957,181,2.75,0,0.3054174,0.21,31,0.15498914,21,0.28088695,0.22824349,-1.5821430902445794,0.44,29.303581,283,274,"8/1/24, 12:00 AM",DAUSA,240,2024-12-31T00:00:00,7.58,3.084046,476,481,241,245,2.1262019,2024-01-01T00:00:00,30.455388888888884,Gagwana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8540615756837,27.018583884698643]}"
10_0,0,0.100291304,0.29,0.49,4.34,0.13154131,335,2.36,0,0.28471738,0.22,29,0.14785217,17,0.27632174,0.22257826,1.2117840190597309,0.53,90.0,274,265,"8/1/24, 12:00 AM",DAUSA,240,2024-12-31T00:00:00,8.06,3.084046,484,490,241,245,1.0410181,2024-01-01T00:00:00,30.455388888888884,Gagwana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85298359734276,27.019931357624824]}"
