system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.12320103,0.77,0.64,3.928,0.16477577,241,3.88,0,0.2862629,0.38,28,0.19265361,24,0.33846444,0.28999588,-1.480485020143781,0.51,15.63851,239,247,"5/1/24, 12:00 AM",DUDU,387,2024-12-31T00:00:00,7.7,2.3411162,450,442,311,311,3.8467896,2024-01-01T00:00:00,30.68935,Sali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.02823576071077,26.736962043127175]}"
1_0,0,0.11238,0.474,0.68,2.366,0.1467642,182,4.034,0,0.28730315,0.63,22,0.17738,22,0.35732,0.28614527,-1.1538761226384922,0.356,311.8053,234,232,"3/6/24, 12:00 AM",DUDU,328,2024-12-31T00:00:00,7.4,2.4585922,343,340,423,428,1.3910995,2024-01-01T00:00:00,30.63384210526316,Sewa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.29260994882715,26.585236591639386]}"
2_0,0,0.107091,0.6,0.14,3.8,0.139387,273,3.04,0,0.288731,0.32,30,0.168841,25.2,0.34830502,0.284457,-1.5520098886376983,0.36,90.0,264,267,"4/25/24, 12:00 AM",DUDU,329,2024-12-31T00:00:00,7.9,2.5531113,397,394,338,339,2.0721443,2024-01-01T00:00:00,30.679948717948726,Gulabpura @ Gopalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.35836662762469,26.51597648323377]}"
3_0,0,0.09958557,0.75,0.42,3.982,0.11911649,275,3.742,0,0.21171856,0.49,21,0.13528247,21,0.23757216,0.20289691,-1.1562829871443427,0.595,131.76091,282,275,"4/28/24, 12:00 AM",DUDU,361,2024-12-31T00:00:00,7.9,2.5217705,410,417,308,308,1.3923053,2024-01-01T00:00:00,30.692999999999994,Palu Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3516292629938,26.76310301789505]}"
4_0,0,0.083890624,0.69,0.41,4.308,0.124508336,262,3.501,0,0.27086458,0.28,21,0.18461145,24,0.3623448,0.31966147,-1.156370118010663,0.542,228.24075,276,265,"4/26/24, 12:00 AM",DUDU,372,2024-12-31T00:00:00,7.9,2.4518576,429,438,296,297,1.3923507,2024-01-01T00:00:00,30.671170731707313,Palu Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.33465110412394,26.76984038252595]}"
5_0,0,0.1323264,0.71,0.59,2.65,0.17391168,215,3.745,0,0.27997106,0.55,22,0.21165381,15,0.3274812,0.2804934,2.034726592808143,0.552,-0.0,231,237,"5/1/24, 12:00 AM",DUDU,395,2024-12-31T00:00:00,7.7,2.3411162,453,444,316,319,0.0,2024-01-01T00:00:00,30.70705000000001,Sali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.0126050747671,26.72564327054727]}"
6_0,0,0.087513044,0.48,0.24,4.3,0.116117395,158,2.5,0,0.2892565,0.29,30,0.12587391,34.2,0.27745435,0.22581522,6.936302518478518,0.4,-0.0,255,252,"3/6/24, 12:00 AM",DUDU,326,2024-12-31T00:00:00,8.4,2.6272793,412,414,333,334,1.8543341,2024-01-01T00:00:00,30.544702702702704,Chauru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.44460489490017,26.592512945440756]}"
7_0,0,0.08953125,0.777,0.39,5.228,0.12210208,245,4.275,0,0.20150833,0.59,26,0.13439375,20,0.24753334,0.2005,2.035461990891148,0.421,-0.0,230,231,"5/2/24, 12:00 AM",DUDU,321,2024-12-31T00:00:00,7.7,2.7645245,395,391,374,378,0.0,2024-01-01T00:00:00,30.54189743589743,Sultaniya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54485688060791,26.64102197078321]}"
8_0,0,0.10881091,0.298,0.55,2.366,0.14140181,185,4.382,0,0.27512363,0.62,25,0.16518,22,0.3103982,0.25657454,2.0353266466977322,0.434,-0.0,268,271,"3/5/24, 12:00 AM",DUDU,343,2024-12-31T00:00:00,8.3,2.689373,409,402,323,326,0.0,2024-01-01T00:00:00,30.647421052631586,Sanwali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.44083197070687,26.656922151312124]}"
9_0,0,0.11439359,0.522,0.65,5.034,0.15932693,209,4.076,0,0.32251024,0.32,21,0.20645897,20,0.37286666,0.33415514,6.352358602039307,0.558,114.0529,235,229,"2/4/24, 12:00 AM",DUDU,386,2024-12-31T00:00:00,7.7,2.2995515,412,415,352,356,2.2744093,2024-01-01T00:00:00,30.675488372093028,Marwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95897565230516,26.789243992662932]}"
