system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.10181887,0.48,0.18,3.36,0.15036227,226,5.36,0,0.33228868,0.1,59,0.19042264,0,0.35165095,0.30576038,-0.8114605748782787,0.36,200.41045,236,241,"2/22/24, 12:00 AM",JODHPUR,264,2024-12-31T00:00:00,8.9,2.02777,521,516,242,243,2.96621,2024-01-01T00:00:00,30.800744186046508,Palri Mangaliya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.99220416925387,26.387697060661505]}"
1_0,0,0.12402778,0.48,0.33,3.48,0.16606852,254,5.3,0,0.32058334,0.21,36,0.21043703,0,0.37182036,0.32731298,-0.8820787196810564,0.36,209.16547,244,246,"2/22/24, 12:00 AM",JODHPUR,265,2024-12-31T00:00:00,8.4,2.02777,526,529,229,225,2.123338,2024-01-01T00:00:00,30.799761904761898,Palri Mangaliya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98304135335586,26.37422233139971]}"
2_0,0,0.12970378,0.48,0.11,3.4,0.17490377,212,5.24,0,0.3277849,0.11,31,0.22630377,0,0.40306982,0.36381698,1.4463438398325095,0.36,270.0,201,201,"2/8/24, 12:00 AM",JODHPUR,242,2024-12-31T00:00:00,8.4,1.8771545,559,554,240,245,1.035043,2024-01-01T00:00:00,30.8547619047619,Jaleli Daikara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.26870561370586,26.36398153716075]}"
3_0,0,0.12178868,0.56,0.16,3.4,0.15951698,310,5.2,0,0.31614152,0.14,44,0.19512641,0,0.38613018,0.34032264,-1.6411883764396649,0.38,114.128174,194,208,"2/8/24, 12:00 AM",JODHPUR,252,2024-12-31T00:00:00,8.7,1.8771545,564,554,242,238,2.2677433,2024-01-01T00:00:00,30.88965853658537,Jaleli Daikara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.29915850183751,26.385541103979616]}"
4_0,0,0.10842884,0.46,0.11,3.36,0.15003654,169,5.36,0,0.29789615,0.15,36,0.19791923,0,0.38973847,0.3346577,-2.170333449314927,0.34,195.59204,194,201,"2/8/24, 12:00 AM",JODHPUR,257,2024-12-31T00:00:00,8.8,1.8771545,559,555,247,244,3.8459203,2024-01-01T00:00:00,30.893121951219523,Jaleli Daikara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.29215164262138,26.37826475017825]}"
5_0,0,0.15935,0.5,0.13,3.4,0.20211923,296,5.12,0,0.32946923,0.11,18,0.2432923,0,0.36685193,0.3264096,2.3895975179856723,0.26,-0.0,235,236,"2/12/24, 12:00 AM",JODHPUR,213,2024-12-31T00:00:00,8.3,1.8987949,553,550,213,214,0.92740995,2024-01-01T00:00:00,30.607692307692307,Nandri (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.10242745461534,26.29876384753367]}"
6_0,0,0.09886981,0.42,0.22,3.52,0.13016793,381,5.26,0,0.2664736,0.1,64,0.16546415,0,0.36227924,0.28673774,-0.4579467094734399,0.36,48.14314,257,262,"3/18/24, 12:00 AM",JODHPUR,220,2024-12-31T00:00:00,8.2,1.9090877,526,519,217,220,1.3897017,2024-01-01T00:00:00,30.8569756097561,Bora Was,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.1223700539228,26.37691727725207]}"
7_0,0,0.09078077,0.48,0.11,3.26,0.121542305,282,5.14,0,0.2959077,0.17,28,0.14295577,0,0.2778846,0.21415576,-0.7463103473608443,0.4,-0.0,252,254,"3/18/24, 12:00 AM",JODHPUR,218,2024-12-31T00:00:00,8.6,1.8960266,496,489,252,258,0.92740995,2024-01-01T00:00:00,30.759099999999997,Bora Was,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.15848232834439,26.350506807898956]}"
8_0,0,0.20659038,0.48,0.16,4,0.22712116,423,5.2,0,0.31905386,0.1,49,0.25251153,0,0.34761155,0.31340384,-1.844738900868842,0.36,180.0,244,246,"3/18/24, 12:00 AM",JODHPUR,212,2024-12-31T00:00:00,8.7,1.877217,536,531,221,223,2.7802885,2024-01-01T00:00:00,30.725794871794868,Bora Was,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.1269514618718,26.32948623025056]}"
9_0,0,0.12440926,0.48,0.07,3.2,0.16540185,353,3.96,0,0.31600556,0.16,49,0.20363519,0,0.3630241,0.31337962,-0.8807233987073901,0.34,150.8617,251,262,"1/10/24, 12:00 AM",JODHPUR,228,2024-12-31T00:00:00,8.9,1.8244765,500,486,250,253,2.122777,2024-01-01T00:00:00,30.821302325581385,Naron Ki Dhani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86365525209636,26.2448649304865]}"
