system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.0607617,0.96,0.27,9.17,0.09320213,496,7.33,0,0.32431063,0.61,49,0.09391915,19,0.25339574,0.18671702,-1.8465965400052007,0.24,-0.0,256,261,"2/10/24, 12:00 AM",KARAULI,259,2024-12-31T00:00:00,7.75,3.1896353,505,500,239,239,2.7802885,2024-01-01T00:00:00,30.515944444444447,Pareeta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91685381404365,26.54669886595066]}"
1_0,0,0.08477634,0.39,0.31,3.02,0.11648495,290,1.67,0,0.2619269,0.58,30,0.15973441,12,0.31962797,0.26100215,-0.7455044987012377,0.67,-0.0,237,227,"2/10/24, 12:00 AM",KARAULI,328,2024-12-31T00:00:00,7.9,3.266575,475,483,288,290,0.92740995,2024-01-01T00:00:00,30.66099999999999,Rahir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02950255067223,26.25591420848117]}"
2_0,0,0.070168085,0.43,0.31,9.79,0.10539149,332,9.03,0,0.28093404,0.54,43,0.13717872,20,0.2603085,0.21374469,-0.7449535300503831,0.49,48.13069,252,254,"3/2/24, 12:00 AM",KARAULI,198,2024-12-31T00:00:00,7.78,3.1462169,416,413,331,333,2.777098,2024-01-01T00:00:00,30.453500000000002,Dargawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27231717196975,26.32625229522773]}"
3_0,0,0.09260435,0.28,0.28,3.55,0.12386957,288,7.47,0,0.2558848,0.51,56,0.15412827,17,0.32489783,0.26493478,-1.6435439493730644,1.13,294.1005,274,287,"2/10/24, 12:00 AM",KARAULI,326,2024-12-31T00:00:00,7.25,3.1303713,478,466,248,247,2.27019,2024-01-01T00:00:00,30.603736842105263,Ratiyapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.16317186494922,26.534841104200282]}"
4_0,0,0.09213636,1.03,0.21,5.63,0.12795228,351,10.88,0,0.29635453,0.5,26,0.15157728,19,0.28315,0.2328,-0.8639339352146242,0.23,90.0,265,272,"3/2/24, 12:00 AM",KARAULI,219,2024-12-31T00:00:00,7.84,3.0444784,520,511,216,217,1.0390605,2024-01-01T00:00:00,30.53448484848485,Singhniya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93868287544775,26.807569624458967]}"
5_0,0,0.080115214,0.05,0.32,1.9,0.114841305,279,6.18,0,0.24236739,0.62,37,0.13498695,9,0.26202825,0.22163695,-1.1558862194732897,0.25,131.76822,276,280,"5/31/24, 12:00 AM",KARAULI,251,2024-12-31T00:00:00,8.06,3.0641184,465,461,259,259,1.3921067,2024-01-01T00:00:00,30.607722222222225,Dhahariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7044920808778,26.73399760268958]}"
6_0,0,0.097531,0.43,0.3,1.6,0.133972,331,7.46,0,0.29481,0.52,35,0.16229,12,0.28389,0.231871,-1.993994752007387,0.37,73.341385,236,229,"2/10/24, 12:00 AM",KARAULI,210,2024-12-31T00:00:00,7.84,3.2497294,501,497,262,274,3.231979,2024-01-01T00:00:00,30.501846153846156,Dangariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92439966243025,26.144882439363997]}"
7_0,0,0.08188723,0.37,0.26,8.33,0.11030213,485,5.7,0,0.26137447,0.48,25,0.15211914,14,0.34612128,0.27802128,2.03791568914622,0.35,-0.0,258,259,"2/10/24, 12:00 AM",KARAULI,355,2024-12-31T00:00:00,7.75,3.0606408,463,470,279,272,0.0,2024-01-01T00:00:00,30.611666666666665,Shyampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17718558338149,26.354010237507023]}"
8_0,0,0.07672979,0.27,0.59,9.71,0.11200851,292,10.44,0,0.26748937,0.47,39,0.14306809,14,0.29456595,0.24934256,-1.3774881002104504,0.68,143.24014,242,216,"5/3/24, 12:00 AM",KARAULI,273,2024-12-31T00:00:00,7.45,3.0205119,523,543,235,241,3.4688501,2024-01-01T00:00:00,30.55905555555556,Gidani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67511717108708,26.816732440356986]}"
9_0,0,0.12002046,0.39,0.21,4.87,0.15730682,411,7.19,0,0.28813863,0.68,54,0.18632728,10,0.3308932,0.29174092,-0.7502200368774095,0.85,-0.0,251,255,"3/2/24, 12:00 AM",KARAULI,221,2024-12-31T00:00:00,7.9,3.0444784,520,516,228,230,0.92740995,2024-01-01T00:00:00,30.469277777777783,Katara Aziz,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91011644941275,26.80622215153279]}"
