system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.08331889,0.32,0.15,4.08,0.11638556,138,4.38,0,0.2621789,0.27,18.32,0.13913555,20.7,0.28124446,0.23645334,-1.2299782789334321,0.48,159.36795,272,252,"5/8/24, 12:00 AM",NEEM KA THANA,425,2024-12-31T00:00:00,8.82,2.2914345,456,464,272,284,2.9704998,2024-01-01T00:00:00,30.536465116279068,Mawta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.61007457023499,27.709837495828616]}"
1_0,0,0.11262879,0.32,0.24,4.68,0.14521363,230,4.1,0,0.29752877,0.18,53,0.18153182,37,0.33868182,0.2871303,-0.8830459602030911,0.64,90.0,275,259,"3/20/24, 12:00 AM",NEEM KA THANA,419,2024-12-31T00:00:00,8.15,2.3424916,475,476,250,265,1.0491139,2024-01-01T00:00:00,30.590909090909097,SHREE ASHOK NAGAR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.76557294591608,27.87476818199296]}"
2_0,0,0.0681954,0.32,0.18,4.3,0.107196555,180,4.32,0,0.3299046,0.22,60,0.13466552,27,0.29056323,0.23684138,0.21205979429543223,0.3,311.4299,264,249,"6/19/24, 12:00 AM",NEEM KA THANA,373,2024-12-31T00:00:00,7.8,2.21832,463,470,273,281,5.588894,2024-01-01T00:00:00,30.668756756756753,Loyal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.64510886631564,28.048861684055325]}"
3_0,0,0.10389111,0.3,0.18,4.4,0.14784667,345,4.3,0,0.31037334,0.27,41.22,0.19960889,27,0.36962777,0.32282,-2.02122884133632,0.32,286.43472,287,285,"5/8/24, 12:00 AM",NEEM KA THANA,443,2024-12-31T00:00:00,7.92,2.2056274,439,441,273,274,3.2746758,2024-01-01T00:00:00,30.69638095238095,Indrapura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.45781012957673,27.757807532000598]}"
4_0,0,0.08109106,0.36,0.17,4.4,0.12459274,199,4.3,0,0.332924,0.27,65,0.15770335,27,0.3109352,0.26188436,-0.47875416621834643,0.46,270.0,236,225,"3/20/24, 12:00 AM",NEEM KA THANA,408,2024-12-31T00:00:00,8.63,2.3134344,479,488,284,288,2.098779,2024-01-01T00:00:00,30.485666666666663,Barau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.66828540064593,27.939446882449566]}"
5_0,0,0.1259911,0.28,0.19,4.91,0.1589,322,4.91,0,0.27121332,0.27,25,0.18974666,18,0.34363776,0.30148444,-1.6633722098794408,0.88,66.1315,243,238,"3/26/24, 12:00 AM",NEEM KA THANA,414,2024-12-31T00:00:00,8.4,2.4225042,467,467,289,295,2.2909234,2024-01-01T00:00:00,30.546149999999994,Nathuwala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.90328467897159,27.752956629466354]}"
6_0,0,0.08826956,0.31,0.2,4.92,0.13415,269,4.61,0,0.31050435,0.27,26,0.18487173,20,0.35266086,0.30912608,-1.3874799789585204,0.69,323.03555,230,211,"2/22/24, 12:00 AM",NEEM KA THANA,495,2024-12-31T00:00:00,8.2,2.4471734,493,496,277,293,3.4781275,2024-01-01T00:00:00,30.510487804878057,Jheerana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77150182679127,27.644889300786776]}"
7_0,0,0.105078846,0.34,0.26,4.72,0.14011922,115,4.36,0,0.30118653,0.21,57,0.17347115,40,0.33422694,0.26872116,-2.2933615327090022,0.66,257.53946,256,246,"3/20/24, 12:00 AM",NEEM KA THANA,420,2024-12-31T00:00:00,8.31,2.3424916,468,467,276,287,4.2905383,2024-01-01T00:00:00,30.5997435897436,Pratappura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77689171849597,27.885008976231923]}"
8_0,0,0.087610714,0.5,0.16,4.1,0.12215833,218.5,4.2,0,0.26273215,0.195,27.48,0.16133334,11.7,0.29919285,0.26526546,1.63733670522373,0.92,-0.0,248,242,"5/30/24, 12:00 AM",NEEM KA THANA,345,2024-12-31T00:00:00,8.59,2.1679907,507,507,245,252,0.92740995,2024-01-01T00:00:00,30.627365853658546,Basai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97011933611009,27.96585735180268]}"
9_0,0,0.097528264,0.28,0.16,4.66,0.13347934,368,4.1,0,0.28716522,0.24,69,0.16816522,22,0.3302065,0.26799673,-0.972095983697449,0.72,113.84676,282,256,"3/21/24, 12:00 AM",NEEM KA THANA,410,2024-12-31T00:00:00,8.65,2.3658195,470,479,248,264,4.578453,2024-01-01T00:00:00,30.569822222222218,Hardiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.74185742241532,27.864527387754]}"
10_0,0,0.10080329,0.38,0.28,4.28,0.13283187,218.5,4.52,0,0.27992418,0.24,22.9,0.16458791,18.9,0.33293846,0.2598011,-1.978862914244634,0.48,270.0,280,262,"5/8/24, 12:00 AM",NEEM KA THANA,433,2024-12-31T00:00:00,7.73,2.2914345,472,478,248,260,3.140116,2024-01-01T00:00:00,30.51731818181818,Mandawara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.60818810813834,27.721695257578993]}"
11_0,0,0.09726451,0.4,0.21,4.3,0.12985484,322,4.38,0,0.29653978,0.21,32.06,0.16710323,23.4,0.3380613,0.25910753,-0.4916860236512293,0.34,209.46657,268,261,"5/8/24, 12:00 AM",NEEM KA THANA,460,2024-12-31T00:00:00,7.82,2.2125123,458,459,274,280,2.1296074,2024-01-01T00:00:00,30.405255813953488,Mandawara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.58851500341612,27.754573596977767]}"
12_0,0,0.104044445,0.31,0.18,4.82,0.14173555,403,4.88,0,0.31926444,0.36,32,0.1711689,25,0.32300445,0.27089334,1.6026564849051053,0.87,48.490917,252,241,"3/26/24, 12:00 AM",NEEM KA THANA,404,2024-12-31T00:00:00,8.4,2.5060918,461,467,287,293,1.3992037,2024-01-01T00:00:00,30.52756097560976,Nathuwala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.91406446238103,27.747566737761638]}"
13_0,0,0.0736073,0.42,0.3,4.18,0.10984214,196,4.1,0,0.33112246,0.3,57,0.13399887,21,0.2926736,0.23815787,-1.6674488441067474,0.321,293.821,239,253,"3/21/24, 12:00 AM",NEEM KA THANA,448,2024-12-31T00:00:00,8.29,2.2675147,456,446,305,301,2.2952178,2024-01-01T00:00:00,30.439209302325576,Bhitera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.71814189891457,27.99577125076386]}"
14_0,0,0.10981915,0.25,0.11,4.31,0.15082128,420,4.02,0,0.2883383,0.6,58,0.20380639,42,0.35826382,0.321883,-0.5352339870077749,0.55,-0.0,228,231,"3/27/24, 12:00 AM",NEEM KA THANA,388,2024-12-31T00:00:00,8,2.5060918,468,465,305,304,3.7047918,2024-01-01T00:00:00,30.39028571428571,Nanagwas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.93589352378513,27.728163127624654]}"
