system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.061032966,0.93,0.71,13.46,0.0911967,410,8.89,0,0.27733737,0.47,25,0.09733956,16,0.25736374,0.18945715,1.3581715924065045,0.72,159.76147,349,347,"3/26/24, 12:00 AM",RAJSAMAND,677,2024-12-31T00:00:00,7.78,3.0647318,372,377,279,275,2.962921,2024-01-01T00:00:00,30.36774358974358,Soniyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.75729929673847,25.298130452552936]}"
1_0,0,0.09091758,0.75,0.72,16.22,0.11188351,423,7.41,0,0.21167253,0.44,27,0.1254077,24,0.24754725,0.20214835,-2.257331101164553,0.88,151.0548,351,349,"3/26/24, 12:00 AM",RAJSAMAND,697,2024-12-31T00:00:00,8.16,3.0210843,370,376,279,275,4.2318444,2024-01-01T00:00:00,30.356578947368426,Soniyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.75433485630087,25.302711860501947]}"
2_0,0,0.09242967,1.19,0.72,18.01,0.124424174,400,7.55,0,0.2961868,0.38,22,0.14087473,19,0.31843516,0.25298792,7.071323935538242,0.42,270.0,347,346,"3/26/24, 12:00 AM",RAJSAMAND,683,2024-12-31T00:00:00,8.29,3.0647318,361,367,292,286,2.0509026,2024-01-01T00:00:00,30.365333333333336,Soniyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.75110092127804,25.299747420064353]}"
3_0,0,0.080357306,0.8,0.38,11.94,0.10028989,393,6.16,0,0.23757303,0.26,17,0.12360899,17,0.29201236,0.21950449,-0.03828833619604639,0.38,132.12016,353,349,"4/19/24, 12:00 AM",RAJSAMAND,672,2024-12-31T00:00:00,7.81,2.991987,371,374,276,277,1.3826269,2024-01-01T00:00:00,30.458051282051283,Kharnota,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.82602041597362,25.283038755779728]}"
4_0,0,0.060539998,1.71,0.43,11.66,0.08037778,406,6.81,0,0.20914888,0.35,32,0.10004,18,0.2910289,0.20624444,2.7429469017176427,0.51,-0.0,351,354,"3/25/24, 12:00 AM",RAJSAMAND,631,2024-12-31T00:00:00,7.72,2.9563375,339,340,310,307,0.0,2024-01-01T00:00:00,30.418564102564105,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.6605507406388,24.912753195665662]}"
5_0,0,0.088644184,0.87,0.46,12.66,0.11975116,410,5.96,0,0.23557675,0.33,25,0.14307675,17,0.3040744,0.25753954,-2.0494582009581297,0.48,216.32623,343,351,"3/25/24, 12:00 AM",RAJSAMAND,633,2024-12-31T00:00:00,7.73,2.9563375,338,336,319,313,3.4494946,2024-01-01T00:00:00,30.34866666666667,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.66378467566163,24.94859597550203]}"
6_0,0,0.072351165,0.49,1.15,12.23,0.10276977,430,6.13,0,0.25841862,0.5,22,0.11861163,28,0.31762558,0.24747907,-2.937081736469305,0.75,282.77228,349,352,"3/25/24, 12:00 AM",RAJSAMAND,646,2024-12-31T00:00:00,7.55,3.0199165,334,331,317,317,8.331459,2024-01-01T00:00:00,30.393750000000004,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.64465056010988,24.941050127115428]}"
7_0,0,0.072351165,0.88,0.52,11.08,0.10276977,443,8.46,0,0.25841862,0.53,32,0.11861163,16,0.31762558,0.24747907,-2.937081736469305,0.52,282.77228,349,352,"3/25/24, 12:00 AM",RAJSAMAND,646,2024-12-31T00:00:00,7.8,3.0199165,334,331,317,317,8.331459,2024-01-01T00:00:00,30.393750000000004,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.64465056010988,24.941050127115428]}"
8_0,0,0.06566222,0.85,0.37,11.65,0.0907,410,5.72,0,0.22226667,0.32,20,0.101722226,18,0.2114289,0.15324445,-3.3196000458828703,0.45,265.67722,379,381,"3/25/24, 12:00 AM",RAJSAMAND,701,2024-12-31T00:00:00,7.71,2.9674292,376,374,246,245,12.120876,2024-01-01T00:00:00,30.192243902439024,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.70420886344701,24.89469705845486]}"
9_0,0,0.06566222,0.91,0.39,11.45,0.0907,426,6.2,0,0.22226667,0.26,17,0.101722226,19,0.2114289,0.15324445,-3.3196000458828703,0.37,265.67722,379,381,"3/25/24, 12:00 AM",RAJSAMAND,701,2024-12-31T00:00:00,7.72,2.9674292,376,374,246,245,12.120876,2024-01-01T00:00:00,30.192243902439024,Dhanwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.70420886344701,24.89469705845486]}"
