system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.06401042,0.41,0.13,2.68,0.09245209,240,6.24,0,0.30223647,0.29,30,0.09601667,12,0.25025937,0.17316979,-0.7314502176102643,0.23,180.0,230,239,"2/20/24, 12:00 AM",SIROHI,278,2024-12-31T00:00:00,8.3,4.5574665,410,403,360,357,0.92740995,2024-01-01T00:00:00,30.4348888888889,Kiwarli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8353583206466,24.531418357556927]}"
1_0,0,0.07263846,0.44,0.16,2.44,0.10888558,250,2.68,0,0.33518076,0.46,24,0.12017211,12,0.29324326,0.21539423,-0.8304171571086364,0.24,270.0,233,237,"2/15/24, 12:00 AM",SIROHI,272,2024-12-31T00:00:00,8.4,4.061007,416,414,351,349,1.0216559,2024-01-01T00:00:00,30.602256410256405,Sildar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50657492665886,24.80576384532703]}"
2_0,0,0.057043,0.39,0.16,3.42,0.094938,286,4.69,0,0.341792,0.54,24,0.084091,10,0.253191,0.169388,-1.9729724559226216,0.24,286.83347,258,276,"3/6/24, 12:00 AM",SIROHI,375,2024-12-31T00:00:00,8.4,3.4962792,371,362,371,363,3.1994333,2024-01-01T00:00:00,30.595333333333333,Jhadoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.01969261694794,24.81519615581028]}"
3_0,0,0.077646874,0.47,0.18,3.47,0.10857084,216,2.68,0,0.34197187,0.39,21,0.10944896,12,0.275675,0.19594583,0.5561560927299729,0.26,270.0,283,299,"2/16/24, 12:00 AM",SIROHI,376,2024-12-31T00:00:00,8,3.59754,365,357,352,344,1.0215118,2024-01-01T00:00:00,30.378702702702707,Pindwara (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07089658814274,24.788246697286695]}"
4_0,0,0.100404166,0.26,0.27,3.44,0.14057916,300,3.44,0,0.31921563,0.42,36,0.1685875,10,0.3559948,0.29959583,5.413593467303996,0.24,132.27242,215,228,"3/7/24, 12:00 AM",SIROHI,320,2024-12-31T00:00:00,7.9,4.0916305,393,389,392,383,1.378582,2024-01-01T00:00:00,30.457,Rohira,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.96929712950882,24.625471967804238]}"
5_0,0,0.12426863,0.28,0.16,3.47,0.15975,342,2.68,0,0.32049805,0.39,35,0.19920588,11,0.38672745,0.30291668,-0.13796960199880837,0.29,90.0,224,225,"3/12/24, 12:00 AM",SIROHI,260,2024-12-31T00:00:00,8.1,4.061007,399,403,377,372,1.0220181,2024-01-01T00:00:00,30.668780487804874,Haliwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50118503495415,24.84969146272047]}"
6_0,0,0.08040313,0.39,0.19,2.68,0.1124625,344,6.24,0,0.3363479,0.39,27,0.11221771,12,0.27452707,0.19296041,-0.7339546195165534,0.49,180.0,279,279,"2/19/24, 12:00 AM",SIROHI,402,2024-12-31T00:00:00,8,3.5397317,383,379,339,342,0.92740995,2024-01-01T00:00:00,30.589055555555564,Veerwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.97468702121354,24.849421968135236]}"
7_0,0,0.075804904,0.38,0.41,3.44,0.10461176,240,4.68,0,0.2693755,0.51,36,0.11887647,10,0.29156667,0.20807353,0.5196273137736702,0.23,180.0,241,240,"5/31/24, 12:00 AM",SIROHI,307,2024-12-31T00:00:00,8.3,4.9400263,399,402,359,358,1.8543341,2024-01-01T00:00:00,30.546324324324317,Vadeli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70761788724481,24.74701402574561]}"
8_0,0,0.088422224,0.24,0.12,2.44,0.12137778,348,3.44,0,0.30722362,0.42,30,0.14169444,10,0.30969167,0.24136944,-1.1304241998930868,0.24,132.24051,260,269,"3/26/24, 12:00 AM",SIROHI,361,2024-12-31T00:00:00,7.6,3.8280988,353,349,387,381,1.3794271,2024-01-01T00:00:00,30.46368421052632,Ajari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.03370633538019,24.765070162956413]}"
9_0,0,0.06450625,0.26,0.14,2.68,0.08810486,286,2.68,0,0.25200695,0.53,53,0.10034514,11,0.27742848,0.19626458,-0.8297461407625834,0.34,90.0,258,266,"3/26/24, 12:00 AM",SIROHI,358,2024-12-31T00:00:00,7.5,3.8280988,351,349,391,385,1.0213107,2024-01-01T00:00:00,30.46368421052632,Ajari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.03316734620972,24.763992184615468]}"
