system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0,0.074655816,0.214,0.18,6.154,0.099255815,166,0.112,0,0.24629767,0.46,29,0.11284651,18,0.22697906,0.17132325,-1.1307744162013764,0.296,227.76607,326,329,"2/8/24, 12:00 AM",UDAIPUR,565,2024-12-31T00:00:00,8.6,2.7892234,339,337,335,334,1.3796014,2024-01-01T00:00:00,30.438105263157905,Dholi Magri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81577962173465,24.793636588991415]}"
1_0,0,0.074655816,0.406,0.12,3.952,0.099255815,179,0.062,0,0.24629767,0.49,30,0.11284651,16,0.22697906,0.17132325,-1.1307744162013764,0.168,227.76607,326,329,"2/8/24, 12:00 AM",UDAIPUR,565,2024-12-31T00:00:00,8.36,2.7892234,339,337,335,334,1.3796014,2024-01-01T00:00:00,30.438105263157905,Dholi Magri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81577962173465,24.793636588991415]}"
2_0,0,0.055688094,0.362,0.11,0.25,0.07573095,185,0.088,0,0.20384523,0.48,30,0.09189048,17,0.2409381,0.18027857,2.3785305231796907,0.282,270.0,334,344,"2/8/24, 12:00 AM",UDAIPUR,560,2024-12-31T00:00:00,8.19,2.7892234,351,347,314,310,4.0799093,2024-01-01T00:00:00,30.432157894736843,Dholi Magri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.82763738348503,24.79848749152566]}"
3_0,0,0.05917442,0.064,0.12,0.064,0.082527906,166,12.66,0,0.2625256,0.49,30,0.080646515,13,0.22229534,0.14975116,2.050734402715467,0.24,-0.0,330,336,"2/8/24, 12:00 AM",UDAIPUR,562,2024-12-31T00:00:00,8.34,2.7892234,340,335,331,328,0.0,2024-01-01T00:00:00,30.438105263157905,Dholi Magri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.813893159638,24.793906083576648]}"
4_0,0,0.096464284,0.278,0.15,3.986,0.121295236,185,0.088,0,0.24551904,0.43,27,0.1461262,17,0.32621905,0.25829047,-1.8954134925377208,0.24,339.83698,335,347,"2/8/24, 12:00 AM",UDAIPUR,568,2024-12-31T00:00:00,8.27,2.7892234,346,339,319,314,2.961487,2024-01-01T00:00:00,30.438105263157905,Dholi Magri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81982204051319,24.799565469866604]}"
5_0,0,0.06313721,0.256,0.2,1.366,0.08946744,163,1.746,0,0.2965744,0.38,25,0.092534885,17,0.25271627,0.17995116,6.084850794533082,0.326,331.15958,307,307,"3/1/24, 12:00 AM",UDAIPUR,545,2024-12-31T00:00:00,8.37,2.7892234,332,328,361,365,2.1166766,2024-01-01T00:00:00,30.36974358974358,Nimboli Ka Gurah,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.84138160733205,24.77261601134302]}"
6_0,0,0.10272619,0.192,0.1,1.484,0.14150238,136,1.378,0,0.30620477,0.39,25,0.18199524,7,0.4179762,0.34235716,-2.379733120819961,0.532,320.44275,323,329,"3/1/24, 12:00 AM",UDAIPUR,554,2024-12-31T00:00:00,8.21,2.7892234,326,323,350,348,4.800691,2024-01-01T00:00:00,30.34415384615384,Nimboli Ka Gurah,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.8311408130931,24.773424495098723]}"
7_0,0,0.06280588,0.088,0.016,0.078,0.08662941,166,0.16,0,0.279,0.48,30,0.091731764,24,0.26216352,0.19166589,-0.4384624262986912,0.282,312.21844,310,305,"1/25/24, 12:00 AM",UDAIPUR,498,2024-12-31T00:00:00,8.61,3.0699573,340,344,350,351,1.3800119,2024-01-01T00:00:00,30.476512820512816,Jewana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.037843159969,24.86074074071514]}"
8_0,0,0.07266941,0.07,0.18,0.2,0.10185177,152,0.244,0,0.27940705,0.49,30,0.120781176,23,0.3094447,0.24020235,0.6522316158774626,0.45,180.0,310,305,"1/25/24, 12:00 AM",UDAIPUR,497,2024-12-31T00:00:00,8.45,3.0699573,340,344,350,351,2.7802885,2024-01-01T00:00:00,30.476512820512816,Jewana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.03703467621328,24.86074074071514]}"
9_0,0,0.08404773,0.266,0.19,0.248,0.10804886,166,0.51,0,0.26323637,0.49,30,0.124271594,16,0.30027387,0.23106477,-1.8248267656452601,0.262,47.78283,308,306,"1/25/24, 12:00 AM",UDAIPUR,503,2024-12-31T00:00:00,8.54,3.0699573,346,347,346,346,2.7584925,2024-01-01T00:00:00,30.460153846153855,Jewana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.02409893612196,24.866400127005093]}"
