system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.18,0.09925833,39.7,0.4,26.81,0.10049583,173.2,33.41,381,0.235375,0.31,31.36,0.08730417,19.23,0.15717083,0.093345836,-2.0979013223558853,19.7,272.99207,275,271,"3/28/24, 12:00 AM",GYALSHING,1954,2024-12-31T00:00:00,4.73,4.057547,370,368,356,361,17.22996,2024-01-01T00:00:00,29.15800000000001,Kongri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.36040238691382,27.305865112560067]}"
1_0,0.134,0.1343923,52.31,0.3,18.24,0.13818462,157,7.73,227,0.29528075,0.53,31.26,0.12886155,21.28,0.22707692,0.14803077,-1.9076124242736907,23.16,181.69615,259,258,"4/4/24, 12:00 AM",GYALSHING,1800,2024-12-31T00:00:00,5.41,4.4239874,357,351,384,390,31.608347,2024-01-01T00:00:00,29.195743589743586,Nambu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.21622278381264,27.291851394127804]}"
2_0,0.184,0.2967652,12.19,0.7,14.12,0.28984347,262,12.09,262,0.4354348,0.54,16.71,0.27025217,13.01,0.3171913,0.23090869,-4.235807881377107,12.03,206.78087,250,242,"4/22/24, 12:00 AM",GYALSHING,2032,2024-12-31T00:00:00,4.1,4.140349,416,425,334,333,27.737637,2024-01-01T00:00:00,29.1891052631579,Labing,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.24667567194429,27.355452116243466]}"
3_0,0.173,0.10961724,47.52,0.9,28.16,0.12691034,183.32,18.36,320,0.30719656,0.72,17.35,0.1207,21.27,0.26877585,0.18949655,-3.764219712044019,15.76,189.58026,245,265,"4/26/24, 12:00 AM",GYALSHING,1427,2024-12-31T00:00:00,5.36,4.4239874,350,345,405,391,18.176796,2024-01-01T00:00:00,29.487571428571435,Barphok,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.23481791019391,27.287808975349265]}"
4_0,0.126,0.19962,51.47,0.8,14.5,0.19202399,262.08,32.05,385,0.33378398,0.43,29.12,0.169668,28.04,0.243912,0.167888,-1.6350791221643761,15.06,185.36101,245,242,"5/3/24, 12:00 AM",GYALSHING,1805,2024-12-31T00:00:00,5.9,4.140349,412,424,343,334,11.040097,2024-01-01T00:00:00,29.191157894736847,Yuksom,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.22673307263683,27.373777748039505]}"
5_0,0.125,0.218308,24.1,0.5,21.22,0.214688,122,27.96,260,0.35202798,0.33,19.21,0.200684,18.34,0.28874,0.21174,-3.3062947067076465,12.31,200.57887,213,208,"5/3/24, 12:00 AM",GYALSHING,1774,2024-12-31T00:00:00,6.01,3.895869,425,430,362,362,31.901466,2024-01-01T00:00:00,29.128099999999996,Dhupidara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.30677296445188,27.400188217392618]}"
6_0,0.113,0.120877415,31.76,0.1,14.22,0.13156775,316,18.34,293,0.27847418,0.74,17.34,0.12209355,20.71,0.23145807,0.16220322,-4.484327771463054,14.72,88.62454,262,263,"5/3/24, 12:00 AM",GYALSHING,1714,2024-12-31T00:00:00,5.35,4.2783613,363,366,375,371,33.994873,2024-01-01T00:00:00,29.360926829268287,Meliaching,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.21191087044886,27.326616195623227]}"
7_0,0.136,0.15936129,25.26,0.6,21.26,0.16651613,152,17.84,371,0.4605,0.62,27.29,0.13583872,19.44,0.29142258,0.17056128,-3.979218757735068,19.92,26.562775,275,286,"4/26/24, 12:00 AM",GYALSHING,1543,2024-12-31T00:00:00,4.86,4.4239874,351,348,374,366,39.1599,2024-01-01T00:00:00,29.208564102564104,Hee-Patal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.20140058162467,27.25493063595049]}"
8_0,0.174,0.056910343,34.46,0.1,27.16,0.07305172,193,31.51,321,0.26815516,0.72,21.26,0.061848275,21.26,0.1977931,0.123534486,-2.2064314655196973,14.39,59.898212,270,294,"4/29/24, 12:00 AM",GYALSHING,810,2024-12-31T00:00:00,5.44,4.621335,354,342,375,363,25.833673,2024-01-01T00:00:00,29.495000000000005,Barthang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.25314354198996,27.263823957263273]}"
9_0,0.149,0.14367916,30.23,0.5,16.56,0.14465,130,23.23,270,0.28111666,0.53,26.32,0.13385834,23.56,0.21727917,0.14454167,-2.013517395295878,16.23,286.49786,243,246,"5/30/24, 12:00 AM",GYALSHING,2115,2024-12-31T00:00:00,5.04,4.057547,428,427,329,326,18.88169,2024-01-01T00:00:00,29.093631578947374,Tashiding,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.36336682735141,27.312332982605728]}"
