system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.36,0.13613571,2.35,0.146,6.63,0.15067144,296.24,2.43,244.6,0.40226072,0.75,18.76,0.13678929,27.05,0.30685714,0.1985107,-2.1733097540035833,2.43,324.7016,245,248,"2/18/24, 12:00 AM",NAMCHI,1100,2024-12-31T00:00:00,5.6,4.612425,363,359,392,393,28.170116,2024-01-01T00:00:00,29.39643902439024,Wok,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.34854462516344,27.21342846982417]}"
1_0,1.77,0.14887142,1.7,0.076,4.13,0.15557143,319.87,1.9,338.6,0.2568607,0.9,57.41,0.14064643,41.93,0.23344643,0.178825,-3.684294693609486,2.89,335.1518,268,281,"3/26/24, 12:00 AM",NAMCHI,362,2024-12-31T00:00:00,5.2,4.430545,382,376,350,343,16.870836,2024-01-01T00:00:00,29.571512195121958,Namphing,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.49568866870223,27.230406628694027]}"
2_0,0.62,0.052263334,1.62,0.113,8.43,0.06957,672.56,1.91,313.6,0.2327,0.9,112.71,0.07412333,70.8,0.23577334,0.15118334,-2.573820215059364,1.79,152.94276,298,305,"1/25/24, 12:00 AM",NAMCHI,1115,2024-12-31T00:00:00,6,4.991282,359,351,343,344,30.957365,2024-01-01T00:00:00,29.576142857142855,Sorok,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.34531069014062,27.13985644805478]}"
3_0,1.49,0.12178461,2.29,0.082,6.67,0.13811924,404.32,1.71,275.9,0.29668847,0.87,83.84,0.14075,86.03,0.2758577,0.19726539,-3.605507401256216,3.47,283.34787,275,277,"1/10/24, 12:00 AM",NAMCHI,1693,2024-12-31T00:00:00,6,4.6893907,367,360,358,363,15.667457,2024-01-01T00:00:00,29.261500000000012,Maniram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.39920960718779,27.15548713399846]}"
4_0,2.01,0.09441333,1.99,0.105,4.85,0.10926,696.19,2.79,125.4,0.29910666,0.9,18.99,0.097673334,56.82,0.23890333,0.16954666,-0.4304180941923749,0.43,273.77075,273,285,"2/28/24, 12:00 AM",NAMCHI,901,2024-12-31T00:00:00,5.4,4.735463,369,365,358,350,26.2107,2024-01-01T00:00:00,29.546800000000008,Tinik,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.30785094279283,27.158182079850818]}"
5_0,0.65,0.08864643,4.19,0.189,17.92,0.1042,674.68,0.23,279.1,0.26186785,0.6,20.22,0.10816429,104.73,0.24597143,0.173825,-2.6838790609321017,3.82,134.1415,278,279,"1/25/24, 12:00 AM",NAMCHI,1788,2024-12-31T00:00:00,4.9,4.6893907,406,403,316,318,29.155054,2024-01-01T00:00:00,29.201600000000003,Phalidara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.39112476963071,27.17704670081733]}"
6_0,0.91,0.062283333,2.43,0.084,8.79,0.08143,382.7,2.63,266.5,0.25009334,0.42,28.28,0.08155667,33.68,0.22935334,0.1511,-2.857461062520732,0.65,124.68547,243,254,"3/14/24, 12:00 AM",NAMCHI,1139,2024-12-31T00:00:00,5.7,4.548064,377,367,380,378,21.714596,2024-01-01T00:00:00,29.63005,Pamphok,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.47790202607666,27.153331177316574]}"
7_0,0.24,0.09063667,0.4,0.108,17.39,0.09888,359.29,0.49,272.8,0.21971333,0.9,14.7,0.09215,20.34,0.20749334,0.15659,-2.1788271764496523,5.04,327.2879,277,275,"1/2/24, 12:00 AM",NAMCHI,1354,2024-12-31T00:00:00,5.3,4.6893907,352,351,371,374,15.07477,2024-01-01T00:00:00,29.431658536585367,Tinzeer,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.35339552769769,27.167344895748837]}"
8_0,0.83,0.08236,2.68,0.101,3.7,0.09211,562.35,2.57,225.7,0.22636333,0.6,23.42,0.08317,33.3,0.19441667,0.12381667,-1.5122111490833823,2.58,292.96255,258,271,"3/8/24, 12:00 AM",NAMCHI,809,2024-12-31T00:00:00,6.1,4.735463,370,357,373,372,22.5352,2024-01-01T00:00:00,29.546800000000008,Chisopani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.30219155650288,27.15467865024275]}"
9_0,2.01,0.07925,0.91,0.105,6.73,0.090625,418.32,1.63,275.9,0.2762143,0.9,23.21,0.07721072,71.7,0.21061072,0.12622143,-1.2297763386100846,2.91,78.04651,272,278,"3/26/24, 12:00 AM",NAMCHI,734,2024-12-31T00:00:00,5,4.430545,351,350,377,372,21.34491,2024-01-01T00:00:00,29.6033,Namphing,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.48140545568472,27.230406628694027]}"
