system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.39,0.1281909,0.62,0.33,4.9,0.15130454,266,2.1,235,0.27588636,0.36,20.7,0.19563182,14.4,0.3577,0.32052273,-2.3437603224476153,0.7,157.81622,283,302,"1/3/24, 12:00 AM",COIMBATORE,398,2024-12-31T00:00:00,8.1,2.0867157,467,457,250,241,4.995476,2024-01-01T00:00:00,30.64354838709677,Bilichi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95835598016997,11.197634763842455]}"
1_0,0.3,0.11250204,0.85,0.27,5.35,0.1423551,704,2.21,194,0.25258777,0.21,21.7,0.17336735,13.7,0.33454287,0.29371837,0.7792149808818607,0.95,45.528538,271,287,"2/20/24, 12:00 AM",COIMBATORE,427,2024-12-31T00:00:00,8.37,2.9254525,448,439,282,274,1.3237039,2024-01-01T00:00:00,30.569799999999997,Theethipalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87481265874686,10.972606785170514]}"
4_0,0.48,0.15968,1.05,0.17,4.5,0.177484,296,1.92,187,0.325484,0.39,24.4,0.205252,15.7,0.3629,0.301332,-1.0105356100970584,1.43,45.48987,242,252,"2/29/24, 12:00 AM",COIMBATORE,334,2024-12-31T00:00:00,7.3,3.3993254,475,476,283,273,3.9627597,2024-01-01T00:00:00,30.54847058823529,Veeralpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07828107059993,10.565939456049607]}"
6_0,0.69,0.06828,1.2,0.28,5,0.087284,531,2.4,173,0.278664,0.24,10.1,0.073492,11.6,0.184404,0.111556,-1.754140518564963,1.1,180.0,303,310,"3/6/24, 12:00 AM",COIMBATORE,253,2024-12-31T00:00:00,8.4,3.2664866,430,425,266,265,2.7802885,2024-01-01T00:00:00,30.41414285714286,Naickenpalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97371717152842,10.62495877021626]}"
7_0,0.56,0.118263155,0.9,0.35,5.1,0.13393684,563,1.8,173,0.2204,0.27,13.4,0.14451578,10.4,0.26280525,0.23727895,-1.4656261656207077,0.75,333.00003,296,284,"1/18/24, 12:00 AM",COIMBATORE,388,2024-12-31T00:00:00,8.04,1.9535546,438,438,265,279,2.0809786,2024-01-01T00:00:00,30.805599999999995,Rasipalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13837836310752,11.0957658106233]}"
8_0,0.43,0.103755,0.86,0.21,6.2,0.125395,543,2.4,207,0.293675,0.54,19.4,0.13539,13.7,0.301975,0.22302501,-1.4787113218625365,1.27,296.11264,297,302,"2/26/24, 12:00 AM",COIMBATORE,327,2024-12-31T00:00:00,8.12,2.2660708,456,449,247,249,2.1063268,2024-01-01T00:00:00,30.670470588235297,Chinnakallipatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11088991541347,11.380891081802837]}"
9_0,0.58,0.088936366,1.4,0.19,3.9,0.10484546,609,3.4,201,0.3019591,0.24,16.4,0.0898,10.9,0.17711364,0.10600454,1.3526165169879976,1.2,34.145603,248,272,"3/5/24, 12:00 AM",COIMBATORE,327,2024-12-31T00:00:00,7.12,3.3993254,488,464,264,264,3.3581917,2024-01-01T00:00:00,30.525515151515155,Veeralpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0683097709462,10.58722952828324]}"
10_0,0.39,0.103755,1.27,0.16,6.3,0.125395,506,2.15,201,0.293675,0.45,24,0.13539,17.4,0.301975,0.22302501,-1.4787113218625365,0.92,296.11264,297,302,"2/26/24, 12:00 AM",COIMBATORE,327,2024-12-31T00:00:00,7.96,2.2660708,456,449,247,249,2.1063268,2024-01-01T00:00:00,30.670470588235297,Chinnakallipatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11088991541347,11.380891081802837]}"
11_0,0.43,0.064109094,1.21,0.19,6.1,0.07890909,272,2.3,201,0.2687682,0.39,27.4,0.066181816,18.5,0.16022727,0.09055454,0.44337440117915605,0.88,180.0,300,316,"2/26/24, 12:00 AM",COIMBATORE,289,2024-12-31T00:00:00,7.3,3.9585714,437,430,262,255,1.8543341,2024-01-01T00:00:00,30.403470588235297,Jallipatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01009894053526,10.534139094991776]}"
12_0,0.48,0.059505,0.5,0.21,6.2,0.08843,161,1.86,194,0.277855,0.39,20.7,0.10071,13,0.262245,0.187615,-1.3511507855205327,1.8,-0.0,275,281,"2/23/24, 12:00 AM",COIMBATORE,333,2024-12-31T00:00:00,8.31,2.2660708,483,474,242,244,1.8543341,2024-01-01T00:00:00,30.720062500000004,Chinnakallipatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1006491211745,11.369302814637695]}"
13_0,0.32,0.07935,0.76,0.17,5.8,0.108354166,457,2.4,187,0.32432082,0.39,31.1,0.1221875,11.3,0.295475,0.211575,-1.0104790246762516,1.9,314.5112,291,307,"2/13/24, 12:00 AM",COIMBATORE,289,2024-12-31T00:00:00,7.6,3.4689097,448,433,261,260,1.3227702,2024-01-01T00:00:00,30.393571428571427,Thensangampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96428486104516,10.554351188884464]}"
14_0,0.27,0.0989,0.53,0.16,5.23,0.13981363,555.8,2.05,97,0.32857272,0.54,18,0.19941364,17.4,0.43783638,0.3364,1.1340716819205712,0.86,180.0,296,302,"3/6/24, 12:00 AM",COIMBATORE,361,2024-12-31T00:00:00,8.38,2.2406113,486,482,217,216,0.92740995,2024-01-01T00:00:00,30.779500000000002,Kuppanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05348756875823,11.277944150242739]}"
15_0,0.36,0.090452,0.92,0.52,5.2,0.109048,296,2.48,166,0.261404,0.24,21.4,0.124888,14.4,0.28,0.20164,1.0181711234293878,1.21,180.0,305,317,"3/15/24, 12:00 AM",COIMBATORE,297,2024-12-31T00:00:00,8.88,2.9632802,460,447,235,236,2.7802885,2024-01-01T00:00:00,30.45922580645161,Chikkarayapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03031103442794,10.71011905915079]}"
16_0,0.5,0.07294,1.2,0.32,4.2,0.089375,556,2.1,159,0.220145,0.33,28.4,0.105935,15.7,0.23328,0.177875,-1.3680477771849164,1.5,90.0,256,270,"2/6/24, 12:00 AM",COIMBATORE,416,2024-12-31T00:00:00,8.2,2.1725495,489,475,255,254,1.8886385,2024-01-01T00:00:00,30.860814814814812,Kallapalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07369966265092,10.940806424112683]}"
17_0,0.32,0.0775125,0.9,0.24,5.4,0.0995,296,1.9,214,0.2824,0.48,27,0.106583335,16.7,0.22355416,0.15815833,0.06624017657454966,1.2,16.206245,242,252,"2/28/24, 12:00 AM",COIMBATORE,345,2024-12-31T00:00:00,8.4,3.3993254,475,476,283,273,6.7299776,2024-01-01T00:00:00,30.5252,Veeralpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07828107059993,10.568903896487202]}"
18_0,0.39,0.10498,1.21,0.26,4.8,0.120748,457,1.9,166,0.31838802,0.51,22.7,0.105272,13.2,0.212488,0.13262,1.10097161082729,0.98,206.96762,295,307,"3/21/24, 12:00 AM",COIMBATORE,280,2024-12-31T00:00:00,7.8,3.3158305,455,441,250,252,2.0803812,2024-01-01T00:00:00,30.58878571428571,Kolarpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00363107048959,10.679935665604374]}"
20_0,0.41,0.060756523,1.16,0.16,6.7,0.076760866,321,2.21,221,0.2692739,0.27,19.7,0.06576087,13.4,0.16653913,0.0922087,-1.7539073084636685,1.2,-0.0,275,303,"2/13/24, 12:00 AM",COIMBATORE,290,2024-12-31T00:00:00,8,3.4689097,459,442,266,254,5.547545,2024-01-01T00:00:00,30.452516129032254,Thensangampalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9947377491768,10.552195232202578]}"
21_0,0.27,0.049620833,0.83,0.09,5.75,0.06665417,594,2.41,224,0.26944584,0.15,23.7,0.050920833,10.9,0.14753541,0.071666665,-1.0107981535442803,0.66,314.50504,308,322,"2/9/24, 12:00 AM",COIMBATORE,240,2024-12-31T00:00:00,7.05,3.6603575,433,416,259,262,2.6444201,2024-01-01T00:00:00,30.321371428571428,Marchinaickenpalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91308088985035,10.62037736226725]}"
