system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.4,0.05728913,0.68,0.13,6.38,0.0838587,146,3.69,141,0.25644565,0.13,12,0.09128696,9,0.23103696,0.16375217,-0.8526790349801359,0.74,145.6888,316,326,"2/12/24, 12:00 AM",KRISHNAGIRI,439,2024-12-31T00:00:00,7.2,3.4465053,362,358,321,317,3.3647864,2024-01-01T00:00:00,30.375085714285714,Mottur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2670216860753,12.342717256509609]}"
1_0,0.9,0.10334286,0.78,0.16,4.3,0.12274762,91,5.4,141,0.23755239,0.19,35,0.1381619,78,0.30854762,0.23534286,2.157350153015382,0.38,225.68524,337,335,"1/9/24, 12:00 AM",KRISHNAGIRI,703,2024-12-31T00:00:00,7.7,3.4548059,439,439,224,227,1.3274056,2024-01-01T00:00:00,30.460437499999998,Odayandahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.02636302145967,12.482584946247018]}"
2_0,3.7,0.05751731,1.1,0.23,4.6,0.089121155,198,2.6,141,0.25106153,0.32,56,0.10190577,9,0.25738463,0.18585,-0.6841618198100478,0.8,90.0,293,311,"1/24/24, 12:00 AM",KRISHNAGIRI,377,2024-12-31T00:00:00,8,3.6274629,398,388,309,302,0.94900215,2024-01-01T00:00:00,30.71756250000001,Kanakkampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49797854562242,12.246777184165644]}"
3_0,3.7,0.09588333,0.53,0.09,6.04,0.12335625,125,4.8,141,0.27057084,0.38,1.5,0.15115209,18,0.33119375,0.24317291,-1.4701415520916767,0.35,332.91177,299,307,"2/7/24, 12:00 AM",KRISHNAGIRI,315,2024-12-31T00:00:00,6.5,3.7352304,374,369,327,324,2.0826142,2024-01-01T00:00:00,30.582352941176477,Nadupatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.57963540494889,12.154879530600217]}"
4_0,2.6,0.049044,0.56,0.08,3.9,0.076914,102,2.56,141,0.26077402,0.18,5,0.060454,9,0.190602,0.11191,2.9463849412931977,0.7,134.3447,266,271,"1/8/24, 12:00 AM",KRISHNAGIRI,316,2024-12-31T00:00:00,6.5,3.6648054,382,375,352,354,5.292628,2024-01-01T00:00:00,30.65905882352941,Nadupatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.59472710172209,12.208778447647388]}"
5_0,2.6,0.09707442,0.16,0.15,8.1,0.11734186,146,2.08,141,0.24417675,0.27,2,0.14601861,18,0.2631,0.22481395,-1.4712359849322472,0.15,332.89038,292,321,"2/13/24, 12:00 AM",KRISHNAGIRI,462,2024-12-31T00:00:00,7.16,3.4486442,441,419,266,259,2.0830119,2024-01-01T00:00:00,30.318176470588227,Marichettihalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.27699298572902,12.397424657312488]}"
6_0,0.9,0.08501,0.62,0.09,6.1,0.11873,177,5.2,141,0.28079,0.38,16,0.148635,42,0.304555,0.230375,-1.713914770583913,0.96,225.68642,325,324,"1/10/24, 12:00 AM",KRISHNAGIRI,695,2024-12-31T00:00:00,7.3,3.4548059,424,423,251,253,2.653443,2024-01-01T00:00:00,30.47739393939395,Odayandahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01746970014689,12.493095235071216]}"
7_0,1.3,0.08919,0.62,0.27,6.3,0.12174,198,6.2,141,0.270355,0.26,11,0.15722,62,0.321885,0.244155,-1.3695612722243686,0.62,350.31265,328,333,"1/10/24, 12:00 AM",KRISHNAGIRI,699,2024-12-31T00:00:00,7.7,3.4548059,419,412,253,255,5.627282,2024-01-01T00:00:00,30.491812500000005,Odayandahalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01693071097641,12.488783321707443]}"
8_0,3.7,0.10035333,0.89,0.13,5.09,0.12395111,125,4.09,141,0.18931556,0.09,30,0.14735112,62,0.23768222,0.2077911,-2.6309738700817147,0.9,225.70117,349,359,"1/8/24, 12:00 AM",KRISHNAGIRI,905,2024-12-31T00:00:00,6.6,3.4371943,429,418,223,223,6.6106157,2024-01-01T00:00:00,30.496378378378378,Madagondapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72830201018881,12.625417076422021]}"
9_0,3.7,0.10931915,0.92,0.15,7.18,0.1367915,135,4.39,141,0.2693149,0.22,27,0.1697617,73,0.35504255,0.28765532,-1.1428172066708193,0.42,108.0182,351,356,"1/8/24, 12:00 AM",KRISHNAGIRI,918,2024-12-31T00:00:00,7.6,3.4371943,417,410,232,235,2.9957588,2024-01-01T00:00:00,30.49811111111112,Madagondapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73746482608684,12.627303538518673]}"
