system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.9,0.09546316,0.75,0.21,5.28,0.11928947,406,4.82,133,0.2695921,0.35,12.5,0.12783684,28.25,0.2626921,0.18254738,-1.6994731123523341,0.91,134.59114,332,345,"2/16/24, 12:00 AM",MADURAI,137,2024-12-31T00:00:00,6.81,4.594401,432,421,236,233,2.640392,2024-01-01T00:00:00,30.770181818181815,Koovalapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78893829186688,9.6572037146343]}"
1_0,0.39,0.0694275,0.92,0.14,4.89,0.095325,433,5.11,125,0.2770575,0.27,10.7,0.1002975,17.19,0.2542725,0.17131,-0.313454581567728,1.04,225.41412,309,307,"1/22/24, 12:00 AM",MADURAI,167,2024-12-31T00:00:00,6.58,4.620078,427,434,263,259,1.3210204,2024-01-01T00:00:00,30.689187500000003,Silaimalaipatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77303811133797,9.71891797465331]}"
2_0,0.22,0.14584634,1.18,0.22,4.96,0.17792927,342,5.94,165,0.29550487,0.7,40.6,0.20874147,5.21,0.32641464,0.2643683,6.596781394396574,0.99,-0.0,353,356,"1/28/24, 12:00 AM",MADURAI,131,2024-12-31T00:00:00,6.91,2.8784113,411,413,236,231,0.0,2024-01-01T00:00:00,30.728774193548386,Kalikappan BIT 1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.18832926718642,9.93613061035341]}"
3_0,0.63,0.10212439,0.712,0.52,3.84,0.1319439,381,4.5,130,0.3251927,0.31,15.6,0.12596585,14.59,0.23893902,0.16958536,-1.2528227732071875,0.66,123.29795,338,338,"2/14/24, 12:00 AM",MADURAI,225,2024-12-31T00:00:00,8.33,4.545445,398,407,264,254,3.3749723,2024-01-01T00:00:00,30.77294117647059,Selanayakkanpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67655904982352,9.856629707708832]}"
4_0,0.58,0.10226552,1.45,0.4,8.94,0.11665402,651,5.428,150,0.26189885,0.55,18.8,0.12121494,15.11,0.24169885,0.17150114,-1.0072947632272493,1.45,225.4275,295,292,"1/5/24, 12:00 AM",MADURAI,183,2024-12-31T00:00:00,8.25,4.2455482,449,457,256,251,1.3213333,2024-01-01T00:00:00,30.96593548387097,Allikundam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78058395972457,9.873877361163927]}"
5_0,0.46,0.050564,0.78,0.14,5.81,0.073504,255,3.81,130,0.24354,0.31,21.9,0.062428,14.07,0.196512,0.118103996,0.03950667243486722,0.62,180.0,293,302,"2/15/24, 12:00 AM",MADURAI,164,2024-12-31T00:00:00,8.19,3.6399148,424,428,283,270,0.92740995,2024-01-01T00:00:00,30.50711764705883,Kattakulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.99483215498708,10.018865448020819]}"
6_0,0.22,0.10878571,1.193,0.06,7.52,0.12614761,262,3.24,154,0.19478095,0.55,16.1,0.13780953,5.21,0.2273143,0.18546191,0.02604450768918309,1.072,90.0,346,349,"1/19/24, 12:00 AM",MADURAI,114,2024-12-31T00:00:00,8.43,3.2373846,427,426,227,225,0.9408648,2024-01-01T00:00:00,31.01139393939394,Puliankulam (Madavanaickanur),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.97300309358297,9.702209310368687]}"
7_0,0.65,0.089878574,1.317,0.21,6.61,0.11564762,240,3.117,154,0.2575857,0.55,16.1,0.13495477,5.21,0.31428573,0.23215237,-1.3618839890093855,1.089,90.0,347,358,"1/19/24, 12:00 AM",MADURAI,125,2024-12-31T00:00:00,5.45,3.8186088,362,368,291,274,1.8827736,2024-01-01T00:00:00,30.65605882352942,Padinettankudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.32442403273053,9.974668336042138]}"
8_0,0.75,0.08291556,1.21,0.37,6.57,0.10504222,260,4.41,130,0.2695822,0.31,21.9,0.11644222,15.11,0.23905778,0.19080667,-2.2725555256671566,0.85,233.54489,307,303,"2/2/24, 12:00 AM",MADURAI,164,2024-12-31T00:00:00,7.16,3.3815017,429,439,265,258,4.672393,2024-01-01T00:00:00,30.774709677419356,Pullaneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.94147222711038,9.936669599523881]}"
9_0,0.44,0.060485713,1.89,0.14,5.25,0.085195236,428,6.56,165,0.25807142,0.7,14.3,0.08764762,5.21,0.24493334,0.16230953,-1.391534067204628,1.28,103.83075,316,336,"2/6/24, 12:00 AM",MADURAI,157,2024-12-31T00:00:00,8.24,3.7557783,401,383,283,281,3.873915,2024-01-01T00:00:00,30.568235294117645,Kuruthur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.21797367156236,10.012128083389921]}"
