system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.1322,0.81,0.11,11.1,0.14130476,407.55,3.3,157.5,0.3534,0.37,123.5,0.12393334,56,0.23065715,0.13625714,-0.6571698783868092,0.91,180.0,344,360,"1/5/24, 12:00 AM",MAYILADUTHURAI,9,2024-12-31T00:00:00,6.3,4.546069,351,337,305,302,1.8543341,2024-01-01T00:00:00,30.455857142857152,Kalahasthinathapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75247583989533,11.125410214999246]}"
1_0,0.5,0.18560952,0.67,0.16,10.4,0.20591904,259.35,2.9,135,0.28242856,0.14,41.99,0.21148095,44,0.28138095,0.23914285,2.4199185493311184,0.81,314.44226,329,331,"1/29/24, 12:00 AM",MAYILADUTHURAI,4,2024-12-31T00:00:00,6.5,4.6118355,336,330,335,339,1.3243915,2024-01-01T00:00:00,30.54632,Olayampudur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72121446800797,11.269589818100428]}"
2_0,0.5,0.104433335,0.65,0.18,9.5,0.13093333,382.05,3.5,141.25,0.29245833,0.21,86.95,0.12832083,44,0.25928333,0.16776668,-1.4764449415611458,0.83,116.14139,356,359,"1/18/24, 12:00 AM",MAYILADUTHURAI,16,2024-12-31T00:00:00,6.1,4.9704475,308,306,336,334,2.1041756,2024-01-01T00:00:00,30.420937499999994,Nakkambadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.59077908875382,11.013569962126365]}"
3_0,0.5,0.10340435,0.63,0.14,9.7,0.13049565,197.6,2.5,142.5,0.2932826,0.23,41.99,0.13897826,31,0.3116087,0.21811739,-1.9536159361719105,0.83,236.82156,335,358,"2/2/24, 12:00 AM",MAYILADUTHURAI,6,2024-12-31T00:00:00,6.7,4.6118355,337,318,328,324,3.3857071,2024-01-01T00:00:00,30.552074074074067,Olayampudur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72417890844557,11.255576099668163]}"
4_0,0.5,0.09397143,0.72,0.22,8.7,0.11537619,419.9,2.6,145,0.22408095,0.27,24.7,0.12122857,50,0.24068572,0.1851619,-0.7724216324599957,0.8,153.00111,331,334,"1/2/24, 12:00 AM",MAYILADUTHURAI,3,2024-12-31T00:00:00,7.4,4.688352,322,314,347,352,2.0809588,2024-01-01T00:00:00,30.574580645161298,Uthirangudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8017933489935,11.082291081361507]}"
5_0,0.5,0.13813478,0.916,0.14,9.92,0.1684913,275,2.142,140,0.35366523,0.22,23.46,0.17613043,31,0.30898696,0.2299913,-1.7065222869082428,0.981,134.45554,322,334,"2/1/24, 12:00 AM",MAYILADUTHURAI,8,2024-12-31T00:00:00,6.66,4.592678,325,315,353,351,2.6467445,2024-01-01T00:00:00,30.515937499999996,Kizhaperumpallam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82523937790901,11.135651009238208]}"
6_0,0.5,0.069255,0.84,0.18,8.9,0.096695,555.75,3.8,165,0.270315,0.45,50.63,0.09652,31,0.251745,0.16921,-1.476512952599303,0.8,63.85947,332,333,"1/31/24, 12:00 AM",MAYILADUTHURAI,18,2024-12-31T00:00:00,7,4.9704475,321,321,347,345,2.1042397,2024-01-01T00:00:00,30.386451612903233,Palayagudalure,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5522413630651,11.024619240121034]}"
7_0,0.5,0.09803636,0.943,0.08,9.139,0.11906818,181.25,2.482,157.5,0.3551,0.36,44.46,0.10145,25,0.24455,0.15595454,0.035874400975345354,0.872,180.0,345,349,"1/9/24, 12:00 AM",MAYILADUTHURAI,13,2024-12-31T00:00:00,7.11,4.7820234,335,334,320,317,1.8543341,2024-01-01T00:00:00,30.49310344827586,Thalancheri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.61179966640222,11.156132597716132]}"
8_0,0.5,0.14235,0.725,0.22,10.12,0.16498181,190,3.71,152.5,0.30636817,0.35,41.99,0.1729909,38,0.30494544,0.22096364,-1.8264864740537425,0.812,288.1031,332,335,"2/14/24, 12:00 AM",MAYILADUTHURAI,6,2024-12-31T00:00:00,6.5,4.6118355,335,329,333,336,2.982203,2024-01-01T00:00:00,30.529692307692308,Olayampudur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72148396259321,11.266086388492361]}"
10_0,0.5,0.08962273,0.876,0.13,11.21,0.12865454,280,3.62,152.5,0.26867273,0.35,23.46,0.16373636,25,0.32367274,0.27057728,-1.4771146864432054,0.748,243.86711,301,313,"2/7/24, 12:00 AM",MAYILADUTHURAI,2,2024-12-31T00:00:00,7.51,4.592678,310,297,389,390,2.1048105,2024-01-01T00:00:00,30.621249999999996,Kizhaperumpallam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82470038873853,11.123254258317358]}"
