system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.65,0.09805522,0.852,0.28,4.974,0.13255523,250,4.59,101.5,0.2837045,0.21,6.5,0.17156567,20,0.34393284,0.26594627,2.129518727699484,0.893,-0.0,345,359,"2/1/24, 12:00 AM",PUDUKKOTTAI,102,2024-12-31T00:00:00,6.26,3.8881152,374,375,281,266,0.0,2024-01-01T00:00:00,30.698,Kummangudi(059),"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73189984560715,10.375676278873092]}"
1_0,0.55,0.10408334,0.763,0.12,4.772,0.12165238,125,5.59,140,0.26305237,0.18,4.25,0.12837619,15,0.26665953,0.17882143,0.5998569640568245,0.993,45.471424,355,366,"2/1/24, 12:00 AM",PUDUKKOTTAI,106,2024-12-31T00:00:00,6.37,3.8881152,359,360,287,274,1.3223623,2024-01-01T00:00:00,30.717294117647064,Kummangudi(059),"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.71034027878828,10.366243968389837]}"
2_0,0.5,0.09266667,0.782,0.12,3.486,0.10794616,125,4.115,119,0.29083845,0.21,21.5,0.10228462,30,0.22984102,0.14787179,-1.3637158327479986,0.774,270.0,339,342,"1/11/24, 12:00 AM",PUDUKKOTTAI,150,2024-12-31T00:00:00,7.35,4.141326,385,382,276,276,1.8845154,2024-01-01T00:00:00,30.804562500000003,Ponnamaravathi East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53678576589638,10.271651368972051]}"
3_0,0.6,0.09284359,0.801,0.19,5.848,0.1107641,187.5,4.97,119,0.31478974,0.09,12.75,0.0998,35,0.22381794,0.13968205,-1.702275967457876,0.696,225.4628,339,342,"1/11/24, 12:00 AM",PUDUKKOTTAI,149,2024-12-31T00:00:00,7.32,4.141326,385,382,276,276,2.6429136,2024-01-01T00:00:00,30.804562500000003,Ponnamaravathi East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53678576589638,10.271381874386815]}"
4_0,0.8,0.09266667,0.772,0.15,4.809,0.10794616,197.5,5.124,157.5,0.29083845,0.18,18.5,0.10228462,40,0.22984102,0.14787179,-1.3637158327479986,0.644,270.0,339,342,"1/11/24, 12:00 AM",PUDUKKOTTAI,150,2024-12-31T00:00:00,7.32,4.141326,385,382,276,276,1.8845154,2024-01-01T00:00:00,30.804562500000003,Ponnamaravathi East,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53678576589638,10.271651368972051]}"
5_0,0.7,0.16821052,0.619,0.14,3.456,0.19036053,322.5,5.352,94.5,0.30476052,0.12,12.75,0.21646053,20,0.36946315,0.29530263,4.621802319835381,0.665,26.943615,323,328,"1/10/24, 12:00 AM",PUDUKKOTTAI,156,2024-12-31T00:00:00,7.07,3.949547,390,386,287,286,4.154409,2024-01-01T00:00:00,30.695741935483866,Nagarappatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52654497165742,10.360045592929412]}"
6_0,0.65,0.10163077,0.543,0.26,3.118,0.12001282,230,4.033,136.5,0.2763282,0.15,18.5,0.12596923,30,0.28705642,0.19587949,-2.4761613240275437,0.645,99.31072,319,326,"1/11/24, 12:00 AM",PUDUKKOTTAI,160,2024-12-31T00:00:00,6.86,3.949547,388,385,293,289,5.713723,2024-01-01T00:00:00,30.695741935483866,Nagarappatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52681446624266,10.3622015496113]}"
7_0,0.6,0.11994359,0.684,0.2,4.294,0.13890769,322.5,4.334,94.5,0.26071283,0.12,21.5,0.14945129,25,0.2798359,0.2096641,-2.040989935708855,0.445,-0.0,319,326,"1/10/24, 12:00 AM",PUDUKKOTTAI,159,2024-12-31T00:00:00,7.2,3.949547,388,385,293,289,3.7047918,2024-01-01T00:00:00,30.695741935483866,Nagarappatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52627547707219,10.362740538781772]}"
8_0,0.65,0.09864359,0.724,0.12,3.794,0.11746154,197.5,3.033,133,0.28727436,0.06,15.75,0.115638465,25,0.2775077,0.18215898,-2.0574350296188,0.616,90.0,319,326,"1/10/24, 12:00 AM",PUDUKKOTTAI,160,2024-12-31T00:00:00,6.82,3.949547,388,385,293,289,3.7660458,2024-01-01T00:00:00,30.695741935483866,Nagarappatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52681446624266,10.362471044196536]}"
9_0,0.75,0.07399512,0.763,0.3,3.794,0.09297561,240,4.042,80.5,0.26909024,0.06,15.75,0.09390244,20,0.24157073,0.15497805,3.4241218667710727,0.484,153.06226,328,334,"1/11/24, 12:00 AM",PUDUKKOTTAI,146,2024-12-31T00:00:00,6.87,4.141326,375,369,297,297,4.154194,2024-01-01T00:00:00,30.809874999999995,Nagarappatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52816193916884,10.280275195699598]}"
