system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.38,0.13016404,0.89,0.22,6.24,0.15885057,561,4.16,154,0.3295517,0.35,13.36,0.16885169,14.95,0.3249247,0.25622585,4.312433363280598,0.44,90.0,359,357,"2/23/24, 12:00 AM",RAMANATHAPURAM,11,2024-12-31T00:00:00,6.93,1.9697398,330,324,310,320,0.93952715,2024-01-01T00:00:00,30.89487500000001,Tirumalugandankottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49393612684388,9.212807143580372]}"
1_0,0.5,0.08060909,0.68,0.59,9.11,0.11043182,687,3.88,161,0.24881136,0.29,11.6,0.116429545,14.4,0.22219773,0.16631137,-0.3125527951236575,0.29,225.39676,347,364,"1/9/24, 12:00 AM",RAMANATHAPURAM,42,2024-12-31T00:00:00,7.59,2.619802,380,375,273,261,1.3206145,2024-01-01T00:00:00,30.724833333333336,Kavanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55214695725482,9.513832595288823]}"
2_0,0.5,0.124995835,0.6,0.87,7.11,0.15597084,794,3.47,137,0.34676668,0.29,10.69,0.16625834,15.7,0.28054166,0.19422083,1.691805273266681,0.41,198.67195,361,366,"2/8/24, 12:00 AM",RAMANATHAPURAM,5,2024-12-31T00:00:00,8.58,2.522772,308,309,330,325,2.9344902,2024-01-01T00:00:00,30.716631578947368,Perungalur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88766771587346,9.466940537457784]}"
3_0,0.32,0.10769211,0.74,0.13,6.96,0.14635263,599,4.14,147,0.3315579,0.29,16.68,0.16241579,18.03,0.2904395,0.22323158,0.9404747202580669,0.34,45.391632,369,386,"1/19/24, 12:00 AM",RAMANATHAPURAM,41,2024-12-31T00:00:00,6.94,2.617845,359,348,273,266,1.3204947,2024-01-01T00:00:00,30.924117647058832,Natham,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.41955562131878,9.452387829855049]}"
4_0,0.41,0.10093824,0.76,0.24,7.16,0.11866765,737,4.19,154,0.23400293,0.35,17.19,0.1292,17.21,0.22350588,0.17305,4.3352806441616005,0.3,45.37589,338,347,"1/9/24, 12:00 AM",RAMANATHAPURAM,27,2024-12-31T00:00:00,7.23,2.1576664,368,361,295,292,2.6388543,2024-01-01T00:00:00,31.19388888888888,Maraikkulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.3039424442526,9.261316168922825]}"
5_0,0.38,0.1344875,0.89,0.23,6.28,0.1559425,374,4.19,147,0.2555,0.29,13.62,0.1882775,16.18,0.32275,0.27493,2.1323979653244725,0.42,-0.0,342,358,"1/7/24, 12:00 AM",RAMANATHAPURAM,39,2024-12-31T00:00:00,7.17,2.424682,357,349,301,293,0.0,2024-01-01T00:00:00,30.844800000000006,K.Veppangulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.36511771510114,9.410885663728726]}"
6_0,0.5,0.16383334,0.86,0.58,7.16,0.18685238,829,4.15,144,0.34541905,0.29,10.9,0.18667144,21,0.2738762,0.20665239,3.1140590199920952,0.31,225.38292,333,342,"3/25/24, 12:00 AM",RAMANATHAPURAM,9,2024-12-31T00:00:00,8.16,2.3842402,351,340,316,318,2.6391819,2024-01-01T00:00:00,30.809891891891883,Achchundanvayal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.78256482763149,9.347284941613063]}"
7_0,0.32,0.15313636,0.83,0.17,6.92,0.18252954,772,3.92,161,0.34131137,0.38,16.37,0.2108375,18.85,0.31704545,0.2500193,6.722852719733766,0.34,-0.0,324,329,"2/22/24, 12:00 AM",RAMANATHAPURAM,21,2024-12-31T00:00:00,7.12,2.2603962,332,329,344,342,1.8543341,2024-01-01T00:00:00,30.88193939393939,M. Karisalkulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51010580195803,9.311442161776695]}"
8_0,0.37,0.09712778,0.86,0.28,6.31,0.11548333,549,4.12,147,0.24388056,0.29,14.69,0.12352222,14.75,0.23141944,0.18137778,0.9448411694431924,0.43,90.0,330,342,"1/8/24, 12:00 AM",RAMANATHAPURAM,30,2024-12-31T00:00:00,6.95,2.1576664,377,369,293,289,1.878844,2024-01-01T00:00:00,31.19361111111111,Maraikkulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.30232547674119,9.268053533553722]}"
9_0,0.5,0.12198228,0.53,0.34,7.58,0.14483544,812,3.61,144,0.28353038,0.33,10.9,0.15642278,22.3,0.26253164,0.19807088,-1.388786093309351,0.25,76.15022,324,331,"2/6/24, 12:00 AM",RAMANATHAPURAM,28,2024-12-31T00:00:00,7.3,2.6608102,360,359,315,310,3.8687122,2024-01-01T00:00:00,30.931090909090905,Kottakudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69632656035601,9.536739635033872]}"
10_0,0.38,0.12516235,0.84,0.11,6.32,0.14491294,549,4.16,154,0.29673412,0.35,13.92,0.15119882,15.36,0.29924235,0.24246588,-1.9378432715471772,0.43,325.965,353,353,"3/4/24, 12:00 AM",RAMANATHAPURAM,17,2024-12-31T00:00:00,7.61,1.9697398,338,333,309,314,3.3538172,2024-01-01T00:00:00,30.850624999999994,Periakulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49501410518482,9.222778443234098]}"
11_0,0.33,0.13833407,0.83,0.34,6.44,0.1580868,692,4.17,154,0.31452748,0.33,13.67,0.16782308,16.8,0.33147252,0.27003735,-1.466487126466838,0.41,116.268,353,353,"1/8/24, 12:00 AM",RAMANATHAPURAM,12,2024-12-31T00:00:00,7.36,1.9697398,339,333,308,314,2.0947578,2024-01-01T00:00:00,30.833371428571432,Chithirangudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49824804020766,9.223047937819334]}"
12_0,0.35,0.13833407,0.88,0.38,6.16,0.1580868,646,4.3,154,0.31452748,0.32,13.46,0.16782308,16.18,0.33147252,0.27003735,-1.466487126466838,0.41,116.268,353,353,"1/18/24, 12:00 AM",RAMANATHAPURAM,12,2024-12-31T00:00:00,7.57,1.9697398,339,333,308,314,2.0947578,2024-01-01T00:00:00,30.833371428571432,Chithirangudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49824804020766,9.223047937819334]}"
13_0,0.39,0.14248805,0.86,0.29,6.92,0.16362391,726,3.83,147,0.33046305,0.29,15.71,0.17121413,15.36,0.3179326,0.24570544,-1.458682177072466,0.41,333.1355,358,352,"2/22/24, 12:00 AM",RAMANATHAPURAM,12,2024-12-31T00:00:00,7.63,1.9697398,337,332,306,316,2.0784826,2024-01-01T00:00:00,30.850624999999994,Meenangudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49824804020766,9.223856421575041]}"
14_0,0.33,0.13353804,0.8,0.19,6.36,0.14957608,611,4.03,154,0.31723368,0.35,14.48,0.14976631,16.18,0.2992337,0.23435326,-1.8039423742042806,0.37,18.659822,358,352,"3/6/24, 12:00 AM",RAMANATHAPURAM,13,2024-12-31T00:00:00,7.23,1.9697398,337,332,306,316,2.9342806,2024-01-01T00:00:00,30.850624999999994,Meenangudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.49797854562242,9.223856421575041]}"
15_0,0.39,0.13014358,0.76,0.16,6.84,0.16217948,635,3.92,161,0.28736153,0.38,18,0.18451795,18.23,0.3188795,0.25423846,-1.0052882767944997,0.38,225.38884,353,358,"1/3/24, 12:00 AM",RAMANATHAPURAM,35,2024-12-31T00:00:00,7.21,2.424682,348,346,299,296,1.3204294,2024-01-01T00:00:00,30.854800000000004,Kakkudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.3670041771978,9.418970501285802]}"
16_0,0.4,0.13014358,0.88,0.15,6.9,0.16217948,737,4.14,154,0.28736153,0.32,20.14,0.18451795,17.82,0.3188795,0.25423846,-1.0052882767944997,0.39,225.38884,353,358,"1/4/24, 12:00 AM",RAMANATHAPURAM,35,2024-12-31T00:00:00,7.54,2.424682,348,346,299,296,1.3204294,2024-01-01T00:00:00,30.854800000000004,Kakkudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.3670041771978,9.418970501285802]}"
