system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.44,0.080829166,1.42,0.12,4.09,0.10333333,250,2.05,220,0.28490418,0.35,31,0.09505,5.63,0.22350833,0.145075,0.5631593507655274,0.93,90.0,294,299,"2/22/24, 12:00 AM",RANIPET,111,2024-12-31T00:00:00,5.7,3.6003299,395,388,312,313,1.9027015,2024-01-01T00:00:00,30.42377142857143,Uliyanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.56517710315642,12.951236029972172]}"
1_0,0.47,0.088463634,1.34,0.25,3.15,0.10936818,187.5,0.86,214,0.27991363,0.6,23.4,0.11288182,15,0.28988636,0.21948181,-0.6913282726496814,1.18,270.0,346,361,"2/1/24, 12:00 AM",RANIPET,73,2024-12-31T00:00:00,7.66,3.4394982,366,353,288,285,0.9524405,2024-01-01T00:00:00,30.501212121212117,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67243594808028,13.165753719819914]}"
2_0,0.12,0.09665417,1.53,0.12,3.43,0.115433335,291.7,0.64,130,0.2639125,0.48,10.5,0.10429167,9.29,0.21988334,0.14425416,-1.0229242597347348,0.49,314.27222,300,306,"3/14/24, 12:00 AM",RANIPET,114,2024-12-31T00:00:00,6.97,3.7108839,393,389,308,306,1.328416,2024-01-01T00:00:00,30.59635714285714,Sankarampadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.54981591179796,12.861224838503396]}"
3_0,0.41,0.08652273,1.18,0.16,2.1,0.11092727,232.1,2.62,214,0.30180454,0.75,20.2,0.10524091,14.29,0.27119544,0.17698182,-1.8029278480342645,0.31,99.21798,353,369,"2/1/24, 12:00 AM",RANIPET,67,2024-12-31T00:00:00,7.72,3.4394982,370,357,277,274,5.7703195,2024-01-01T00:00:00,30.501212121212117,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67432241017693,13.164406246893735]}"
4_0,0.47,0.10383333,0.69,0.1,3.17,0.14555,133.9,1.17,217,0.34529167,0.17,26.6,0.16890833,19.29,0.39296252,0.30054584,0.5884785853241428,1.12,-0.0,326,330,"1/9/24, 12:00 AM",RANIPET,104,2024-12-31T00:00:00,6.54,3.5483453,378,371,296,299,1.8543341,2024-01-01T00:00:00,30.537777777777787,Asamandur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.59131807792429,13.063076282845053]}"
5_0,0.52,0.09484783,0.39,0.13,0.41,0.12079783,160.7,2.17,210,0.26696956,0.27,13.7,0.12815653,21.43,0.22637174,0.15616088,-1.7165668357732509,1.38,134.26273,308,317,"2/10/24, 12:00 AM",RANIPET,117,2024-12-31T00:00:00,8.43,3.6707387,373,367,318,317,2.6558554,2024-01-01T00:00:00,30.568848484848488,Peruvalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.53122078541669,12.943959676170804]}"
6_0,0.35,0.11842273,0.32,0.21,0.76,0.14376818,241,1.87,203,0.29313636,0.48,23.4,0.15952273,17.14,0.3265909,0.25627273,-1.7169830085735325,1.42,314.2547,328,343,"2/20/24, 12:00 AM",RANIPET,216,2024-12-31T00:00:00,7.65,3.714771,378,365,294,292,2.656237,2024-01-01T00:00:00,30.61432258064516,Mukundarayapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.30295887172193,13.013489279161655]}"
7_0,0.47,0.17114091,0.19,0.13,0.72,0.23117955,58.3,0.71,203,0.3984068,0.27,16.9,0.2946909,25,0.44982272,0.34995228,-2.1228708569903727,1.19,134.24666,331,346,"2/13/24, 12:00 AM",RANIPET,150,2024-12-31T00:00:00,8.63,3.6875436,368,350,301,304,3.9813666,2024-01-01T00:00:00,30.595870967741945,Thalikkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44902493691976,13.083018882152507]}"
8_0,0.41,0.09044545,1.31,0.19,0.81,0.11304091,142.9,2.24,207,0.23129545,0.21,20.2,0.13344546,19.29,0.2903,0.22657727,-2.8859803722671065,0.63,347.16,284,307,"2/14/24, 12:00 AM",RANIPET,203,2024-12-31T00:00:00,7.42,3.5834525,370,354,346,339,8.498623,2024-01-01T00:00:00,30.538624999999996,Arunkundram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25876175974324,12.847750109241604]}"
9_0,0.29,0.106565,0.59,0.1,2.53,0.13627,178.6,1.31,221,0.3186,0.45,30,0.142325,7.86,0.31548,0.222495,-0.6910786088644029,2.69,90.0,347,374,"1/8/24, 12:00 AM",RANIPET,71,2024-12-31T00:00:00,7,3.496665,352,339,301,287,0.95232075,2024-01-01T00:00:00,30.46641176470588,Velur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69345652572868,13.135031337103026]}"
10_0,0.23,0.10067273,1.27,0.11,2.53,0.13133182,142.9,1.87,221,0.30084544,0.33,36.3,0.1391,17.14,0.26866364,0.19071363,-1.9657796003244357,0.53,302.98898,342,358,"2/2/24, 12:00 AM",RANIPET,69,2024-12-31T00:00:00,8.47,3.4394982,380,363,278,279,3.4028938,2024-01-01T00:00:00,30.443696969696965,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67108847515411,13.169257149427981]}"
11_0,0.35,0.10963864,1.08,0.12,0.98,0.13073637,142.9,0.68,168,0.29173636,0.21,49.3,0.1367341,21.43,0.2740841,0.18971364,-1.4879736076486274,1.17,295.9955,306,312,"2/28/24, 12:00 AM",RANIPET,148,2024-12-31T00:00:00,8.83,3.8394444,381,373,312,314,2.1151443,2024-01-01T00:00:00,30.58460606060606,Pindithangal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.30942674176758,12.768249206597027]}"
12_0,0.41,0.1046,1.17,0.03,3.17,0.133725,250,1.38,231,0.33209166,0.75,26.6,0.14346667,12.86,0.33942917,0.25144583,-1.7898400480844776,2.74,90.0,347,355,"1/8/24, 12:00 AM",RANIPET,87,2024-12-31T00:00:00,7.36,3.5019886,369,361,284,284,2.8550768,2024-01-01T00:00:00,30.581272727272733,Kilandur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62958630902779,13.1536264634843]}"
13_0,0.52,0.06887391,1.6,0.09,2.86,0.09027391,99.9,0.8,221,0.30835652,0.83,33.1,0.078717396,12.14,0.23198695,0.14153913,-1.4907836267446894,0.76,64.03993,339,351,"2/6/24, 12:00 AM",RANIPET,76,2024-12-31T00:00:00,6.94,3.5019886,370,363,292,287,2.1178296,2024-01-01T00:00:00,30.5558125,Kilandur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63901861951103,13.15955534435949]}"
14_0,0.29,0.0937125,0.68,0.04,3.4,0.1205625,83.3,0.45,200,0.336275,0.22,39.6,0.124125004,15.71,0.2640375,0.17458333,-1.4908675537071492,0.61,115.959045,339,352,"2/3/24, 12:00 AM",RANIPET,68,2024-12-31T00:00:00,7.02,3.4394982,369,354,292,294,2.117907,2024-01-01T00:00:00,30.443696969696965,Valarpuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67755634519976,13.17060462235416]}"
15_0,0.58,0.077252276,0.79,0.09,0.62,0.094263636,142.9,0.82,158,0.25110453,0.3,16.9,0.09818864,17.14,0.22618409,0.16020909,-2.082695690443296,1.24,165.60318,324,344,"2/13/24, 12:00 AM",RANIPET,163,2024-12-31T00:00:00,6.48,3.4945366,371,358,305,298,3.8245547,2024-01-01T00:00:00,30.516193548387097,Ozhughur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41291266249816,13.116705705306988]}"
16_0,0.52,0.074431814,0.94,0.12,0.92,0.1026,214.3,0.48,179,0.26560456,0.49,26.6,0.10329545,19.29,0.21020909,0.13886818,-0.6642649870038911,1.31,-0.0,310,321,"1/9/24, 12:00 AM",RANIPET,86,2024-12-31T00:00:00,7.9,3.610648,386,376,304,303,0.92740995,2024-01-01T00:00:00,30.519823529411763,Ammanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65141537043189,13.05930335865175]}"
17_0,0.41,0.10383333,1.32,0.09,2.2,0.14555,133.9,1.91,186,0.34529167,0.51,23.4,0.16890833,9.29,0.39296252,0.30054584,0.5884785853241428,1.5,-0.0,326,330,"1/8/24, 12:00 AM",RANIPET,104,2024-12-31T00:00:00,7.4,3.5483453,378,371,296,299,1.8543341,2024-01-01T00:00:00,30.537777777777787,Asamandur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.59131807792429,13.063076282845053]}"
18_0,0.23,0.093092,1.15,0.11,1.35,0.117672004,83.3,1.29,154,0.307272,0.27,10.5,0.122952,13.57,0.295064,0.197664,-1.8181748569733405,0.71,18.889017,320,328,"1/8/24, 12:00 AM",RANIPET,84,2024-12-31T00:00:00,6.96,3.6552718,381,377,299,295,2.9382663,2024-01-01T00:00:00,30.504875000000002,Perumuchi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67351392642122,13.044211661878544]}"
19_0,0.52,0.12100968,0.75,0.04,2.35,0.13304193,151.9,1.76,221,0.19070645,0.72,49.3,0.13981614,16.43,0.21857096,0.19070968,-1.8175394227938357,0.45,198.87872,303,326,"2/11/24, 12:00 AM",RANIPET,114,2024-12-31T00:00:00,6.83,3.7108839,386,373,311,301,2.9380863,2024-01-01T00:00:00,30.51539393939394,Peruvalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.54658197677513,12.898415091265944]}"
20_0,0.32,0.13445385,1.32,0.12,3.2,0.16119231,187.5,0.65,242,0.3644654,0.48,36.5,0.17906538,15,0.3928923,0.2750423,-0.2850648988937431,1.32,270.0,326,333,"1/8/24, 12:00 AM",RANIPET,106,2024-12-31T00:00:00,7.48,3.5483453,378,373,296,294,1.9035856,2024-01-01T00:00:00,30.537777777777787,Asamandur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.58970111041288,13.066310217867883]}"
21_0,0.35,0.08635349,0.86,0.12,0.76,0.10880465,133.9,0.29,192.6,0.31059068,0.12,26.6,0.10402093,6.43,0.29351628,0.18615581,-1.9539571438919932,1.18,145.63399,301,308,"4/1/24, 12:00 AM",RANIPET,166,2024-12-31T00:00:00,7.34,3.6304066,364,356,335,336,3.3669806,2024-01-01T00:00:00,30.611125000000012,Koorambadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.31427764430182,12.86877068689]}"
22_0,0.42,0.10163333,0.86,0.15,4.48,0.12591334,299,3.13,207.5,0.30277666,0.29,31,0.13124667,5.31,0.31055668,0.22781,-0.6641859551894086,0.84,180.0,305,308,"2/22/24, 12:00 AM",RANIPET,105,2024-12-31T00:00:00,5.31,3.6131055,381,372,314,320,0.92740995,2024-01-01T00:00:00,30.476941176470593,Selvamandai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5786518324182,13.038821770173826]}"
23_0,0.47,0.12768096,0.87,0.31,3.19,0.13664047,91.6,0.23,172,0.19427618,0.21,13.7,0.14280953,21.43,0.21391429,0.17579761,-0.6636415525334786,1.63,-0.0,314,319,"2/22/24, 12:00 AM",RANIPET,129,2024-12-31T00:00:00,7.37,3.6705663,385,380,301,301,2.7802885,2024-01-01T00:00:00,30.543687500000004,Siruvalayam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46923703081245,12.901379531703538]}"
