system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.059004165,0.4,0.61,5.08,0.086347915,148,2.14,221,0.32775834,0.24,40,0.06831875,3,0.239775,0.14312084,4.41515856655487,0.6,322.56342,270,274,"7/29/24, 12:00 AM",THE NILGIRIS,932,2024-12-31T00:00:00,3.8,4.2753243,405,402,326,324,4.6620264,2024-01-01T00:00:00,29.817542857142865,Mudumalai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49266933688241,11.575196677757889]}"
1_0,0.3,0.0567,0.46,0.06,4.81,0.08752449,62,4.01,294,0.42490613,0.03,27,0.055632655,3,0.23336327,0.12647143,4.423894959982511,0.64,-0.0,270,274,"7/29/24, 12:00 AM",THE NILGIRIS,933,2024-12-31T00:00:00,4.7,4.2753243,405,402,326,324,4.6273675,2024-01-01T00:00:00,29.817542857142865,Mudumalai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49293883146764,11.575196677757889]}"
2_0,0.5,0.0567,0.52,0.12,4.31,0.08752449,309,2.9,169,0.42490613,0.3,121,0.055632655,3,0.23336327,0.12647143,4.423894959982511,0.62,-0.0,270,274,"7/29/24, 12:00 AM",THE NILGIRIS,933,2024-12-31T00:00:00,6.3,4.2753243,405,402,326,324,4.6273675,2024-01-01T00:00:00,29.817542857142865,Mudumalai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49293883146764,11.575196677757889]}"
3_0,0.5,0.04329524,0.28,0.01,4.38,0.06319286,86,3.19,201,0.34257382,0.3,82,0.046478573,5,0.1729,0.090833336,-2.0225532395000863,0.82,20.364477,267,266,"7/29/24, 12:00 AM",THE NILGIRIS,937,2024-12-31T00:00:00,5.7,4.2753243,409,407,324,327,10.754479,2024-01-01T00:00:00,29.82280000000001,Mudumalai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48269803722869,11.579508591121662]}"
5_0,2,0.08001613,0.74,0.13,8.91,0.102732256,1149,3.46,194,0.2724355,0.38,27,0.11919032,5,0.25830323,0.18820323,-1.241906078019074,1.32,130.61234,310,316,"7/3/24, 12:00 AM",THE NILGIRIS,1504,2024-12-31T00:00:00,6.1,3.418657,406,400,284,284,9.87502,2024-01-01T00:00:00,29.8986111111111,Kukkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.82603413881917,11.485724475459586]}"
6_0,2,0.08001613,0.38,0.04,9.08,0.102732256,1235,3.68,207,0.2724355,0.49,109,0.11919032,13,0.25830323,0.18820323,-1.241906078019074,0.92,130.61234,310,316,"7/3/24, 12:00 AM",THE NILGIRIS,1504,2024-12-31T00:00:00,6,3.418657,406,400,284,284,9.87502,2024-01-01T00:00:00,29.8986111111111,Kukkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.82603413881917,11.485724475459586]}"
7_0,1.8,0.06485333,0.72,0.13,8.36,0.080583334,1050,3.96,214,0.33548,0.87,462,0.06701333,5,0.22638,0.13016333,-2.0348186945095974,1,341.2158,324,334,"7/3/24, 12:00 AM",THE NILGIRIS,1592,2024-12-31T00:00:00,6.2,3.418657,395,386,281,280,14.384985,2024-01-01T00:00:00,29.874764705882345,Kukkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81902727960303,11.46524288698166]}"
8_0,2,0.06696774,0.7,0.03,7.83,0.08850323,840,4.16,194,0.2857258,0.38,405,0.09649355,5,0.2385871,0.16563872,-1.3753707480424713,0.83,144.46162,310,316,"7/3/24, 12:00 AM",THE NILGIRIS,1504,2024-12-31T00:00:00,6.9,3.418657,406,400,284,284,11.251183,2024-01-01T00:00:00,29.8986111111111,Kukkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.82576464423393,11.48545498087435]}"
9_0,1.4,0.059916127,0.72,0.01,8.62,0.08305484,621,3.62,187,0.35729676,0.3,361,0.07713871,10,0.26808065,0.16276129,6.356555768480362,1.31,350.348,335,341,"7/15/24, 12:00 AM",THE NILGIRIS,1498,2024-12-31T00:00:00,6,3.418657,390,385,275,274,5.6266947,2024-01-01T00:00:00,29.8986111111111,Kukkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.82684262257487,11.483838013362934]}"
10_0,2,0.040364515,0.62,0.05,9.22,0.060241934,1245,4.32,242,0.27382904,0.48,398,0.0492,13,0.18966775,0.108729035,-2.344900681654241,0.82,157.79591,311,318,"7/16/24, 12:00 AM",THE NILGIRIS,1552,2024-12-31T00:00:00,6.4,3.418657,406,399,283,283,14.695718,2024-01-01T00:00:00,29.8986111111111,Kukkal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8225307092111,11.487071948385765]}"
11_0,0.3,0.04418621,0.24,0.22,4.06,0.07456207,889,2.4,322,0.34242758,0.84,222,0.068810344,3,0.22782414,0.13390344,-3.4960244575519077,0.69,107.02697,342,350,"7/29/24, 12:00 AM",THE NILGIRIS,1719,2024-12-31T00:00:00,5.7,3.7678132,364,358,294,293,15.451325,2024-01-01T00:00:00,29.84228571428571,Thuneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76108594377733,11.482490540436755]}"
12_0,0.3,0.052623335,0.18,0.01,6.46,0.0798,1235,3.16,325,0.26714668,0.03,109,0.09410667,3,0.23525667,0.15989667,-2.182514008506211,0.96,90.0,301,310,"7/29/24, 12:00 AM",THE NILGIRIS,1899,2024-12-31T00:00:00,5.89,3.4054592,388,379,311,310,16.557432,2024-01-01T00:00:00,29.84367567567568,Thuneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.73413648525374,11.457158049424583]}"
13_0,0.3,0.07726666,0.34,0.37,2.42,0.1035,1235,1.92,311,0.29779,0.9,27,0.11655333,3,0.27427,0.19297333,-3.319934636447286,0.95,94.00448,302,312,"7/29/24, 12:00 AM",THE NILGIRIS,1929,2024-12-31T00:00:00,5.8,3.4054592,393,384,305,304,13.0508,2024-01-01T00:00:00,29.84367567567568,Thuneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7330585069128,11.456888554839349]}"
14_0,0.3,0.07726666,0.18,0.04,2.41,0.1035,1198,2.08,290,0.29779,0.87,54,0.11655333,3,0.27427,0.19297333,-3.319934636447286,1.2,94.00448,302,312,"7/29/24, 12:00 AM",THE NILGIRIS,1929,2024-12-31T00:00:00,5,3.4054592,393,384,305,304,13.0508,2024-01-01T00:00:00,29.84367567567568,Thuneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7330585069128,11.456888554839349]}"
15_0,0.3,0.07726666,0.29,0.16,4.46,0.1035,1235,2.42,360,0.29779,0.78,146,0.11655333,5,0.27427,0.19297333,-3.319934636447286,0.58,94.00448,302,312,"7/29/24, 12:00 AM",THE NILGIRIS,1929,2024-12-31T00:00:00,6.5,3.4054592,393,384,305,304,13.0508,2024-01-01T00:00:00,29.84367567567568,Thuneri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7330585069128,11.456888554839349]}"
23_0,0.9,0.083777554,0.38,0.01,9.21,0.10128572,803,3.19,270,0.31049797,0.96,40,0.09090408,10,0.22700816,0.1421347,-2.9938281781005402,1.34,99.27875,287,302,"7/16/24, 12:00 AM",THE NILGIRIS,1671,2024-12-31T00:00:00,7.4,3.2726858,374,371,338,328,26.655931,2024-01-01T00:00:00,29.80251428571429,KONAVAKORAI2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.89367727971337,11.4054150890593]}"
24_0,1.1,0.0971449,0.29,0.03,7.71,0.11426327,321,2.58,273,0.29501837,0.6,109,0.10838571,10,0.22052653,0.14123674,-4.0107609966703945,1.23,222.70667,287,302,"7/17/24, 12:00 AM",THE NILGIRIS,1717,2024-12-31T00:00:00,6.8,3.2726858,374,371,338,328,24.82579,2024-01-01T00:00:00,29.802555555555557,KONAVAKORAI2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.89206031220195,11.405684583644536]}"
25_0,1.1,0.0971449,0.28,0.01,7.6,0.11426327,272,3,277,0.29501837,0.6,40,0.10838571,8,0.22052653,0.14123674,-4.0107609966703945,1.18,222.70667,287,302,"7/18/24, 12:00 AM",THE NILGIRIS,1717,2024-12-31T00:00:00,7,3.2726858,374,371,338,328,24.82579,2024-01-01T00:00:00,29.802555555555557,KONAVAKORAI2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.89206031220195,11.405684583644536]}"
26_0,0.3,0.085377775,0.16,0.33,2.92,0.10759629,62,2.42,221,0.24887037,0.54,128,0.12917037,3,0.28452593,0.2246,-2.1969156247701176,0.08,241.1254,359,367,"7/29/24, 12:00 AM",THE NILGIRIS,1825,2024-12-31T00:00:00,7.4,4.1734767,356,348,285,285,16.788641,2024-01-01T00:00:00,29.815176470588234,COONOOR RURAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.77914208098812,11.374692706342412]}"
