system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.13069566,0.67,0.1,2.44,0.16118261,114,0.51,154,0.3618826,0.18,38,0.14442609,15,0.2881739,0.19594783,3.927805004889537,0.31,252.02211,329,358,"1/3/24, 12:00 AM",THIRUVALLUR,51,2024-12-31T00:00:00,6.6,3.7441115,401,385,270,257,3.0022426,2024-01-01T00:00:00,30.51276470588235,Kanchipadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80906970279486,13.225042528571803]}"
1_0,0.3,0.12264348,0.44,0.1,2.12,0.14339131,146,1.52,154,0.32891303,0.18,25,0.14943044,15,0.33218697,0.24963479,-0.6898823341693314,0.76,270.0,313,319,"2/23/24, 12:00 AM",THIRUVALLUR,71,2024-12-31T00:00:00,7.3,4.0778475,371,363,315,318,0.9517459,2024-01-01T00:00:00,30.503999999999998,Kallambedu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80287132733443,12.985731336882361]}"
2_0,0.5,0.1364,0.1,0.1,5.16,0.13957143,225,0.8,118,0.21925238,0.1,13,0.13870001,7.5,0.20603333,0.15716666,-0.665632208363939,1.28,180.0,295,327,"3/12/24, 12:00 AM",THIRUVALLUR,28,2024-12-31T00:00:00,5,3.785059,387,361,318,312,0.92740995,2024-01-01T00:00:00,30.677312500000003,Sirupulalpettai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.073174396326,13.398058052293223]}"
3_0,0.5,0.072254546,0.84,0.1,2.36,0.09758636,163,1.51,215,0.29840454,0.45,38,0.09731818,10,0.23341818,0.15876137,-1.4749003972660852,0.22,152.8187,351,364,"2/14/24, 12:00 AM",THIRUVALLUR,103,2024-12-31T00:00:00,7,3.5007493,374,361,276,275,2.0843472,2024-01-01T00:00:00,30.501666666666665,Koramangalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.55520580350269,13.175455524888404]}"
4_0,0.7,0.10752174,0.59,0.1,2.48,0.12907825,213,1.48,154,0.35228696,0.18,38,0.123743474,7.5,0.30946523,0.21213478,-1.02452756760462,1.29,45.758522,294,312,"1/19/24, 12:00 AM",THIRUVALLUR,51,2024-12-31T00:00:00,7,4.0038314,380,369,325,319,1.3291471,2024-01-01T00:00:00,30.531874999999996,Melvilagam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82982078585802,13.127485488716422]}"
5_0,0.3,0.07925833,0.78,0.1,2.76,0.113189586,213,0.76,210,0.25434166,0.42,25,0.101254165,7.5,0.25708959,0.17767292,-0.7815704253523896,0.29,27.177794,325,339,"2/5/24, 12:00 AM",THIRUVALLUR,146,2024-12-31T00:00:00,7,3.4945366,370,358,305,303,2.084282,2024-01-01T00:00:00,30.64780000000001,Aathivarakapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44040111019221,13.138534766711093]}"
6_0,0.5,0.075997874,0.8,0.1,2.36,0.10404681,188,0.86,182,0.2978149,0.3,25,0.11271915,15,0.31870425,0.21994893,-0.6912666861220161,0.28,270.0,319,338,"2/5/24, 12:00 AM",THIRUVALLUR,151,2024-12-31T00:00:00,7.2,3.4669445,369,362,312,300,0.95241135,2024-01-01T00:00:00,30.552322580645164,Aathivarakapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45145038818688,13.15820787143331]}"
7_0,0.5,0.060730435,0.52,0.1,1.22,0.08532608,163,0.71,147,0.24526522,0.15,38,0.07753913,15,0.1856087,0.12783043,0.02896592013327184,0.42,-0.0,311,338,"2/23/24, 12:00 AM",THIRUVALLUR,58,2024-12-31T00:00:00,6.6,4.108332,377,357,312,305,0.92740995,2024-01-01T00:00:00,30.416571428571427,Irulancherry,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82281392664189,13.038282781003353]}"
8_0,0.7,0.12052083,0.85,0.1,2.67,0.13006666,98,1.64,189,0.247325,0.36,13,0.11109583,10,0.15885,0.10361042,6.561647858657748,1.25,314.2491,320,351,"1/3/24, 12:00 AM",THIRUVALLUR,21,2024-12-31T00:00:00,7.2,4.5531235,374,356,306,293,1.3289657,2024-01-01T00:00:00,30.58146153846154,Pidarithangal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08880508226969,13.06199830450411]}"
9_0,0.7,0.104105264,1.34,0.1,2.45,0.13207369,105,2.46,182,0.2956,0.3,15,0.13649474,10,0.2788,0.1955,-1.7896312135239636,1.75,90.0,334,354,"1/23/24, 12:00 AM",THIRUVALLUR,51,2024-12-31T00:00:00,7.4,4.24241,378,365,288,282,2.8547735,2024-01-01T00:00:00,30.617214285714287,Kalambakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92710833112817,13.127485488716422]}"
10_0,0.5,0.16478913,0.63,0.1,2.612,0.18481956,163,1.441,182,0.2650261,0.3,25,0.2080174,12.5,0.3086565,0.27709565,2.1197744126423466,0.619,-0.0,329,356,"2/7/24, 12:00 AM",THIRUVALLUR,181,2024-12-31T00:00:00,7,3.5172694,372,355,299,289,0.0,2024-01-01T00:00:00,30.538838709677417,Sagasrapadmapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36709858300806,13.113741264869393]}"
11_0,0.5,0.11734445,0.651,0.1,2.265,0.14483778,130,1.612,210,0.30765778,0.46,25,0.16064666,15,0.29007557,0.21596222,-1.8400583409553808,0.316,287.98163,362,369,"2/17/24, 12:00 AM",THIRUVALLUR,106,2024-12-31T00:00:00,7,3.5242522,366,353,272,278,3.0016415,2024-01-01T00:00:00,30.47148571428572,Thadur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.53768865546235,13.170874116939395]}"
12_0,0.5,0.14550476,0.229,0.1,2.329,0.17278571,130,0.126,154,0.37578094,0.18,50,0.18429524,15,0.42438096,0.30795714,-1.7629530399790037,0.712,180.0,330,365,"2/27/24, 12:00 AM",THIRUVALLUR,53,2024-12-31T00:00:00,6.6,4.1775947,384,362,286,273,2.7802885,2024-01-01T00:00:00,30.51313333333333,Pinjivakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8702449736434,13.077090001277318]}"
13_0,0.7,0.075997874,0.8,0.1,2.78,0.10404681,175,0.86,215,0.2978149,0.45,13,0.11271915,7.5,0.31870425,0.21994893,-0.6912666861220161,0.38,270.0,319,338,"2/5/24, 12:00 AM",THIRUVALLUR,151,2024-12-31T00:00:00,7,3.4669445,369,362,312,300,0.95241135,2024-01-01T00:00:00,30.552322580645164,Aathivarakapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45145038818688,13.15820787143331]}"
14_0,0.3,0.107026085,0.41,0.1,2.51,0.13259566,213,0.61,175,0.29919565,0.27,25,0.1435,7.5,0.3340087,0.24165651,-1.0239521053005636,0.71,314.25247,323,347,"1/29/24, 12:00 AM",THIRUVALLUR,62,2024-12-31T00:00:00,6.6,4.108332,367,351,310,302,1.3288852,2024-01-01T00:00:00,30.45522222222222,Kalambakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80421880026061,13.032892889298637]}"
15_0,0.8,0.122828566,0.59,0.1,3.28,0.14261429,238,1.92,161,0.3407,0.21,13,0.14291428,5,0.30562857,0.20136191,0.13346633115106923,1.25,207.20222,311,331,"1/29/24, 12:00 AM",THIRUVALLUR,32,2024-12-31T00:00:00,6.6,3.6685936,389,373,300,296,2.0847383,2024-01-01T00:00:00,30.500400000000003,Kannankottai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.98343269944246,13.393476644344213]}"
