system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.75,0.12498519,0.93,0.26,5.69,0.14828518,540,3.68,222,0.31103334,0.49,65,0.15641852,35.55,0.30681112,0.21774074,-1.8096400503938515,0.96,161.24864,340,352,"1/18/24, 12:00 AM",TIRUCHIRAPPALLI,66,2024-12-31T00:00:00,7.21,3.8493984,392,383,267,265,2.9358656,2024-01-01T00:00:00,30.81222222222222,Puduruthamanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8089752969846,10.920324835634759]}"
1_0,0.25,0.07616154,0.96,0.37,5.35,0.09916923,215,3.67,230,0.25398463,0.49,52,0.10152308,35.55,0.23666923,0.16503462,-1.3496070296452773,1.05,180.0,350,360,"1/18/24, 12:00 AM",TIRUCHIRAPPALLI,60,2024-12-31T00:00:00,7.35,3.8493984,372,364,278,276,1.8543341,2024-01-01T00:00:00,30.79078571428571,Puduruthamanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82245002624639,10.911431514321976]}"
2_0,0.25,0.11348205,0.97,0.21,4.42,0.13558462,432,3.95,212,0.2852641,0.48,5,0.14254616,35.25,0.25248975,0.19185641,2.822076323316009,0.94,-0.0,302,309,"3/26/24, 12:00 AM",TIRUCHIRAPPALLI,173,2024-12-31T00:00:00,7.95,3.456681,402,406,296,285,0.0,2024-01-01T00:00:00,30.852400000000006,Sooliapatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.42440652385304,10.56243602644154]}"
3_0,0.25,0.09083421,0.84,0.3,5,0.12262368,273,2.72,200,0.30442104,0.45,52,0.15338159,35.25,0.35527894,0.25991052,-1.950605527384604,0.97,303.22543,336,355,"1/22/24, 12:00 AM",TIRUCHIRAPPALLI,92,2024-12-31T00:00:00,7.82,2.9390974,357,351,307,294,3.3814764,2024-01-01T00:00:00,30.897379310344824,Paganur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.60523739054629,10.72763620719112]}"
4_0,0.75,0.06567917,0.99,0.55,4.27,0.08629166,373,2.1,189,0.23625417,0.44,38,0.0927,35.25,0.1969375,0.13754167,-1.7549450392226595,0.81,180.0,390,396,"3/14/24, 12:00 AM",TIRUCHIRAPPALLI,66,2024-12-31T00:00:00,7.57,3.5171506,346,341,264,262,2.7802885,2024-01-01T00:00:00,30.644799999999996,Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.76855110919922,10.872893788633247]}"
5_0,0.25,0.11544872,0.98,0.16,4.72,0.13591795,280,3.89,230,0.27260768,0.49,13,0.14934872,35.55,0.26569745,0.2069718,-0.6554359160601526,0.89,-0.0,319,325,"3/13/24, 12:00 AM",TIRUCHIRAPPALLI,177,2024-12-31T00:00:00,7.37,3.4977043,399,402,282,273,1.8543341,2024-01-01T00:00:00,30.788874999999997,MALAYADIPATTI,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.39233666820996,10.59639234418126]}"
6_0,0.25,0.059924997,0.83,0.2,6.39,0.081541665,683,2.5,207,0.27657083,0.47,52,0.069,35.55,0.18065834,0.11324583,-2.6214919935076306,0.95,314.48096,366,376,"1/24/24, 12:00 AM",TIRUCHIRAPPALLI,70,2024-12-31T00:00:00,7.24,3.5171506,360,353,274,271,6.589375,2024-01-01T00:00:00,30.710153846153847,Esanakorai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.75238143408507,10.874241261559426]}"
7_0,0.25,0.0910075,0.82,0.16,4.13,0.1106925,585,3.94,212,0.25131,0.48,5,0.130135,35.25,0.267245,0.2033775,-0.672599533147887,0.98,270.0,321,330,"3/12/24, 12:00 AM",TIRUCHIRAPPALLI,178,2024-12-31T00:00:00,7.46,3.4977043,399,393,280,277,0.94347864,2024-01-01T00:00:00,30.771800000000006,Usilampatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.38829424943142,10.59046346330607]}"
8_0,0.75,0.11842766,0.91,0.19,5.88,0.14354894,393,3.57,214,0.29785958,0.48,25,0.16798724,35.25,0.33195105,0.26838297,0.25953818854332267,0.99,180.0,309,335,"1/5/24, 12:00 AM",TIRUCHIRAPPALLI,132,2024-12-31T00:00:00,8.04,3.166721,401,382,291,283,1.8543341,2024-01-01T00:00:00,30.965555555555554,Moovanur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.60038648801205,10.998478265353157]}"
9_0,0.75,0.13262928,0.99,0.28,4.27,0.15492195,347,3.97,205,0.30105364,0.47,5,0.18877073,35.55,0.3547805,0.26567805,-1.943161085054001,0.94,325.85574,315,329,"3/26/24, 12:00 AM",TIRUCHIRAPPALLI,172,2024-12-31T00:00:00,7.58,3.456681,384,385,301,287,3.358138,2024-01-01T00:00:00,30.82967741935484,Sooliapatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.43464731809199,10.57159884233956]}"
10_0,0.25,0.13657555,0.87,0.2,4.602,0.15959111,213,2.59,214,0.2872978,0.4,5,0.20401777,35.55,0.3875689,0.3164711,-1.258935154731269,0.98,123.20238,304,307,"1/18/24, 12:00 AM",TIRUCHIRAPPALLI,108,2024-12-31T00:00:00,7.69,2.968173,374,366,322,327,3.38355,2024-01-01T00:00:00,30.86017647058824,M.Puthur (Musiri),"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.28669479079751,10.98985443862561]}"
11_0,0.25,0.13878334,0.97,0.15,6.54,0.16552083,762,3.31,205,0.27741668,0.49,3,0.19284166,35.55,0.32525,0.28124166,-1.4766869860613325,0.97,116.1383,285,311,"3/25/24, 12:00 AM",TIRUCHIRAPPALLI,119,2024-12-31T00:00:00,7.92,2.9470382,376,358,339,330,2.1044064,2024-01-01T00:00:00,30.89886666666666,M.Kalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.23468233584698,11.053724655326507]}"
12_0,0.25,0.109536,0.93,0.31,5.42,0.125688,265,2.53,165,0.229048,0.41,65,0.134836,35.88,0.219792,0.168096,-0.08952870131714985,1.09,63.850697,346,372,"3/1/24, 12:00 AM",TIRUCHIRAPPALLI,63,2024-12-31T00:00:00,6.62,3.5982547,382,362,272,266,2.103584,2024-01-01T00:00:00,30.78661538461538,Mahilambadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.78741573016573,10.91035353598103]}"
13_0,0.75,0.09730769,0.9,0.37,5.2,0.11155,480,3.08,220,0.23746538,0.49,80,0.11300384,35.55,0.2174,0.15561539,7.380680827769476,0.84,-0.0,339,348,"3/28/24, 12:00 AM",TIRUCHIRAPPALLI,59,2024-12-31T00:00:00,7.88,3.8493984,383,374,278,277,0.92740995,2024-01-01T00:00:00,30.73696296296296,Thirumangalam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.81086175908125,10.90523313886155]}"
14_0,0.75,0.109536,0.82,0.21,5.81,0.125688,355,2.41,222,0.229048,0.49,92,0.134836,35.88,0.219792,0.168096,-0.08952870131714985,0.97,63.850697,346,372,"3/1/24, 12:00 AM",TIRUCHIRAPPALLI,63,2024-12-31T00:00:00,7.54,3.5982547,382,362,272,266,2.103584,2024-01-01T00:00:00,30.78661538461538,Mahilambadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.78741573016573,10.91035353598103]}"
