system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.28,0.086889476,0.44,0.45,7.35,0.1188421,297,6.43,202,0.25783685,0.15,30,0.13571052,2,0.2720263,0.20181052,0.9504621515110399,0.47,270.0,332,324,"1/18/24, 12:00 AM",TIRUNELVELI,32,2024-12-31T00:00:00,7.3,2.7836688,396,401,272,276,0.9370107,2024-01-01T00:00:00,30.802444444444447,Kudankulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6981186166424,8.209748297332514]}"
1_0,0.28,0.064836845,0.72,0.25,4.53,0.08553158,297,7.71,172,0.2662842,0.21,27,0.07632632,3,0.19051053,0.12123158,0.15396666258988467,1.16,26.801874,339,328,"1/18/24, 12:00 AM",TIRUNELVELI,31,2024-12-31T00:00:00,7.1,2.7836688,396,400,265,272,2.077335,2024-01-01T00:00:00,30.802444444444447,Kudankulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69838811122763,8.21001779191775]}"
2_0,0.13,0.12818182,0.78,0.26,3.74,0.14971818,170,4.97,207,0.30796364,0.45,15,0.1501909,2,0.25945,0.1928,-1.9366318458324823,0.53,145.9899,316,319,"1/9/24, 12:00 AM",TIRUNELVELI,76,2024-12-31T00:00:00,8,2.959676,377,378,307,304,3.3528357,2024-01-01T00:00:00,30.843999999999998,Kanarpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67143865270405,8.885910211689277]}"
3_0,0.23,0.07163158,0.46,0.26,7.99,0.09110527,117,8.27,192,0.32551053,0.06,3,0.075226314,2,0.16373684,0.096599996,-2.074964565220651,0.66,283.8981,349,341,"1/18/24, 12:00 AM",TIRUNELVELI,32,2024-12-31T00:00:00,7.2,2.7836688,376,379,275,280,3.855565,2024-01-01T00:00:00,30.737944444444445,Kudankulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69731013288668,8.207053351480155]}"
4_0,0.34,0.13197619,1.663,0.09,21.54,0.1454619,207.5,5.439,195,0.27663332,0.3,20,0.14442857,2,0.21420953,0.15048571,-1.3547516645325453,0.836,90.0,368,372,"1/22/24, 12:00 AM",TIRUNELVELI,58,2024-12-31T00:00:00,6.5,3.7368424,352,346,280,282,1.8760105,2024-01-01T00:00:00,30.515437500000004,Athalanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49438071020408,8.721518514695406]}"
5_0,0.42,0.13372105,1.12,0.09,19.46,0.14801052,207,6.29,207,0.30222106,0.27,30,0.13578421,2,0.20909473,0.14052631,-1.1092759504465062,1.3,341.36453,351,362,"1/22/24, 12:00 AM",TIRUNELVELI,59,2024-12-31T00:00:00,6.7,3.7368424,357,349,292,290,2.9338605,2024-01-01T00:00:00,30.525375000000007,Athalanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49411121561886,8.714781150064509]}"
6_0,0.42,0.16990556,1.14,0.12,22.31,0.18002778,245,6.36,212,0.3258389,0.45,27,0.1658111,3,0.22906111,0.16098334,-1.463982018430193,1.14,296.29993,351,362,"1/22/24, 12:00 AM",TIRUNELVELI,60,2024-12-31T00:00:00,7.5,3.7368424,357,349,292,290,2.0923982,2024-01-01T00:00:00,30.525375000000007,Athalanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49330273186315,8.713703171723566]}"
7_0,0.28,0.14604445,1.17,0.08,21.59,0.15756111,245,6.13,157,0.26624444,0.45,35,0.14248888,2,0.18291667,0.1252111,-0.6615674272350763,1.5,270.0,356,360,"1/22/24, 12:00 AM",TIRUNELVELI,60,2024-12-31T00:00:00,6.7,3.7368424,351,344,292,296,0.9382386,2024-01-01T00:00:00,30.525375000000007,Athalanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49114677518126,8.714242160894036]}"
8_0,0.23,0.1342625,0.84,0.22,2.97,0.15585417,142,4.73,177,0.27750835,0.87,27,0.17009167,3,0.27312082,0.20647083,0.030734978498671746,0.72,90.0,311,315,"1/9/24, 12:00 AM",TIRUNELVELI,86,2024-12-31T00:00:00,7.7,2.959676,395,395,294,290,0.9386397,2024-01-01T00:00:00,30.815200000000004,Kanarpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65661645051607,8.872435482427484]}"
9_0,0.28,0.10129455,1.19,0.2,14.93,0.120163634,502,2.46,252,0.35827637,0.15,57,0.09630909,2,0.21291818,0.12805091,-0.6619289760251591,1.31,90.0,326,337,"1/8/24, 12:00 AM",TIRUNELVELI,42,2024-12-31T00:00:00,7.4,2.7723618,381,368,293,295,0.9384101,2024-01-01T00:00:00,30.649944444444444,Kuppakurichi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74042926652443,8.782154796373472]}"
10_0,0.13,0.11607931,1.48,0.19,13.62,0.14465863,475,1.95,227,0.3377431,0.45,45,0.13898103,2,0.2547362,0.17549482,1.9930747803601088,1.09,225.33813,356,369,"1/8/24, 12:00 AM",TIRUNELVELI,35,2024-12-31T00:00:00,7.4,2.8110943,397,388,248,243,1.3192469,2024-01-01T00:00:00,30.530685714285717,Kuppakurichi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76252782251376,8.785927720566775]}"
11_0,0.42,0.07235263,0.41,0.44,7.57,0.10258947,232,8.33,185,0.3000421,0.27,10,0.10231579,2,0.21367368,0.14482632,-1.3418134017371175,1.29,-0.0,348,338,"1/18/24, 12:00 AM",TIRUNELVELI,32,2024-12-31T00:00:00,7,2.7836688,381,387,271,275,1.8543341,2024-01-01T00:00:00,30.737944444444445,Kudankulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69757962747192,8.207322846065392]}"
12_0,0.55,0.08902826,1.13,0.14,20.52,0.13073261,475,7.62,220,0.28219783,0.21,12,0.16047174,3,0.33285218,0.24803261,2.135295469095674,1.75,-0.0,328,320,"1/11/24, 12:00 AM",TIRUNELVELI,31,2024-12-31T00:00:00,7.9,2.6908548,390,399,282,282,0.0,2024-01-01T00:00:00,30.96091428571429,Kasthurirangapuram Part 1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75767691997952,8.326169958154404]}"
13_0,0.02,0.11372727,0.75,0.25,4.94,0.1357409,170,4.82,237,0.27311817,0.6,27,0.14125,5,0.27513635,0.19871363,-2.078277251077465,0.83,103.87511,289,294,"1/8/24, 12:00 AM",TIRUNELVELI,92,2024-12-31T00:00:00,8.2,2.959676,398,396,313,309,3.8618095,2024-01-01T00:00:00,30.80836363636364,Kanarpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65688594510131,8.86435064487041]}"
14_0,0.26,0.10447358,1.37,0.24,14.21,0.13776982,630,1.97,217,0.27413395,0.12,62,0.15802075,2,0.2913151,0.22261322,1.4173494996270724,1.4,90.0,310,334,"1/8/24, 12:00 AM",TIRUNELVELI,35,2024-12-31T00:00:00,7.4,2.7559533,423,411,268,255,0.93848616,2024-01-01T00:00:00,30.70834285714286,Kuppakurichi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79459767815683,8.812338189919888]}"
15_0,0.23,0.07552105,0.35,0.3,4.46,0.11461052,245,7.22,157,0.28711054,0.21,22,0.14312105,2,0.3374105,0.24242105,-1.3520987121953978,0.87,270.0,348,339,"1/18/24, 12:00 AM",TIRUNELVELI,32,2024-12-31T00:00:00,7.1,2.7836688,372,376,280,285,1.8735008,2024-01-01T00:00:00,30.737944444444445,Kudankulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69919659498333,8.20543638396874]}"
16_0,0.39,0.12658,1.61,0.12,20.89,0.13679,155,6.06,150,0.24209501,0.57,35,0.12348,2,0.156145,0.10253,7.827811209837424,0.96,90.0,342,344,"1/22/24, 12:00 AM",TIRUNELVELI,57,2024-12-31T00:00:00,6.8,3.7368424,387,385,270,271,1.8760161,2024-01-01T00:00:00,30.515437500000004,Athalanallur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49465020478932,8.722596493036349]}"
17_0,0.55,0.114605,4.67,0.08,12.85,0.115905,170,2.66,225,0.246875,0.26,3,0.105945,2,0.181675,0.15362,-0.6295571335646303,1.8,120.67665,339,355,"1/5/24, 12:00 AM",TIRUNELVELI,60,2024-12-31T00:00:00,6.7,2.7901812,405,388,257,257,5.437389,2024-01-01T00:00:00,30.905933333333337,Pudukkulam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72075616180221,8.630698839470922]}"
18_0,0.39,0.115014285,1.04,0.22,2.62,0.13565715,117,4.46,212,0.30106667,0.57,30,0.13105237,3,0.23986667,0.16114286,-1.802960502320986,0.83,18.64409,329,326,"1/8/24, 12:00 AM",TIRUNELVELI,62,2024-12-31T00:00:00,8,2.959676,400,403,271,271,2.934009,2024-01-01T00:00:00,30.776117647058822,Kanarpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68194894152825,8.898306962610127]}"
19_0,0.13,0.12471818,1.43,0.12,13.65,0.1405,490,1.88,247,0.2963309,0.33,25,0.13941455,2,0.24677454,0.17358,-0.6501355254216755,1.59,180.0,326,337,"1/8/24, 12:00 AM",TIRUNELVELI,41,2024-12-31T00:00:00,7.4,2.7723618,381,368,293,295,0.92740995,2024-01-01T00:00:00,30.649944444444444,Kuppakurichi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74069876110967,8.782154796373472]}"
20_0,0.39,0.093572915,1.06,0.24,11.91,0.11116042,462,11.58,203,0.35759374,0.85,2.5,0.09828959,3,0.211425,0.1349625,0.4395144269694735,0.29,90.0,306,303,"1/18/24, 12:00 AM",TIRUNELVELI,10,2024-12-31T00:00:00,6.7,2.811067,378,378,316,319,0.9370698,2024-01-01T00:00:00,30.747621621621622,Kuthankuzhi (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77896699221316,8.234811293759448]}"
21_0,0.23,0.115014285,0.81,0.13,2.58,0.13565715,195,4.78,202,0.30106667,0.51,27,0.13105237,2,0.23986667,0.16114286,-1.802960502320986,0.49,18.64409,329,326,"1/8/24, 12:00 AM",TIRUNELVELI,62,2024-12-31T00:00:00,8.1,2.959676,400,403,271,271,2.934009,2024-01-01T00:00:00,30.776117647058822,Kanarpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68194894152825,8.898306962610127]}"
