system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.67,0.052728,0.44,0.1,5.16,0.073508,305,2.6,168,0.23,0.24,11.3,0.069476,9.98,0.15396,0.094624,-2.0796264093207926,0.3,194.35623,303,324,"1/29/24, 12:00 AM",TIRUVANNAMALAI,190,2024-12-31T00:00:00,6.7,4.4151106,373,360,325,317,3.8238623,2024-01-01T00:00:00,30.5510625,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.11053973786352,12.370475198788903]}"
1_0,0.6,0.1048,0.52,0.1,5.22,0.14036088,250,2.1,154,0.33070436,0.18,11.3,0.17871739,8.32,0.34142172,0.24735652,-0.09890222786551317,0.44,296.03055,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,192,2024-12-31T00:00:00,6.5,4.4151106,388,371,305,297,2.1124985,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12455345629579,12.369666715033194]}"
2_0,0.69,0.07867826,0.48,0.1,5.14,0.10831305,250,2.2,164,0.28923914,0.18,8.75,0.13260435,11.2,0.2900261,0.20424782,0.366238631869408,0.36,45.67285,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,191,2024-12-31T00:00:00,6.6,4.4151106,388,371,305,297,1.3271117,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12428396171055,12.36993620961843]}"
3_0,0.61,0.05772609,0.56,0.1,5.28,0.08587826,235,2.16,189,0.26226085,0.18,7.5,0.10978696,7.49,0.2675174,0.19998696,0.12423738886741016,0.4,296.0305,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,190,2024-12-31T00:00:00,7,4.4151106,388,371,305,297,2.1125038,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12428396171055,12.370475198788903]}"
4_0,0.7,0.06593043,0.44,0.1,5.66,0.09161739,195,2.22,157,0.26622173,0.24,11.25,0.11233913,11.65,0.27182174,0.20354348,-0.6850934719546347,0.32,270.0,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,189,2024-12-31T00:00:00,6.7,4.4151106,388,371,305,297,4.7368674,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12428396171055,12.370744693374137]}"
5_0,0.64,0.059986956,0.5,0.1,5.26,0.08894348,294,2.2,175,0.31330433,0.21,6.25,0.09289565,9.98,0.22951739,0.15167826,-1.7132123393407,0.42,134.32703,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,189,2024-12-31T00:00:00,6.7,4.4151106,388,371,305,297,2.6528068,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12374497254008,12.371014187959373]}"
6_0,0.65,0.052728,0.5,0.1,5.16,0.073508,294,2.36,171,0.23,0.15,11.25,0.069476,9.15,0.15396,0.094624,-2.0796264093207926,0.4,194.35623,303,324,"1/29/24, 12:00 AM",TIRUVANNAMALAI,190,2024-12-31T00:00:00,7,4.4151106,373,360,325,317,3.8238623,2024-01-01T00:00:00,30.5510625,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.11053973786352,12.370475198788903]}"
7_0,0.54,0.050595652,0.5,0.1,5,0.0781913,294,2.48,175,0.25496086,0.12,6.25,0.08926087,9.15,0.22390434,0.15554348,-1.713202298225664,0.38,134.32721,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,193,2024-12-31T00:00:00,6.8,4.4151106,388,371,305,297,2.6527982,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12374497254008,12.369397220447958]}"
8_0,0.6,0.06891304,0.48,0.1,5.32,0.096965216,272,2.38,171,0.2552739,0.21,8.75,0.11231739,9.98,0.2746087,0.19067827,-1.0200540186166769,0.24,314.32727,306,332,"1/29/24, 12:00 AM",TIRUVANNAMALAI,192,2024-12-31T00:00:00,6.9,4.4151106,388,371,305,297,1.3271089,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.1232059833696,12.368858231277487]}"
9_0,0.72,0.047650002,0.58,0.2,5.42,0.07092917,195,3.02,161,0.25135416,0.12,6.25,0.07232916,4.25,0.223425,0.14662917,-1.4851849143842633,0.42,116.030716,304,332,"2/26/24, 12:00 AM",TIRUVANNAMALAI,195,2024-12-31T00:00:00,7,4.4151106,399,380,297,288,2.1124856,2024-01-01T00:00:00,30.544687499999995,Sorakolathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.1223974996139,12.367780252936543]}"
10_0,1,0.090165,0.58,0.14,5.12,0.112455,350,0.99,161,0.228875,0.21,22.12,0.126875,13,0.27501,0.21297,1.0814614260805664,0.41,116.05226,320,343,"3/4/24, 12:00 AM",TIRUVANNAMALAI,142,2024-12-31T00:00:00,7.45,4.430399,359,345,321,312,2.1108625,2024-01-01T00:00:00,30.568750000000005,Nariyapattu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06499515295866,12.116072310326253]}"
11_0,0.5,0.082865,0.56,0.12,5.36,0.106295,232,0.98,182,0.268035,0.3,15,0.109799996,10,0.25221,0.182035,0.6061047038722788,0.29,123.09696,320,343,"4/4/24, 12:00 AM",TIRUVANNAMALAI,144,2024-12-31T00:00:00,7.68,4.430399,359,345,321,312,3.3930728,2024-01-01T00:00:00,30.568750000000005,Nariyapattu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06472565837342,12.116072310326253]}"
12_0,0.6,0.082865,0.46,0.14,5.18,0.106295,241,0.91,147,0.268035,0.24,16.62,0.109799996,13,0.25221,0.182035,0.6061047038722788,0.21,123.09696,320,343,"3/4/24, 12:00 AM",TIRUVANNAMALAI,144,2024-12-31T00:00:00,7.18,4.430399,359,345,321,312,3.3930728,2024-01-01T00:00:00,30.568750000000005,Nariyapattu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06472565837342,12.116072310326253]}"
13_0,1,0.053238094,0.49,0.16,5.37,0.06908572,241,0.86,168,0.16861428,0.21,19.37,0.06843334,20,0.16934761,0.10952857,4.463368944434535,0.32,180.0,305,322,"3/4/24, 12:00 AM",TIRUVANNAMALAI,145,2024-12-31T00:00:00,7.75,4.430399,361,346,335,333,1.8543341,2024-01-01T00:00:00,30.51423529411764,Nariyapattu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.05960526125395,12.100441624382574]}"
15_0,0.7,0.086980954,0.58,0.16,5.72,0.111685716,214,0.77,140,0.28863335,0.15,13.875,0.10616667,12.53,0.2277238,0.1533,0.2475989203785291,0.43,288.05505,356,373,"3/12/24, 12:00 AM",TIRUVANNAMALAI,139,2024-12-31T00:00:00,7.48,4.271931,340,327,304,300,2.9898598,2024-01-01T00:00:00,30.54563636363637,Valaiyampakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.06176121793582,12.05516653406295]}"
17_0,0.5,0.09306563,0.72,0.11,5.61,0.12427188,223,0.88,154,0.29030624,0.15,7.5,0.14500937,8.35,0.34454376,0.24535,-1.7588451001883936,0.5,180.0,321,335,"3/12/24, 12:00 AM",TIRUVANNAMALAI,115,2024-12-31T00:00:00,6.76,4.057449,348,340,331,325,2.7802885,2024-01-01T00:00:00,30.675621621621623,Valaiyampakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09032764397084,11.999111660333892]}"
18_0,1.4,0.08158824,0.59,0.11,5.68,0.10919118,170,0.87,168,0.28644118,0.42,12.5,0.11260294,4.18,0.27773234,0.19194117,-2.0781663901120444,0.42,194.33699,321,335,"3/12/24, 12:00 AM",TIRUVANNAMALAI,115,2024-12-31T00:00:00,6.89,4.057449,348,340,331,325,3.8235347,2024-01-01T00:00:00,30.675621621621623,Valaiyampakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09059713855606,11.999111660333892]}"
19_0,0.5,0.09306563,0.58,0.18,5.73,0.12427188,214,0.93,203,0.29030624,0.24,23,0.14500937,4.18,0.34454376,0.24535,-1.7588451001883936,0.32,180.0,321,335,"3/12/24, 12:00 AM",TIRUVANNAMALAI,115,2024-12-31T00:00:00,6.36,4.057449,348,340,331,325,2.7802885,2024-01-01T00:00:00,30.675621621621623,Valaiyampakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09032764397084,11.999111660333892]}"
20_0,1.2,0.08158824,0.57,0.2,5.65,0.10919118,241,0.82,147,0.28644118,0.3,6,0.11260294,14.61,0.27773234,0.19194117,-2.0781663901120444,0.58,194.33699,321,335,"3/12/24, 12:00 AM",TIRUVANNAMALAI,115,2024-12-31T00:00:00,6.44,4.057449,348,340,331,325,3.8235347,2024-01-01T00:00:00,30.675621621621623,Valaiyampakkam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09059713855606,11.999111660333892]}"
21_0,0.5,0.10004546,0.52,0.13,5.39,0.1284,96,1.18,105,0.27165455,0.15,5,0.15024091,14,0.34720683,0.28149092,-0.4887996235839763,0.52,256.26266,322,335,"3/22/24, 12:00 AM",TIRUVANNAMALAI,115,2024-12-31T00:00:00,7.02,4.131089,342,335,336,330,3.8996675,2024-01-01T00:00:00,30.627085714285705,Thiruvanaimugam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14826897979654,12.079960035904648]}"
22_0,0.5,0.07458571,0.5,0.13,5.42,0.09726905,134,1.16,133,0.21284285,0.27,8,0.1041119,12,0.2446119,0.18691666,1.285344266372503,0.48,-0.0,309,329,"3/22/24, 12:00 AM",TIRUVANNAMALAI,114,2024-12-31T00:00:00,6.9,4.131089,359,344,333,328,0.92740995,2024-01-01T00:00:00,30.72348387096774,Thiruvanaimugam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.13641121804616,12.08966184097314]}"
23_0,0.5,0.07458571,0.32,0.09,5.78,0.09726905,205,1.18,147,0.21284285,0.21,5,0.1041119,10,0.2446119,0.18691666,1.285344266372503,0.39,-0.0,309,329,"3/22/24, 12:00 AM",TIRUVANNAMALAI,114,2024-12-31T00:00:00,7.14,4.131089,359,344,333,328,0.92740995,2024-01-01T00:00:00,30.72348387096774,Thiruvanaimugam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.13641121804616,12.08966184097314]}"
24_0,0.8,0.08595349,0.52,0.11,5.35,0.11226512,223,1.18,210,0.30117443,0.24,15,0.10988372,12,0.2573256,0.17363256,-1.4832695545795431,0.18,116.05494,314,322,"3/22/24, 12:00 AM",TIRUVANNAMALAI,118,2024-12-31T00:00:00,7.16,4.131089,357,350,329,328,2.110661,2024-01-01T00:00:00,30.72348387096774,Thiruvanaimugam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.13075183175621,12.084541443853658]}"
25_0,0.8,0.08595349,0.44,0.14,5.44,0.11226512,214,1.22,196,0.30117443,0.24,14,0.10988372,12,0.2573256,0.17363256,-1.4832695545795431,0.22,116.05494,314,322,"3/22/24, 12:00 AM",TIRUVANNAMALAI,118,2024-12-31T00:00:00,7.08,4.131089,357,350,329,328,2.110661,2024-01-01T00:00:00,30.72348387096774,Thiruvanaimugam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.13075183175621,12.084541443853658]}"
26_0,0.7,0.08595349,0.39,0.24,5.32,0.11226512,125,1.19,175,0.30117443,0.27,15,0.10988372,14,0.2573256,0.17363256,-1.4832695545795431,0.29,116.05494,314,322,"3/22/24, 12:00 AM",TIRUVANNAMALAI,118,2024-12-31T00:00:00,6.87,4.131089,357,350,329,328,2.110661,2024-01-01T00:00:00,30.72348387096774,Thiruvanaimugam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.13075183175621,12.084541443853658]}"
