system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.1,0.079716,0.48,0.22,0.46,0.09022,225,0.14,114.1,0.249436,0.6,6,0.078232,7.14,0.194964,0.121104,-1.388736625835397,0.22,165.61392,322,348,"5/31/24, 12:00 AM",VELLORE,275,2024-12-31T00:00:00,8.35,3.8744104,371,352,307,300,3.824371,2024-01-01T00:00:00,30.449,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8833558025097,12.92347808769288]}"
1_0,0.1,0.079716,0.85,0.21,0.71,0.09022,212.5,0.88,121,0.249436,0.66,3,0.078232,5.35,0.194964,0.121104,-1.388736625835397,0.14,165.61392,322,348,"5/31/24, 12:00 AM",VELLORE,275,2024-12-31T00:00:00,8.36,3.8744104,371,352,307,300,3.824371,2024-01-01T00:00:00,30.449,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8833558025097,12.92347808769288]}"
2_0,0.1,0.079716,0.25,0.33,2.37,0.09022,237.5,1.46,83,0.249436,0.22,9,0.078232,3.57,0.194964,0.121104,-1.388736625835397,0.38,165.61392,322,348,"5/31/24, 12:00 AM",VELLORE,275,2024-12-31T00:00:00,8.3,3.8744104,371,352,307,300,3.824371,2024-01-01T00:00:00,30.449,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8833558025097,12.92347808769288]}"
3_0,0.2,0.079716,0.42,0.28,2.14,0.09022,306.3,0.88,127.9,0.249436,0.41,1.5,0.078232,3.57,0.194964,0.121104,-1.388736625835397,0.82,165.61392,322,348,"5/31/24, 12:00 AM",VELLORE,275,2024-12-31T00:00:00,7.97,3.8744104,371,352,307,300,3.824371,2024-01-01T00:00:00,30.449,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8833558025097,12.92347808769288]}"
4_0,0.1,0.079716,0.59,0.24,1.7,0.09022,431.3,1.47,100.3,0.249436,0.47,6,0.078232,8.93,0.194964,0.121104,-1.388736625835397,0.71,165.61392,322,348,"5/31/24, 12:00 AM",VELLORE,275,2024-12-31T00:00:00,8.33,3.8744104,371,352,307,300,3.824371,2024-01-01T00:00:00,30.449,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8833558025097,12.92347808769288]}"
5_0,0.2,0.060144,0.27,0.22,1.64,0.074939996,112.5,0.84,152.2,0.216804,0.22,15.88,0.070496,7.14,0.205696,0.1417,-2.2897333765594117,0.54,126.16696,343,365,"5/31/24, 12:00 AM",VELLORE,275,2024-12-31T00:00:00,8.6,3.8744104,353,336,304,300,4.7043347,2024-01-01T00:00:00,30.418342857142857,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.89036266172583,12.922669603937171]}"
6_0,0.1,0.059576,0.13,0.27,2.14,0.086492,354.3,0.74,124.5,0.336256,0.31,7.5,0.070412,1.78,0.240124,0.15526,-1.8381658946861918,0.19,107.99852,318,342,"5/31/24, 12:00 AM",VELLORE,276,2024-12-31T00:00:00,8.6,3.8744104,365,347,317,311,5.981499,2024-01-01T00:00:00,30.460611111111106,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87500147036738,12.922400109351935]}"
7_0,0.1,0.04102,0.48,0.17,2.51,0.057256,131.5,0.8,114.1,0.200456,0.31,5.1,0.047324,16.08,0.158276,0.094428,-0.689332257420748,0.37,90.0,327,349,"5/31/24, 12:00 AM",VELLORE,280,2024-12-31T00:00:00,8.4,3.8744104,381,365,292,286,0.95148176,2024-01-01T00:00:00,30.460611111111106,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87634894329356,12.916740723061983]}"
8_0,0.1,0.078496,0.59,0.19,2.71,0.095068,250,0.7,114.1,0.212192,0.19,5.1,0.109512,10.71,0.247584,0.208708,2.427342866919088,0.51,180.0,342,366,"5/31/24, 12:00 AM",VELLORE,270,2024-12-31T00:00:00,8.27,3.8744104,365,350,293,284,1.8543341,2024-01-01T00:00:00,30.47688235294119,Melalathur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.88173883499827,12.91242880969821]}"
9_0,0.4,0.057641666,0.63,0.47,5.5,0.075625,317.5,1.2,145.2,0.21427083,0.45,6,0.0720125,21.44,0.19860834,0.13202083,2.2724858556552547,0.7,134.26419,334,358,"6/14/24, 12:00 AM",VELLORE,268,2024-12-31T00:00:00,8.35,3.8744104,357,338,309,304,1.3286065,2024-01-01T00:00:00,30.429142857142864,Ammanankuppam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.89871699386813,12.931023936079484]}"
