system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.75,0.08541724,0.62,0.29,18.43,0.110751726,153.5,6.4,187,0.26345173,0.34,23.18,0.11703448,17,0.25072414,0.17827931,2.7561080641789855,0.52,-0.0,284,330,"2/29/24, 12:00 AM",SOUTH TRIPURA,28,2024-12-31T00:00:00,4.57,10.343626,334,302,382,369,0.0,2024-01-01T00:00:00,30.00496551724138,Matai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.50621268037197,23.193647236446132]}"
1_0,0.84,0.12861112,0.73,0.36,19.29,0.15366296,172.4,4.5,305,0.23905185,0.52,23.41,0.17431481,11,0.2710111,0.22915184,-2.9054414547435723,0.58,47.447025,285,307,"3/23/24, 12:00 AM",SOUTH TRIPURA,53,2024-12-31T00:00:00,4.94,10.545484,321,303,394,390,8.172974,2024-01-01T00:00:00,29.95951724137931,Uttar Bharatchandranagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.5334316334808,23.35965590095142]}"
2_0,0.73,0.080303445,0.63,0.067,25.27,0.09986897,148.9,10.78,233,0.312,0.42,22.88,0.09032069,17,0.23193793,0.1461,-1.113239980656089,0.48,132.56122,295,333,"2/22/24, 12:00 AM",SOUTH TRIPURA,37,2024-12-31T00:00:00,4.15,10.714602,311,286,394,381,1.3710004,2024-01-01T00:00:00,30.037034482758624,Bagafa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.58813903428367,23.32138766984793]}"
3_0,0.72,0.060133334,0.69,0.38,19.2,0.08334074,149.4,6.45,271,0.28824073,0.48,32.22,0.077366665,13,0.19291112,0.12005926,-2.1082654112841506,0.44,180.0,296,334,"3/23/24, 12:00 AM",SOUTH TRIPURA,28,2024-12-31T00:00:00,4.62,10.02107,332,305,372,361,3.7047918,2024-01-01T00:00:00,29.98496296296296,Kalabaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.49354643486589,23.286083879182033]}"
4_0,0.86,0.05746,0.67,0.17,16.19,0.06886667,163.3,2.28,148,0.25671667,0.26,29.38,0.05524,14,0.18126667,0.0956,-2.5074243298863768,0.54,213.11893,291,321,"4/5/24, 12:00 AM",SOUTH TRIPURA,45,2024-12-31T00:00:00,4.15,11.019675,339,319,370,361,5.519865,2024-01-01T00:00:00,29.96625,Uttar Kalapania,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.63152766250664,23.112798860875376]}"
5_0,0.9,0.07805667,0.76,0.27,30.19,0.09933333,188.2,8.9,378,0.26901665,0.58,30.77,0.10357667,16,0.23842,0.16086666,5.44491790804187,0.57,312.56247,315,351,"3/23/24, 12:00 AM",SOUTH TRIPURA,34,2024-12-31T00:00:00,5.52,9.950898,335,306,350,343,1.3709677,2024-01-01T00:00:00,29.975125,Uttar Bharatchandranagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.44881033371674,23.31545878897274]}"
6_0,0.58,0.078082755,0.52,0.083,13.48,0.08760345,135.3,4.36,121,0.25493103,0.21,33.06,0.076306894,12,0.17948966,0.10960345,-2.03000312815843,0.43,144.07263,345,390,"2/28/24, 12:00 AM",SOUTH TRIPURA,17,2024-12-31T00:00:00,4.16,9.889574,300,266,355,344,3.432053,2024-01-01T00:00:00,29.95871428571429,Baraiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.39868434086287,23.06833225431146]}"
7_0,1.02,0.07394483,0.85,0.054,22.38,0.096672416,143.9,6.74,344,0.23852414,0.56,35.75,0.108868964,16,0.24076551,0.16852759,4.624522815283163,0.58,208.56633,282,320,"2/22/24, 12:00 AM",SOUTH TRIPURA,31,2024-12-31T00:00:00,4.52,10.714602,318,292,400,387,2.1111443,2024-01-01T00:00:00,29.993862068965512,Bagafa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.58247964799372,23.31411131604656]}"
8_0,0.93,0.06957857,0.62,0.19,27.42,0.09079286,163.9,7.33,236,0.24915715,0.42,27.36,0.09214286,18,0.23943214,0.1696,5.985828476750935,0.56,294.66324,285,331,"3/12/24, 12:00 AM",SOUTH TRIPURA,25,2024-12-31T00:00:00,4.19,10.468869,321,292,394,377,2.2215712,2024-01-01T00:00:00,30.008827586206895,Santirbazar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.54448091147546,23.31491979980227]}"
9_0,0.82,0.06547586,0.63,0.07,28.19,0.09058276,152.4,9.63,264,0.29895517,0.47,21.83,0.07950345,18,0.22498275,0.14287587,1.4954377195996362,0.46,294.66986,315,361,"3/11/24, 12:00 AM",SOUTH TRIPURA,26,2024-12-31T00:00:00,5.11,11.098014,306,277,379,362,2.2210126,2024-01-01T00:00:00,29.970258064516138,Laugang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.57250834834,23.27449561201689]}"
10_0,0.86,0.09122069,0.65,0.067,28.26,0.11755862,193.6,6.38,394,0.3041655,0.6,31.5,0.116931036,20,0.29243794,0.20731723,5.783329775087811,0.45,199.95786,337,370,"4/6/24, 12:00 AM",SOUTH TRIPURA,31,2024-12-31T00:00:00,4.22,10.545484,300,280,363,350,2.9576242,2024-01-01T00:00:00,29.96148387096774,Rajapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.50890762622433,23.3752865868951]}"
