system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.74,0.13562682,0.33,0.46,8.62,0.16020244,162,3.67,47.25,0.23107561,0.21,30,0.18527561,10,0.28849757,0.26214635,-0.7510601159988162,0.96,-0.0,234,238,"3/14/24, 12:00 AM",AURAIYA,149,2024-12-31T00:00:00,7.4,3.2445064,410,402,356,360,0.92740995,2024-01-01T00:00:00,30.36981818181819,Airwatikta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41965002712905,26.902162223876754]}"
1_0,0.57,0.096541464,0.28,0.42,4.37,0.12610732,185,3.57,94.5,0.28190243,0.42,27,0.14372683,15,0.2652,0.20962927,-1.8499706594452756,0.72,228.24911,227,239,"2/20/24, 12:00 AM",AURAIYA,144,2024-12-31T00:00:00,7.4,3.152979,426,418,347,343,2.783513,2024-01-01T00:00:00,30.325823529411764,Pasua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46249966618154,26.80298821650996]}"
2_0,0.46,0.08610731,0.42,0.36,6.47,0.11204878,195,3.24,92.25,0.23996097,0.41,27,0.122536585,17,0.2463805,0.2024,-0.8638445582716335,0.74,270.0,227,239,"2/20/24, 12:00 AM",AURAIYA,146,2024-12-31T00:00:00,7.6,3.152979,426,418,347,343,1.0390146,2024-01-01T00:00:00,30.325823529411764,Pasua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46330814993726,26.802449227339487]}"
3_0,0.57,0.08111191,0.53,0.32,5.16,0.11545714,171,4.56,94.5,0.28999287,0.42,26,0.1351,15,0.27685714,0.21610476,-2.172131012180436,0.74,344.38266,260,280,"2/26/24, 12:00 AM",AURAIYA,142,2024-12-31T00:00:00,7.2,3.2364993,382,372,357,348,3.8463933,2024-01-01T00:00:00,30.366709677419355,Dauhin,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63659316824392,26.574456808229954]}"
4_0,0.41,0.078558534,0.24,0.36,6.46,0.10875366,185,1.74,74.25,0.2504073,0.33,18,0.12139756,11,0.23631951,0.18569513,0.6365579666405636,0.83,180.0,202,218,"2/12/24, 12:00 AM",AURAIYA,146,2024-12-31T00:00:00,7.8,3.4629376,389,378,409,404,0.92740995,2024-01-01T00:00:00,30.3140606060606,Barua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4501029152607,26.749358794048025]}"
6_0,0.5,0.092209525,0.46,0.39,3.55,0.1274857,128,1.24,74.25,0.28469762,0.33,31,0.14347619,13,0.26681668,0.20998809,-0.25935645861980944,0.75,294.07578,204,214,"2/29/24, 12:00 AM",AURAIYA,143,2024-12-31T00:00:00,7.3,3.4010563,422,417,374,368,2.27238,2024-01-01T00:00:00,30.301470588235293,Dharampur Jahurali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45926573115872,26.667162945551087]}"
7_0,0.58,0.07928572,0.48,0.48,7.97,0.11437143,143,0.82,119.25,0.3354,0.53,23,0.123161905,12,0.26607618,0.19751905,-0.4795124020317707,0.43,282.59885,231,244,"2/15/24, 12:00 AM",AURAIYA,142,2024-12-31T00:00:00,7.5,3.2899504,405,401,364,355,4.2443523,2024-01-01T00:00:00,30.344424242424243,Kothipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48109479256283,26.61703695269722]}"
8_0,0.48,0.10472857,0.44,0.32,8.26,0.13553095,195,4.43,94.5,0.25446904,0.42,30,0.15518571,11,0.27633333,0.22906667,4.484833264804116,0.57,59.18013,214,234,"3/18/24, 12:00 AM",AURAIYA,138,2024-12-31T00:00:00,7.3,3.247535,390,380,396,386,3.6157947,2024-01-01T00:00:00,30.38870967741936,Nigra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.42638739175995,26.50627467816528]}"
9_0,0.38,0.08358049,0.45,0.46,6.32,0.116490245,223,2.66,67.5,0.30130976,0.3,27,0.1346439,10,0.27217805,0.21031708,-1.6446719389271116,0.42,294.0872,225,241,"2/17/24, 12:00 AM",AURAIYA,143,2024-12-31T00:00:00,7.6,3.2834787,384,379,390,380,2.271368,2024-01-01T00:00:00,30.32072727272728,Niamatpur Bihari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.52044100200726,26.605987674702547]}"
10_0,0.45,0.09595476,0.46,0.36,3.31,0.12886667,138,2.28,108,0.2582119,0.48,16,0.15128334,15,0.29572856,0.24376191,-1.1531701175606595,0.86,311.81845,241,269,"2/24/24, 12:00 AM",AURAIYA,138,2024-12-31T00:00:00,7.5,3.219615,410,396,348,335,1.390742,2024-01-01T00:00:00,30.429379310344828,Babina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62042349312976,26.532146158347924]}"
11_0,0.43,0.07391,0.47,0.35,6.92,0.108335,142,5.47,74.25,0.29348502,0.33,29,0.1197275,12,0.25125,0.19347501,-1.5797666703001345,0.58,209.25601,218,230,"3/15/24, 12:00 AM",AURAIYA,147,2024-12-31T00:00:00,7.4,3.1105115,403,391,380,380,2.1252131,2024-01-01T00:00:00,30.361312500000007,Nurabad Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41048721123103,26.79894579773142]}"
12_0,0.45,0.09718333,0.29,0.38,8.82,0.13648096,185,7.75,78.25,0.29322857,0.35,13,0.15373096,10,0.3142238,0.25337857,2.7295223418998624,0.98,-0.0,239,265,"2/24/24, 12:00 AM",AURAIYA,138,2024-12-31T00:00:00,7.6,3.219615,405,388,357,347,0.0,2024-01-01T00:00:00,30.422058823529408,Babina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62284894439688,26.53511059878552]}"
13_0,0.47,0.12700243,0.49,0.38,4.62,0.15561463,147,2.22,60.75,0.2333,0.27,18,0.17253658,12,0.2595366,0.23015854,-0.7489651942407091,0.61,180.0,231,249,"2/26/24, 12:00 AM",AURAIYA,149,2024-12-31T00:00:00,7.9,3.3927133,383,372,385,379,0.92740995,2024-01-01T00:00:00,30.330999999999996,Divriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.28463323992588,26.66042558092019]}"
14_0,0.46,0.06451707,0.36,0.52,8.75,0.095939025,176,4.65,78.75,0.28466585,0.35,28,0.10559268,11,0.2572805,0.18956098,-0.8852083936461148,1.55,330.772,205,226,"2/26/24, 12:00 AM",AURAIYA,144,2024-12-31T00:00:00,7.8,3.4122574,409,397,387,377,2.124632,2024-01-01T00:00:00,30.362424242424243,Divriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34877295121201,26.668240923892032]}"
15_0,0.53,0.07559286,0.24,0.52,3.37,0.107457146,181,2.44,87.75,0.2983881,0.39,15,0.10830952,9,0.2666143,0.18393095,-1.8481466511118465,0.93,131.78453,212,227,"2/18/24, 12:00 AM",AURAIYA,143,2024-12-31T00:00:00,7.7,3.4010563,427,418,361,355,2.7816863,2024-01-01T00:00:00,30.306971428571426,Pata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48082529797759,26.66851041847727]}"
16_0,0.55,0.06824474,0.44,0.38,8.32,0.10007632,137,2.55,78.75,0.29600528,0.35,29,0.10317895,12,0.25375,0.1678421,-0.7501259329913398,0.93,180.0,191,201,"3/16/24, 12:00 AM",AURAIYA,148,2024-12-31T00:00:00,7.8,3.0955577,400,396,408,402,0.92740995,2024-01-01T00:00:00,30.306242424242427,Rampur Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.38111230144033,26.794903378952885]}"
17_0,0.47,0.075433336,0.14,0.44,5.56,0.1053381,214,1.51,94.5,0.2768262,0.42,20,0.113619044,13,0.25209287,0.19722618,-0.8608389875044483,1.42,90.0,228,239,"2/18/24, 12:00 AM",AURAIYA,144,2024-12-31T00:00:00,7.4,3.271221,357,355,415,406,1.0374392,2024-01-01T00:00:00,30.321393939393932,Kanhon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.56760255442353,26.629703198203302]}"
18_0,0.49,0.08234146,0.34,0.38,5.25,0.11429268,185,1.92,101.25,0.3114122,0.45,18,0.12766342,15,0.2579683,0.18675122,-0.19235447894272753,0.82,209.23375,211,226,"2/27/24, 12:00 AM",AURAIYA,146,2024-12-31T00:00:00,7.4,3.4251742,405,393,384,381,2.1247513,2024-01-01T00:00:00,30.277882352941173,Chhachhoond,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.37680038807655,26.695190382415618]}"
19_0,0.52,0.058968294,0.57,0.47,4.25,0.098309755,213,1.34,54,0.31280732,0.24,10,0.105809756,12,0.2608561,0.19279024,0.4559648685085279,0.84,48.18705,215,230,"3/5/24, 12:00 AM",AURAIYA,140,2024-12-31T00:00:00,7.5,3.3707345,408,395,377,376,1.3908916,2024-01-01T00:00:00,30.31154838709677,Parariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4245009296633,26.554514208922498]}"
20_0,0.45,0.08172927,0.65,0.28,5.83,0.11632195,214,4.23,94.65,0.33249512,0.42,13,0.1216561,11,0.25672194,0.18810244,-1.1528660049878956,0.69,228.17595,230,236,"3/5/24, 12:00 AM",AURAIYA,142,2024-12-31T00:00:00,7.4,3.247535,360,357,410,407,1.3905907,2024-01-01T00:00:00,30.33406060606061,Karampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.40617529786725,26.509778107773347]}"
