system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.38,0.085053846,0.12,0.22,6.2,0.11158718,146,1.22,135,0.2607769,0.6,22.5,0.11689487,7,0.24476923,0.17966923,-1.8538248627850165,0.37,-0.0,235,238,"3/8/24, 12:00 AM",BALRAMPUR,105,2024-12-31T00:00:00,7.18,3.8829622,337,333,428,429,2.7802885,2024-01-01T00:00:00,30.330000000000005,Lakhama,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.36765129502409,27.373777748039505]}"
1_0,0.11,0.09452308,0.32,0.31,6.03,0.1219359,168,1.32,101.25,0.25923845,0.45,9,0.12946923,14,0.25471282,0.19301026,-1.164672333277498,0.12,311.60596,235,238,"3/8/24, 12:00 AM",BALRAMPUR,105,2024-12-31T00:00:00,7.51,3.8829622,337,333,428,429,1.396539,2024-01-01T00:00:00,30.330000000000005,Lakhama,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.36738180043885,27.37350825345427]}"
2_0,0.41,0.08819743,0.13,0.23,4.49,0.11447179,123,1.9,101.25,0.2628641,0.45,13.5,0.12354872,7,0.23412308,0.16915642,-1.1646106772447562,0.43,131.60716,240,243,"3/9/24, 12:00 AM",BALRAMPUR,101,2024-12-31T00:00:00,7.1,3.8829622,344,341,416,415,1.3965057,2024-01-01T00:00:00,30.330000000000005,Lakhama,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.36657331668314,27.368926845505257]}"
3_0,0.32,0.09302,0.38,0.33,4.5,0.116705,134,2.49,168.25,0.27741,0.75,18,0.122805,17,0.24122,0.187375,-1.1627573981967698,0.48,131.64134,215,218,"2/23/24, 12:00 AM",BALRAMPUR,94,2024-12-31T00:00:00,7.24,3.8519552,328,324,457,458,1.395569,2024-01-01T00:00:00,30.26877419354839,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49242728798828,27.235527025813507]}"
4_0,0.29,0.09808461,0.31,0.18,5.23,0.11398205,134,2.93,101.25,0.21574102,0.45,9,0.117251284,9,0.22638719,0.17868204,-1.1625166084872562,0.14,131.64581,230,230,"2/23/24, 12:00 AM",BALRAMPUR,96,2024-12-31T00:00:00,6.89,3.8519552,336,334,434,436,1.3954465,2024-01-01T00:00:00,30.265625000000004,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49943414720441,27.218009877773177]}"
5_0,0.22,0.09982052,0.19,0.38,4.48,0.12422821,146,3.35,119.28,0.2916641,0.53,22.5,0.13594103,12,0.24129488,0.17853333,-1.8524197710009884,0.37,180.0,233,232,"2/23/24, 12:00 AM",BALRAMPUR,95,2024-12-31T00:00:00,7.32,3.8519552,329,327,439,441,2.7802885,2024-01-01T00:00:00,30.244363636363637,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49727819052254,27.215584426506055]}"
6_0,0.13,0.09982052,0.37,0.46,6.01,0.12422821,123,1.49,67.5,0.2916641,0.3,22.5,0.13594103,9,0.24129488,0.17853333,-1.8524197710009884,0.4,180.0,233,232,"2/23/24, 12:00 AM",BALRAMPUR,95,2024-12-31T00:00:00,7.52,3.8519552,329,327,439,441,2.7802885,2024-01-01T00:00:00,30.244363636363637,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49727819052254,27.215584426506055]}"
7_0,0.11,0.09357436,0.12,0.12,5.11,0.11590769,157,3.31,81,0.28067693,0.36,27,0.12579744,14,0.2357795,0.17454872,-1.1624808626069074,0.12,48.353622,226,225,"2/23/24, 12:00 AM",BALRAMPUR,97,2024-12-31T00:00:00,7.19,3.8519552,330,328,445,447,1.395431,2024-01-01T00:00:00,30.244363636363637,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49566122301111,27.21585392109129]}"
8_0,0.43,0.091702566,0.23,0.39,4.23,0.11741538,146,1.98,67.5,0.28212565,0.3,22.5,0.12222051,9,0.2540564,0.18285641,-1.1625663542079576,0.39,131.64482,233,233,"2/23/24, 12:00 AM",BALRAMPUR,98,2024-12-31T00:00:00,6.95,3.8519552,331,329,435,437,1.3954737,2024-01-01T00:00:00,30.265625000000004,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49970364178965,27.222052296551716]}"
9_0,0.1,0.103720516,0.24,0.4,4.23,0.13184616,123,2.28,85.5,0.27747178,0.38,9,0.13853078,13,0.24412307,0.19505385,2.32704426608457,0.31,90.0,225,227,"2/22/24, 12:00 AM",BALRAMPUR,95,2024-12-31T00:00:00,7.31,3.840633,333,333,441,440,2.085528,2024-01-01T00:00:00,30.295448275862064,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.50724949017625,27.244420347126294]}"
10_0,0.11,0.091702566,0.37,0.5,5.32,0.11741538,146,1.48,69.25,0.28212565,0.31,18,0.12222051,14,0.2540564,0.18285641,-1.1625663542079576,0.33,131.64482,233,233,"2/22/24, 12:00 AM",BALRAMPUR,98,2024-12-31T00:00:00,7.44,3.8519552,331,329,435,437,1.3954737,2024-01-01T00:00:00,30.265625000000004,Masjidia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49970364178965,27.222052296551716]}"
