system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.904,0.12362286,0.361,0.341,4.692,0.14455715,145.6,3.16,76.5,0.2796343,0.34,33.75,0.15847428,1.774,0.3026343,0.24021429,-1.8987767037210856,1.307,20.219624,263,286,"2/26/24, 12:00 AM",BANDA,138,2024-12-31T00:00:00,7.1,3.382152,364,349,372,364,2.9625614,2024-01-01T00:00:00,30.515161290322588,Piyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.61297205055342,25.174432437929678]}"
1_0,1.241,0.0928,0.344,0.352,5.326,0.123851284,168,2.986,101.25,0.32474104,0.45,15.75,0.13437437,7.813,0.28121796,0.19884872,-2.2512451137039378,0.726,102.72571,197,211,"2/24/24, 12:00 AM",BANDA,122,2024-12-31T00:00:00,7.2,2.9871135,414,406,389,383,4.202881,2024-01-01T00:00:00,30.37106666666666,Etavan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.78679605803055,25.40134687869827]}"
2_0,0.567,0.1133,0.268,0.39,4.103,0.14465128,112,2.859,87.75,0.32315385,0.39,24.75,0.16538462,4.873,0.29836667,0.23365384,-0.7396794925152909,1.29,-0.0,208,232,"2/14/24, 12:00 AM",BANDA,106,2024-12-31T00:00:00,7,2.7920456,361,345,432,423,0.92740995,2024-01-01T00:00:00,30.544249999999998,Bena Mau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.95199623878013,25.557653738135066]}"
3_0,0.23,0.08585,0.281,0.37,4.132,0.1199625,189.2,2.549,87.75,0.2674225,0.39,20.25,0.1395025,12.484,0.2728625,0.199645,2.043924695393105,0.89,-0.0,193,224,"2/11/24, 12:00 AM",BANDA,114,2024-12-31T00:00:00,7.5,2.808456,314,299,493,477,0.0,2024-01-01T00:00:00,30.446625,Armar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.80646916275276,25.636346157023937]}"
4_0,0.904,0.0667475,0.314,0.37,4.531,0.1026825,190.4,3.542,94.5,0.2958525,0.42,18,0.1184175,2.266,0.2604575,0.187295,0.4139781206974519,1.505,90.0,237,262,"2/11/24, 12:00 AM",BANDA,132,2024-12-31T00:00:00,7,3.2459347,342,326,421,412,2.0512974,2024-01-01T00:00:00,30.381586206896554,Armar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.61000761011583,25.323193448979872]}"
5_0,0.904,0.092705406,0.287,0.368,4.613,0.12287297,100.8,2.873,67.5,0.29418108,0.3,33.75,0.14084594,21.533,0.2749973,0.21297297,2.808946825718389,1.27,270.0,259,292,"2/24/24, 12:00 AM",BANDA,119,2024-12-31T00:00:00,7.4,2.9776716,364,347,377,361,2.0543587,2024-01-01T00:00:00,30.47994736842104,Sahewa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3294637468853,25.502946337332187]}"
6_0,0.904,0.1004973,0.314,0.376,4.536,0.13313514,112,3.159,90,0.33158648,0.4,18,0.14457838,7.813,0.27912703,0.20812163,-0.7389499146448395,0.64,180.0,227,252,"2/16/24, 12:00 AM",BANDA,125,2024-12-31T00:00:00,7,3.010229,358,342,415,406,0.92740995,2024-01-01T00:00:00,30.550874999999998,Hathaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.492507970953,25.468720525007235]}"
7_0,0.904,0.10108889,0.359,0.392,4.693,0.13563055,112,3.197,101.25,0.3059361,0.45,33.75,0.15019166,8.688,0.28484166,0.21831389,-0.049155630308885756,0.986,-0.0,189,211,"3/21/24, 12:00 AM",BANDA,118,2024-12-31T00:00:00,7.2,2.854136,343,336,468,453,0.92740995,2024-01-01T00:00:00,30.440250000000002,Gaurikhurd Bangar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.43294966761587,25.875118359542906]}"
8_0,1.241,0.07157027,0.244,0.387,4.613,0.09815676,189.2,2.876,67.5,0.28084865,0.3,13.5,0.10493784,4.018,0.23558378,0.16184324,8.058175478860296,0.77,180.0,207,228,"2/10/24, 12:00 AM",BANDA,105,2024-12-31T00:00:00,7,2.8802836,370,356,423,416,1.8543341,2024-01-01T00:00:00,30.537483870967748,Jorawar Pur Bangar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.98244912691177,25.54768243848134]}"
9_0,0.562,0.09708333,0.352,0.362,5.53,0.11631667,212.5,3.193,110.25,0.28629166,0.49,22.5,0.11269444,13.651,0.25197223,0.17987223,-1.3585615185563915,0.42,143.62766,244,257,"2/26/24, 12:00 AM",BANDA,142,2024-12-31T00:00:00,7,3.382152,399,389,357,355,3.4515333,2024-01-01T00:00:00,30.581687499999997,Piyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.611355083042,25.155298322377934]}"
10_0,0.567,0.09206154,0.352,0.361,4.692,0.12831283,156.8,2.486,87.75,0.33559486,0.39,20.25,0.14487693,13.651,0.29657692,0.21552308,2.0436693614040946,0.806,-0.0,204,225,"3/2/24, 12:00 AM",BANDA,116,2024-12-31T00:00:00,7.5,2.785089,360,350,436,424,0.0,2024-01-01T00:00:00,30.506250000000005,Chhapar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.56392403604049,25.667877023496533]}"
11_0,0.904,0.0996675,0.232,0.274,4.532,0.1342925,190.4,3.196,94.5,0.29508,0.42,29.25,0.15225,6.645,0.281005,0.2095375,-1.9855329928286993,1.11,106.728775,236,267,"3/3/24, 12:00 AM",BANDA,113,2024-12-31T00:00:00,7.5,2.824779,354,337,410,396,3.2188365,2024-01-01T00:00:00,30.524848484848487,Lohari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.62132638269573,25.61936799815408]}"
12_0,0.904,0.09782564,0.421,0.345,4.232,0.12894103,190.4,2.876,96.75,0.26678205,0.43,27,0.14455128,5.769,0.2646,0.1984077,-1.8371938193426063,0.61,180.0,197,212,"2/20/24, 12:00 AM",BANDA,121,2024-12-31T00:00:00,7.6,2.9871135,391,385,412,403,2.7802885,2024-01-01T00:00:00,30.337548387096778,Ranipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.78679605803055,25.42344543468761]}"
13_0,1.241,0.1060641,0.396,0.372,4.232,0.13556154,189.2,3.258,101.25,0.3103641,0.45,27,0.14961281,11.608,0.2742718,0.19947179,-1.625465918952396,0.653,294.31378,238,272,"2/21/24, 12:00 AM",BANDA,128,2024-12-31T00:00:00,7.4,3.1877973,369,349,394,379,2.251489,2024-01-01T00:00:00,30.411785714285717,Oran (Rural),"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.72427331425583,25.362809153009543]}"
14_0,0.567,0.11206097,0.273,0.366,4.693,0.13696586,212.8,2.876,101.25,0.3282244,0.45,29.25,0.13905366,5.769,0.29200974,0.21636342,-0.8403910789984119,1.125,90.0,206,232,"2/23/24, 12:00 AM",BANDA,128,2024-12-31T00:00:00,7.3,3.0007489,339,327,455,442,1.0268055,2024-01-01T00:00:00,30.44975757575758,Ajit Para,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.525655804937,25.420480994250017]}"
15_0,1.241,0.09782895,0.334,0.371,4.532,0.12387632,136.8,3.476,103.5,0.29985,0.46,27,0.12279737,8.98,0.2575658,0.18616316,-1.210167623800033,1.298,20.296179,223,237,"3/4/24, 12:00 AM",BANDA,112,2024-12-31T00:00:00,7.5,2.879969,373,365,403,398,2.96402,2024-01-01T00:00:00,30.568125,Khaunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.5286202453746,25.670302474763655]}"
16_0,1.214,0.10085135,0.467,0.347,4.361,0.12509729,123.2,3.196,110.25,0.29732162,0.49,15.75,0.13528648,7.564,0.2748946,0.19756216,-0.03631545773724214,1.435,47.84347,216,236,"2/27/24, 12:00 AM",BANDA,147,2024-12-31T00:00:00,7.5,3.5121448,420,408,364,357,1.3816578,2024-01-01T00:00:00,30.48739393939394,Sangrampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.63992150907701,25.127809874683877]}"
17_0,0.904,0.10611579,0.396,0.381,4.211,0.13543947,112,3.854,96.75,0.30676317,0.42,15.75,0.14570527,7.521,0.28742367,0.21602894,-0.7393853439453635,0.654,-0.0,238,261,"2/15/24, 12:00 AM",BANDA,126,2024-12-31T00:00:00,7,3.0791395,360,349,402,390,0.92740995,2024-01-01T00:00:00,30.564470588235295,Mahokhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.40061031738756,25.521810958298698]}"
18_0,0.567,0.076858975,0.361,0.352,4.693,0.10934359,112,2.855,110.25,0.30101025,0.49,22,0.1209641,4.893,0.2683513,0.19832563,-0.5522954110082436,0.547,90.0,204,217,"2/24/24, 12:00 AM",BANDA,116,2024-12-31T00:00:00,7.5,3.1092331,396,389,400,394,3.077146,2024-01-01T00:00:00,30.484357142857146,Etavan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.84635436136767,25.395687492408317]}"
