system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.32,0.07394872,0.5,0.6,2.4,0.10000513,154,1.57,103,0.26953334,0.466,4.5,0.1014641,8.9,0.24448206,0.18444872,-2.011835859289467,0.31,73.488365,255,280,"3/4/24, 12:00 AM",BARABANKI,114,2024-12-31T00:00:00,7.1,3.3915832,363,346,382,375,3.259877,2024-01-01T00:00:00,30.219257142857142,Indaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.33225309854792,27.214236953579878]}"
1_0,0.48,0.07404616,0.53,0.55,2.27,0.09757436,187,1.49,81,0.2845282,0.36,18,0.097294874,8.97,0.24711795,0.1720923,-1.1624724183694366,0.48,131.64651,254,278,"3/4/24, 12:00 AM",BARABANKI,116,2024-12-31T00:00:00,7,3.3915832,361,343,386,379,1.3954271,2024-01-01T00:00:00,30.219257142857142,Indaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.33144461479222,27.21531493192082]}"
2_0,0.41,0.096919514,0.21,0.77,2.29,0.123585366,143,1.37,103,0.25890976,0.46,13.5,0.14214633,8.95,0.24813415,0.19652195,-1.6525689127369172,0.4,246.00543,254,277,"3/13/24, 12:00 AM",BARABANKI,108,2024-12-31T00:00:00,7.2,3.2695231,341,327,405,395,2.2796044,2024-01-01T00:00:00,30.22506250000001,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.4365475030342,27.097815292757986]}"
3_0,0.27,0.07447561,0.19,0.88,2.27,0.09799268,110,1.22,101,0.26546586,0.45,36,0.09401219,13.69,0.20528048,0.14042196,2.7237005703350317,0.64,-0.0,256,289,"3/13/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7.5,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
4_0,0.46,0.07447561,0.16,0.79,2.05,0.09799268,176,1.2,96,0.26546586,0.43,13.5,0.09401219,10.19,0.20528048,0.14042196,2.7237005703350317,0.76,-0.0,256,289,"3/14/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7.6,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
5_0,0.3,0.07447561,0.2,0.74,2.25,0.09799268,121,1.34,121,0.26546586,0.54,18,0.09401219,8.32,0.20528048,0.14042196,2.7237005703350317,0.56,-0.0,256,289,"3/14/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7.1,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
6_0,0.44,0.07447561,0.15,0.7,2.16,0.09799268,187,1.28,83,0.26546586,0.37,22.5,0.09401219,5.56,0.20528048,0.14042196,2.7237005703350317,0.62,-0.0,256,289,"3/14/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7.8,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
7_0,0.58,0.07447561,0.19,0.84,2.37,0.09799268,154,1.33,87,0.26546586,0.39,13.5,0.09401219,8.51,0.20528048,0.14042196,2.7237005703350317,0.46,-0.0,256,289,"3/14/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7.06,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
8_0,0.45,0.07447561,0.2,0.94,2.24,0.09799268,198,1.32,74,0.26546586,0.33,18,0.09401219,8.95,0.20528048,0.14042196,2.7237005703350317,0.36,-0.0,256,289,"3/14/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
9_0,0.45,0.07447561,0.21,0.72,2.46,0.09799268,143,1.41,60,0.26546586,0.27,22.5,0.09401219,10.51,0.20528048,0.14042196,2.7237005703350317,0.72,-0.0,256,289,"3/14/24, 12:00 AM",BARABANKI,110,2024-12-31T00:00:00,7.5,3.390166,378,357,365,354,0.0,2024-01-01T00:00:00,30.228709677419356,Karmullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.41633540914151,27.20345717017044]}"
