system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.58,0.109876744,0.61,0.7,2.71,0.14065814,157,1.22,83.25,0.30494186,0.37,13.2,0.14802092,15.83,0.28937674,0.2249721,2.0050010560777665,0.57,257.57492,183,214,"3/12/24, 12:00 AM",BUDAUN,173,2024-12-31T00:00:00,7.5,3.492564,387,371,429,415,4.3025446,2024-01-01T00:00:00,30.219942857142854,Kaser Panauta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09194461148225,28.201395619298818]}"
1_0,0.92,0.09771667,0.4,0.35,1.24,0.12882619,175,0.78,87.75,0.31115,0.39,9.9,0.13146904,14.51,0.27617618,0.20568572,3.9672108435052764,1.32,-0.0,187,212,"3/14/24, 12:00 AM",BUDAUN,174,2024-12-31T00:00:00,7.2,3.492564,386,371,427,418,0.0,2024-01-01T00:00:00,30.22948571428572,Chanjari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09140562231177,28.22996204533382]}"
2_0,0.59,0.102835715,0.46,0.4,0.47,0.13131666,198,0.52,90,0.30229762,0.4,16.2,0.13973333,11.22,0.28170952,0.20951429,-0.06981346579593005,0.91,180.0,187,212,"3/14/24, 12:00 AM",BUDAUN,175,2024-12-31T00:00:00,6.7,3.492564,386,371,427,418,0.92740995,2024-01-01T00:00:00,30.22948571428572,Chanjari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09113612772654,28.230231539919053]}"
3_0,1.36,0.10766914,0.46,0.499,6.89,0.14392592,148,1.95,83.25,0.33125433,0.37,13.5,0.15579136,9.62,0.30840123,0.2332716,0.3609895302939115,0.4,270.0,226,244,"3/10/24, 12:00 AM",BUDAUN,180,2024-12-31T00:00:00,7.5,3.5582287,393,381,381,375,2.1067607,2024-01-01T00:00:00,30.16976470588235,Prithvipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.96070074847239,28.34638370615571]}"
4_0,0.9,0.080324695,0.41,0.392,3.61,0.10808642,198,1.97,101.25,0.30083334,0.45,11.7,0.10537778,13.06,0.24947408,0.17360494,-1.6734250101857933,0.49,246.24832,212,229,"3/10/24, 12:00 AM",BUDAUN,182,2024-12-31T00:00:00,6.8,3.5582287,395,382,393,388,2.301522,2024-01-01T00:00:00,30.16976470588235,Prithvipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.96393468349521,28.346653200740946]}"
5_0,0.54,0.08560886,0.46,0.52,4.72,0.12070886,211,3.41,47.25,0.33131644,0.21,13.5,0.12852405,14.63,0.2967709,0.22710633,-0.48283239671378214,0.82,311.39795,174,198,"3/17/24, 12:00 AM",BUDAUN,168,2024-12-31T00:00:00,7.2,3.3864179,376,362,450,440,1.4022782,2024-01-01T00:00:00,30.333235294117653,Jinaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0329252973156,28.169325763655753]}"
6_0,0.6,0.099809304,0.58,0.4,4.23,0.12721163,198,0.17,83.25,0.3054186,0.37,13.5,0.13799302,10.86,0.29870465,0.22137675,-2.0876211412560095,0.77,322.89255,186,213,"3/12/24, 12:00 AM",BUDAUN,179,2024-12-31T00:00:00,7.9,3.492564,397,381,417,406,3.4846673,2024-01-01T00:00:00,30.219942857142854,Barour Amanullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09895147069838,28.20597702724783]}"
7_0,0.54,0.07814321,0.37,0.802,5.68,0.10974074,180,1.53,49.5,0.32785186,0.22,13.5,0.102558024,11.15,0.24735433,0.17395061,-1.862295337229034,0.66,180.0,187,208,"3/5/24, 12:00 AM",BUDAUN,180,2024-12-31T00:00:00,7.2,3.3118184,396,383,417,408,2.7802885,2024-01-01T00:00:00,30.173888888888882,Maithra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00274190376918,28.30730699129651]}"
8_0,0.87,0.07343333,0.72,0.46,4.16,0.110426664,72,2,31.5,0.3402089,0.14,13.5,0.11548445,12.25,0.27791777,0.21476,-1.4529373184424177,0.8,180.0,204,219,"3/7/24, 12:00 AM",BUDAUN,164,2024-12-31T00:00:00,6.9,3.256108,450,442,346,339,1.8543341,2024-01-01T00:00:00,30.30787878787879,Chaudera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.10595832991451,27.883122514135273]}"
9_0,0.82,0.080477275,0.26,0.66,4.48,0.11600455,104.4,2.73,70.7,0.31125227,0.3,4.5,0.13778636,15.35,0.3067841,0.2405159,-1.1714633453243528,0.88,228.51897,207,222,"3/7/24, 12:00 AM",BUDAUN,165,2024-12-31T00:00:00,6.9,3.256108,438,430,355,348,1.3999782,2024-01-01T00:00:00,30.298787878787884,Mamoorganj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14207060433611,27.854825582685507]}"
