system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.01,0.087235,0.46,0.51,1.52,0.1148675,206,2.23,123.2,0.3221825,0.21,9,0.10975875,6,0.24979626,0.17741375,-2.278426056423069,0.71,90.0,196,239,"3/14/24, 12:00 AM",BULANDSHAHR,201,2024-12-31T00:00:00,7.8,3.190917,411,388,393,374,4.208597,2024-01-01T00:00:00,30.197000000000003,Birauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.1732375704132,28.365517821707456]}"
1_0,1.34,0.068841614,0.77,0.6,3.67,0.104075775,193,3.27,145.6,0.29373726,0.26,26,0.12338571,6.4,0.28580374,0.22058572,0.897021317074595,0.34,228.72035,203,225,"3/6/24, 12:00 AM",BULANDSHAHR,207,2024-12-31T00:00:00,7.6,3.1064966,400,385,396,390,2.8094544,2024-01-01T00:00:00,30.095714285714283,Chitsona Alipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.99213720913471,28.610757894272083]}"
2_0,2.72,0.10098987,0.66,0.71,5.98,0.1309557,162,3.98,201.6,0.27866963,0.36,4.5,0.14965443,3.6,0.27284938,0.21696329,-0.7641872515694502,1.24,-0.0,217,251,"3/17/24, 12:00 AM",BULANDSHAHR,198,2024-12-31T00:00:00,7.2,3.2809715,412,391,371,358,1.8543341,2024-01-01T00:00:00,30.118702702702706,Jatvai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.25597240808062,28.362283886684626]}"
3_0,1.67,0.10982911,0.62,0.62,4.21,0.1416462,180,5.76,123.2,0.33394367,0.22,35,0.15125443,5.8,0.2825152,0.22045696,-0.4982999593579722,0.76,150.40099,255,277,"2/23/24, 12:00 AM",BULANDSHAHR,199,2024-12-31T00:00:00,7.2,2.9727685,417,402,328,321,2.1323957,2024-01-01T00:00:00,30.09491428571429,Jalaluddinpur Ginauri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.99078973620854,28.334256449820096]}"
4_0,1.83,0.08849114,0.52,0.67,4.01,0.11685633,229,5.36,229,0.29383925,0.41,28,0.12349304,6.8,0.26788163,0.19826898,-1.8713835216852013,0.94,311.35645,234,266,"2/23/24, 12:00 AM",BULANDSHAHR,199,2024-12-31T00:00:00,7.1,3.0224333,431,411,335,323,2.8051817,2024-01-01T00:00:00,30.096882352941183,Jalaluddinpur Ginauri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.00722890590792,28.325363128507313]}"
5_0,1.54,0.08491925,0.45,0.43,5.38,0.11690621,189,1.47,235.2,0.29902297,0.42,40,0.12304783,7.2,0.25988322,0.19662236,3.406344054121969,0.62,-0.0,214,235,"2/24/24, 12:00 AM",BULANDSHAHR,197,2024-12-31T00:00:00,7.3,3.142385,417,404,369,361,0.0,2024-01-01T00:00:00,30.178235294117652,Chakla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.09993504322905,28.363361865025567]}"
6_0,1.44,0.08813121,0.42,0.67,8.56,0.11868025,189,3.78,89.6,0.27080256,0.16,39,0.1264656,7.2,0.25615987,0.20251656,3.117530260617267,1.98,-0.0,211,243,"2/24/24, 12:00 AM",BULANDSHAHR,206,2024-12-31T00:00:00,7.1,2.894698,397,377,391,380,0.0,2024-01-01T00:00:00,30.147945945945946,Hingmala Urf Bhawsi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.94497565671844,28.485173417552176]}"
7_0,2.13,0.069146544,1.21,0.65,6.22,0.10295157,234,6.89,140,0.32797548,0.25,16,0.10509749,5.5,0.25597483,0.18473585,4.249139134583072,1.05,180.0,213,242,"2/26/24, 12:00 AM",BULANDSHAHR,205,2024-12-31T00:00:00,7.5,3.1710596,394,373,394,385,2.7802885,2024-01-01T00:00:00,30.089176470588242,Daulatpur Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.1506000252534,28.539341829184583]}"
8_0,0.98,0.09348889,1.15,0.61,3.62,0.12616667,182,5.91,302.4,0.29206172,0.54,9,0.14345433,6.8,0.2827506,0.23005308,-1.1772910888608223,0.48,48.626213,233,255,"3/15/24, 12:00 AM",BULANDSHAHR,190,2024-12-31T00:00:00,7.1,3.166317,421,406,347,339,1.4029495,2024-01-01T00:00:00,30.15823529411765,Yavapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.23710778711411,28.260145438880237]}"
9_0,0.98,0.066179484,0.19,0.49,8.93,0.097656414,262,5.32,72.8,0.30368078,0.13,4.5,0.098691024,6.8,0.23407692,0.17227693,-0.888222918669816,0.23,270.0,223,238,"3/18/24, 12:00 AM",BULANDSHAHR,198,2024-12-31T00:00:00,7.2,3.0950708,454,444,323,318,1.0518554,2024-01-01T00:00:00,30.270787878787882,Jawal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88460886962561,28.155851034393958]}"
10_0,0.88,0.10857,0.69,0.6,9,0.1612225,189,2.1,140,0.2792475,0.25,9,0.20456,6.4,0.3347075,0.30145,-1.587516599246415,0.14,270.0,207,234,"3/15/24, 12:00 AM",BULANDSHAHR,206,2024-12-31T00:00:00,7.6,2.8817334,411,395,382,371,2.109523,2024-01-01T00:00:00,30.174352941176473,Dadupur Neela,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74878359866673,28.485173417552176]}"
11_0,2.29,0.09611739,1.56,0.72,6.8,0.12966646,194,4.16,240.8,0.2733267,0.43,18,0.14528696,6,0.2699323,0.22236459,-0.9803701614600594,0.68,113.750626,212,245,"3/15/24, 12:00 AM",BULANDSHAHR,199,2024-12-31T00:00:00,7.2,3.1342514,402,382,387,373,2.3016179,2024-01-01T00:00:00,30.193250000000006,Pipera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.13416085555401,28.352043092445662]}"
12_0,1.84,0.0873275,0.77,0.64,5.42,0.117805004,229,4.91,246.4,0.2714625,0.44,27,0.127355,7.2,0.24246751,0.18988,-2.566139289451626,0.37,325.67892,197,239,"3/15/24, 12:00 AM",BULANDSHAHR,209,2024-12-31T00:00:00,7.4,2.6969962,429,404,374,357,5.5972195,2024-01-01T00:00:00,30.166941176470587,Dadupur Neela,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75336500661575,28.49325825510925]}"
13_0,2.55,0.097998135,0.6,0.78,2.05,0.13397703,194,4.62,123.2,0.25972858,0.22,13.5,0.15149876,6,0.28376335,0.2378764,-1.1786226853212773,0.72,228.65062,212,245,"3/14/24, 12:00 AM",BULANDSHAHR,198,2024-12-31T00:00:00,7.1,3.1342514,402,382,387,373,1.4036282,2024-01-01T00:00:00,30.193250000000006,Pipera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.13469984472448,28.351773597860426]}"
14_0,1.42,0.06567342,0.21,0.46,2.84,0.09315063,204,3.37,72.8,0.26326075,0.13,18,0.09318228,5.5,0.20707722,0.15862785,-2.2738248568591946,0.21,270.0,218,232,"3/22/24, 12:00 AM",BULANDSHAHR,197,2024-12-31T00:00:00,7.3,3.1226296,442,432,339,336,4.1988997,2024-01-01T00:00:00,30.277812499999996,Sarsal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92988395994523,28.118660781631412]}"
15_0,1.67,0.09983924,0.35,0.42,4.21,0.13331139,172,5.32,168,0.3103152,0.29,4.5,0.14629367,9.5,0.28247088,0.22148608,-0.9777229223556957,0.81,113.78132,223,244,"3/18/24, 12:00 AM",BULANDSHAHR,192,2024-12-31T00:00:00,7.2,3.2163897,415,402,362,354,2.2988224,2024-01-01T00:00:00,30.21082352941177,Danpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19668359932874,28.19735320052028]}"
16_0,1.01,0.087235,0.73,0.58,1.44,0.1148675,162,1.93,156.8,0.3221825,0.18,9,0.10975875,5.5,0.24979626,0.17741375,-2.278426056423069,0.93,90.0,196,239,"3/13/24, 12:00 AM",BULANDSHAHR,201,2024-12-31T00:00:00,7.6,3.190917,411,388,393,374,4.208597,2024-01-01T00:00:00,30.197000000000003,Birauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.1732375704132,28.365517821707456]}"
17_0,1.01,0.065631166,0.69,0.48,8.3,0.09609221,216,2.17,201.5,0.25953767,0.36,25,0.09779091,5.9,0.21346754,0.15627272,-1.6745211008537642,0.51,66.26105,208,236,"2/17/24, 12:00 AM",BULANDSHAHR,206,2024-12-31T00:00:00,7.8,2.8617969,416,396,376,368,4.597951,2024-01-01T00:00:00,30.168742857142856,Kalauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.90643793102971,28.410523417441844]}"
18_0,1.18,0.06532875,0.6,0.43,2.62,0.0945975,170,3.96,95.2,0.27456874,0.17,18,0.0955675,6,0.2329875,0.16692126,-1.4574930656183571,0.6,180.0,203,235,"3/15/24, 12:00 AM",BULANDSHAHR,201,2024-12-31T00:00:00,7.7,3.190917,411,394,386,371,1.8543341,2024-01-01T00:00:00,30.17782857142857,Bichaula,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.18536482674882,28.379262045554484]}"
19_0,0.88,0.11494557,0.9,0.58,2.98,0.1446038,187,5.07,95.2,0.2677633,0.17,13.5,0.15994556,5.5,0.29311138,0.24675822,-1.1696523674261536,1.19,-0.0,217,251,"3/14/24, 12:00 AM",BULANDSHAHR,199,2024-12-31T00:00:00,7.9,3.2809715,412,391,371,358,2.7802885,2024-01-01T00:00:00,30.118702702702706,Badarkha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.25678089183633,28.362283886684626]}"
20_0,1.64,0.054996226,0.47,0.65,4.41,0.08230252,266,5.8,123.2,0.2721283,0.22,14,0.07304528,6.8,0.19647296,0.124832705,2.018516265048189,0.86,-0.0,214,238,"2/28/24, 12:00 AM",BULANDSHAHR,206,2024-12-31T00:00:00,7.6,3.1274734,398,380,388,382,0.0,2024-01-01T00:00:00,30.109657142857156,Narendrapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14871356315675,28.529370529530855]}"
