system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.9,0.08893529,0.58,0.3,9.85,0.11462059,175.5,4.56,117,0.28455,0.52,18,0.12734118,13.6,0.24986765,0.18433236,-1.644151370020955,1.48,65.90665,262,264,"7/22/24, 12:00 AM",DEORIA,76,2024-12-31T00:00:00,6.5,3.2000382,296,294,442,443,2.270822,2024-01-01T00:00:00,30.303142857142866,Sirjam Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.70434443779394,26.573109335303773]}"
1_0,0.7,0.07705143,0.64,0.31,8.98,0.10607714,144,4.92,135,0.3155143,0.6,9,0.11831143,12.2,0.24330571,0.17402858,-1.4174267148240212,1.25,59.195145,304,291,"7/22/24, 12:00 AM",DEORIA,80,2024-12-31T00:00:00,6.5,3.2000382,276,281,420,428,3.6173794,2024-01-01T00:00:00,30.27,Sirjam Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.7372227771927,26.57472630281519]}"
2_0,0.7,0.07237941,0.45,0.69,9.24,0.09865588,166.5,4.26,135,0.2672088,0.6,22.5,0.105491176,18.2,0.22813824,0.16697647,-0.748341220379199,1.24,180.0,267,280,"7/22/24, 12:00 AM",DEORIA,80,2024-12-31T00:00:00,7,3.2000382,290,286,443,434,0.92740995,2024-01-01T00:00:00,30.28297142857143,Sirjam Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.71485472661813,26.588470526662217]}"
6_0,0.8,0.11908056,0.52,0.67,9.47,0.15103611,130.5,4.69,90,0.26014444,0.4,13.5,0.17494166,18.6,0.30076668,0.25927222,-0.8583020250495466,1.54,90.0,249,258,"7/18/24, 12:00 AM",DEORIA,77,2024-12-31T00:00:00,6.9,3.2536964,308,299,442,443,1.036118,2024-01-01T00:00:00,30.3461935483871,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.76471122488677,26.48363713300547]}"
7_0,0.9,0.10923429,0.47,0.71,7.55,0.13238,166.5,4.52,101.25,0.2207743,0.45,9,0.15055715,17.8,0.26890287,0.23012,-1.5515167823596876,1.18,270.0,253,263,"7/18/24, 12:00 AM",DEORIA,78,2024-12-31T00:00:00,7,3.2536964,311,300,436,436,2.0716288,2024-01-01T00:00:00,30.3429375,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.75689588191493,26.487410057198773]}"
8_0,0.7,0.08370833,0.5,0.39,8.78,0.118144445,175.5,4.5,81,0.2672972,0.36,9,0.13659444,15.5,0.27414167,0.20961389,-0.8584036049436299,0.82,270.0,253,267,"7/18/24, 12:00 AM",DEORIA,74,2024-12-31T00:00:00,7.1,3.2536964,309,298,438,436,3.1057901,2024-01-01T00:00:00,30.3429375,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.7544704306478,26.48875753012495]}"
9_0,0.8,0.08370833,0.42,0.38,8.58,0.118144445,202.5,4.45,74.25,0.2672972,0.33,9,0.13659444,15.5,0.27414167,0.20961389,-0.8584036049436299,1.74,270.0,253,267,"7/18/24, 12:00 AM",DEORIA,74,2024-12-31T00:00:00,6.6,3.2536964,309,298,438,436,3.1057901,2024-01-01T00:00:00,30.3429375,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.7544704306478,26.48875753012495]}"
10_0,0.6,0.08352857,0.48,0.6,6.35,0.11539429,216,4.52,49.5,0.26583427,0.22,9,0.13936286,20,0.27637142,0.21645714,-0.8584306423296585,0.78,270.0,253,269,"7/18/24, 12:00 AM",DEORIA,74,2024-12-31T00:00:00,7.2,3.2955852,310,297,437,434,1.0361831,2024-01-01T00:00:00,30.329187500000003,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.74961952811356,26.490913486806836]}"
11_0,0.7,0.08370833,0.65,0.73,8.98,0.118144445,216,4.52,117,0.2672972,0.52,22.5,0.13659444,17.2,0.27414167,0.20961389,-0.8584036049436299,1.3,270.0,253,267,"7/18/24, 12:00 AM",DEORIA,74,2024-12-31T00:00:00,7.5,3.2536964,309,298,438,436,3.1057901,2024-01-01T00:00:00,30.3429375,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.7544704306478,26.48875753012495]}"
12_0,0.7,0.14577714,0.55,0.72,6.98,0.17786,166.5,4.53,96.75,0.28847143,0.43,4.3,0.19395714,19.2,0.25326285,0.20348571,-1.8454040767638265,1.27,311.83527,253,261,"7/18/24, 12:00 AM",DEORIA,82,2024-12-31T00:00:00,7.3,3.2536964,333,325,415,414,2.7789383,2024-01-01T00:00:00,30.32764705882354,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.78492331877945,26.464503017453723]}"
13_0,0.7,0.06897429,0.5,0.68,7.89,0.09487143,189,4.85,148.3,0.24268,0.66,9,0.106102854,19.6,0.26477143,0.18558857,-1.8457586679516573,1.32,48.171276,251,262,"7/18/24, 12:00 AM",DEORIA,77,2024-12-31T00:00:00,6.6,3.2536964,310,300,439,438,2.7792919,2024-01-01T00:00:00,30.3429375,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.7582433548411,26.490913486806836]}"
14_0,0.6,0.10247778,0.48,0.68,8.64,0.13242778,244,4.18,110.25,0.26309446,0.49,4.5,0.15280555,18.6,0.28255,0.232425,-2.2694633990469844,1.23,150.81285,251,258,"7/18/24, 12:00 AM",DEORIA,78,2024-12-31T00:00:00,7,3.2536964,319,309,430,433,4.2417526,2024-01-01T00:00:00,30.338967741935484,Katarari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.75932133318204,26.476630273789336]}"
