system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.65,0.072289474,1.03,0.95,8.88,0.10746579,283,3.25,314,0.25436842,0.56,15.75,0.12123158,4.25,0.24142632,0.19516578,-1.1818987007012705,1.43,311.28928,209,239,"2/25/24, 12:00 AM",GAUTAM BUDDHA NAGAR,214,2024-12-31T00:00:00,7.86,2.9415042,464,443,326,318,1.4053037,2024-01-01T00:00:00,30.15573684210526,Salarpur Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61134136019645,28.57518460902095]}"
1_0,0.62,0.10445,0.19,0.89,1.92,0.14128157,161,1.58,224,0.2915158,0.4,33.3,0.16717632,13.05,0.28218946,0.22706579,-1.5893195682578956,0.85,90.0,262,271,"2/24/24, 12:00 AM",GAUTAM BUDDHA NAGAR,214,2024-12-31T00:00:00,8.07,3.047856,399,389,339,339,2.1114407,2024-01-01T00:00:00,30.195028571428573,Patadi (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58897330962188,28.58111348989614]}"
2_0,0.42,0.07227369,0.12,0.78,5.81,0.1007579,148,6.74,67,0.25903684,0.12,9.9,0.106126316,8.37,0.23664474,0.17708158,0.4276536113362245,1.17,228.7085,206,230,"2/24/24, 12:00 AM",GAUTAM BUDDHA NAGAR,207,2024-12-31T00:00:00,7.86,3.047856,453,432,340,337,1.405241,2024-01-01T00:00:00,30.243352941176468,Badhpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56121536734258,28.56683027687864]}"
3_0,0.72,0.071836844,1.12,1.1,6.48,0.10378684,271,2.06,168,0.24181315,0.29,6.75,0.11599737,8.37,0.23575789,0.18968683,-1.1817357111639064,0.51,131.29227,240,245,"3/5/24, 12:00 AM",GAUTAM BUDDHA NAGAR,211,2024-12-31T00:00:00,7.66,2.9415042,403,397,357,358,1.40522,2024-01-01T00:00:00,30.236,Khatana Dhirkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60406500639509,28.564135331026282]}"
4_0,0.65,0.064165786,1.54,0.95,8.65,0.09334737,206,3.38,286,0.25434735,0.51,6.75,0.10422631,16.08,0.2503184,0.1851421,-0.4886442070660119,1.24,311.2913,239,248,"3/3/24, 12:00 AM",GAUTAM BUDDHA NAGAR,209,2024-12-31T00:00:00,7.86,2.9415042,413,404,348,348,1.4052472,2024-01-01T00:00:00,30.171684210526312,Khatana Dhirkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60702944683268,28.56790825521958]}"
5_0,0.65,0.09522105,0.67,0.98,3.48,0.12753685,222,2.26,151,0.24230263,0.27,9.9,0.15441053,13.61,0.26041052,0.23637895,-0.28971856269303653,0.27,246.27823,260,267,"2/21/24, 12:00 AM",GAUTAM BUDDHA NAGAR,206,2024-12-31T00:00:00,7.89,2.892477,417,410,322,323,2.304253,2024-01-01T00:00:00,30.223714285714284,Luharli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62993648657772,28.496761684717317]}"
6_0,1.08,0.056392103,1.54,0.92,6.73,0.08455,255,3.96,185,0.2824079,0.33,8.1,0.08034211,4.25,0.20068158,0.14487895,1.4299017722832232,1.42,286.31613,230,244,"2/26/24, 12:00 AM",GAUTAM BUDDHA NAGAR,211,2024-12-31T00:00:00,8.33,2.9415042,425,414,345,342,3.2977757,2024-01-01T00:00:00,30.156971428571428,Salarpur Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60002258761655,28.576532081947132]}"
7_0,0.78,0.0694725,1.41,0.85,4.81,0.098945,129,4.53,157,0.2723275,0.28,6.75,0.1084,9.61,0.251835,0.18584,-2.0367830406412724,1.15,286.30823,229,251,"3/1/24, 12:00 AM",GAUTAM BUDDHA NAGAR,216,2024-12-31T00:00:00,7.82,3.070775,423,405,348,344,3.2993226,2024-01-01T00:00:00,30.232176470588236,Kachheda Warsabad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51674876077867,28.630161504409067]}"
8_0,0.65,0.06758158,1.02,1.05,8.46,0.09703421,271,3.01,342,0.25657368,0.61,17.55,0.11022105,16.08,0.23123948,0.18191843,-0.8959363239556701,1.15,270.0,235,249,"3/3/24, 12:00 AM",GAUTAM BUDDHA NAGAR,209,2024-12-31T00:00:00,7.96,2.9415042,430,417,335,334,2.1111789,2024-01-01T00:00:00,30.206486486486476,Khatana Dhirkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60702944683268,28.568177749804818]}"
9_0,0.62,0.07931842,0.55,0.68,3.52,0.106352635,204,2.29,134,0.26257893,0.24,9.45,0.10809737,10.99,0.21131842,0.15857105,-0.7619852695163039,0,180.0,261,255,"1/8/24, 12:00 AM",GAUTAM BUDDHA NAGAR,199,2024-12-31T00:00:00,8.2,3.137532,418,425,320,320,0.92740995,2024-01-01T00:00:00,30.279085714285713,Mangroli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59355471757088,28.123511684165656]}"
